Freq.	V(n008)
1.00000000000000e-001	(6.68923956860117e+001dB,-1.78361199299999e-002°)
1.00230523807790e-001	(6.68923956840695e+001dB,-1.78772364301597e-002°)
1.00461579027840e-001	(6.68923956821183e+001dB,-1.79184477136229e-002°)
1.00693166885180e-001	(6.68923956801585e+001dB,-1.79597539988882e-002°)
1.00925288607668e-001	(6.68923956781892e+001dB,-1.80011555049556e-002°)
1.01157945425990e-001	(6.68923956762107e+001dB,-1.80426524513321e-002°)
1.01391138573668e-001	(6.68923956742232e+001dB,-1.80842450580308e-002°)
1.01624869287070e-001	(6.68923956722266e+001dB,-1.81259335455712e-002°)
1.01859138805412e-001	(6.68923956702207e+001dB,-1.81677181349811e-002°)
1.02093948370768e-001	(6.68923956682056e+001dB,-1.82095990477983e-002°)
1.02329299228075e-001	(6.68923956661780e+001dB,-1.82515765060643e-002°)
1.02565192625141e-001	(6.68923956641442e+001dB,-1.82936507323525e-002°)
1.02801629812647e-001	(6.68923956621011e+001dB,-1.83358219497294e-002°)
1.03038612044162e-001	(6.68923956600485e+001dB,-1.83780903817824e-002°)
1.03276140576140e-001	(6.68923956579864e+001dB,-1.84204562526145e-002°)
1.03514216667934e-001	(6.68923956559148e+001dB,-1.84629197868450e-002°)
1.03752841581801e-001	(6.68923956538335e+001dB,-1.85054812096109e-002°)
1.03992016582906e-001	(6.68923956517428e+001dB,-1.85481407465689e-002°)
1.04231742939330e-001	(6.68923956496424e+001dB,-1.85908986238954e-002°)
1.04472021922080e-001	(6.68923956475323e+001dB,-1.86337550682880e-002°)
1.04712854805090e-001	(6.68923956454124e+001dB,-1.86767103069672e-002°)
1.04954242865232e-001	(6.68923956432827e+001dB,-1.87197645676769e-002°)
1.05196187382322e-001	(6.68923956411432e+001dB,-1.87629180786869e-002°)
1.05438689639126e-001	(6.68923956389939e+001dB,-1.88061710687923e-002°)
1.05681750921366e-001	(6.68923956368346e+001dB,-1.88495237673159e-002°)
1.05925372517729e-001	(6.68923956346654e+001dB,-1.88929764041094e-002°)
1.06169555719872e-001	(6.68923956324860e+001dB,-1.89365292095536e-002°)
1.06414301822431e-001	(6.68923956302968e+001dB,-1.89801824145617e-002°)
1.06659612123026e-001	(6.68923956280974e+001dB,-1.90239362505781e-002°)
1.06905487922266e-001	(6.68923956258878e+001dB,-1.90677909495811e-002°)
1.07151930523760e-001	(6.68923956236681e+001dB,-1.91117467440838e-002°)
1.07398941234124e-001	(6.68923956214379e+001dB,-1.91558038671347e-002°)
1.07646521362983e-001	(6.68923956191977e+001dB,-1.91999625523209e-002°)
1.07894672222983e-001	(6.68923956169470e+001dB,-1.92442230337668e-002°)
1.08143395129794e-001	(6.68923956146860e+001dB,-1.92885855461369e-002°)
1.08392691402120e-001	(6.68923956124146e+001dB,-1.93330503246365e-002°)
1.08642562361706e-001	(6.68923956101325e+001dB,-1.93776176050129e-002°)
1.08893009333343e-001	(6.68923956078400e+001dB,-1.94222876235578e-002°)
1.09144033644875e-001	(6.68923956055370e+001dB,-1.94670606171068e-002°)
1.09395636627209e-001	(6.68923956032233e+001dB,-1.95119368230415e-002°)
1.09647819614318e-001	(6.68923956008988e+001dB,-1.95569164792906e-002°)
1.09900583943252e-001	(6.68923955985637e+001dB,-1.96019998243322e-002°)
1.10153930954141e-001	(6.68923955962179e+001dB,-1.96471870971930e-002°)
1.10407861990207e-001	(6.68923955938612e+001dB,-1.96924785374514e-002°)
1.10662378397766e-001	(6.68923955914936e+001dB,-1.97378743852378e-002°)
1.10917481526240e-001	(6.68923955891149e+001dB,-1.97833748812359e-002°)
1.11173172728159e-001	(6.68923955867255e+001dB,-1.98289802666852e-002°)
1.11429453359173e-001	(6.68923955843250e+001dB,-1.98746907833804e-002°)
1.11686324778056e-001	(6.68923955819134e+001dB,-1.99205066736739e-002°)
1.11943788346715e-001	(6.68923955794905e+001dB,-1.99664281804764e-002°)
1.12201845430196e-001	(6.68923955770566e+001dB,-2.00124555472595e-002°)
1.12460497396692e-001	(6.68923955746115e+001dB,-2.00585890180553e-002°)
1.12719745617551e-001	(6.68923955721551e+001dB,-2.01048288374585e-002°)
1.12979591467279e-001	(6.68923955696873e+001dB,-2.01511752506278e-002°)
1.13240036323555e-001	(6.68923955672080e+001dB,-2.01976285032868e-002°)
1.13501081567231e-001	(6.68923955647148e+001dB,-2.02441888417203e-002°)
1.13762728582343e-001	(6.68923955622127e+001dB,-2.02908565127981e-002°)
1.14024978756117e-001	(6.68923955596991e+001dB,-2.03376317639412e-002°)
1.14287833478977e-001	(6.68923955571741e+001dB,-2.03845148431478e-002°)
1.14551294144553e-001	(6.68923955546372e+001dB,-2.04315059989858e-002°)
1.14815362149688e-001	(6.68923955520885e+001dB,-2.04786054805980e-002°)
1.15080038894443e-001	(6.68923955495282e+001dB,-2.05258135377009e-002°)
1.15345325782109e-001	(6.68923955469560e+001dB,-2.05731304205866e-002°)
1.15611224219209e-001	(6.68923955443718e+001dB,-2.06205563801241e-002°)
1.15877735615512e-001	(6.68923955417758e+001dB,-2.06680916677613e-002°)
1.16144861384034e-001	(6.68923955391678e+001dB,-2.07157365355251e-002°)
1.16412602941049e-001	(6.68923955365478e+001dB,-2.07634912360235e-002°)
1.16680961706096e-001	(6.68923955339156e+001dB,-2.08113560224467e-002°)
1.16949939101987e-001	(6.68923955312713e+001dB,-2.08593311485693e-002°)
1.17219536554813e-001	(6.68923955286149e+001dB,-2.09074168687501e-002°)
1.17489755493952e-001	(6.68923955259461e+001dB,-2.09556134379345e-002°)
1.17760597352080e-001	(6.68923955232650e+001dB,-2.10039211116553e-002°)
1.18032063565172e-001	(6.68923955205715e+001dB,-2.10523401460354e-002°)
1.18304155572516e-001	(6.68923955178657e+001dB,-2.11008707977871e-002°)
1.18576874816716e-001	(6.68923955151474e+001dB,-2.11495133242148e-002°)
1.18850222743701e-001	(6.68923955124163e+001dB,-2.11982679832157e-002°)
1.19124200802737e-001	(6.68923955096728e+001dB,-2.12471350332825e-002°)
1.19398810446427e-001	(6.68923955069167e+001dB,-2.12961147335029e-002°)
1.19674053130724e-001	(6.68923955041478e+001dB,-2.13452073435621e-002°)
1.19949930314937e-001	(6.68923955013660e+001dB,-2.13944131237435e-002°)
1.20226443461741e-001	(6.68923954985715e+001dB,-2.14437323349318e-002°)
1.20503594037179e-001	(6.68923954957641e+001dB,-2.14931652386118e-002°)
1.20781383510677e-001	(6.68923954929438e+001dB,-2.15427120968715e-002°)
1.21059813355048e-001	(6.68923954901103e+001dB,-2.15923731724029e-002°)
1.21338885046497e-001	(6.68923954872638e+001dB,-2.16421487285043e-002°)
1.21618600064636e-001	(6.68923954844042e+001dB,-2.16920390290803e-002°)
1.21898959892486e-001	(6.68923954815315e+001dB,-2.17420443386439e-002°)
1.22179966016487e-001	(6.68923954786453e+001dB,-2.17921649223176e-002°)
1.22461619926504e-001	(6.68923954757459e+001dB,-2.18424010458362e-002°)
1.22743923115840e-001	(6.68923954728332e+001dB,-2.18927529755459e-002°)
1.23026877081238e-001	(6.68923954699068e+001dB,-2.19432209784070e-002°)
1.23310483322890e-001	(6.68923954669671e+001dB,-2.19938053219962e-002°)
1.23594743344450e-001	(6.68923954640109e+001dB,-2.20445062744984e-002°)
1.23879658653036e-001	(6.68923954610440e+001dB,-2.20953241047399e-002°)
1.24165230759240e-001	(6.68923954580632e+001dB,-2.21462590821434e-002°)
1.24451461177138e-001	(6.68923954550689e+001dB,-2.21973114767616e-002°)
1.24738351424294e-001	(6.68923954520607e+001dB,-2.22484815592685e-002°)
1.25025903021771e-001	(6.68923954490387e+001dB,-2.22997696009624e-002°)
1.25314117494141e-001	(6.68923954460025e+001dB,-2.23511758737667e-002°)
1.25602996369487e-001	(6.68923954429525e+001dB,-2.24027006502328e-002°)
1.25892541179416e-001	(6.68923954398884e+001dB,-2.24543442035393e-002°)
1.26182753459066e-001	(6.68923954368104e+001dB,-2.25061068074953e-002°)
1.26473634747114e-001	(6.68923954337179e+001dB,-2.25579887365395e-002°)
1.26765186585784e-001	(6.68923954306112e+001dB,-2.26099902657449e-002°)
1.27057410520853e-001	(6.68923954274901e+001dB,-2.26621116708183e-002°)
1.27350308101665e-001	(6.68923954243545e+001dB,-2.27143532281013e-002°)
1.27643880881134e-001	(6.68923954212046e+001dB,-2.27667152145738e-002°)
1.27938130415752e-001	(6.68923954180401e+001dB,-2.28191979078533e-002°)
1.28233058265601e-001	(6.68923954148609e+001dB,-2.28718015861970e-002°)
1.28528665994361e-001	(6.68923954116671e+001dB,-2.29245265285047e-002°)
1.28824955169313e-001	(6.68923954084586e+001dB,-2.29773730143181e-002°)
1.29121927361353e-001	(6.68923954052351e+001dB,-2.30303413238233e-002°)
1.29419584144998e-001	(6.68923954019969e+001dB,-2.30834317378534e-002°)
1.29717927098395e-001	(6.68923953987438e+001dB,-2.31366445378877e-002°)
1.30016957803328e-001	(6.68923953954756e+001dB,-2.31899800060549e-002°)
1.30316677845229e-001	(6.68923953921922e+001dB,-2.32434384251334e-002°)
1.30617088813183e-001	(6.68923953888938e+001dB,-2.32970200785550e-002°)
1.30918192299940e-001	(6.68923953855802e+001dB,-2.33507252504035e-002°)
1.31219989901919e-001	(6.68923953822512e+001dB,-2.34045542254175e-002°)
1.31522483219223e-001	(6.68923953789069e+001dB,-2.34585072889934e-002°)
1.31825673855640e-001	(6.68923953755472e+001dB,-2.35125847271841e-002°)
1.32129563418657e-001	(6.68923953721718e+001dB,-2.35667868267021e-002°)
1.32434153519466e-001	(6.68923953687810e+001dB,-2.36211138749219e-002°)
1.32739445772973e-001	(6.68923953653745e+001dB,-2.36755661598792e-002°)
1.33045441797808e-001	(6.68923953619494e+001dB,-2.37301439702663e-002°)
1.33352143216331e-001	(6.68923953585112e+001dB,-2.37848475954646e-002°)
1.33659551654643e-001	(6.68923953550574e+001dB,-2.38396773254996e-002°)
