Freq.	V(n003)/-I(V4)
1.00000000000000e-001	(1.24720610607795e+002dB,-4.99052891297701e-004°)
1.00230523807790e-001	(1.24720610607793e+002dB,-5.00203327025531e-004°)
1.00461579027840e-001	(1.24720610607792e+002dB,-5.01356414781637e-004°)
1.00693166885180e-001	(1.24720610607790e+002dB,-5.02512160679529e-004°)
1.00925288607668e-001	(1.24720610607789e+002dB,-5.03670570846868e-004°)
1.01157945425990e-001	(1.24720610607787e+002dB,-5.04831651425449e-004°)
1.01391138573668e-001	(1.24720610607785e+002dB,-5.05995408571171e-004°)
1.01624869287070e-001	(1.24720610607784e+002dB,-5.07161848454213e-004°)
1.01859138805412e-001	(1.24720610607782e+002dB,-5.08330977258872e-004°)
1.02093948370768e-001	(1.24720610607781e+002dB,-5.09502801183770e-004°)
1.02329299228075e-001	(1.24720610607779e+002dB,-5.10677326441780e-004°)
1.02565192625141e-001	(1.24720610607778e+002dB,-5.11854559260138e-004°)
1.02801629812647e-001	(1.24720610607776e+002dB,-5.13034505880428e-004°)
1.03038612044162e-001	(1.24720610607774e+002dB,-5.14217172558623e-004°)
1.03276140576140e-001	(1.24720610607773e+002dB,-5.15402565565036e-004°)
1.03514216667934e-001	(1.24720610607771e+002dB,-5.16590691184571e-004°)
1.03752841581801e-001	(1.24720610607769e+002dB,-5.17781555716508e-004°)
1.03992016582906e-001	(1.24720610607768e+002dB,-5.18975165474701e-004°)
1.04231742939330e-001	(1.24720610607766e+002dB,-5.20171526787588e-004°)
1.04472021922080e-001	(1.24720610607765e+002dB,-5.21370645998115e-004°)
1.04712854805090e-001	(1.24720610607763e+002dB,-5.22572529463883e-004°)
1.04954242865232e-001	(1.24720610607761e+002dB,-5.23777183557194e-004°)
1.05196187382322e-001	(1.24720610607760e+002dB,-5.24984614665007e-004°)
1.05438689639126e-001	(1.24720610607758e+002dB,-5.26194829189003e-004°)
1.05681750921366e-001	(1.24720610607756e+002dB,-5.27407833545541e-004°)
