Freq.	V(n002)/-I(V4)
1.00000000000000e-001	(1.10782622683952e+002dB,-1.65638929035284e-003°)
1.00230523807790e-001	(1.10782622683935e+002dB,-1.66020766201467e-003°)
1.00461579027840e-001	(1.10782622683919e+002dB,-1.66403483593222e-003°)
1.00693166885180e-001	(1.10782622683902e+002dB,-1.66787083239677e-003°)
1.00925288607668e-001	(1.10782622683885e+002dB,-1.67171567174648e-003°)
1.01157945425990e-001	(1.10782622683868e+002dB,-1.67556937436621e-003°)
1.01391138573668e-001	(1.10782622683850e+002dB,-1.67943196068798e-003°)
1.01624869287070e-001	(1.10782622683833e+002dB,-1.68330345119079e-003°)
1.01859138805412e-001	(1.10782622683858e+002dB,-1.68718386640898e-003°)
1.02093948370768e-001	(1.10782622683840e+002dB,-1.69107322689998e-003°)
1.02329299228075e-001	(1.10782622683823e+002dB,-1.69497155329289e-003°)
1.02565192625141e-001	(1.10782622683805e+002dB,-1.69887886625621e-003°)
1.02801629812647e-001	(1.10782622683788e+002dB,-1.70279518650615e-003°)
1.03038612044162e-001	(1.10782622683770e+002dB,-1.70672053480663e-003°)
1.03276140576140e-001	(1.10782622683752e+002dB,-1.71065493196946e-003°)
1.03514216667934e-001	(1.10782622683734e+002dB,-1.71459839885443e-003°)
1.03752841581801e-001	(1.10782622683675e+002dB,-1.71855095636119e-003°)
1.03992016582906e-001	(1.10782622683657e+002dB,-1.72251262546221e-003°)
1.04231742939330e-001	(1.10782622683639e+002dB,-1.72648342715370e-003°)
1.04472021922080e-001	(1.10782622683620e+002dB,-1.73046338248842e-003°)
1.04712854805090e-001	(1.10782622683602e+002dB,-1.73445251256771e-003°)
1.04954242865232e-001	(1.10782622683584e+002dB,-1.73845083854153e-003°)
1.05196187382322e-001	(1.10782622683565e+002dB,-1.74245838160864e-003°)
1.05438689639126e-001	(1.10782622683547e+002dB,-1.74647516301659e-003°)
1.05681750921366e-001	(1.10782622683528e+002dB,-1.75050120406197e-003°)
1.05925372517729e-001	(1.10782622683509e+002dB,-1.75453652609047e-003°)
1.06169555719872e-001	(1.10782622683491e+002dB,-1.75858115049694e-003°)
1.06414301822431e-001	(1.10782622683472e+002dB,-1.76263509872562e-003°)
1.06659612123026e-001	(1.10782622683453e+002dB,-1.76669839227007e-003°)
1.06905487922266e-001	(1.10782622683434e+002dB,-1.77077105267349e-003°)
1.07151930523760e-001	(1.10782622683415e+002dB,-1.77485310152875e-003°)
