Freq.	V(n002)/-I(V4)
1.00000000000000e-001	(6.73864379856086e+001dB,-1.25939183006835e-004°)
1.00230523807790e-001	(6.73864379856085e+001dB,-1.26229502807001e-004°)
1.00461579027840e-001	(6.73864379856084e+001dB,-1.26520491863425e-004°)
1.00693166885180e-001	(6.73864379856083e+001dB,-1.26812151718902e-004°)
1.00925288607668e-001	(6.73864379856082e+001dB,-1.27104483919784e-004°)
1.01157945425990e-001	(6.73864379856081e+001dB,-1.27397490015987e-004°)
1.01391138573668e-001	(6.73864379856080e+001dB,-1.27691171560999e-004°)
1.01624869287070e-001	(6.73864379856079e+001dB,-1.27985530111892e-004°)
1.01859138805412e-001	(6.73864379856078e+001dB,-1.28280567229326e-004°)
1.02093948370768e-001	(6.73864379856077e+001dB,-1.28576284477556e-004°)
1.02329299228075e-001	(6.73864379856076e+001dB,-1.28872683424448e-004°)
1.02565192625141e-001	(6.73864379856075e+001dB,-1.29169765641478e-004°)
1.02801629812647e-001	(6.73864379856074e+001dB,-1.29467532703747e-004°)
1.03038612044162e-001	(6.73864379856073e+001dB,-1.29765986189986e-004°)
1.03276140576140e-001	(6.73864379856072e+001dB,-1.30065127682567e-004°)
1.03514216667934e-001	(6.73864379856071e+001dB,-1.30364958767506e-004°)
1.03752841581801e-001	(6.73864379856070e+001dB,-1.30665481034480e-004°)
1.03992016582906e-001	(6.73864379856069e+001dB,-1.30966696076827e-004°)
1.04231742939330e-001	(6.73864379856068e+001dB,-1.31268605491559e-004°)
1.04472021922080e-001	(6.73864379856067e+001dB,-1.31571210879370e-004°)
1.04712854805090e-001	(6.73864379856066e+001dB,-1.31874513844643e-004°)
1.04954242865232e-001	(6.73864379856065e+001dB,-1.32178515995461e-004°)
1.05196187382322e-001	(6.73864379856064e+001dB,-1.32483218943613e-004°)
1.05438689639126e-001	(6.73864379856063e+001dB,-1.32788624304604e-004°)
1.05681750921366e-001	(6.73864379856062e+001dB,-1.33094733697661e-004°)
1.05925372517729e-001	(6.73864379856061e+001dB,-1.33401548745748e-004°)
1.06169555719872e-001	(6.73864379856059e+001dB,-1.33709071075567e-004°)
1.06414301822431e-001	(6.73864379856058e+001dB,-1.34017302317570e-004°)
1.06659612123026e-001	(6.73864379856057e+001dB,-1.34326244105969e-004°)
1.06905487922266e-001	(6.73864379856056e+001dB,-1.34635898078742e-004°)
1.07151930523760e-001	(6.73864379856055e+001dB,-1.34946265877644e-004°)
1.07398941234124e-001	(6.73864379856054e+001dB,-1.35257349148214e-004°)
1.07646521362983e-001	(6.73864379856053e+001dB,-1.35569149539785e-004°)
1.07894672222983e-001	(6.73864379856052e+001dB,-1.35881668705492e-004°)
1.08143395129794e-001	(6.73864379856051e+001dB,-1.36194908302279e-004°)
1.08392691402120e-001	(6.73864379856049e+001dB,-1.36508869990912e-004°)
1.08642562361706e-001	(6.73864379856048e+001dB,-1.36823555435985e-004°)
1.08893009333343e-001	(6.73864379856047e+001dB,-1.37138966305929e-004°)
1.09144033644875e-001	(6.73864379856046e+001dB,-1.37455104273020e-004°)
1.09395636627209e-001	(6.73864379856045e+001dB,-1.37771971013391e-004°)
1.09647819614318e-001	(6.73864379856044e+001dB,-1.38089568207037e-004°)
1.09900583943252e-001	(6.73864379856043e+001dB,-1.38407897537827e-004°)
1.10153930954141e-001	(6.73864379856041e+001dB,-1.38726960693512e-004°)
1.10407861990207e-001	(6.73864379856040e+001dB,-1.39046759365733e-004°)
1.10662378397766e-001	(6.73864379856039e+001dB,-1.39367295250030e-004°)
1.10917481526240e-001	(6.73864379856038e+001dB,-1.39688570045853e-004°)
1.11173172728159e-001	(6.73864379856037e+001dB,-1.40010585456569e-004°)
1.11429453359173e-001	(6.73864379856036e+001dB,-1.40333343189471e-004°)
1.11686324778056e-001	(6.73864379856034e+001dB,-1.40656844955789e-004°)
1.11943788346715e-001	(6.73864379856033e+001dB,-1.40981092470697e-004°)
1.12201845430196e-001	(6.73864379856032e+001dB,-1.41306087453324e-004°)
1.12460497396692e-001	(6.73864379856031e+001dB,-1.41631831626758e-004°)
1.12719745617551e-001	(6.73864379856029e+001dB,-1.41958326718066e-004°)
1.12979591467279e-001	(6.73864379856028e+001dB,-1.42285574458290e-004°)
1.13240036323555e-001	(6.73864379856027e+001dB,-1.42613576582466e-004°)
1.13501081567231e-001	(6.73864379856026e+001dB,-1.42942334829628e-004°)
1.13762728582343e-001	(6.73864379856024e+001dB,-1.43271850942820e-004°)
1.14024978756117e-001	(6.73864379856023e+001dB,-1.43602126669103e-004°)
1.14287833478977e-001	(6.73864379856022e+001dB,-1.43933163759566e-004°)
1.14551294144553e-001	(6.73864379856021e+001dB,-1.44264963969336e-004°)
1.14815362149688e-001	(6.73864379856019e+001dB,-1.44597529057584e-004°)
1.15080038894443e-001	(6.73864379856018e+001dB,-1.44930860787536e-004°)
1.15345325782109e-001	(6.73864379856017e+001dB,-1.45264960926485e-004°)
1.15611224219209e-001	(6.73864379856016e+001dB,-1.45599831245796e-004°)
1.15877735615512e-001	(6.73864379856014e+001dB,-1.45935473520918e-004°)
1.16144861384034e-001	(6.73864379856013e+001dB,-1.46271889531394e-004°)
1.16412602941049e-001	(6.73864379856012e+001dB,-1.46609081060866e-004°)
1.16680961706096e-001	(6.73864379856010e+001dB,-1.46947049897092e-004°)
1.16949939101987e-001	(6.73864379856009e+001dB,-1.47285797831949e-004°)
1.17219536554813e-001	(6.73864379856008e+001dB,-1.47625326661443e-004°)
1.17489755493952e-001	(6.73864379856006e+001dB,-1.47965638185724e-004°)
1.17760597352080e-001	(6.73864379856005e+001dB,-1.48306734209089e-004°)
1.18032063565172e-001	(6.73864379856004e+001dB,-1.48648616539995e-004°)
1.18304155572516e-001	(6.73864379856002e+001dB,-1.48991286991069e-004°)
1.18576874816716e-001	(6.73864379856001e+001dB,-1.49334747379114e-004°)
1.18850222743701e-001	(6.73864379856000e+001dB,-1.49678999525125e-004°)
1.19124200802737e-001	(6.73864379855998e+001dB,-1.50024045254290e-004°)
1.19398810446427e-001	(6.73864379855997e+001dB,-1.50369886396009e-004°)
1.19674053130724e-001	(6.73864379855995e+001dB,-1.50716524783897e-004°)
1.19949930314937e-001	(6.73864379855994e+001dB,-1.51063962255797e-004°)
1.20226443461741e-001	(6.73864379855993e+001dB,-1.51412200653785e-004°)
1.20503594037179e-001	(6.73864379855991e+001dB,-1.51761241824189e-004°)
1.20781383510677e-001	(6.73864379855990e+001dB,-1.52111087617590e-004°)
1.21059813355048e-001	(6.73864379855988e+001dB,-1.52461739888835e-004°)
1.21338885046497e-001	(6.73864379855987e+001dB,-1.52813200497048e-004°)
1.21618600064636e-001	(6.73864379855986e+001dB,-1.53165471305638e-004°)
1.21898959892486e-001	(6.73864379855984e+001dB,-1.53518554182310e-004°)
1.22179966016487e-001	(6.73864379855983e+001dB,-1.53872450999073e-004°)
1.22461619926504e-001	(6.73864379855981e+001dB,-1.54227163632255e-004°)
1.22743923115840e-001	(6.73864379855980e+001dB,-1.54582693962504e-004°)
1.23026877081238e-001	(6.73864379855978e+001dB,-1.54939043874809e-004°)
1.23310483322890e-001	(6.73864379855977e+001dB,-1.55296215258501e-004°)
1.23594743344450e-001	(6.73864379855976e+001dB,-1.55654210007267e-004°)
1.23879658653036e-001	(6.73864379855974e+001dB,-1.56013030019160e-004°)
1.24165230759240e-001	(6.73864379855972e+001dB,-1.56372677196607e-004°)
1.24451461177138e-001	(6.73864379855971e+001dB,-1.56733153446421e-004°)
1.24738351424294e-001	(6.73864379855970e+001dB,-1.57094460679814e-004°)
1.25025903021771e-001	(6.73864379855968e+001dB,-1.57456600812398e-004°)
1.25314117494141e-001	(6.73864379855966e+001dB,-1.57819575764206e-004°)
1.25602996369487e-001	(6.73864379855965e+001dB,-1.58183387459694e-004°)
1.25892541179416e-001	(6.73864379855963e+001dB,-1.58548037827755e-004°)
1.26182753459066e-001	(6.73864379855962e+001dB,-1.58913528801730e-004°)
1.26473634747114e-001	(6.73864379855960e+001dB,-1.59279862319415e-004°)
1.26765186585784e-001	(6.73864379855959e+001dB,-1.59647040323075e-004°)
1.27057410520853e-001	(6.73864379855957e+001dB,-1.60015064759450e-004°)
1.27350308101665e-001	(6.73864379855956e+001dB,-1.60383937579769e-004°)
1.27643880881134e-001	(6.73864379855954e+001dB,-1.60753660739759e-004°)
1.27938130415752e-001	(6.73864379855953e+001dB,-1.61124236199657e-004°)
1.28233058265601e-001	(6.73864379855951e+001dB,-1.61495665924215e-004°)
1.28528665994361e-001	(6.73864379855949e+001dB,-1.61867951882717e-004°)
1.28824955169313e-001	(6.73864379855948e+001dB,-1.62241096048986e-004°)
1.29121927361353e-001	(6.73864379855946e+001dB,-1.62615100401397e-004°)
1.29419584144998e-001	(6.73864379855945e+001dB,-1.62989966922882e-004°)
1.29717927098395e-001	(6.73864379855943e+001dB,-1.63365697600946e-004°)
1.30016957803328e-001	(6.73864379855941e+001dB,-1.63742294427677e-004°)
1.30316677845229e-001	(6.73864379855940e+001dB,-1.64119759399752e-004°)
1.30617088813183e-001	(6.73864379855938e+001dB,-1.64498094518454e-004°)
1.30918192299940e-001	(6.73864379855936e+001dB,-1.64877301789678e-004°)
1.31219989901919e-001	(6.73864379855935e+001dB,-1.65257383223942e-004°)
1.31522483219223e-001	(6.73864379855933e+001dB,-1.65638340836403e-004°)
1.31825673855640e-001	(6.73864379855931e+001dB,-1.66020176646856e-004°)
1.32129563418657e-001	(6.73864379855930e+001dB,-1.66402892679760e-004°)
1.32434153519466e-001	(6.73864379855928e+001dB,-1.66786490964236e-004°)
1.32739445772973e-001	(6.73864379855926e+001dB,-1.67170973534084e-004°)
1.33045441797808e-001	(6.73864379855925e+001dB,-1.67556342427792e-004°)
1.33352143216331e-001	(6.73864379855923e+001dB,-1.67942599688549e-004°)
1.33659551654643e-001	(6.73864379855921e+001dB,-1.68329747364250e-004°)
1.33967668742593e-001	(6.73864379855919e+001dB,-1.68717787507515e-004°)
1.34276496113785e-001	(6.73864379855918e+001dB,-1.69106722175694e-004°)
1.34586035405594e-001	(6.73864379855916e+001dB,-1.69496553430880e-004°)
1.34896288259164e-001	(6.73864379855914e+001dB,-1.69887283339919e-004°)
1.35207256319427e-001	(6.73864379855912e+001dB,-1.70278913974423e-004°)
1.35518941235103e-001	(6.73864379855911e+001dB,-1.70671447410778e-004°)
1.35831344658714e-001	(6.73864379855909e+001dB,-1.71064885730157e-004°)
1.36144468246594e-001	(6.73864379855907e+001dB,-1.71459231018532e-004°)
1.36458313658891e-001	(6.73864379855905e+001dB,-1.71854485366681e-004°)
