Freq.	V(n002)/-I(V4)
1.00000000000000e-001	(1.14391398343981e+002dB,-2.50959202618859e-003°)
1.00230523807790e-001	(1.14391398343942e+002dB,-2.51537723327992e-003°)
1.00461579027840e-001	(1.14391398343904e+002dB,-2.52117577665088e-003°)
1.00693166885180e-001	(1.14391398343865e+002dB,-2.52698768704479e-003°)
1.00925288607668e-001	(1.14391398343826e+002dB,-2.53281299527575e-003°)
1.01157945425990e-001	(1.14391398343787e+002dB,-2.53865173222902e-003°)
1.01391138573668e-001	(1.14391398343748e+002dB,-2.54450392886101e-003°)
1.01624869287070e-001	(1.14391398343708e+002dB,-2.55036961619946e-003°)
1.01859138805412e-001	(1.14391398343668e+002dB,-2.55624882534366e-003°)
1.02093948370768e-001	(1.14391398343628e+002dB,-2.56214158746462e-003°)
1.02329299228075e-001	(1.14391398343588e+002dB,-2.56804793380506e-003°)
1.02565192625141e-001	(1.14391398343548e+002dB,-2.57396789567998e-003°)
1.02801629812647e-001	(1.14391398343508e+002dB,-2.57990150447643e-003°)
1.03038612044162e-001	(1.14391398343467e+002dB,-2.58584879165370e-003°)
1.03276140576140e-001	(1.14391398343426e+002dB,-2.59180978874376e-003°)
1.03514216667934e-001	(1.14391398343385e+002dB,-2.59778452735130e-003°)
1.03752841581801e-001	(1.14391398343344e+002dB,-2.60377303915366e-003°)
1.03992016582906e-001	(1.14391398343302e+002dB,-2.60977535590146e-003°)
1.04231742939330e-001	(1.14391398343261e+002dB,-2.61579150941832e-003°)
1.04472021922080e-001	(1.14391398343219e+002dB,-2.62182153160124e-003°)
1.04712854805090e-001	(1.14391398343177e+002dB,-2.62786545442089e-003°)
1.04954242865232e-001	(1.14391398343135e+002dB,-2.63392330992150e-003°)
1.05196187382322e-001	(1.14391398343093e+002dB,-2.63999513022124e-003°)
1.05438689639126e-001	(1.14391398343050e+002dB,-2.64608094751227e-003°)
1.05681750921366e-001	(1.14391398343007e+002dB,-2.65218079406098e-003°)
1.05925372517729e-001	(1.14391398342964e+002dB,-2.65829470220813e-003°)
1.06169555719872e-001	(1.14391398342921e+002dB,-2.66442270436916e-003°)
1.06414301822431e-001	(1.14391398342878e+002dB,-2.67056483303401e-003°)
1.06659612123026e-001	(1.14391398342834e+002dB,-2.67672112076762e-003°)
1.06905487922266e-001	(1.14391398342790e+002dB,-2.68289160021018e-003°)
1.07151930523760e-001	(1.14391398342747e+002dB,-2.68907630407675e-003°)
1.07398941234124e-001	(1.14391398342702e+002dB,-2.69527526515816e-003°)
1.07646521362983e-001	(1.14391398342658e+002dB,-2.70148851632066e-003°)
1.07894672222983e-001	(1.14391398342613e+002dB,-2.70771609050620e-003°)
1.08143395129794e-001	(1.14391398342569e+002dB,-2.71395802073286e-003°)
1.08392691402120e-001	(1.14391398342524e+002dB,-2.72021434009471e-003°)
1.08642562361706e-001	(1.14391398342479e+002dB,-2.72648508176209e-003°)
1.08893009333343e-001	(1.14391398342433e+002dB,-2.73277027898187e-003°)
1.09144033644875e-001	(1.14391398342388e+002dB,-2.73906996507755e-003°)
1.09395636627209e-001	(1.14391398342342e+002dB,-2.74538417344941e-003°)
1.09647819614318e-001	(1.14391398342296e+002dB,-2.75171293757486e-003°)
1.09900583943252e-001	(1.14391398342249e+002dB,-2.75805629100818e-003°)
1.10153930954141e-001	(1.14391398342203e+002dB,-2.76441426738138e-003°)
1.10407861990207e-001	(1.14391398342156e+002dB,-2.77078690040372e-003°)
1.10662378397766e-001	(1.14391398342109e+002dB,-2.77717422386227e-003°)
1.10917481526240e-001	(1.14391398342062e+002dB,-2.78357627162201e-003°)
1.11173172728159e-001	(1.14391398342015e+002dB,-2.78999307762598e-003°)
1.11429453359173e-001	(1.14391398341968e+002dB,-2.79642467589538e-003°)
1.11686324778056e-001	(1.14391398341920e+002dB,-2.80287110052997e-003°)
1.11943788346715e-001	(1.14391398341872e+002dB,-2.80933238570805e-003°)
1.12201845430196e-001	(1.14391398341824e+002dB,-2.81580856568659e-003°)
1.12460497396692e-001	(1.14391398341775e+002dB,-2.82229967480185e-003°)
1.12719745617551e-001	(1.14391398341727e+002dB,-2.82880574746888e-003°)
1.12979591467279e-001	(1.14391398341678e+002dB,-2.83532681818226e-003°)
1.13240036323555e-001	(1.14391398341629e+002dB,-2.84186292151614e-003°)
1.13501081567231e-001	(1.14391398341579e+002dB,-2.84841409212422e-003°)
1.13762728582343e-001	(1.14391398341530e+002dB,-2.85498036474015e-003°)
1.14024978756117e-001	(1.14391398341480e+002dB,-2.86156177417767e-003°)
1.14287833478977e-001	(1.14391398341430e+002dB,-2.86815835533076e-003°)
1.14551294144553e-001	(1.14391398341380e+002dB,-2.87477014317385e-003°)
1.14815362149688e-001	(1.14391398341329e+002dB,-2.88139717276194e-003°)
1.15080038894443e-001	(1.14391398341279e+002dB,-2.88803947923093e-003°)
1.15345325782109e-001	(1.14391398341228e+002dB,-2.89469709779768e-003°)
1.15611224219209e-001	(1.14391398341176e+002dB,-2.90137006376007e-003°)
1.15877735615512e-001	(1.14391398341125e+002dB,-2.90805841249770e-003°)
1.16144861384034e-001	(1.14391398341073e+002dB,-2.91476217947141e-003°)
1.16412602941049e-001	(1.14391398341022e+002dB,-2.92148140022389e-003°)
1.16680961706096e-001	(1.14391398340969e+002dB,-2.92821611037982e-003°)
1.16949939101987e-001	(1.14391398340917e+002dB,-2.93496634564603e-003°)
1.17219536554813e-001	(1.14391398340864e+002dB,-2.94173214181147e-003°)
1.17489755493952e-001	(1.14391398340812e+002dB,-2.94851353474780e-003°)
1.17760597352080e-001	(1.14391398340759e+002dB,-2.95531056040928e-003°)
1.18032063565172e-001	(1.14391398340705e+002dB,-2.96212325483304e-003°)
1.18304155572516e-001	(1.14391398340652e+002dB,-2.96895165413933e-003°)
1.18576874816716e-001	(1.14391398340598e+002dB,-2.97579579453156e-003°)
1.18850222743701e-001	(1.14391398340544e+002dB,-2.98265571229685e-003°)
1.19124200802737e-001	(1.14391398340489e+002dB,-2.98953144380561e-003°)
1.19398810446427e-001	(1.14391398340435e+002dB,-2.99642302551240e-003°)
1.19674053130724e-001	(1.14391398340380e+002dB,-3.00333049395568e-003°)
1.19949930314937e-001	(1.14391398340325e+002dB,-3.01025388575815e-003°)
1.20226443461741e-001	(1.14391398340270e+002dB,-3.01719323762695e-003°)
1.20503594037179e-001	(1.14391398340214e+002dB,-3.02414858635382e-003°)
1.20781383510677e-001	(1.14391398340158e+002dB,-3.03111996881529e-003°)
1.21059813355048e-001	(1.14391398340102e+002dB,-3.03810742197305e-003°)
1.21338885046497e-001	(1.14391398340046e+002dB,-3.04511098287375e-003°)
1.21618600064636e-001	(1.14391398339989e+002dB,-3.05213068864962e-003°)
1.21898959892486e-001	(1.14391398339932e+002dB,-3.05916657651852e-003°)
1.22179966016487e-001	(1.14391398339875e+002dB,-3.06621868378384e-003°)
