Freq.	V(n001)/-I(I2)
1.00000000000000e-001	(1.19299546041252e+002dB,-8.37273380788002e-004°)
1.00230523807790e-001	(1.19299546040927e+002dB,-8.39203493922012e-004°)
1.00461579027840e-001	(1.19299546040599e+002dB,-8.41138056417117e-004°)
1.00693166885180e-001	(1.19299546040271e+002dB,-8.43077078529962e-004°)
1.00925288607668e-001	(1.19299546039941e+002dB,-8.45020570540834e-004°)
1.01157945425990e-001	(1.19299546039609e+002dB,-8.46968542753848e-004°)
1.01391138573668e-001	(1.19299546039276e+002dB,-8.48921005497256e-004°)
1.01624869287070e-001	(1.19299546038941e+002dB,-8.50877969122605e-004°)
1.01859138805412e-001	(1.19299546038605e+002dB,-8.52839444005042e-004°)
1.02093948370768e-001	(1.19299546038268e+002dB,-8.54805440544191e-004°)
1.02329299228075e-001	(1.19299546037928e+002dB,-8.56775969163663e-004°)
1.02565192625141e-001	(1.19299546037587e+002dB,-8.58751040310950e-004°)
1.02801629812647e-001	(1.19299546037245e+002dB,-8.60730664457334e-004°)
1.03038612044162e-001	(1.19299546036901e+002dB,-8.62714852098882e-004°)
1.03276140576140e-001	(1.19299546036555e+002dB,-8.64703613755075e-004°)
1.03514216667934e-001	(1.19299546036208e+002dB,-8.66696959970168e-004°)
1.03752841581801e-001	(1.19299546035859e+002dB,-8.68694901312458e-004°)
1.03992016582906e-001	(1.19299546035509e+002dB,-8.70697448374864e-004°)
1.04231742939330e-001	(1.19299546035157e+002dB,-8.72704611774600e-004°)
1.04472021922080e-001	(1.19299546034803e+002dB,-8.74716402153347e-004°)
1.04712854805090e-001	(1.19299546034448e+002dB,-8.76732830177458e-004°)
1.04954242865232e-001	(1.19299546034091e+002dB,-8.78753906537735e-004°)
1.05196187382322e-001	(1.19299546033732e+002dB,-8.80779641949223e-004°)
1.05438689639126e-001	(1.19299546033372e+002dB,-8.82810047152339e-004°)
1.05681750921366e-001	(1.19299546033010e+002dB,-8.84845132912126e-004°)
1.05925372517729e-001	(1.19299546032646e+002dB,-8.86884910018168e-004°)
1.06169555719872e-001	(1.19299546032281e+002dB,-8.88929389284928e-004°)
1.06414301822431e-001	(1.19299546031914e+002dB,-8.90978581552060e-004°)
1.06659612123026e-001	(1.19299546031545e+002dB,-8.93032497684216e-004°)
1.06905487922266e-001	(1.19299546031175e+002dB,-8.95091148570677e-004°)
1.07151930523760e-001	(1.19299546030803e+002dB,-8.97154545126239e-004°)
1.07398941234124e-001	(1.19299546030429e+002dB,-8.99222698290994e-004°)
1.07646521362983e-001	(1.19299546030054e+002dB,-9.01295619029430e-004°)
1.07894672222983e-001	(1.19299546029676e+002dB,-9.03373318332135e-004°)
1.08143395129794e-001	(1.19299546029297e+002dB,-9.05455807214759e-004°)
1.08392691402120e-001	(1.19299546028917e+002dB,-9.07543096718342e-004°)
1.08642562361706e-001	(1.19299546028534e+002dB,-9.09635197909655e-004°)
1.08893009333343e-001	(1.19299546028150e+002dB,-9.11732121880326e-004°)
1.09144033644875e-001	(1.19299546027764e+002dB,-9.13833879747845e-004°)
1.09395636627209e-001	(1.19299546027376e+002dB,-9.15940482655594e-004°)
1.09647819614318e-001	(1.19299546026987e+002dB,-9.18051941772457e-004°)
1.09900583943252e-001	(1.19299546026595e+002dB,-9.20168268293072e-004°)
1.10153930954141e-001	(1.19299546026202e+002dB,-9.22289473438017e-004°)
1.10407861990207e-001	(1.19299546025807e+002dB,-9.24415568453459e-004°)
1.10662378397766e-001	(1.19299546025410e+002dB,-9.26546564611486e-004°)
1.10917481526240e-001	(1.19299546025011e+002dB,-9.28682473210453e-004°)
1.11173172728159e-001	(1.19299546024611e+002dB,-9.30823305574618e-004°)
1.11429453359173e-001	(1.19299546024209e+002dB,-9.32969073054630e-004°)
1.11686324778056e-001	(1.19299546023804e+002dB,-9.35119787026590e-004°)
1.11943788346715e-001	(1.19299546023398e+002dB,-9.37275458893253e-004°)
1.12201845430196e-001	(1.19299546022990e+002dB,-9.39436100083797e-004°)
1.12460497396692e-001	(1.19299546022580e+002dB,-9.41601722053608e-004°)
1.12719745617551e-001	(1.19299546022169e+002dB,-9.43772336284620e-004°)
1.12979591467279e-001	(1.19299546021755e+002dB,-9.45947954285095e-004°)
1.13240036323555e-001	(1.19299546021340e+002dB,-9.48128587589386e-004°)
1.13501081567231e-001	(1.19299546020922e+002dB,-9.50314247759159e-004°)
1.13762728582343e-001	(1.19299546020503e+002dB,-9.52504946382444e-004°)
1.14024978756117e-001	(1.19299546020081e+002dB,-9.54700695074125e-004°)
1.14287833478977e-001	(1.19299546019658e+002dB,-9.56901505475427e-004°)
1.14551294144553e-001	(1.19299546019233e+002dB,-9.59107389255434e-004°)
1.14815362149688e-001	(1.19299546018806e+002dB,-9.61318358107928e-004°)
1.15080038894443e-001	(1.19299546018377e+002dB,-9.63534423756290e-004°)
1.15345325782109e-001	(1.19299546017945e+002dB,-9.65755597949751e-004°)
1.15611224219209e-001	(1.19299546017512e+002dB,-9.67981892464038e-004°)
1.15877735615512e-001	(1.19299546017077e+002dB,-9.70213319103053e-004°)
1.16144861384034e-001	(1.19299546016640e+002dB,-9.72449889697167e-004°)
1.16412602941049e-001	(1.19299546016201e+002dB,-9.74691616104475e-004°)
1.16680961706096e-001	(1.19299546015760e+002dB,-9.76938510210293e-004°)
1.16949939101987e-001	(1.19299546015316e+002dB,-9.79190583927359e-004°)
1.17219536554813e-001	(1.19299546014871e+002dB,-9.81447849195552e-004°)
1.17489755493952e-001	(1.19299546014424e+002dB,-9.83710317982980e-004°)
1.17760597352080e-001	(1.19299546013975e+002dB,-9.85978002284291e-004°)
1.18032063565172e-001	(1.19299546013523e+002dB,-9.88250914122833e-004°)
1.18304155572516e-001	(1.19299546013070e+002dB,-9.90529065548917e-004°)
1.18576874816716e-001	(1.19299546012614e+002dB,-9.92812468641235e-004°)
1.18850222743701e-001	(1.19299546012156e+002dB,-9.95101135505570e-004°)
1.19124200802737e-001	(1.19299546011696e+002dB,-9.97395078276820e-004°)
1.19398810446427e-001	(1.19299546011234e+002dB,-9.99694309116491e-004°)
1.19674053130724e-001	(1.19299546010770e+002dB,-1.00199884021488e-003°)
1.19949930314937e-001	(1.19299546010304e+002dB,-1.00430868378994e-003°)
1.20226443461741e-001	(1.19299546009836e+002dB,-1.00662385208884e-003°)
1.20503594037179e-001	(1.19299546009365e+002dB,-1.00894435738562e-003°)
1.20781383510677e-001	(1.19299546008892e+002dB,-1.01127021198198e-003°)
1.21059813355048e-001	(1.19299546008417e+002dB,-1.01360142821199e-003°)
1.21338885046497e-001	(1.19299546007940e+002dB,-1.01593801843384e-003°)
1.21618600064636e-001	(1.19299546007461e+002dB,-1.01827999503606e-003°)
