Freq.	V(n014)/-I(V4)
1.00000000000000e-001	(1.19319067469132e+002dB,-4.81470833112543e-004°)
1.00230523807790e-001	(1.19319067469131e+002dB,-4.82580738010380e-004°)
1.00461579027840e-001	(1.19319067469129e+002dB,-4.83693201503249e-004°)
1.00693166885180e-001	(1.19319067469128e+002dB,-4.84808229489322e-004°)
1.00925288607668e-001	(1.19319067469126e+002dB,-4.85925827880367e-004°)
1.01157945425990e-001	(1.19319067469125e+002dB,-4.87046002601778e-004°)
1.01391138573668e-001	(1.19319067469123e+002dB,-4.88168759592610e-004°)
1.01624869287070e-001	(1.19319067469122e+002dB,-4.89294104805609e-004°)
1.01859138805412e-001	(1.19319067469120e+002dB,-4.90422044207244e-004°)
1.02093948370768e-001	(1.19319067469119e+002dB,-4.91552583777736e-004°)
1.02329299228075e-001	(1.19319067469117e+002dB,-4.92685729511095e-004°)
1.02565192625141e-001	(1.19319067469116e+002dB,-4.93821487415145e-004°)
1.02801629812647e-001	(1.19319067469115e+002dB,-4.94959863511563e-004°)
1.03038612044162e-001	(1.19319067469113e+002dB,-4.96100863835905e-004°)
1.03276140576140e-001	(1.19319067469112e+002dB,-4.97244494437641e-004°)
1.03514216667934e-001	(1.19319067469110e+002dB,-4.98390761380187e-004°)
1.03752841581801e-001	(1.19319067469108e+002dB,-4.99539670740936e-004°)
1.03992016582906e-001	(1.19319067469107e+002dB,-5.00691228611291e-004°)
1.04231742939330e-001	(1.19319067469105e+002dB,-5.01845441096697e-004°)
1.04472021922080e-001	(1.19319067469104e+002dB,-5.03002314316674e-004°)
1.04712854805090e-001	(1.19319067469102e+002dB,-5.04161854404849e-004°)
1.04954242865232e-001	(1.19319067469101e+002dB,-5.05324067508987e-004°)
1.05196187382322e-001	(1.19319067469099e+002dB,-5.06488959791027e-004°)
1.05438689639126e-001	(1.19319067469098e+002dB,-5.07656537427112e-004°)
1.05681750921366e-001	(1.19319067469096e+002dB,-5.08826806607622e-004°)
1.05925372517729e-001	(1.19319067469095e+002dB,-5.09999773537208e-004°)
1.06169555719872e-001	(1.19319067469093e+002dB,-5.11175444434824e-004°)
1.06414301822431e-001	(1.19319067469091e+002dB,-5.12353825533760e-004°)
1.06659612123026e-001	(1.19319067469090e+002dB,-5.13534923081675e-004°)
1.06905487922266e-001	(1.19319067469088e+002dB,-5.14718743340630e-004°)
1.07151930523760e-001	(1.19319067469087e+002dB,-5.15905292587124e-004°)
1.07398941234124e-001	(1.19319067469085e+002dB,-5.17094577112121e-004°)
1.07646521362983e-001	(1.19319067469083e+002dB,-5.18286603221090e-004°)
1.07894672222983e-001	(1.19319067469082e+002dB,-5.19481377234035e-004°)
1.08143395129794e-001	(1.19319067469080e+002dB,-5.20678905485529e-004°)
1.08392691402120e-001	(1.19319067469078e+002dB,-5.21879194324747e-004°)
1.08642562361706e-001	(1.19319067469077e+002dB,-5.23082250115501e-004°)
1.08893009333343e-001	(1.19319067469075e+002dB,-5.24288079236274e-004°)
1.09144033644875e-001	(1.19319067469073e+002dB,-5.25496688080251e-004°)
1.09395636627209e-001	(1.19319067469072e+002dB,-5.26708083055355e-004°)
1.09647819614318e-001	(1.19319067469070e+002dB,-5.27922270584283e-004°)
1.09900583943252e-001	(1.19319067469068e+002dB,-5.29139257104536e-004°)
1.10153930954141e-001	(1.19319067469066e+002dB,-5.30359049068455e-004°)
1.10407861990207e-001	(1.19319067469065e+002dB,-5.31581652943256e-004°)
1.10662378397766e-001	(1.19319067469063e+002dB,-5.32807075211064e-004°)
1.10917481526240e-001	(1.19319067469061e+002dB,-5.34035322368943e-004°)
