Freq.	V(n010)/V(n011)
1.00000000000000e-001	(-7.59540553511604e-001dB,-5.90903436911735e-006°)
1.00230523807790e-001	(-7.59540553511603e-001dB,-5.92265609565339e-006°)
1.00461579027840e-001	(-7.59540553511601e-001dB,-5.93630923214120e-006°)
1.00693166885180e-001	(-7.59540553511599e-001dB,-5.94999383971811e-006°)
1.00925288607668e-001	(-7.59540553511603e-001dB,-5.96370999299972e-006°)
1.01157945425990e-001	(-7.59540553511599e-001dB,-5.97745776366523e-006°)
1.01391138573668e-001	(-7.59540553511602e-001dB,-5.99123722555214e-006°)
1.01624869287070e-001	(-7.59540553511602e-001dB,-6.00504845300386e-006°)
1.01859138805412e-001	(-7.59540553511600e-001dB,-6.01889151783233e-006°)
1.02093948370768e-001	(-7.59540553511599e-001dB,-6.03276650139517e-006°)
1.02329299228075e-001	(-7.59540553511600e-001dB,-6.04667346139217e-006°)
1.02565192625141e-001	(-7.59540553511598e-001dB,-6.06061248313855e-006°)
1.02801629812647e-001	(-7.59540553511595e-001dB,-6.07458363202893e-006°)
1.03038612044162e-001	(-7.59540553511596e-001dB,-6.08858699480740e-006°)
1.03276140576140e-001	(-7.59540553511595e-001dB,-6.10262263580206e-006°)
1.03514216667934e-001	(-7.59540553511595e-001dB,-6.11669063595888e-006°)
1.03752841581801e-001	(-7.59540553511594e-001dB,-6.13079107064423e-006°)
1.03992016582906e-001	(-7.59540553511595e-001dB,-6.14492399998515e-006°)
1.04231742939330e-001	(-7.59540553511592e-001dB,-6.15908950988923e-006°)
1.04472021922080e-001	(-7.59540553511595e-001dB,-6.17328768351677e-006°)
1.04712854805090e-001	(-7.59540553511597e-001dB,-6.18751857783263e-006°)
1.04954242865232e-001	(-7.59540553511596e-001dB,-6.20178228283787e-006°)
1.05196187382322e-001	(-7.59540553511634e-001dB,-6.21607886459688e-006°)
1.05438689639126e-001	(-7.59540553511637e-001dB,-6.23040840845614e-006°)
1.05681750921366e-001	(-7.59540553511636e-001dB,-6.24477098027992e-006°)
1.05925372517729e-001	(-7.59540553511634e-001dB,-6.25916666485712e-006°)
1.06169555719872e-001	(-7.59540553511637e-001dB,-6.27359553676219e-006°)
1.06414301822431e-001	(-7.59540553511633e-001dB,-6.28805766393673e-006°)
1.06659612123026e-001	(-7.59540553511635e-001dB,-6.30255314157889e-006°)
1.06905487922266e-001	(-7.59540553511636e-001dB,-6.31708202615769e-006°)
1.07151930523760e-001	(-7.59540553511634e-001dB,-6.33164440308122e-006°)
1.07398941234124e-001	(-7.59540553511630e-001dB,-6.34624035257519e-006°)
1.07646521362983e-001	(-7.59540553511627e-001dB,-6.36086994269840e-006°)
1.07894672222983e-001	(-7.59540553511627e-001dB,-6.37553325976635e-006°)
1.08143395129794e-001	(-7.59540553511627e-001dB,-6.39023038708121e-006°)
1.08392691402120e-001	(-7.59540553511627e-001dB,-6.40496139096286e-006°)
1.08642562361706e-001	(-7.59540553511626e-001dB,-6.41972634925500e-006°)
1.08893009333343e-001	(-7.59540553511630e-001dB,-6.43452534581601e-006°)
1.09144033644875e-001	(-7.59540553511626e-001dB,-6.44935846164045e-006°)
1.09395636627209e-001	(-7.59540553511625e-001dB,-6.46422576655402e-006°)
1.09647819614318e-001	(-7.59540553511624e-001dB,-6.47912734739953e-006°)
1.09900583943252e-001	(-7.59540553511629e-001dB,-6.49406327422601e-006°)
1.10153930954141e-001	(-7.59540553511625e-001dB,-6.50903363969228e-006°)
1.10407861990207e-001	(-7.59540553511627e-001dB,-6.52403851548577e-006°)
1.10662378397766e-001	(-7.59540553511626e-001dB,-6.53907797399998e-006°)
1.10917481526240e-001	(-7.59540553511625e-001dB,-6.55415210361664e-006°)
1.11173172728159e-001	(-7.59540553511625e-001dB,-6.56926098606816e-006°)
1.11429453359173e-001	(-7.59540553511621e-001dB,-6.58440469297215e-006°)
1.11686324778056e-001	(-7.59540553511624e-001dB,-6.59958331865342e-006°)
1.11943788346715e-001	(-7.59540553511622e-001dB,-6.61479693034079e-006°)
1.12201845430196e-001	(-7.59540553511620e-001dB,-6.63004560519410e-006°)
1.12460497396692e-001	(-7.59540553511623e-001dB,-6.64532943984008e-006°)
1.12719745617551e-001	(-7.59540553511623e-001dB,-6.66064850500475e-006°)
1.12979591467279e-001	(-7.59540553511621e-001dB,-6.67600288738231e-006°)
1.13240036323555e-001	(-7.59540553511620e-001dB,-6.69139266212564e-006°)
1.13501081567231e-001	(-7.59540553511620e-001dB,-6.70681791802466e-006°)
1.13762728582343e-001	(-7.59540553511620e-001dB,-6.72227872888626e-006°)
1.14024978756117e-001	(-7.59540553511621e-001dB,-6.73777518365967e-006°)
1.14287833478977e-001	(-7.59540553511621e-001dB,-6.75330735959580e-006°)
1.14551294144553e-001	(-7.59540553511617e-001dB,-6.76887534014602e-006°)
1.14815362149688e-001	(-7.59540553511617e-001dB,-6.78447920897120e-006°)
1.15080038894443e-001	(-7.59540553511615e-001dB,-6.80011905002182e-006°)
1.15345325782109e-001	(-7.59540553511617e-001dB,-6.81579494016353e-006°)
1.15611224219209e-001	(-7.59540553511618e-001dB,-6.83150697106245e-006°)
1.15877735615512e-001	(-7.59540553511616e-001dB,-6.84725522347501e-006°)
1.16144861384034e-001	(-7.59540553511616e-001dB,-6.86303977680135e-006°)
1.16412602941049e-001	(-7.59540553511618e-001dB,-6.87886072240640e-006°)
1.16680961706096e-001	(-7.59540553511615e-001dB,-6.89471812742778e-006°)
1.16949939101987e-001	(-7.59540553511618e-001dB,-6.91061209942266e-006°)
1.17219536554813e-001	(-7.59540553511615e-001dB,-6.92654270226950e-006°)
1.17489755493952e-001	(-7.59540553511614e-001dB,-6.94251003394777e-006°)
1.17760597352080e-001	(-7.59540553511619e-001dB,-6.95851417583892e-006°)
1.18032063565172e-001	(-7.59540553511616e-001dB,-6.97455520335668e-006°)
1.18304155572516e-001	(-7.59540553511612e-001dB,-6.99063321338886e-006°)
1.18576874816716e-001	(-7.59540553511611e-001dB,-7.00674828740709e-006°)
1.18850222743701e-001	(-7.59540553511609e-001dB,-7.02290049854115e-006°)
1.19124200802737e-001	(-7.59540553511611e-001dB,-7.03908996540731e-006°)
1.19398810446427e-001	(-7.59540553511613e-001dB,-7.05531674899733e-006°)
1.19674053130724e-001	(-7.59540553511611e-001dB,-7.07158093555967e-006°)
1.19949930314937e-001	(-7.59540553511607e-001dB,-7.08788261177398e-006°)
1.20226443461741e-001	(-7.59540553511605e-001dB,-7.10422186407324e-006°)
1.20503594037179e-001	(-7.59540553511611e-001dB,-7.12059878239978e-006°)
1.20781383510677e-001	(-7.59540553511606e-001dB,-7.13701346002140e-006°)
1.21059813355048e-001	(-7.59540553511604e-001dB,-7.15346597563494e-006°)
1.21338885046497e-001	(-7.59540553511602e-001dB,-7.16995641660498e-006°)
1.21618600064636e-001	(-7.59540553511603e-001dB,-7.18648487100985e-006°)
1.21898959892486e-001	(-7.59540553511604e-001dB,-7.20305143148155e-006°)
1.22179966016487e-001	(-7.59540553511601e-001dB,-7.21965618254674e-006°)
1.22461619926504e-001	(-7.59540553511603e-001dB,-7.23629921327323e-006°)
1.22743923115840e-001	(-7.59540553511607e-001dB,-7.25298060604811e-006°)
1.23026877081238e-001	(-7.59540553511605e-001dB,-7.26970044557500e-006°)
1.23310483322890e-001	(-7.59540553511600e-001dB,-7.28645884370264e-006°)
1.23594743344450e-001	(-7.59540553511620e-001dB,-7.30325586230815e-006°)
1.23879658653036e-001	(-7.59540553511620e-001dB,-7.32009160268652e-006°)
1.24165230759240e-001	(-7.59540553511624e-001dB,-7.33696615799251e-006°)
1.24451461177138e-001	(-7.59540553511622e-001dB,-7.35387961332126e-006°)
1.24738351424294e-001	(-7.59540553511621e-001dB,-7.37083205705582e-006°)
1.25025903021771e-001	(-7.59540553511618e-001dB,-7.38782357622389e-006°)
1.25314117494141e-001	(-7.59540553511620e-001dB,-7.40485427423900e-006°)
1.25602996369487e-001	(-7.59540553511615e-001dB,-7.42192422141553e-006°)
1.25892541179416e-001	(-7.59540553511620e-001dB,-7.43903353158564e-006°)
1.26182753459066e-001	(-7.59540553511616e-001dB,-7.45618226890534e-006°)
1.26473634747114e-001	(-7.59540553511617e-001dB,-7.47337055061451e-006°)
1.26765186585784e-001	(-7.59540553511618e-001dB,-7.49059843959243e-006°)
1.27057410520853e-001	(-7.59540553511619e-001dB,-7.50786606239253e-006°)
1.27350308101665e-001	(-7.59540553511619e-001dB,-7.52517347484147e-006°)
1.27643880881134e-001	(-7.59540553511617e-001dB,-7.54252078840816e-006°)
1.27938130415752e-001	(-7.59540553511618e-001dB,-7.55990809943060e-006°)
1.28233058265601e-001	(-7.59540553511620e-001dB,-7.57733548925428e-006°)
1.28528665994361e-001	(-7.59540553511615e-001dB,-7.59480305144720e-006°)
1.28824955169313e-001	(-7.59540553511613e-001dB,-7.61231087641607e-006°)
1.29121927361353e-001	(-7.59540553511611e-001dB,-7.62985906023400e-006°)
1.29419584144998e-001	(-7.59540553511611e-001dB,-7.64744770545455e-006°)
1.29717927098395e-001	(-7.59540553511612e-001dB,-7.66507689282598e-006°)
1.30016957803328e-001	(-7.59540553511610e-001dB,-7.68274671941397e-006°)
1.30316677845229e-001	(-7.59540553511612e-001dB,-7.70045728326686e-006°)
1.30617088813183e-001	(-7.59540553511611e-001dB,-7.71820867059265e-006°)
1.30918192299940e-001	(-7.59540553511609e-001dB,-7.73600097507457e-006°)
1.31219989901919e-001	(-7.59540553511609e-001dB,-7.75383430080677e-006°)
1.31522483219223e-001	(-7.59540553511604e-001dB,-7.77170873580556e-006°)
1.31825673855640e-001	(-7.59540553511607e-001dB,-7.78962437339924e-006°)
1.32129563418657e-001	(-7.59540553511626e-001dB,-7.80758131125589e-006°)
1.32434153519466e-001	(-7.59540553511624e-001dB,-7.82557964309849e-006°)
1.32739445772973e-001	(-7.59540553511624e-001dB,-7.84361946727769e-006°)
1.33045441797808e-001	(-7.59540553511625e-001dB,-7.86170088427181e-006°)
1.33352143216331e-001	(-7.59540553511627e-001dB,-7.87982397044219e-006°)
1.33659551654643e-001	(-7.59540553511627e-001dB,-7.89798884400762e-006°)
1.33967668742593e-001	(-7.59540553511619e-001dB,-7.91619558990183e-006°)
1.34276496113785e-001	(-7.59540553511625e-001dB,-7.93444430500558e-006°)
1.34586035405594e-001	(-7.59540553511623e-001dB,-7.95273509005080e-006°)
1.34896288259164e-001	(-7.59540553511621e-001dB,-7.97106803652361e-006°)
1.35207256319427e-001	(-7.59540553511620e-001dB,-7.98944324614578e-006°)
1.35518941235103e-001	(-7.59540553511621e-001dB,-8.00786081268704e-006°)
1.35831344658714e-001	(-7.59540553511620e-001dB,-8.02632083895321e-006°)
1.36144468246594e-001	(-7.59540553511618e-001dB,-8.04482342083731e-006°)
1.36458313658891e-001	(-7.59540553511617e-001dB,-8.06336864817688e-006°)
1.36772882559584e-001	(-7.59540553511618e-001dB,-8.08195664333018e-006°)
1.37088176616484e-001	(-7.59540553511619e-001dB,-8.10058747405761e-006°)
1.37404197501250e-001	(-7.59540553511617e-001dB,-8.11926125617557e-006°)
1.37720946889394e-001	(-7.59540553511615e-001dB,-8.13797808277727e-006°)
1.38038426460287e-001	(-7.59540553511618e-001dB,-8.15673806438049e-006°)
1.38356637897177e-001	(-7.59540553511614e-001dB,-8.17554128068155e-006°)
1.38675582887188e-001	(-7.59540553511614e-001dB,-8.19438784585615e-006°)
1.38995263121334e-001	(-7.59540553511614e-001dB,-8.21327786979575e-006°)
1.39315680294529e-001	(-7.59540553511611e-001dB,-8.23221142850647e-006°)
1.39636836105593e-001	(-7.59540553511612e-001dB,-8.25118864415915e-006°)
1.39958732257261e-001	(-7.59540553511631e-001dB,-8.27020958831221e-006°)
1.40281370456195e-001	(-7.59540553511631e-001dB,-8.28927439513695e-006°)
1.40604752412990e-001	(-7.59540553511626e-001dB,-8.30838314249031e-006°)
1.40928879842186e-001	(-7.59540553511631e-001dB,-8.32753595081589e-006°)
1.41253754462274e-001	(-7.59540553511625e-001dB,-8.34673289549215e-006°)
1.41579377995707e-001	(-7.59540553511625e-001dB,-8.36597410080584e-006°)
1.41905752168908e-001	(-7.59540553511627e-001dB,-8.38525966822934e-006°)
1.42232878712281e-001	(-7.59540553511627e-001dB,-8.40458968799429e-006°)
1.42560759360218e-001	(-7.59540553511627e-001dB,-8.42396426964659e-006°)
1.42889395851109e-001	(-7.59540553511630e-001dB,-8.44338351449925e-006°)
1.43218789927353e-001	(-7.59540553511627e-001dB,-8.46284752248480e-006°)
1.43548943335364e-001	(-7.59540553511624e-001dB,-8.48235639858878e-006°)
1.43879857825583e-001	(-7.59540553511622e-001dB,-8.50191024472313e-006°)
1.44211535152486e-001	(-7.59540553511623e-001dB,-8.52150917948467e-006°)
1.44543977074591e-001	(-7.59540553511623e-001dB,-8.54115328446583e-006°)
1.44877185354475e-001	(-7.59540553511621e-001dB,-8.56084268019323e-006°)
1.45211161758773e-001	(-7.59540553511621e-001dB,-8.58057745801918e-006°)
1.45545908058195e-001	(-7.59540553511622e-001dB,-8.60035772907508e-006°)
1.45881426027534e-001	(-7.59540553511617e-001dB,-8.62018360293404e-006°)
1.46217717445671e-001	(-7.59540553511620e-001dB,-8.64005517077607e-006°)
1.46554784095590e-001	(-7.59540553511619e-001dB,-8.65997256648228e-006°)
1.46892627764385e-001	(-7.59540553511614e-001dB,-8.67993585928090e-006°)
1.47231250243271e-001	(-7.59540553511636e-001dB,-8.69994517279957e-006°)
1.47570653327588e-001	(-7.59540553511638e-001dB,-8.72000062595518e-006°)
1.47910838816819e-001	(-7.59540553511634e-001dB,-8.74010230338653e-006°)
1.48251808514594e-001	(-7.59540553511634e-001dB,-8.76025031549443e-006°)
1.48593564228699e-001	(-7.59540553511635e-001dB,-8.78044477836265e-006°)
1.48936107771090e-001	(-7.59540553511631e-001dB,-8.80068579283233e-006°)
1.49279440957898e-001	(-7.59540553511630e-001dB,-8.82097347251559e-006°)
1.49623565609442e-001	(-7.59540553511632e-001dB,-8.84130791569644e-006°)
1.49968483550236e-001	(-7.59540553511629e-001dB,-8.86168923567852e-006°)
1.50314196609001e-001	(-7.59540553511630e-001dB,-8.88211753298175e-006°)
1.50660706618673e-001	(-7.59540553511627e-001dB,-8.90259292998096e-006°)
1.51008015416413e-001	(-7.59540553511629e-001dB,-8.92311553173109e-006°)
1.51356124843619e-001	(-7.59540553511625e-001dB,-8.94368543155162e-006°)
1.51705036745932e-001	(-7.59540553511624e-001dB,-8.96430276482048e-006°)
1.52054752973248e-001	(-7.59540553511625e-001dB,-8.98496760880437e-006°)
1.52405275379728e-001	(-7.59540553511626e-001dB,-9.00568010572215e-006°)
1.52756605823806e-001	(-7.59540553511620e-001dB,-9.02644033822133e-006°)
1.53108746168202e-001	(-7.59540553511623e-001dB,-9.04724842738160e-006°)
1.53461698279928e-001	(-7.59540553511622e-001dB,-9.06810449614330e-006°)
