Freq.	V(n010)/V(n011)
1.00000000000000e-001	(-2.35824253856860e-002dB,-6.62349705828459e-005°)
1.00230523807790e-001	(-2.35824253853553e-002dB,-6.63876578789813e-005°)
1.00461579027840e-001	(-2.35824253854646e-002dB,-6.65406971551302e-005°)
1.00693166885180e-001	(-2.35824253852335e-002dB,-6.66940892254525e-005°)
1.00925288607668e-001	(-2.35824253850372e-002dB,-6.68478349132083e-005°)
1.01157945425990e-001	(-2.35824253848544e-002dB,-6.70019349983248e-005°)
1.01391138573668e-001	(-2.35824253845914e-002dB,-6.71563903430604e-005°)
1.01624869287070e-001	(-2.35824253841601e-002dB,-6.73112017278260e-005°)
1.01859138805412e-001	(-2.35824253840538e-002dB,-6.74663700013796e-005°)
1.02093948370768e-001	(-2.35824253839803e-002dB,-6.76218959597463e-005°)
1.02329299228075e-001	(-2.35824253835084e-002dB,-6.77777804570196e-005°)
1.02565192625141e-001	(-2.35824253834755e-002dB,-6.79340242993115e-005°)
1.02801629812647e-001	(-2.35824253831120e-002dB,-6.80906283229840e-005°)
1.03038612044162e-001	(-2.35824253828345e-002dB,-6.82475933647635e-005°)
1.03276140576140e-001	(-2.35824253827600e-002dB,-6.84049202332714e-005°)
1.03514216667934e-001	(-2.35824253824757e-002dB,-6.85626097769391e-005°)
1.03752841581801e-001	(-2.35824253822079e-002dB,-6.87206628481934e-005°)
1.03992016582906e-001	(-2.35824253819159e-002dB,-6.88790802664589e-005°)
1.04231742939330e-001	(-2.35824253817070e-002dB,-6.90378628692758e-005°)
1.04472021922080e-001	(-2.35824253815745e-002dB,-6.91970114935494e-005°)
1.04712854805090e-001	(-2.35824253813038e-002dB,-6.93565270098341e-005°)
1.04954242865232e-001	(-2.35824253811084e-002dB,-6.95164102420592e-005°)
1.05196187382322e-001	(-2.35824253810630e-002dB,-6.96766620400329e-005°)
1.05438689639126e-001	(-2.35824253805641e-002dB,-6.98372832672079e-005°)
1.05681750921366e-001	(-2.35824253805051e-002dB,-6.99982747508535e-005°)
1.05925372517729e-001	(-2.35824253801164e-002dB,-7.01596373727676e-005°)
1.06169555719872e-001	(-2.35824253800622e-002dB,-7.03213719592009e-005°)
1.06414301822431e-001	(-2.35824253796716e-002dB,-7.04834793941121e-005°)
1.06659612123026e-001	(-2.35824253794202e-002dB,-7.06459605156431e-005°)
1.06905487922266e-001	(-2.35824253794453e-002dB,-7.08088162040053e-005°)
1.07151930523760e-001	(-2.35824253791871e-002dB,-7.09720473030446e-005°)
1.07398941234124e-001	(-2.35824253789048e-002dB,-7.11356547068568e-005°)
1.07646521362983e-001	(-2.35824253787056e-002dB,-7.12996392530695e-005°)
1.07894672222983e-001	(-2.35824253781805e-002dB,-7.14640018112637e-005°)
1.08143395129794e-001	(-2.35824253779243e-002dB,-7.16287432792082e-005°)
1.08392691402120e-001	(-2.35824253778643e-002dB,-7.17938645159224e-005°)
1.08642562361706e-001	(-2.35824253777203e-002dB,-7.19593663991135e-005°)
1.08893009333343e-001	(-2.35824253773006e-002dB,-7.21252497923500e-005°)
1.09144033644875e-001	(-2.35824253772697e-002dB,-7.22915156028361e-005°)
1.09395636627209e-001	(-2.35824253768510e-002dB,-7.24581646666754e-005°)
1.09647819614318e-001	(-2.35824253765764e-002dB,-7.26251979241337e-005°)
1.09900583943252e-001	(-2.35824253765125e-002dB,-7.27926162307537e-005°)
1.10153930954141e-001	(-2.35824253762370e-002dB,-7.29604204679697e-005°)
1.10407861990207e-001	(-2.35824253759266e-002dB,-7.31286115260925e-005°)
1.10662378397766e-001	(-2.35824253757129e-002dB,-7.32971903247263e-005°)
1.10917481526240e-001	(-2.35824253751656e-002dB,-7.34661577259014e-005°)
1.11173172728159e-001	(-2.35824253749461e-002dB,-7.36355146406928e-005°)
1.11429453359173e-001	(-2.35824253747624e-002dB,-7.38052619631913e-005°)
1.11686324778056e-001	(-2.35824253746541e-002dB,-7.39754005899133e-005°)
1.11943788346715e-001	(-2.35824253741754e-002dB,-7.41459314316852e-005°)
1.12201845430196e-001	(-2.35824253741261e-002dB,-7.43168553829150e-005°)
1.12460497396692e-001	(-2.35824253737036e-002dB,-7.44881733564493e-005°)
1.12719745617551e-001	(-2.35824253734164e-002dB,-7.46598862615819e-005°)
1.12979591467279e-001	(-2.35824253733516e-002dB,-7.48319950039160e-005°)
1.13240036323555e-001	(-2.35824253730683e-002dB,-7.50045005031952e-005°)
1.13501081567231e-001	(-2.35824253727588e-002dB,-7.51774036700902e-005°)
1.13762728582343e-001	(-2.35824253725442e-002dB,-7.53507054063831e-005°)
1.14024978756117e-001	(-2.35824253723518e-002dB,-7.55244066552245e-005°)
1.14287833478977e-001	(-2.35824253720839e-002dB,-7.56985083313198e-005°)
1.14551294144553e-001	(-2.35824253715386e-002dB,-7.58730113417400e-005°)
1.14815362149688e-001	(-2.35824253714380e-002dB,-7.60479166365270e-005°)
1.15080038894443e-001	(-2.35824253710183e-002dB,-7.62232251138239e-005°)
1.15345325782109e-001	(-2.35824253709294e-002dB,-7.63989377165419e-005°)
1.15611224219209e-001	(-2.35824253705107e-002dB,-7.65750554031159e-005°)
1.15877735615512e-001	(-2.35824253702370e-002dB,-7.67515790524666e-005°)
1.16144861384034e-001	(-2.35824253698290e-002dB,-7.69285096552985e-005°)
1.16412602941049e-001	(-2.35824253695611e-002dB,-7.71058481160635e-005°)
1.16680961706096e-001	(-2.35824253692720e-002dB,-7.72835953875230e-005°)
1.16949939101987e-001	(-2.35824253690168e-002dB,-7.74617524126410e-005°)
1.17219536554813e-001	(-2.35824253687876e-002dB,-7.76403201125088e-005°)
1.17489755493952e-001	(-2.35824253685990e-002dB,-7.78192994803196e-005°)
1.17760597352080e-001	(-2.35824253684395e-002dB,-7.79986914149134e-005°)
1.18032063565172e-001	(-2.35824253680111e-002dB,-7.81784969058974e-005°)
1.18304155572516e-001	(-2.35824253676176e-002dB,-7.83587168886836e-005°)
1.18576874816716e-001	(-2.35824253675547e-002dB,-7.85393523223674e-005°)
1.18850222743701e-001	(-2.35824253671708e-002dB,-7.87204041586957e-005°)
1.19124200802737e-001	(-2.35824253668150e-002dB,-7.89018733669955e-005°)
1.19398810446427e-001	(-2.35824253664998e-002dB,-7.90837608965192e-005°)
1.19674053130724e-001	(-2.35824253662184e-002dB,-7.92660677370421e-005°)
1.19949930314937e-001	(-2.35824253660743e-002dB,-7.94487948205989e-005°)
1.20226443461741e-001	(-2.35824253658026e-002dB,-7.96319431444197e-005°)
1.20503594037179e-001	(-2.35824253652698e-002dB,-7.98155136774043e-005°)
1.20781383510677e-001	(-2.35824253651209e-002dB,-7.99995073754388e-005°)
1.21059813355048e-001	(-2.35824253647080e-002dB,-8.01839252173593e-005°)
1.21338885046497e-001	(-2.35824253642710e-002dB,-8.03687681988146e-005°)
1.21618600064636e-001	(-2.35824253642729e-002dB,-8.05540372631115e-005°)
1.21898959892486e-001	(-2.35824253638552e-002dB,-8.07397334447362e-005°)
1.22179966016487e-001	(-2.35824253635767e-002dB,-8.09258576753826e-005°)
1.22461619926504e-001	(-2.35824253633350e-002dB,-8.11124109813439e-005°)
1.22743923115840e-001	(-2.35824253627219e-002dB,-8.12993943383134e-005°)
1.23026877081238e-001	(-2.35824253624405e-002dB,-8.14868087415693e-005°)
1.23310483322890e-001	(-2.35824253622539e-002dB,-8.16746551746899e-005°)
1.23594743344450e-001	(-2.35824253620973e-002dB,-8.18629346259724e-005°)
