Freq.	V(n002)/-I(V4)
1.00000000000000e-001	(6.73822436802408e+001dB,-1.25878383261868e-004°)
1.00230523807790e-001	(6.73822436802407e+001dB,-1.26168562904147e-004°)
1.00461579027840e-001	(6.73822436802406e+001dB,-1.26459411479586e-004°)
1.00693166885180e-001	(6.73822436802405e+001dB,-1.26750930530237e-004°)
1.00925288607668e-001	(6.73822436802404e+001dB,-1.27043121601704e-004°)
1.01157945425990e-001	(6.73822436802406e+001dB,-1.27335986243159e-004°)
1.01391138573668e-001	(6.73822436802405e+001dB,-1.27629526007332e-004°)
1.01624869287070e-001	(6.73822436802404e+001dB,-1.27923742450548e-004°)
1.01859138805412e-001	(6.73822436802403e+001dB,-1.28218637132711e-004°)
1.02093948370768e-001	(6.73822436802405e+001dB,-1.28514211617329e-004°)
1.02329299228075e-001	(6.73822436802404e+001dB,-1.28810467471500e-004°)
1.02565192625141e-001	(6.73822436802403e+001dB,-1.29107406265946e-004°)
1.02801629812647e-001	(6.73822436802402e+001dB,-1.29405029575008e-004°)
1.03038612044162e-001	(6.73822436802404e+001dB,-1.29703338976659e-004°)
1.03276140576140e-001	(6.73822436802403e+001dB,-1.30002336052498e-004°)
1.03514216667934e-001	(6.73822436802402e+001dB,-1.30302022387781e-004°)
1.03752841581801e-001	(6.73822436802401e+001dB,-1.30602399571416e-004°)
1.03992016582906e-001	(6.73822436802403e+001dB,-1.30903469195976e-004°)
1.04231742939330e-001	(6.73822436802402e+001dB,-1.31205232857695e-004°)
1.04472021922080e-001	(6.73822436802401e+001dB,-1.31507692156497e-004°)
1.04712854805090e-001	(6.73822436802400e+001dB,-1.31810848695992e-004°)
1.04954242865232e-001	(6.73822436802398e+001dB,-1.32114704083486e-004°)
1.05196187382322e-001	(6.73822436802395e+001dB,-1.32419259929984e-004°)
1.05438689639126e-001	(6.73822436802393e+001dB,-1.32724517850221e-004°)
1.05681750921366e-001	(6.73822436802392e+001dB,-1.33030479462639e-004°)
1.05925372517729e-001	(6.73822436802394e+001dB,-1.33337146389421e-004°)
1.06169555719872e-001	(6.73822436802393e+001dB,-1.33644520256475e-004°)
1.06414301822431e-001	(6.73822436802392e+001dB,-1.33952602693472e-004°)
1.06659612123026e-001	(6.73822436802391e+001dB,-1.34261395333834e-004°)
1.06905487922266e-001	(6.73822436802390e+001dB,-1.34570899814748e-004°)
1.07151930523760e-001	(6.73822436802389e+001dB,-1.34881117777177e-004°)
1.07398941234124e-001	(6.73822436802388e+001dB,-1.35192050865865e-004°)
1.07646521362983e-001	(6.73822436802387e+001dB,-1.35503700729349e-004°)
1.07894672222983e-001	(6.73822436802385e+001dB,-1.35816069019966e-004°)
1.08143395129794e-001	(6.73822436802384e+001dB,-1.36129157393860e-004°)
1.08392691402120e-001	(6.73822436802383e+001dB,-1.36442967510996e-004°)
1.08642562361706e-001	(6.73822436802382e+001dB,-1.36757501035163e-004°)
1.08893009333343e-001	(6.73822436802381e+001dB,-1.37072759633986e-004°)
1.09144033644875e-001	(6.73822436802380e+001dB,-1.37388744978936e-004°)
1.09395636627209e-001	(6.73822436802378e+001dB,-1.37705458745336e-004°)
1.09647819614318e-001	(6.73822436802378e+001dB,-1.38022902612369e-004°)
1.09900583943252e-001	(6.73822436802379e+001dB,-1.38341078263096e-004°)
1.10153930954141e-001	(6.73822436802378e+001dB,-1.38659987384445e-004°)
1.10407861990207e-001	(6.73822436802377e+001dB,-1.38979631667243e-004°)
1.10662378397766e-001	(6.73822436802378e+001dB,-1.39300012806219e-004°)
1.10917481526240e-001	(6.73822436802377e+001dB,-1.39621132499990e-004°)
1.11173172728159e-001	(6.73822436802376e+001dB,-1.39942992451107e-004°)
1.11429453359173e-001	(6.73822436802378e+001dB,-1.40265594366044e-004°)
1.11686324778056e-001	(6.73822436802377e+001dB,-1.40588939955195e-004°)
1.11943788346715e-001	(6.73822436802375e+001dB,-1.40913030932910e-004°)
1.12201845430196e-001	(6.73822436802374e+001dB,-1.41237869017487e-004°)
1.12460497396692e-001	(6.73822436802376e+001dB,-1.41563455931191e-004°)
1.12719745617551e-001	(6.73822436802375e+001dB,-1.41889793400241e-004°)
1.12979591467279e-001	(6.73822436802376e+001dB,-1.42216883154856e-004°)
1.13240036323555e-001	(6.73822436802372e+001dB,-1.42544726929219e-004°)
1.13501081567231e-001	(6.73822436802374e+001dB,-1.42873326461543e-004°)
1.13762728582343e-001	(6.73822436802372e+001dB,-1.43202683494017e-004°)
1.14024978756117e-001	(6.73822436802371e+001dB,-1.43532799772864e-004°)
1.14287833478977e-001	(6.73822436802370e+001dB,-1.43863677048327e-004°)
1.14551294144553e-001	(6.73822436802369e+001dB,-1.44195317074684e-004°)
1.14815362149688e-001	(6.73822436802367e+001dB,-1.44527721610258e-004°)
1.15080038894443e-001	(6.73822436802366e+001dB,-1.44860892417425e-004°)
1.15345325782109e-001	(6.73822436802368e+001dB,-1.45194831262627e-004°)
1.15611224219209e-001	(6.73822436802366e+001dB,-1.45529539916366e-004°)
1.15877735615512e-001	(6.73822436802362e+001dB,-1.45865020153235e-004°)
1.16144861384034e-001	(6.73822436802361e+001dB,-1.46201273751924e-004°)
1.16412602941049e-001	(6.73822436802360e+001dB,-1.46538302495213e-004°)
1.16680961706096e-001	(6.73822436802358e+001dB,-1.46876108169994e-004°)
1.16949939101987e-001	(6.73822436802360e+001dB,-1.47214692567285e-004°)
1.17219536554813e-001	(6.73822436802359e+001dB,-1.47554057482216e-004°)
1.17489755493952e-001	(6.73822436802357e+001dB,-1.47894204714071e-004°)
1.17760597352080e-001	(6.73822436802359e+001dB,-1.48235136066282e-004°)
1.18032063565172e-001	(6.73822436802357e+001dB,-1.48576853346423e-004°)
1.18304155572516e-001	(6.73822436802356e+001dB,-1.48919358366250e-004°)
1.18576874816716e-001	(6.73822436802358e+001dB,-1.49262652941696e-004°)
1.18850222743701e-001	(6.73822436802356e+001dB,-1.49606738892864e-004°)
1.19124200802737e-001	(6.73822436802358e+001dB,-1.49951618044074e-004°)
1.19398810446427e-001	(6.73822436802356e+001dB,-1.50297292223830e-004°)
1.19674053130724e-001	(6.73822436802355e+001dB,-1.50643763264868e-004°)
1.19949930314937e-001	(6.73822436802356e+001dB,-1.50991033004148e-004°)
1.20226443461741e-001	(6.73822436802355e+001dB,-1.51339103282849e-004°)
1.20503594037179e-001	(6.73822436802354e+001dB,-1.51687975946410e-004°)
1.20781383510677e-001	(6.73822436802355e+001dB,-1.52037652844524e-004°)
1.21059813355048e-001	(6.73822436802348e+001dB,-1.52388135831125e-004°)
1.21338885046497e-001	(6.73822436802347e+001dB,-1.52739426764461e-004°)
1.21618600064636e-001	(6.73822436802345e+001dB,-1.53091527507033e-004°)
1.21898959892486e-001	(6.73822436802347e+001dB,-1.53444439925650e-004°)
1.22179966016487e-001	(6.73822436802345e+001dB,-1.53798165891407e-004°)
1.22461619926504e-001	(6.73822436802344e+001dB,-1.54152707279729e-004°)
1.22743923115840e-001	(6.73822436802345e+001dB,-1.54508065970365e-004°)
1.23026877081238e-001	(6.73822436802344e+001dB,-1.54864243847381e-004°)
1.23310483322890e-001	(6.73822436802342e+001dB,-1.55221242799201e-004°)
1.23594743344450e-001	(6.73822436802341e+001dB,-1.55579064718599e-004°)
1.23879658653036e-001	(6.73822436802339e+001dB,-1.55937711502711e-004°)
1.24165230759240e-001	(6.73822436802341e+001dB,-1.56297185053051e-004°)
1.24451461177138e-001	(6.73822436802339e+001dB,-1.56657487275502e-004°)
1.24738351424294e-001	(6.73822436802340e+001dB,-1.57018620080361e-004°)
1.25025903021771e-001	(6.73822436802339e+001dB,-1.57380585382307e-004°)
1.25314117494141e-001	(6.73822436802337e+001dB,-1.57743385100451e-004°)
1.25602996369487e-001	(6.73822436802339e+001dB,-1.58107021158325e-004°)
1.25892541179416e-001	(6.73822436802334e+001dB,-1.58471495483876e-004°)
1.26182753459066e-001	(6.73822436802333e+001dB,-1.58836810009525e-004°)
1.26473634747114e-001	(6.73822436802334e+001dB,-1.59202966672134e-004°)
1.26765186585784e-001	(6.73822436802333e+001dB,-1.59569967413020e-004°)
1.27057410520853e-001	(6.73822436802331e+001dB,-1.59937814177987e-004°)
1.27350308101665e-001	(6.73822436802332e+001dB,-1.60306508917330e-004°)
1.27643880881134e-001	(6.73822436802331e+001dB,-1.60676053585820e-004°)
1.27938130415752e-001	(6.73822436802332e+001dB,-1.61046450142756e-004°)
1.28233058265601e-001	(6.73822436802325e+001dB,-1.61417700551923e-004°)
1.28528665994361e-001	(6.73822436802323e+001dB,-1.61789806781681e-004°)
1.28824955169313e-001	(6.73822436802322e+001dB,-1.62162770804888e-004°)
1.29121927361353e-001	(6.73822436802323e+001dB,-1.62536594598968e-004°)
1.29419584144998e-001	(6.73822436802321e+001dB,-1.62911280145888e-004°)
1.29717927098395e-001	(6.73822436802323e+001dB,-1.63286829432203e-004°)
1.30016957803328e-001	(6.73822436802321e+001dB,-1.63663244449028e-004°)
1.30316677845229e-001	(6.73822436802319e+001dB,-1.64040527192082e-004°)
1.30617088813183e-001	(6.73822436802318e+001dB,-1.64418679661682e-004°)
1.30918192299940e-001	(6.73822436802316e+001dB,-1.64797703862754e-004°)
1.31219989901919e-001	(6.73822436802317e+001dB,-1.65177601804852e-004°)
1.31522483219223e-001	(6.73822436802316e+001dB,-1.65558375502147e-004°)
1.31825673855640e-001	(6.73822436802317e+001dB,-1.65940026973473e-004°)
1.32129563418657e-001	(6.73822436802315e+001dB,-1.66322558242298e-004°)
1.32434153519466e-001	(6.73822436802316e+001dB,-1.66705971336775e-004°)
1.32739445772973e-001	(6.73822436802309e+001dB,-1.67090268289701e-004°)
1.33045441797808e-001	(6.73822436802307e+001dB,-1.67475451138606e-004°)
1.33352143216331e-001	(6.73822436802311e+001dB,-1.67861521925694e-004°)
1.33659551654643e-001	(6.73822436802309e+001dB,-1.68248482697849e-004°)
1.33967668742593e-001	(6.73822436802310e+001dB,-1.68636335506716e-004°)
1.34276496113785e-001	(6.73822436802309e+001dB,-1.69025082408641e-004°)
1.34586035405594e-001	(6.73822436802307e+001dB,-1.69414725464728e-004°)
1.34896288259164e-001	(6.73822436802305e+001dB,-1.69805266740824e-004°)
1.35207256319427e-001	(6.73822436802303e+001dB,-1.70196708307541e-004°)
1.35518941235103e-001	(6.73822436802305e+001dB,-1.70589052240267e-004°)
1.35831344658714e-001	(6.73822436802303e+001dB,-1.70982300619162e-004°)
1.36144468246594e-001	(6.73822436802301e+001dB,-1.71376455529194e-004°)
1.36458313658891e-001	(6.73822436802299e+001dB,-1.71771519060133e-004°)
1.36772882559584e-001	(6.73822436802297e+001dB,-1.72167493306567e-004°)
1.37088176616484e-001	(6.73822436802298e+001dB,-1.72564380367917e-004°)
1.37404197501250e-001	(6.73822436802297e+001dB,-1.72962182348428e-004°)
1.37720946889394e-001	(6.73822436802298e+001dB,-1.73360901357218e-004°)
1.38038426460287e-001	(6.73822436802296e+001dB,-1.73760539508243e-004°)
1.38356637897177e-001	(6.73822436802297e+001dB,-1.74161098920357e-004°)
1.38675582887188e-001	(6.73822436802295e+001dB,-1.74562581717275e-004°)
1.38995263121334e-001	(6.73822436802296e+001dB,-1.74964990027629e-004°)
1.39315680294529e-001	(6.73822436802289e+001dB,-1.75368325984927e-004°)
1.39636836105593e-001	(6.73822436802287e+001dB,-1.75772591727642e-004°)
1.39958732257261e-001	(6.73822436802288e+001dB,-1.76177789399148e-004°)
1.40281370456195e-001	(6.73822436802286e+001dB,-1.76583921147748e-004°)
1.40604752412990e-001	(6.73822436802287e+001dB,-1.76990989126725e-004°)
1.40928879842186e-001	(6.73822436802285e+001dB,-1.77398995494303e-004°)
1.41253754462274e-001	(6.73822436802286e+001dB,-1.77807942413701e-004°)
1.41579377995707e-001	(6.73822436802278e+001dB,-1.78217832053092e-004°)
1.41905752168908e-001	(6.73822436802276e+001dB,-1.78628666585699e-004°)
1.42232878712281e-001	(6.73822436802277e+001dB,-1.79040448189720e-004°)
1.42560759360218e-001	(6.73822436802275e+001dB,-1.79453179048368e-004°)
1.42889395851109e-001	(6.73822436802276e+001dB,-1.79866861349915e-004°)
1.43218789927353e-001	(6.73822436802274e+001dB,-1.80281497287647e-004°)
1.43548943335364e-001	(6.73822436802275e+001dB,-1.80697089059939e-004°)
1.43879857825583e-001	(6.73822436802273e+001dB,-1.81113638870203e-004°)
1.44211535152486e-001	(6.73822436802271e+001dB,-1.81531148926951e-004°)
1.44543977074591e-001	(6.73822436802272e+001dB,-1.81949621443785e-004°)
1.44877185354475e-001	(6.73822436802270e+001dB,-1.82369058639394e-004°)
1.45211161758773e-001	(6.73822436802268e+001dB,-1.82789462737598e-004°)
1.45545908058195e-001	(6.73822436802266e+001dB,-1.83210835967336e-004°)
1.45881426027534e-001	(6.73822436802264e+001dB,-1.83633180562690e-004°)
1.46217717445671e-001	(6.73822436802264e+001dB,-1.84056498762892e-004°)
1.46554784095590e-001	(6.73822436802262e+001dB,-1.84480792812322e-004°)
1.46892627764385e-001	(6.73822436802263e+001dB,-1.84906064960558e-004°)
1.47231250243271e-001	(6.73822436802261e+001dB,-1.85332317462336e-004°)
