Freq.	V(n002)/-I(V4)
1.00000000000000e-001	(1.10783792061540e+002dB,-1.65644947307656e-003°)
1.00230523807790e-001	(1.10783792061523e+002dB,-1.66026798347389e-003°)
1.00461579027840e-001	(1.10783792061506e+002dB,-1.66409529644674e-003°)
1.00693166885180e-001	(1.10783792061531e+002dB,-1.66793143229518e-003°)
1.00925288607668e-001	(1.10783792061514e+002dB,-1.67177641134207e-003°)
1.01157945425990e-001	(1.10783792061497e+002dB,-1.67563025398105e-003°)
1.01391138573668e-001	(1.10783792061480e+002dB,-1.67949298064480e-003°)
1.01624869287070e-001	(1.10783792061463e+002dB,-1.68336461181315e-003°)
1.01859138805412e-001	(1.10783792061446e+002dB,-1.68724516801304e-003°)
1.02093948370768e-001	(1.10783792061428e+002dB,-1.69113466981886e-003°)
1.02329299228075e-001	(1.10783792061411e+002dB,-1.69503313785229e-003°)
1.02565192625141e-001	(1.10783792061393e+002dB,-1.69894059278270e-003°)
1.02801629812647e-001	(1.10783792061376e+002dB,-1.70285705532697e-003°)
1.03038612044162e-001	(1.10783792061358e+002dB,-1.70678254624982e-003°)
1.03276140576140e-001	(1.10783792061340e+002dB,-1.71071708636379e-003°)
1.03514216667934e-001	(1.10783792061322e+002dB,-1.71466069652943e-003°)
1.03752841581801e-001	(1.10783792061304e+002dB,-1.71861339765538e-003°)
1.03992016582906e-001	(1.10783792061286e+002dB,-1.72257521069848e-003°)
1.04231742939330e-001	(1.10783792061268e+002dB,-1.72654615666382e-003°)
1.04472021922080e-001	(1.10783792061250e+002dB,-1.73052625660499e-003°)
1.04712854805090e-001	(1.10783792061232e+002dB,-1.73451553162411e-003°)
1.04954242865232e-001	(1.10783792061213e+002dB,-1.73851400287188e-003°)
1.05196187382322e-001	(1.10783792061195e+002dB,-1.74252169154776e-003°)
1.05438689639126e-001	(1.10783792061176e+002dB,-1.74653861890019e-003°)
1.05681750921366e-001	(1.10783792061158e+002dB,-1.75056480622654e-003°)
1.05925372517729e-001	(1.10783792061139e+002dB,-1.75460027487315e-003°)
1.06169555719872e-001	(1.10783792061120e+002dB,-1.75864504623576e-003°)
1.06414301822431e-001	(1.10783792061101e+002dB,-1.76269914175930e-003°)
1.06659612123026e-001	(1.10783792061124e+002dB,-1.76676258294667e-003°)
1.06905487922266e-001	(1.10783792061105e+002dB,-1.77083539132492e-003°)
1.07151930523760e-001	(1.10783792061086e+002dB,-1.77491758849608e-003°)
1.07398941234124e-001	(1.10783792061067e+002dB,-1.77900919610357e-003°)
1.07646521362983e-001	(1.10783792061047e+002dB,-1.78311023584073e-003°)
1.07894672222983e-001	(1.10783792061028e+002dB,-1.78722072945083e-003°)
1.08143395129794e-001	(1.10783792061008e+002dB,-1.79134069872731e-003°)
1.08392691402120e-001	(1.10783792060989e+002dB,-1.79547016551378e-003°)
1.08642562361706e-001	(1.10783792060969e+002dB,-1.79960915170435e-003°)
1.08893009333343e-001	(1.10783792060949e+002dB,-1.80375767924347e-003°)
1.09144033644875e-001	(1.10783792060929e+002dB,-1.80791577012623e-003°)
