v1	V(vout)
1.000000000000000e+000	-2.716618e-004
1.100000000000000e+000	-2.568772e-004
1.200000000000000e+000	-2.420813e-004
1.300000000000000e+000	-2.267739e-004
1.400000000000000e+000	-2.004455e-004
1.500000000000000e+000	5.469508e-005
1.600000000000001e+000	4.398280e-003
1.700000000000001e+000	3.825728e-002
1.800000000000001e+000	1.271173e-001
1.900000000000001e+000	2.196938e-001
2.000000000000001e+000	3.128198e-001
2.100000000000001e+000	4.060366e-001
2.200000000000001e+000	4.993576e-001
2.300000000000001e+000	5.927485e-001
2.400000000000001e+000	6.861872e-001
2.500000000000001e+000	7.796370e-001
2.600000000000001e+000	8.730116e-001
2.700000000000002e+000	9.663657e-001
2.800000000000002e+000	1.059784e+000
2.900000000000002e+000	1.153091e+000
3.000000000000002e+000	1.245591e+000
3.100000000000002e+000	1.338190e+000
3.200000000000002e+000	1.431736e+000
3.300000000000002e+000	1.525312e+000
3.400000000000002e+000	1.618830e+000
3.500000000000002e+000	1.712279e+000
3.600000000000002e+000	1.805645e+000
3.700000000000002e+000	1.898915e+000
3.800000000000003e+000	1.992074e+000
3.900000000000003e+000	2.085104e+000
4.000000000000003e+000	2.177980e+000
4.100000000000002e+000	2.270672e+000
4.200000000000002e+000	2.363141e+000
4.300000000000002e+000	2.455336e+000
4.400000000000001e+000	2.547192e+000
4.500000000000001e+000	2.638624e+000
4.600000000000001e+000	2.729520e+000
4.700000000000000e+000	2.819736e+000
4.800000000000000e+000	2.909093e+000
4.900000000000000e+000	2.997379e+000
4.999999999999999e+000	3.084381e+000
5.099999999999999e+000	3.169951e+000
5.199999999999998e+000	3.254094e+000
5.299999999999998e+000	3.337014e+000
5.399999999999998e+000	3.419055e+000
5.499999999999997e+000	3.500571e+000
5.599999999999997e+000	3.581836e+000
5.699999999999997e+000	3.663032e+000
5.799999999999996e+000	3.744263e+000
5.899999999999996e+000	3.825585e+000
5.999999999999996e+000	3.907024e+000
6.099999999999995e+000	3.988594e+000
6.199999999999995e+000	4.070298e+000
6.299999999999995e+000	4.152134e+000
6.399999999999994e+000	4.234099e+000
6.499999999999994e+000	4.316190e+000
6.599999999999993e+000	4.398403e+000
6.699999999999993e+000	4.480731e+000
6.799999999999993e+000	4.563172e+000
6.899999999999992e+000	4.645721e+000
6.999999999999992e+000	4.728374e+000
7.099999999999992e+000	4.811125e+000
7.199999999999991e+000	4.893973e+000
7.299999999999991e+000	4.976914e+000
7.399999999999991e+000	5.059944e+000
7.499999999999990e+000	5.143059e+000
7.599999999999990e+000	5.226257e+000
7.699999999999990e+000	5.309535e+000
7.799999999999989e+000	5.392890e+000
7.899999999999989e+000	5.476321e+000
7.999999999999989e+000	5.559823e+000
8.099999999999989e+000	5.643394e+000
8.199999999999989e+000	5.727034e+000
8.299999999999988e+000	5.810739e+000
8.399999999999988e+000	5.894506e+000
8.499999999999988e+000	5.978336e+000
8.599999999999987e+000	6.062225e+000
8.699999999999987e+000	6.146172e+000
8.799999999999987e+000	6.230174e+000
8.899999999999986e+000	6.314231e+000
8.999999999999986e+000	6.398341e+000
9.099999999999985e+000	6.482502e+000
9.199999999999985e+000	6.566712e+000
9.299999999999985e+000	6.650972e+000
9.399999999999984e+000	6.735278e+000
9.499999999999984e+000	6.819630e+000
9.599999999999984e+000	6.904027e+000
9.699999999999983e+000	6.988467e+000
9.799999999999983e+000	7.072950e+000
9.899999999999983e+000	7.157474e+000
9.999999999999982e+000	7.242038e+000
1.009999999999998e+001	7.326641e+000
1.019999999999998e+001	7.411282e+000
1.029999999999998e+001	7.495961e+000
1.039999999999998e+001	7.580675e+000
1.049999999999998e+001	7.665426e+000
1.059999999999998e+001	7.750210e+000
1.069999999999998e+001	7.835029e+000
1.079999999999998e+001	7.919880e+000
1.089999999999998e+001	8.004765e+000
1.099999999999998e+001	8.089680e+000
1.109999999999998e+001	8.174625e+000
1.119999999999998e+001	8.259601e+000
1.129999999999998e+001	8.344606e+000
1.139999999999998e+001	8.429641e+000
1.149999999999998e+001	8.514703e+000
1.159999999999998e+001	8.599792e+000
1.169999999999998e+001	8.684909e+000
1.179999999999998e+001	8.770051e+000
1.189999999999998e+001	8.855220e+000
1.199999999999998e+001	8.940413e+000
1.209999999999998e+001	9.025632e+000
1.219999999999997e+001	9.110874e+000
1.229999999999997e+001	9.188104e+000
1.239999999999997e+001	9.188578e+000
1.249999999999997e+001	9.189070e+000
1.259999999999997e+001	9.189551e+000
1.269999999999997e+001	9.190032e+000
1.279999999999997e+001	9.190513e+000
1.289999999999997e+001	9.190991e+000
1.299999999999997e+001	9.191470e+000
1.309999999999997e+001	9.191948e+000
1.319999999999997e+001	9.192425e+000
1.329999999999997e+001	9.192901e+000
1.339999999999997e+001	9.193376e+000
1.349999999999997e+001	9.193851e+000
1.359999999999997e+001	9.194324e+000
1.369999999999997e+001	9.194797e+000
1.379999999999997e+001	9.195269e+000
1.389999999999997e+001	9.195741e+000
1.399999999999997e+001	9.196211e+000
1.409999999999997e+001	9.196681e+000
1.419999999999997e+001	9.197150e+000
1.429999999999997e+001	9.197618e+000
1.439999999999997e+001	9.198086e+000
1.449999999999997e+001	9.198553e+000
1.459999999999997e+001	9.199018e+000
1.469999999999997e+001	9.199484e+000
1.479999999999997e+001	9.199948e+000
1.489999999999997e+001	9.200413e+000
1.499999999999996e+001	9.200875e+000
1.509999999999996e+001	9.201338e+000
1.519999999999996e+001	9.201799e+000
1.529999999999996e+001	9.202260e+000
1.539999999999996e+001	9.202721e+000
1.549999999999996e+001	9.203180e+000
1.559999999999996e+001	9.203639e+000
1.569999999999996e+001	9.204097e+000
1.579999999999996e+001	9.204555e+000
1.589999999999996e+001	9.205010e+000
1.599999999999996e+001	9.205466e+000
1.609999999999996e+001	9.205922e+000
1.619999999999996e+001	9.206376e+000
1.629999999999997e+001	9.206830e+000
1.639999999999997e+001	9.207283e+000
1.649999999999997e+001	9.207735e+000
1.659999999999997e+001	9.208187e+000
1.669999999999997e+001	9.208638e+000
1.679999999999997e+001	9.209088e+000
1.689999999999997e+001	9.209538e+000
1.699999999999998e+001	9.209987e+000
1.709999999999998e+001	9.210435e+000
1.719999999999998e+001	9.210883e+000
1.729999999999998e+001	9.211329e+000
1.739999999999998e+001	9.211776e+000
1.749999999999998e+001	9.212221e+000
1.759999999999998e+001	9.212667e+000
1.769999999999999e+001	9.213111e+000
1.779999999999999e+001	9.213554e+000
1.789999999999999e+001	9.213997e+000
1.799999999999999e+001	9.214439e+000
1.809999999999999e+001	9.214881e+000
1.819999999999999e+001	9.215322e+000
1.829999999999999e+001	9.215762e+000
1.840000000000000e+001	9.216202e+000
1.850000000000000e+001	9.216640e+000
1.860000000000000e+001	9.217079e+000
1.870000000000000e+001	9.217517e+000
1.880000000000000e+001	9.217954e+000
1.890000000000000e+001	9.218390e+000
1.900000000000000e+001	9.218826e+000
1.910000000000001e+001	9.219261e+000
1.920000000000001e+001	9.219695e+000
1.930000000000001e+001	9.220129e+000
1.940000000000001e+001	9.220563e+000
1.950000000000001e+001	9.220995e+000
1.960000000000001e+001	9.221427e+000
1.970000000000001e+001	9.221859e+000
1.980000000000002e+001	9.222289e+000
1.990000000000002e+001	9.222719e+000
2.000000000000002e+001	9.223149e+000
2.010000000000002e+001	9.223577e+000
2.020000000000002e+001	9.224007e+000
2.030000000000002e+001	9.224434e+000
2.040000000000002e+001	9.224861e+000
2.050000000000003e+001	9.225287e+000
2.060000000000003e+001	9.225714e+000
2.070000000000003e+001	9.226138e+000
2.080000000000003e+001	9.226563e+000
2.090000000000003e+001	9.226987e+000
2.100000000000003e+001	9.227410e+000
2.110000000000003e+001	9.227834e+000
2.120000000000004e+001	9.228256e+000
2.130000000000004e+001	9.228678e+000
2.140000000000004e+001	9.229098e+000
2.150000000000004e+001	9.229519e+000
2.160000000000004e+001	9.229939e+000
2.170000000000004e+001	9.230358e+000
2.180000000000004e+001	9.230777e+000
2.190000000000005e+001	9.231195e+000
2.200000000000005e+001	9.231613e+000
2.210000000000005e+001	9.232030e+000
2.220000000000005e+001	9.232447e+000
2.230000000000005e+001	9.232862e+000
2.240000000000005e+001	9.233277e+000
2.250000000000005e+001	9.233692e+000
2.260000000000006e+001	9.234106e+000
2.270000000000006e+001	9.234520e+000
2.280000000000006e+001	9.234933e+000
2.290000000000006e+001	9.235346e+000
2.300000000000006e+001	9.235757e+000
2.310000000000006e+001	9.236169e+000
2.320000000000006e+001	9.236580e+000
2.330000000000007e+001	9.236990e+000
2.340000000000007e+001	9.237399e+000
2.350000000000007e+001	9.237808e+000
2.360000000000007e+001	9.238217e+000
2.370000000000007e+001	9.238626e+000
2.380000000000007e+001	9.239033e+000
2.390000000000007e+001	9.239439e+000
2.400000000000008e+001	9.239846e+000
2.410000000000008e+001	9.240252e+000
2.420000000000008e+001	9.240657e+000
2.430000000000008e+001	9.241062e+000
2.440000000000008e+001	9.241466e+000
2.450000000000008e+001	9.241870e+000
2.460000000000008e+001	9.242272e+000
2.470000000000009e+001	9.242676e+000
2.480000000000009e+001	9.243077e+000
2.490000000000009e+001	9.243479e+000
2.500000000000009e+001	9.243880e+000
2.510000000000009e+001	9.244281e+000
2.520000000000009e+001	9.244680e+000
2.530000000000009e+001	9.245080e+000
2.540000000000010e+001	9.245479e+000
2.550000000000010e+001	9.245877e+000
2.560000000000010e+001	9.246275e+000
2.570000000000010e+001	9.246673e+000
2.580000000000010e+001	9.247069e+000
2.590000000000010e+001	9.247465e+000
2.600000000000010e+001	9.247861e+000
2.610000000000010e+001	9.248257e+000
2.620000000000011e+001	9.248652e+000
2.630000000000011e+001	9.249045e+000
2.640000000000011e+001	9.249439e+000
2.650000000000011e+001	9.249833e+000
2.660000000000011e+001	9.250225e+000
2.670000000000011e+001	9.250618e+000
2.680000000000011e+001	9.251009e+000
2.690000000000012e+001	9.251401e+000
2.700000000000012e+001	9.251791e+000
2.710000000000012e+001	9.252182e+000
2.720000000000012e+001	9.252571e+000
2.730000000000012e+001	9.252960e+000
2.740000000000012e+001	9.253349e+000
2.750000000000012e+001	9.253737e+000
2.760000000000013e+001	9.254126e+000
2.770000000000013e+001	9.254513e+000
2.780000000000013e+001	9.254899e+000
2.790000000000013e+001	9.255286e+000
2.800000000000013e+001	9.255672e+000
2.810000000000013e+001	9.256057e+000
2.820000000000013e+001	9.256442e+000
2.830000000000014e+001	9.256826e+000
2.840000000000014e+001	9.257210e+000
2.850000000000014e+001	9.257593e+000
2.860000000000014e+001	9.257977e+000
2.870000000000014e+001	9.258359e+000
2.880000000000014e+001	9.258740e+000
2.890000000000014e+001	9.259122e+000
2.900000000000015e+001	9.259503e+000
2.910000000000015e+001	9.259884e+000
2.920000000000015e+001	9.260263e+000
2.930000000000015e+001	9.260643e+000
2.940000000000015e+001	9.261023e+000
2.950000000000015e+001	9.261401e+000
2.960000000000015e+001	9.261779e+000
2.970000000000016e+001	9.262157e+000
2.980000000000016e+001	9.262534e+000
2.990000000000016e+001	9.262911e+000
3.000000000000000e+001	9.263288e+000
