v1	-I(Rl)
1.000000000000000e+000	-2.720059e-005
1.100000000000000e+000	-2.572025e-005
1.200000000000000e+000	-2.423881e-005
1.300000000000000e+000	-2.270652e-005
1.400000000000000e+000	-2.007741e-005
1.500000000000000e+000	5.518874e-006
1.600000000000001e+000	5.060092e-004
1.700000000000001e+000	1.026549e-001
1.800000000000001e+000	4.856278e-001
1.900000000000001e+000	8.898250e-001
2.000000000000001e+000	1.306987e+000
2.100000000000001e+000	1.733245e+000
2.200000000000001e+000	2.164369e+000
2.300000000000001e+000	2.569541e+000
2.400000000000001e+000	2.816361e+000
2.500000000000001e+000	2.930838e+000
2.600000000000001e+000	2.997221e+000
2.700000000000002e+000	3.042289e+000
2.800000000000002e+000	3.075821e+000
2.900000000000002e+000	3.100305e+000
3.000000000000002e+000	3.065550e+000
3.100000000000002e+000	5.935445e-001
3.200000000000002e+000	3.648685e-001
3.300000000000002e+000	3.723117e-001
3.400000000000002e+000	3.864821e-001
3.500000000000002e+000	4.011453e-001
3.600000000000002e+000	4.160247e-001
3.700000000000002e+000	4.310866e-001
3.800000000000003e+000	4.463109e-001
3.900000000000003e+000	4.616811e-001
4.000000000000003e+000	4.771829e-001
4.100000000000002e+000	4.928040e-001
4.200000000000002e+000	5.085340e-001
4.300000000000002e+000	5.243634e-001
4.400000000000001e+000	5.402843e-001
4.500000000000001e+000	5.562893e-001
4.600000000000001e+000	5.723723e-001
4.700000000000000e+000	5.885273e-001
4.800000000000000e+000	6.047495e-001
4.900000000000000e+000	6.210342e-001
4.999999999999999e+000	6.373773e-001
5.099999999999999e+000	6.537751e-001
5.199999999999998e+000	6.702241e-001
5.299999999999998e+000	6.867214e-001
5.399999999999998e+000	7.032641e-001
5.499999999999997e+000	7.198495e-001
5.599999999999997e+000	7.364754e-001
5.699999999999997e+000	7.531396e-001
5.799999999999996e+000	7.698401e-001
5.899999999999996e+000	7.865750e-001
5.999999999999996e+000	8.033425e-001
6.099999999999995e+000	8.201412e-001
6.199999999999995e+000	8.369695e-001
6.299999999999995e+000	8.538260e-001
6.399999999999994e+000	8.707096e-001
6.499999999999994e+000	8.876189e-001
6.599999999999993e+000	9.045528e-001
6.699999999999993e+000	9.215103e-001
6.799999999999993e+000	9.384905e-001
6.899999999999992e+000	9.554923e-001
6.999999999999992e+000	9.725149e-001
7.099999999999992e+000	9.895575e-001
7.199999999999991e+000	1.006619e+000
7.299999999999991e+000	1.023700e+000
7.399999999999991e+000	1.040798e+000
7.499999999999990e+000	1.057913e+000
7.599999999999990e+000	1.075045e+000
7.699999999999990e+000	1.092192e+000
7.799999999999989e+000	1.109355e+000
7.899999999999989e+000	1.126533e+000
7.999999999999989e+000	1.143725e+000
8.099999999999989e+000	1.160932e+000
8.199999999999989e+000	1.178151e+000
8.299999999999988e+000	1.195384e+000
8.399999999999988e+000	1.212629e+000
8.499999999999988e+000	1.229886e+000
8.599999999999987e+000	1.247155e+000
8.699999999999987e+000	1.264435e+000
8.799999999999987e+000	1.281727e+000
8.899999999999986e+000	1.299029e+000
8.999999999999986e+000	1.316342e+000
9.099999999999985e+000	1.333665e+000
9.199999999999985e+000	1.350998e+000
9.299999999999985e+000	1.368340e+000
9.399999999999984e+000	1.385691e+000
9.499999999999984e+000	1.403052e+000
9.599999999999984e+000	1.420422e+000
9.699999999999983e+000	1.437800e+000
9.799999999999983e+000	1.455186e+000
9.899999999999983e+000	1.472581e+000
9.999999999999982e+000	1.489983e+000
1.009999999999998e+001	1.507393e+000
1.019999999999998e+001	1.524811e+000
1.029999999999998e+001	1.542235e+000
1.039999999999998e+001	1.559668e+000
1.049999999999998e+001	1.577107e+000
1.059999999999998e+001	1.594552e+000
1.069999999999998e+001	1.612005e+000
1.079999999999998e+001	1.629464e+000
1.089999999999998e+001	1.646929e+000
1.099999999999998e+001	1.664400e+000
1.109999999999998e+001	1.681877e+000
1.119999999999998e+001	1.699360e+000
1.129999999999998e+001	1.716849e+000
1.139999999999998e+001	1.734344e+000
1.149999999999998e+001	1.751844e+000
1.159999999999998e+001	1.769349e+000
1.169999999999998e+001	1.786859e+000
1.179999999999998e+001	1.804375e+000
1.189999999999998e+001	1.821895e+000
