Freq.	V(N004,N006)/-I(V2)-V(n006)/I(R5)
1.00000000000000e-001	(-3.90542183602668e+001dB,4.75306536422301e-003°)
1.00230523807790e-001	(-3.90542183601288e+001dB,4.76402231143667e-003°)
1.00461579027840e-001	(-3.90542183599902e+001dB,4.77500451702267e-003°)
1.00693166885180e-001	(-3.90542183598510e+001dB,4.78601203920660e-003°)
1.00925288607668e-001	(-3.90542183597111e+001dB,4.79704493634867e-003°)
1.01157945425990e-001	(-3.90542183595706e+001dB,4.80810326694643e-003°)
1.01391138573668e-001	(-3.90542183594294e+001dB,4.81918708962711e-003°)
1.01624869287070e-001	(-3.90542183592876e+001dB,4.83029646315888e-003°)
1.01859138805412e-001	(-3.90542183591451e+001dB,4.84143144643803e-003°)
1.02093948370768e-001	(-3.90542183590020e+001dB,4.85259209850712e-003°)
1.02329299228075e-001	(-3.90542183588582e+001dB,4.86377847853655e-003°)
1.02565192625141e-001	(-3.90542183587138e+001dB,4.87499064583405e-003°)
1.02801629812647e-001	(-3.90542183585686e+001dB,4.88622865984473e-003°)
1.03038612044162e-001	(-3.90542183584228e+001dB,4.89749258015281e-003°)
1.03276140576140e-001	(-3.90542183582764e+001dB,4.90878246648071e-003°)
1.03514216667934e-001	(-3.90542183581292e+001dB,4.92009837868275e-003°)
1.03752841581801e-001	(-3.90542183579814e+001dB,4.93144037675766e-003°)
1.03992016582906e-001	(-3.90542183578329e+001dB,4.94280852083532e-003°)
1.04231742939330e-001	(-3.90542183576837e+001dB,4.95420287119185e-003°)
1.04472021922080e-001	(-3.90542183575338e+001dB,4.96562348823884e-003°)
1.04712854805090e-001	(-3.90542183573833e+001dB,4.97707043252927e-003°)
1.04954242865232e-001	(-3.90542183572320e+001dB,4.98854376474911e-003°)
1.05196187382322e-001	(-3.90542183570801e+001dB,5.00004354573005e-003°)
1.05438689639126e-001	(-3.90542183569274e+001dB,5.01156983644250e-003°)
1.05681750921366e-001	(-3.90542183567740e+001dB,5.02312269800118e-003°)
1.05925372517729e-001	(-3.90542183566200e+001dB,5.03470219165541e-003°)
1.06169555719872e-001	(-3.90542183564652e+001dB,5.04630837879875e-003°)
1.06414301822431e-001	(-3.90542183563097e+001dB,5.05794132096542e-003°)
1.06659612123026e-001	(-3.90542183561534e+001dB,5.06960107983461e-003°)
1.06905487922266e-001	(-3.90542183559965e+001dB,5.08128771722109e-003°)
1.07151930523760e-001	(-3.90542183558388e+001dB,5.09300129508973e-003°)
1.07398941234124e-001	(-3.90542183556804e+001dB,5.10474187554589e-003°)
1.07646521362983e-001	(-3.90542183555213e+001dB,5.11650952083136e-003°)
1.07894672222983e-001	(-3.90542183553615e+001dB,5.12830429334218e-003°)
1.08143395129794e-001	(-3.90542183552009e+001dB,5.14012625561165e-003°)
1.08392691402120e-001	(-3.90542183550395e+001dB,5.15197547031530e-003°)
1.08642562361706e-001	(-3.90542183548775e+001dB,5.16385200028325e-003°)
1.08893009333343e-001	(-3.90542183547146e+001dB,5.17575590847821e-003°)
1.09144033644875e-001	(-3.90542183545510e+001dB,5.18768725801410e-003°)
1.09395636627209e-001	(-3.90542183543867e+001dB,5.19964611215278e-003°)
1.09647819614318e-001	(-3.90542183540445e+001dB,5.21163253418811e-003°)
1.09900583943252e-001	(-3.90542183540558e+001dB,5.22364658799561e-003°)
1.10153930954141e-001	(-3.90542183537120e+001dB,5.23568833684217e-003°)
1.10407861990207e-001	(-3.90542183537217e+001dB,5.24775784500023e-003°)
1.10662378397766e-001	(-3.90542183535536e+001dB,5.25985517613936e-003°)
1.10917481526240e-001	(-3.90542183532075e+001dB,5.27198039439963e-003°)
1.11173172728159e-001	(-3.90542183532149e+001dB,5.28413356439128e-003°)
1.11429453359173e-001	(-3.90542183530444e+001dB,5.29631475022165e-003°)
1.11686324778056e-001	(-3.90542183528731e+001dB,5.30852401658781e-003°)
1.11943788346715e-001	(-3.90542183527010e+001dB,5.32076142821660e-003°)
1.12201845430196e-001	(-3.90542183523511e+001dB,5.33302704988580e-003°)
1.12460497396692e-001	(-3.90542183521774e+001dB,5.34532094684171e-003°)
1.12719745617551e-001	(-3.90542183520029e+001dB,5.35764318415470e-003°)
1.12979591467279e-001	(-3.90542183518276e+001dB,5.36999382715623e-003°)
1.13240036323555e-001	(-3.90542183516515e+001dB,5.38237294133385e-003°)
1.13501081567231e-001	(-3.90542183514746e+001dB,5.39478059231220e-003°)
1.13762728582343e-001	(-3.90542183512969e+001dB,5.40721684588302e-003°)
1.14024978756117e-001	(-3.90542183511184e+001dB,5.41968176797799e-003°)
1.14287833478977e-001	(-3.90542183509390e+001dB,5.43217542468387e-003°)
1.14551294144553e-001	(-3.90542183507588e+001dB,5.44469788224510e-003°)
1.14815362149688e-001	(-3.90542183505778e+001dB,5.45724920704905e-003°)
1.15080038894443e-001	(-3.90542183503959e+001dB,5.46982946564635e-003°)
1.15345325782109e-001	(-3.90542183502132e+001dB,5.48243872473196e-003°)
1.15611224219209e-001	(-3.90542183500297e+001dB,5.49507705116202e-003°)
1.15877735615512e-001	(-3.90542183498453e+001dB,5.50774451194465e-003°)
1.16144861384034e-001	(-3.90542183496601e+001dB,5.52044117423633e-003°)
1.16412602941049e-001	(-3.90542183494740e+001dB,5.53316710536011e-003°)
1.16680961706096e-001	(-3.90542183492870e+001dB,5.54592237278314e-003°)
1.16949939101987e-001	(-3.90542183490992e+001dB,5.55870704413520e-003°)
1.17219536554813e-001	(-3.90542183489105e+001dB,5.57152118719654e-003°)
1.17489755493952e-001	(-3.90542183487210e+001dB,5.58436486990710e-003°)
1.17760597352080e-001	(-3.90542183485305e+001dB,5.59723816036269e-003°)
1.18032063565172e-001	(-3.90542183483392e+001dB,5.61014112682044e-003°)
1.18304155572516e-001	(-3.90542183481470e+001dB,5.62307383768443e-003°)
1.18576874816716e-001	(-3.90542183479540e+001dB,5.63603636152695e-003°)
1.18850222743701e-001	(-3.90542183477600e+001dB,5.64902876707064e-003°)
1.19124200802737e-001	(-3.90542183475651e+001dB,5.66205112320450e-003°)
1.19398810446427e-001	(-3.90542183473694e+001dB,5.67510349896762e-003°)
1.19674053130724e-001	(-3.90542183471727e+001dB,5.68818596356409e-003°)
1.19949930314937e-001	(-3.90542183469751e+001dB,5.70129858635358e-003°)
1.20226443461741e-001	(-3.90542183467766e+001dB,5.71444143686057e-003°)
1.20503594037179e-001	(-3.90542183465772e+001dB,5.72761458476852e-003°)
1.20781383510677e-001	(-3.90542183463769e+001dB,5.74081809991590e-003°)
1.21059813355048e-001	(-3.90542183461757e+001dB,5.75405205231042e-003°)
1.21338885046497e-001	(-3.90542183459735e+001dB,5.76731651211353e-003°)
1.21618600064636e-001	(-3.90542183457704e+001dB,5.78061154965335e-003°)
1.21898959892486e-001	(-3.90542183455663e+001dB,5.79393723542156e-003°)
1.22179966016487e-001	(-3.90542183453613e+001dB,5.80729364006602e-003°)
1.22461619926504e-001	(-3.90542183451554e+001dB,5.82068083440210e-003°)
1.22743923115840e-001	(-3.90542183449485e+001dB,5.83409888940837e-003°)
1.23026877081238e-001	(-3.90542183447407e+001dB,5.84754787622519e-003°)
1.23310483322890e-001	(-3.90542183445319e+001dB,5.86102786615787e-003°)
1.23594743344450e-001	(-3.90542183443221e+001dB,5.87453893067713e-003°)
1.23879658653036e-001	(-3.90542183441114e+001dB,5.88808114141281e-003°)
1.24165230759240e-001	(-3.90542183438997e+001dB,5.90165457017190e-003°)
