Freq.	V(vout)
1.00000000000000e-001	(-3.18948173052220e-002dB,-1.39874913912585e-006°)
1.00230523807790e-001	(-3.18948173052201e-002dB,-1.40197358890281e-006°)
1.00461579027840e-001	(-3.18948173052201e-002dB,-1.40520547180415e-006°)
1.00693166885180e-001	(-3.18948173052240e-002dB,-1.40844480496504e-006°)
1.00925288607668e-001	(-3.18948173052240e-002dB,-1.41169160556005e-006°)
1.01157945425990e-001	(-3.18948173052240e-002dB,-1.41494589080342e-006°)
1.01391138573668e-001	(-3.18948173052220e-002dB,-1.41820767794908e-006°)
1.01624869287070e-001	(-3.18948173052230e-002dB,-1.42147698429066e-006°)
1.01859138805412e-001	(-3.18948173052211e-002dB,-1.42475382716171e-006°)
1.02093948370768e-001	(-3.18948173052211e-002dB,-1.42803822393572e-006°)
1.02329299228075e-001	(-3.18948173052230e-002dB,-1.43133019202623e-006°)
1.02565192625141e-001	(-3.18948173052230e-002dB,-1.43462974888694e-006°)
1.02801629812647e-001	(-3.18948173052211e-002dB,-1.43793691201175e-006°)
1.03038612044162e-001	(-3.18948173052230e-002dB,-1.44125169893495e-006°)
1.03276140576140e-001	(-3.18948173052230e-002dB,-1.44457412723115e-006°)
1.03514216667934e-001	(-3.18948173052230e-002dB,-1.44790421451559e-006°)
1.03752841581801e-001	(-3.18948173052230e-002dB,-1.45124197844407e-006°)
1.03992016582906e-001	(-3.18948173052211e-002dB,-1.45458743671302e-006°)
1.04231742939330e-001	(-3.18948173052230e-002dB,-1.45794060705977e-006°)
1.04472021922080e-001	(-3.18948173052230e-002dB,-1.46130150726245e-006°)
1.04712854805090e-001	(-3.18948173052230e-002dB,-1.46467015514031e-006°)
1.04954242865232e-001	(-3.18948173052230e-002dB,-1.46804656855348e-006°)
1.05196187382322e-001	(-3.18948173052230e-002dB,-1.47143076540346e-006°)
1.05438689639126e-001	(-3.18948173052230e-002dB,-1.47482276363286e-006°)
1.05681750921366e-001	(-3.18948173052230e-002dB,-1.47822258122573e-006°)
1.05925372517729e-001	(-3.18948173052230e-002dB,-1.48163023620757e-006°)
1.06169555719872e-001	(-3.18948173052230e-002dB,-1.48504574664545e-006°)
1.06414301822431e-001	(-3.18948173052269e-002dB,-1.48846913064803e-006°)
1.06659612123026e-001	(-3.18948173052230e-002dB,-1.49190040636579e-006°)
1.06905487922266e-001	(-3.18948173052230e-002dB,-1.49533959199099e-006°)
1.07151930523760e-001	(-3.18948173052230e-002dB,-1.49878670575785e-006°)
1.07398941234124e-001	(-3.18948173052230e-002dB,-1.50224176594259e-006°)
1.07646521362983e-001	(-3.18948173052230e-002dB,-1.50570479086365e-006°)
1.07894672222983e-001	(-3.18948173052230e-002dB,-1.50917579888162e-006°)
1.08143395129794e-001	(-3.18948173052230e-002dB,-1.51265480839947e-006°)
1.08392691402120e-001	(-3.18948173052230e-002dB,-1.51614183786250e-006°)
1.08642562361706e-001	(-3.18948173052230e-002dB,-1.51963690575864e-006°)
1.08893009333343e-001	(-3.18948173052230e-002dB,-1.52314003061837e-006°)
1.09144033644875e-001	(-3.18948173052230e-002dB,-1.52665123101493e-006°)
1.09395636627209e-001	(-3.18948173052230e-002dB,-1.53017052556436e-006°)
1.09647819614318e-001	(-3.18948173052230e-002dB,-1.53369793292555e-006°)
1.09900583943252e-001	(-3.18948173052230e-002dB,-1.53723347180052e-006°)
1.10153930954141e-001	(-3.18948173052249e-002dB,-1.54077716093434e-006°)
1.10407861990207e-001	(-3.18948173052230e-002dB,-1.54432901911528e-006°)
1.10662378397766e-001	(-3.18948173052230e-002dB,-1.54788906517494e-006°)
1.10917481526240e-001	(-3.18948173052230e-002dB,-1.55145731798836e-006°)
1.11173172728159e-001	(-3.18948173052230e-002dB,-1.55503379647405e-006°)
1.11429453359173e-001	(-3.18948173052230e-002dB,-1.55861851959407e-006°)
1.11686324778056e-001	(-3.18948173052230e-002dB,-1.56221150635436e-006°)
1.11943788346715e-001	(-3.18948173052230e-002dB,-1.56581277580453e-006°)
1.12201845430196e-001	(-3.18948173052230e-002dB,-1.56942234703820e-006°)
1.12460497396692e-001	(-3.18948173052230e-002dB,-1.57304023919289e-006°)
