Freq.	V(n003)/-I(V2)
1.00000000000000e-001	(1.06311504078593e+002dB,-1.08659455118715e-003°)
1.00230523807790e-001	(1.06311504078586e+002dB,-1.08909941032119e-003°)
1.00461579027840e-001	(1.06311504078579e+002dB,-1.09161004375187e-003°)
1.00693166885180e-001	(1.06311504078521e+002dB,-1.09412646478406e-003°)
1.00925288607668e-001	(1.06311504078514e+002dB,-1.09664868677211e-003°)
1.01157945425990e-001	(1.06311504078507e+002dB,-1.09917672308230e-003°)
1.01391138573668e-001	(1.06311504078499e+002dB,-1.10171058711807e-003°)
1.01624869287070e-001	(1.06311504078492e+002dB,-1.10425029231371e-003°)
1.01859138805412e-001	(1.06311504078485e+002dB,-1.10679585213444e-003°)
1.02093948370768e-001	(1.06311504078502e+002dB,-1.10934728007980e-003°)
1.02329299228075e-001	(1.06311504078495e+002dB,-1.11190458967080e-003°)
1.02565192625141e-001	(1.06311504078487e+002dB,-1.11446779446927e-003°)
1.02801629812647e-001	(1.06311504078479e+002dB,-1.11703690806502e-003°)
1.03038612044162e-001	(1.06311504078472e+002dB,-1.11961194407925e-003°)
1.03276140576140e-001	(1.06311504078464e+002dB,-1.12219291616456e-003°)
1.03514216667934e-001	(1.06311504078456e+002dB,-1.12477983800498e-003°)
1.03752841581801e-001	(1.06311504078449e+002dB,-1.12737272331615e-003°)
1.03992016582906e-001	(1.06311504078441e+002dB,-1.12997158584523e-003°)
1.04231742939330e-001	(1.06311504078433e+002dB,-1.13257643937120e-003°)
1.04472021922080e-001	(1.06311504078425e+002dB,-1.13518729770468e-003°)
1.04712854805090e-001	(1.06311504078418e+002dB,-1.13780417468823e-003°)
1.04954242865232e-001	(1.06311504078435e+002dB,-1.14042708419947e-003°)
1.05196187382322e-001	(1.06311504078427e+002dB,-1.14305604013837e-003°)
1.05438689639126e-001	(1.06311504078419e+002dB,-1.14569105644656e-003°)
1.05681750921366e-001	(1.06311504078411e+002dB,-1.14833214709467e-003°)
1.05925372517729e-001	(1.06311504078403e+002dB,-1.15097932608553e-003°)
1.06169555719872e-001	(1.06311504078394e+002dB,-1.15363260745418e-003°)
1.06414301822431e-001	(1.06311504078337e+002dB,-1.15629200526144e-003°)
1.06659612123026e-001	(1.06311504078328e+002dB,-1.15895753362040e-003°)
1.06905487922266e-001	(1.06311504078320e+002dB,-1.16162920665684e-003°)
1.07151930523760e-001	(1.06311504078312e+002dB,-1.16430703853570e-003°)
1.07398941234124e-001	(1.06311504078304e+002dB,-1.16699104345456e-003°)
1.07646521362983e-001	(1.06311504078295e+002dB,-1.16968123564375e-003°)
1.07894672222983e-001	(1.06311504078312e+002dB,-1.17237762936979e-003°)
1.08143395129794e-001	(1.06311504078304e+002dB,-1.17508023892191e-003°)
1.08392691402120e-001	(1.06311504078295e+002dB,-1.17778907863251e-003°)
1.08642562361706e-001	(1.06311504078287e+002dB,-1.18050416286354e-003°)
1.08893009333343e-001	(1.06311504078278e+002dB,-1.18322550601012e-003°)
1.09144033644875e-001	(1.06311504078270e+002dB,-1.18595312250053e-003°)
1.09395636627209e-001	(1.06311504078261e+002dB,-1.18868702679636e-003°)
1.09647819614318e-001	(1.06311504078252e+002dB,-1.19142723339243e-003°)
1.09900583943252e-001	(1.06311504078244e+002dB,-1.19417375681711e-003°)
1.10153930954141e-001	(1.06311504078235e+002dB,-1.19692661163218e-003°)
1.10407861990207e-001	(1.06311504078226e+002dB,-1.19968581243293e-003°)
1.10662378397766e-001	(1.06311504078242e+002dB,-1.20245137385189e-003°)
1.10917481526240e-001	(1.06311504078234e+002dB,-1.20522331054493e-003°)
1.11173172728159e-001	(1.06311504078225e+002dB,-1.20800163721194e-003°)
1.11429453359173e-001	(1.06311504078216e+002dB,-1.21078636858338e-003°)
1.11686324778056e-001	(1.06311504078207e+002dB,-1.21357751942361e-003°)
1.11943788346715e-001	(1.06311504078173e+002dB,-1.21637510452752e-003°)
1.12201845430196e-001	(1.06311504078164e+002dB,-1.21917913873466e-003°)
1.12460497396692e-001	(1.06311504078155e+002dB,-1.22198963690819e-003°)
1.12719745617551e-001	(1.06311504078146e+002dB,-1.22480661394914e-003°)
1.12979591467279e-001	(1.06311504078137e+002dB,-1.22763008479282e-003°)
1.13240036323555e-001	(1.06311504078152e+002dB,-1.23046006441252e-003°)
1.13501081567231e-001	(1.06311504078143e+002dB,-1.23329656780547e-003°)
1.13762728582343e-001	(1.06311504078134e+002dB,-1.23613961001403e-003°)
1.14024978756117e-001	(1.06311504078124e+002dB,-1.23898920611175e-003°)
1.14287833478977e-001	(1.06311504078115e+002dB,-1.24184537120691e-003°)
1.14551294144553e-001	(1.06311504078106e+002dB,-1.24470812044258e-003°)
1.14815362149688e-001	(1.06311504078096e+002dB,-1.24757746899678e-003°)
1.15080038894443e-001	(1.06311504078087e+002dB,-1.25045343208255e-003°)
1.15345325782109e-001	(1.06311504078077e+002dB,-1.25333602494790e-003°)
1.15611224219209e-001	(1.06311504078068e+002dB,-1.25622526287608e-003°)
1.15877735615512e-001	(1.06311504078058e+002dB,-1.25912116118556e-003°)
1.16144861384034e-001	(1.06311504078073e+002dB,-1.26202373523371e-003°)
1.16412602941049e-001	(1.06311504078064e+002dB,-1.26493300040241e-003°)
1.16680961706096e-001	(1.06311504078054e+002dB,-1.26784897212000e-003°)
1.16949939101987e-001	(1.06311504078044e+002dB,-1.27077166584661e-003°)
1.17219536554813e-001	(1.06311504078034e+002dB,-1.27370109707806e-003°)
1.17489755493952e-001	(1.06311504078024e+002dB,-1.27663728134593e-003°)
1.17760597352080e-001	(1.06311504078014e+002dB,-1.27958023421759e-003°)
1.18032063565172e-001	(1.06311504078004e+002dB,-1.28252997129626e-003°)
1.18304155572516e-001	(1.06311504077994e+002dB,-1.28548650822115e-003°)
1.18576874816716e-001	(1.06311504078009e+002dB,-1.28844986067123e-003°)
1.18850222743701e-001	(1.06311504077999e+002dB,-1.29142004435050e-003°)
1.19124200802737e-001	(1.06311504077989e+002dB,-1.29439707501030e-003°)
1.19398810446427e-001	(1.06311504077979e+002dB,-1.29738096843449e-003°)
1.19674053130724e-001	(1.06311504077968e+002dB,-1.30037174044345e-003°)
1.19949930314937e-001	(1.06311504077958e+002dB,-1.30336940689393e-003°)
1.20226443461741e-001	(1.06311504077948e+002dB,-1.30637398367923e-003°)
1.20503594037179e-001	(1.06311504077937e+002dB,-1.30938548672935e-003°)
1.20781383510677e-001	(1.06311504077927e+002dB,-1.31240393201093e-003°)
1.21059813355048e-001	(1.06311504077916e+002dB,-1.31542933552753e-003°)
1.21338885046497e-001	(1.06311504077906e+002dB,-1.31846171331952e-003°)
1.21618600064636e-001	(1.06311504077895e+002dB,-1.32150108146422e-003°)
1.21898959892486e-001	(1.06311504077884e+002dB,-1.32454745607611e-003°)
1.22179966016487e-001	(1.06311504077849e+002dB,-1.32760085330296e-003°)
1.22461619926504e-001	(1.06311504077838e+002dB,-1.33066128934115e-003°)
1.22743923115840e-001	(1.06311504077827e+002dB,-1.33372878041301e-003°)
1.23026877081238e-001	(1.06311504077816e+002dB,-1.33680334278209e-003°)
1.23310483322890e-001	(1.06311504077805e+002dB,-1.33988499274942e-003°)
1.23594743344450e-001	(1.06311504077819e+002dB,-1.34297374665744e-003°)
1.23879658653036e-001	(1.06311504077808e+002dB,-1.34606962087471e-003°)
1.24165230759240e-001	(1.06311504077797e+002dB,-1.34917263181913e-003°)
1.24451461177138e-001	(1.06311504077786e+002dB,-1.35228279594249e-003°)
1.24738351424294e-001	(1.06311504077775e+002dB,-1.35540012973465e-003°)
1.25025903021771e-001	(1.06311504077764e+002dB,-1.35852464972331e-003°)
1.25314117494141e-001	(1.06311504077753e+002dB,-1.36165637247446e-003°)
1.25602996369487e-001	(1.06311504077741e+002dB,-1.36479531459211e-003°)
1.25892541179416e-001	(1.06311504077730e+002dB,-1.36794149271865e-003°)
1.26182753459066e-001	(1.06311504077718e+002dB,-1.37109492353481e-003°)
1.26473634747114e-001	(1.06311504077707e+002dB,-1.37425562375974e-003°)
1.26765186585784e-001	(1.06311504077671e+002dB,-1.37742361014726e-003°)
1.27057410520853e-001	(1.06311504077659e+002dB,-1.38059889950152e-003°)
1.27350308101665e-001	(1.06311504077647e+002dB,-1.38378150865373e-003°)
1.27643880881134e-001	(1.06311504077636e+002dB,-1.38697145447774e-003°)
