Freq.	V(Vout,N004)/-I(V3)-V(n004)/I(Rl)
1.00000000000000e-001	(-2.52716000151300e+001dB,4.66056098341738e-004°)
1.00230523807790e-001	(-2.52716000151293e+001dB,4.67130468606055e-004°)
1.00461579027840e-001	(-2.52716000151274e+001dB,4.68207315549555e-004°)
1.00693166885180e-001	(-2.52716000151260e+001dB,4.69286644881673e-004°)
1.00925288607668e-001	(-2.52716000151247e+001dB,4.70368462324838e-004°)
1.01157945425990e-001	(-2.52716000151233e+001dB,4.71452773614791e-004°)
1.01391138573668e-001	(-2.52716000151231e+001dB,4.72539584500462e-004°)
1.01624869287070e-001	(-2.52716000151217e+001dB,4.73628900743925e-004°)
1.01859138805412e-001	(-2.52716000151198e+001dB,4.74720728120640e-004°)
1.02093948370768e-001	(-2.52716000151184e+001dB,4.75815072419427e-004°)
1.02329299228075e-001	(-2.52716000151176e+001dB,4.76911939442376e-004°)
1.02565192625141e-001	(-2.52716000151157e+001dB,4.78011335004907e-004°)
1.02801629812647e-001	(-2.52716000151143e+001dB,4.79113264935972e-004°)
1.03038612044162e-001	(-2.52716000151129e+001dB,4.80217735077875e-004°)
1.03276140576140e-001	(-2.52716000151109e+001dB,4.81324751286383e-004°)
1.03514216667934e-001	(-2.52716000151095e+001dB,4.82434319430825e-004°)
1.03752841581801e-001	(-2.52716000151081e+001dB,4.83546445394023e-004°)
1.03992016582906e-001	(-2.52716000151066e+001dB,4.84661135072316e-004°)
1.04231742939330e-001	(-2.52716000151063e+001dB,4.85778394375765e-004°)
1.04472021922080e-001	(-2.52716000151043e+001dB,4.86898229227822e-004°)
1.04712854805090e-001	(-2.52716000151023e+001dB,4.88020645565819e-004°)
1.04954242865232e-001	(-2.52716000151014e+001dB,4.89145649340756e-004°)
1.05196187382322e-001	(-2.52716000151000e+001dB,4.90273246517195e-004°)
1.05438689639126e-001	(-2.52716000150985e+001dB,4.91403443073588e-004°)
1.05681750921366e-001	(-2.52716000150970e+001dB,4.92536245002121e-004°)
1.05925372517729e-001	(-2.52716000150955e+001dB,4.93671658308783e-004°)
1.06169555719872e-001	(-2.52716000150935e+001dB,4.94809689013407e-004°)
1.06414301822431e-001	(-2.52716000150920e+001dB,4.95950343149774e-004°)
1.06659612123026e-001	(-2.52716000150910e+001dB,4.97093626765540e-004°)
1.06905487922266e-001	(-2.52716000150895e+001dB,4.98239545922164e-004°)
1.07151930523760e-001	(-2.52716000150869e+001dB,4.99388106695225e-004°)
1.07398941234124e-001	(-2.52716000150859e+001dB,5.00539315174402e-004°)
1.07646521362983e-001	(-2.52716000150844e+001dB,5.01693177463177e-004°)
1.07894672222983e-001	(-2.52716000150829e+001dB,5.02849699679222e-004°)
1.08143395129794e-001	(-2.52716000150819e+001dB,5.04008887954360e-004°)
1.08392691402120e-001	(-2.52716000150803e+001dB,5.05170748434405e-004°)
1.08642562361706e-001	(-2.52716000150782e+001dB,5.06335287279439e-004°)
1.08893009333343e-001	(-2.52716000150766e+001dB,5.07502510663815e-004°)
1.09144033644875e-001	(-2.52716000150751e+001dB,5.08672424775959e-004°)
1.09395636627209e-001	(-2.52716000150735e+001dB,5.09845035818661e-004°)
1.09647819614318e-001	(-2.52716000150719e+001dB,5.11020350009004e-004°)
1.09900583943252e-001	(-2.52716000150697e+001dB,5.12198373578321e-004°)
1.10153930954141e-001	(-2.52716000150693e+001dB,5.13379112772543e-004°)
1.10407861990207e-001	(-2.52716000150671e+001dB,5.14562573851603e-004°)
1.10662378397766e-001	(-2.52716000150649e+001dB,5.15748763090215e-004°)
1.10917481526240e-001	(-2.52716000150639e+001dB,5.16937686777489e-004°)
1.11173172728159e-001	(-2.52716000150622e+001dB,5.18129351216885e-004°)
1.11429453359173e-001	(-2.52716000150606e+001dB,5.19323762726517e-004°)
1.11686324778056e-001	(-2.52716000150589e+001dB,5.20520927639047e-004°)
1.11943788346715e-001	(-2.52716000150578e+001dB,5.21720852301745e-004°)
1.12201845430196e-001	(-2.52716000150562e+001dB,5.22923543076445e-004°)
1.12460497396692e-001	(-2.52716000150534e+001dB,5.24129006339656e-004°)
1.12719745617551e-001	(-2.52716000150528e+001dB,5.25337248482783e-004°)
1.12979591467279e-001	(-2.52716000150506e+001dB,5.26548275911635e-004°)
1.13240036323555e-001	(-2.52716000150489e+001dB,5.27762095047035e-004°)
1.13501081567231e-001	(-2.52716000150466e+001dB,5.28978712324514e-004°)
1.13762728582343e-001	(-2.52716000150461e+001dB,5.30198134194567e-004°)
1.14024978756117e-001	(-2.52716000150438e+001dB,5.31420367122231e-004°)
1.14287833478977e-001	(-2.52716000150415e+001dB,5.32645417587794e-004°)
1.14551294144553e-001	(-2.52716000150403e+001dB,5.33873292086400e-004°)
1.14815362149688e-001	(-2.52716000150386e+001dB,5.35103997128013e-004°)
1.15080038894443e-001	(-2.52716000150368e+001dB,5.36337539237757e-004°)
1.15345325782109e-001	(-2.52716000150351e+001dB,5.37573924955740e-004°)
1.15611224219209e-001	(-2.52716000150333e+001dB,5.38813160837159e-004°)
1.15877735615512e-001	(-2.52716000150310e+001dB,5.40055253452293e-004°)
1.16144861384034e-001	(-2.52716000150298e+001dB,5.41300209386680e-004°)
1.16412602941049e-001	(-2.52716000150280e+001dB,5.42548035240860e-004°)
1.16680961706096e-001	(-2.52716000150250e+001dB,5.43798737630631e-004°)
1.16949939101987e-001	(-2.52716000150232e+001dB,5.45052323187264e-004°)
1.17219536554813e-001	(-2.52716000150220e+001dB,5.46308798557093e-004°)
1.17489755493952e-001	(-2.52716000150202e+001dB,5.47568170401740e-004°)
1.17760597352080e-001	(-2.52716000150189e+001dB,5.48830445398354e-004°)
1.18032063565172e-001	(-2.52716000150171e+001dB,5.50095630239319e-004°)
1.18304155572516e-001	(-2.52716000150146e+001dB,5.51363731632505e-004°)
