rvadj	V(vout)
1.000000000000000e-010	9.493378e-001
1.000000000010000e+001	9.502612e-001
2.000000000010000e+001	9.511848e-001
3.000000000010000e+001	9.521084e-001
4.000000000010000e+001	9.530319e-001
5.000000000010000e+001	9.539555e-001
6.000000000010000e+001	9.548790e-001
7.000000000010000e+001	9.558026e-001
8.000000000010000e+001	9.567261e-001
9.000000000010000e+001	9.576496e-001
1.000000000001000e+002	9.585732e-001
1.100000000001000e+002	9.594967e-001
1.200000000001000e+002	9.604211e-001
1.300000000001000e+002	9.613438e-001
1.400000000001000e+002	9.622673e-001
1.500000000001000e+002	9.631909e-001
1.600000000001000e+002	9.641144e-001
1.700000000001000e+002	9.650380e-001
1.800000000001000e+002	9.659615e-001
1.900000000001000e+002	9.668850e-001
2.000000000001000e+002	9.678086e-001
2.100000000001000e+002	9.687321e-001
2.200000000001000e+002	9.696556e-001
2.300000000001000e+002	9.705792e-001
2.400000000001000e+002	9.715027e-001
2.500000000001000e+002	9.724262e-001
2.600000000001000e+002	9.733498e-001
2.700000000001000e+002	9.742733e-001
2.800000000001000e+002	9.751968e-001
2.900000000001000e+002	9.761204e-001
3.000000000001000e+002	9.770439e-001
3.100000000001000e+002	9.779696e-001
3.200000000001000e+002	9.788909e-001
3.300000000001000e+002	9.798145e-001
3.400000000001000e+002	9.807380e-001
3.500000000001000e+002	9.816616e-001
3.600000000001000e+002	9.825847e-001
3.700000000001000e+002	9.835085e-001
3.800000000001000e+002	9.844320e-001
3.900000000001000e+002	9.853556e-001
4.000000000001000e+002	9.862791e-001
4.100000000001000e+002	9.872026e-001
4.200000000001000e+002	9.881262e-001
4.300000000001000e+002	9.890496e-001
4.400000000001000e+002	9.899731e-001
4.500000000001000e+002	9.908966e-001
4.600000000001000e+002	9.918202e-001
4.700000000001000e+002	9.927437e-001
4.800000000001000e+002	9.936672e-001
4.900000000001000e+002	9.945907e-001
5.000000000001000e+002	9.955142e-001
5.100000000001000e+002	9.964378e-001
5.200000000001000e+002	9.973612e-001
5.300000000001000e+002	9.982847e-001
5.400000000001000e+002	9.992082e-001
5.500000000001000e+002	1.000132e+000
5.600000000001000e+002	1.001055e+000
5.700000000001000e+002	1.001979e+000
5.800000000001000e+002	1.002902e+000
5.900000000001000e+002	1.003826e+000
6.000000000001000e+002	1.004751e+000
6.100000000001000e+002	1.005673e+000
6.200000000001000e+002	1.006596e+000
6.300000000001000e+002	1.007520e+000
6.400000000001000e+002	1.008443e+000
6.500000000001000e+002	1.009367e+000
6.600000000001000e+002	1.010290e+000
6.700000000001000e+002	1.011214e+000
6.800000000001000e+002	1.012137e+000
6.900000000001000e+002	1.013061e+000
7.000000000001000e+002	1.013984e+000
7.100000000001000e+002	1.014908e+000
7.200000000001000e+002	1.015831e+000
7.300000000001000e+002	1.016755e+000
7.400000000001000e+002	1.017678e+000
7.500000000001000e+002	1.018602e+000
7.600000000001000e+002	1.019525e+000
7.700000000001000e+002	1.020448e+000
7.800000000001000e+002	1.021372e+000
7.900000000001000e+002	1.022295e+000
8.000000000001000e+002	1.023219e+000
8.100000000001000e+002	1.024142e+000
8.200000000001000e+002	1.025066e+000
8.300000000001000e+002	1.025989e+000
8.400000000001000e+002	1.026913e+000
8.500000000001000e+002	1.027836e+000
8.600000000001000e+002	1.028760e+000
8.700000000001000e+002	1.029683e+000
8.800000000001000e+002	1.030607e+000
8.900000000001000e+002	1.031530e+000
9.000000000001000e+002	1.032454e+000
9.100000000001000e+002	1.033377e+000
9.200000000001000e+002	1.034300e+000
9.300000000001000e+002	1.035224e+000
9.400000000001000e+002	1.036147e+000
9.500000000001000e+002	1.037071e+000
9.600000000001000e+002	1.037994e+000
9.700000000001000e+002	1.038918e+000
9.800000000001000e+002	1.039841e+000
9.900000000001000e+002	1.040765e+000
1.000000000000100e+003	1.041688e+000
1.010000000000100e+003	1.042672e+000
1.020000000000100e+003	1.043540e+000
1.030000000000100e+003	1.044459e+000
1.040000000000100e+003	1.045382e+000
1.050000000000100e+003	1.046305e+000
1.060000000000100e+003	1.047229e+000
1.070000000000100e+003	1.048152e+000
1.080000000000100e+003	1.049076e+000
1.090000000000100e+003	1.049999e+000
1.100000000000100e+003	1.050923e+000
1.110000000000100e+003	1.051873e+000
1.120000000000100e+003	1.052770e+000
1.130000000000100e+003	1.053693e+000
1.140000000000100e+003	1.054617e+000
1.150000000000100e+003	1.055541e+000
1.160000000000100e+003	1.056461e+000
1.170000000000100e+003	1.057387e+000
1.180000000000100e+003	1.058310e+000
1.190000000000100e+003	1.059234e+000
1.200000000000100e+003	1.060157e+000
1.210000000000100e+003	1.061081e+000
1.220000000000100e+003	1.062004e+000
1.230000000000100e+003	1.062927e+000
1.240000000000100e+003	1.063851e+000
1.250000000000100e+003	1.064774e+000
1.260000000000100e+003	1.065698e+000
1.270000000000100e+003	1.066621e+000
1.280000000000100e+003	1.067545e+000
1.290000000000100e+003	1.068468e+000
1.300000000000100e+003	1.069391e+000
1.310000000000100e+003	1.070315e+000
1.320000000000100e+003	1.071238e+000
1.330000000000100e+003	1.072162e+000
1.340000000000100e+003	1.073085e+000
1.350000000000100e+003	1.074009e+000
1.360000000000100e+003	1.074932e+000
1.370000000000100e+003	1.075855e+000
1.380000000000100e+003	1.076779e+000
1.390000000000100e+003	1.077702e+000
1.400000000000100e+003	1.078657e+000
1.410000000000100e+003	1.079549e+000
1.420000000000100e+003	1.080472e+000
1.430000000000100e+003	1.081438e+000
1.440000000000100e+003	1.082326e+000
1.450000000000100e+003	1.083247e+000
1.460000000000100e+003	1.084166e+000
1.470000000000100e+003	1.085090e+000
1.480000000000100e+003	1.086013e+000
1.490000000000100e+003	1.086936e+000
1.500000000000100e+003	1.087860e+000
1.510000000000100e+003	1.088783e+000
1.520000000000100e+003	1.089707e+000
1.530000000000100e+003	1.090630e+000
1.540000000000100e+003	1.091677e+000
1.550000000000100e+003	1.092477e+000
1.560000000000100e+003	1.093400e+000
1.570000000000100e+003	1.094324e+000
1.580000000000100e+003	1.095287e+000
1.590000000000100e+003	1.096170e+000
1.600000000000100e+003	1.097094e+000
1.610000000000100e+003	1.098017e+000
1.620000000000100e+003	1.098941e+000
1.630000000000100e+003	1.099864e+000
1.640000000000100e+003	1.100787e+000
1.650000000000100e+003	1.101711e+000
1.660000000000100e+003	1.102634e+000
1.670000000000100e+003	1.103558e+000
1.680000000000100e+003	1.104481e+000
1.690000000000100e+003	1.105409e+000
1.700000000000100e+003	1.106328e+000
1.710000000000100e+003	1.107262e+000
1.720000000000100e+003	1.108175e+000
1.730000000000100e+003	1.109098e+000
1.740000000000100e+003	1.110021e+000
1.750000000000100e+003	1.110945e+000
1.760000000000100e+003	1.111872e+000
1.770000000000100e+003	1.112791e+000
1.780000000000100e+003	1.113719e+000
1.790000000000100e+003	1.114638e+000
1.800000000000100e+003	1.115562e+000
1.810000000000100e+003	1.116485e+000
1.820000000000100e+003	1.117428e+000
1.830000000000100e+003	1.118332e+000
1.840000000000100e+003	1.119255e+000
1.850000000000100e+003	1.120178e+000
1.860000000000100e+003	1.121102e+000
1.870000000000100e+003	1.122025e+000
1.880000000000100e+003	1.122949e+000
1.890000000000100e+003	1.123873e+000
1.900000000000100e+003	1.124796e+000
1.910000000000100e+003	1.125719e+000
1.920000000000100e+003	1.126642e+000
1.930000000000100e+003	1.127565e+000
1.940000000000100e+003	1.128489e+000
1.950000000000100e+003	1.129412e+000
1.960000000000100e+003	1.130337e+000
1.970000000000100e+003	1.131259e+000
1.980000000000100e+003	1.132182e+000
1.990000000000100e+003	1.133106e+000
2.000000000000100e+003	1.134029e+000
2.010000000000100e+003	1.134952e+000
2.020000000000100e+003	1.135876e+000
2.030000000000100e+003	1.136799e+000
2.040000000000100e+003	1.137722e+000
2.050000000000100e+003	1.138698e+000
2.060000000000100e+003	1.139569e+000
2.070000000000100e+003	1.140492e+000
2.080000000000100e+003	1.141416e+000
2.090000000000100e+003	1.142339e+000
2.100000000000100e+003	1.143263e+000
2.110000000000100e+003	1.144186e+000
2.120000000000100e+003	1.145109e+000
2.130000000000100e+003	1.146033e+000
2.140000000000100e+003	1.146956e+000
2.150000000000100e+003	1.147879e+000
2.160000000000100e+003	1.148803e+000
2.170000000000100e+003	1.149726e+000
2.180000000000100e+003	1.150649e+000
2.190000000000100e+003	1.151573e+000
2.200000000000100e+003	1.152496e+000
2.210000000000100e+003	1.153419e+000
2.220000000000100e+003	1.154343e+000
2.230000000000100e+003	1.155266e+000
2.240000000000100e+003	1.156189e+000
2.250000000000100e+003	1.157113e+000
2.260000000000100e+003	1.158036e+000
2.270000000000100e+003	1.158963e+000
2.280000000000100e+003	1.159883e+000
2.290000000000100e+003	1.160806e+000
2.300000000000100e+003	1.161729e+000
2.310000000000100e+003	1.162653e+000
2.320000000000100e+003	1.163576e+000
2.330000000000100e+003	1.164499e+000
2.340000000000100e+003	1.165423e+000
2.350000000000100e+003	1.166346e+000
2.360000000000100e+003	1.167269e+000
2.370000000000100e+003	1.168193e+000
2.380000000000100e+003	1.169116e+000
2.390000000000100e+003	1.170039e+000
2.400000000000100e+003	1.170963e+000
2.410000000000100e+003	1.171886e+000
2.420000000000100e+003	1.172809e+000
2.430000000000100e+003	1.173733e+000
2.440000000000100e+003	1.174656e+000
2.450000000000100e+003	1.175579e+000
2.460000000000100e+003	1.176502e+000
2.470000000000100e+003	1.177426e+000
2.480000000000100e+003	1.178349e+000
2.490000000000100e+003	1.179273e+000
2.500000000000100e+003	1.180196e+000
2.510000000000100e+003	1.181119e+000
2.520000000000100e+003	1.182042e+000
2.530000000000100e+003	1.182966e+000
2.540000000000100e+003	1.183889e+000
2.550000000000100e+003	1.184812e+000
2.560000000000100e+003	1.185736e+000
2.570000000000100e+003	1.186659e+000
2.580000000000100e+003	1.187598e+000
2.590000000000100e+003	1.188505e+000
2.600000000000100e+003	1.189429e+000
2.610000000000100e+003	1.190352e+000
2.620000000000100e+003	1.191275e+000
2.630000000000100e+003	1.192199e+000
2.640000000000100e+003	1.193122e+000
2.650000000000100e+003	1.194045e+000
2.660000000000100e+003	1.194969e+000
2.670000000000100e+003	1.195892e+000
2.680000000000100e+003	1.196815e+000
2.690000000000100e+003	1.197738e+000
2.700000000000100e+003	1.198662e+000
2.710000000000100e+003	1.199585e+000
2.720000000000100e+003	1.200508e+000
2.730000000000100e+003	1.201432e+000
2.740000000000100e+003	1.202355e+000
2.750000000000100e+003	1.203278e+000
2.760000000000100e+003	1.204243e+000
2.770000000000100e+003	1.205125e+000
2.780000000000100e+003	1.206048e+000
2.790000000000100e+003	1.207192e+000
2.800000000000100e+003	1.207932e+000
2.810000000000100e+003	1.208818e+000
2.820000000000100e+003	1.209741e+000
2.830000000000100e+003	1.210664e+000
2.840000000000100e+003	1.211588e+000
2.850000000000100e+003	1.212511e+000
2.860000000000100e+003	1.213434e+000
2.870000000000100e+003	1.214357e+000
2.880000000000100e+003	1.215281e+000
2.890000000000100e+003	1.216204e+000
2.900000000000100e+003	1.217127e+000
2.910000000000100e+003	1.218051e+000
2.920000000000100e+003	1.218974e+000
2.930000000000100e+003	1.219897e+000
2.940000000000100e+003	1.220820e+000
2.950000000000100e+003	1.221744e+000
2.960000000000100e+003	1.222667e+000
2.970000000000100e+003	1.223670e+000
2.980000000000100e+003	1.224514e+000
2.990000000000100e+003	1.225437e+000
3.000000000000100e+003	1.226360e+000
3.010000000000100e+003	1.227283e+000
3.020000000000100e+003	1.228207e+000
3.030000000000100e+003	1.229130e+000
3.040000000000100e+003	1.230223e+000
3.050000000000100e+003	1.230976e+000
3.060000000000100e+003	1.231900e+000
3.070000000000100e+003	1.232823e+000
3.080000000000100e+003	1.233746e+000
3.090000000000100e+003	1.234669e+000
3.100000000000100e+003	1.235615e+000
3.110000000000100e+003	1.236516e+000
3.120000000000100e+003	1.237439e+000
3.130000000000100e+003	1.238362e+000
3.140000000000100e+003	1.239300e+000
3.150000000000100e+003	1.240209e+000
