riadj	-I(Rl)
1.000000000000000e-010	2.054157e+000
1.000000000010000e+001	2.043936e+000
2.000000000010000e+001	2.033815e+000
3.000000000010000e+001	2.023794e+000
4.000000000010000e+001	2.013871e+000
5.000000000010000e+001	2.004045e+000
6.000000000010000e+001	1.994314e+000
7.000000000010000e+001	1.984677e+000
8.000000000010000e+001	1.975133e+000
9.000000000010000e+001	1.965679e+000
1.000000000001000e+002	1.956316e+000
1.100000000001000e+002	1.947042e+000
1.200000000001000e+002	1.937854e+000
1.300000000001000e+002	1.928754e+000
1.400000000001000e+002	1.919738e+000
1.500000000001000e+002	1.910805e+000
1.600000000001000e+002	1.901956e+000
1.700000000001000e+002	1.893188e+000
1.800000000001000e+002	1.884500e+000
1.900000000001000e+002	1.875892e+000
2.000000000001000e+002	1.867362e+000
2.100000000001000e+002	1.858909e+000
2.200000000001000e+002	1.850532e+000
2.300000000001000e+002	1.842230e+000
2.400000000001000e+002	1.834002e+000
2.500000000001000e+002	1.825850e+000
2.600000000001000e+002	1.817765e+000
2.700000000001000e+002	1.809754e+000
2.800000000001000e+002	1.801813e+000
2.900000000001000e+002	1.793941e+000
3.000000000001000e+002	1.786138e+000
3.100000000001000e+002	1.778402e+000
3.200000000001000e+002	1.770733e+000
3.300000000001000e+002	1.763130e+000
3.400000000001000e+002	1.755592e+000
3.500000000001000e+002	1.748117e+000
3.600000000001000e+002	1.740706e+000
3.700000000001000e+002	1.733358e+000
3.800000000001000e+002	1.726071e+000
3.900000000001000e+002	1.718846e+000
4.000000000001000e+002	1.711680e+000
4.100000000001000e+002	1.704574e+000
4.200000000001000e+002	1.697527e+000
4.300000000001000e+002	1.690538e+000
4.400000000001000e+002	1.683606e+000
4.500000000001000e+002	1.676730e+000
4.600000000001000e+002	1.669911e+000
4.700000000001000e+002	1.663146e+000
4.800000000001000e+002	1.656436e+000
4.900000000001000e+002	1.649780e+000
5.000000000001000e+002	1.643178e+000
5.100000000001000e+002	1.636627e+000
5.200000000001000e+002	1.630129e+000
5.300000000001000e+002	1.623682e+000
5.400000000001000e+002	1.617286e+000
5.500000000001000e+002	1.610940e+000
5.600000000001000e+002	1.604644e+000
5.700000000001000e+002	1.598397e+000
5.800000000001000e+002	1.592198e+000
5.900000000001000e+002	1.586046e+000
6.000000000001000e+002	1.579943e+000
6.100000000001000e+002	1.573886e+000
6.200000000001000e+002	1.567875e+000
6.300000000001000e+002	1.561910e+000
6.400000000001000e+002	1.555990e+000
6.500000000001000e+002	1.550115e+000
6.600000000001000e+002	1.544284e+000
6.700000000001000e+002	1.538496e+000
6.800000000001000e+002	1.532752e+000
6.900000000001000e+002	1.527050e+000
7.000000000001000e+002	1.521391e+000
7.100000000001000e+002	1.515774e+000
7.200000000001000e+002	1.510197e+000
7.300000000001000e+002	1.504662e+000
7.400000000001000e+002	1.499167e+000
7.500000000001000e+002	1.493712e+000
7.600000000001000e+002	1.488296e+000
7.700000000001000e+002	1.482920e+000
7.800000000001000e+002	1.477582e+000
7.900000000001000e+002	1.472283e+000
8.000000000001000e+002	1.467021e+000
8.100000000001000e+002	1.461797e+000
8.200000000001000e+002	1.456610e+000
8.300000000001000e+002	1.451459e+000
8.400000000001000e+002	1.446345e+000
8.500000000001000e+002	1.441266e+000
8.600000000001000e+002	1.436223e+000
8.700000000001000e+002	1.431216e+000
8.800000000001000e+002	1.426243e+000
8.900000000001000e+002	1.421304e+000
9.000000000001000e+002	1.416400e+000
9.100000000001000e+002	1.411529e+000
9.200000000001000e+002	1.406691e+000
9.300000000001000e+002	1.401887e+000
9.400000000001000e+002	1.397115e+000
9.500000000001000e+002	1.392376e+000
9.600000000001000e+002	1.387668e+000
9.700000000001000e+002	1.382993e+000
9.800000000001000e+002	1.378348e+000
9.900000000001000e+002	1.373735e+000
1.000000000000100e+003	1.369152e+000
1.010000000000100e+003	1.364600e+000
1.020000000000100e+003	1.360078e+000
1.030000000000100e+003	1.355586e+000
1.040000000000100e+003	1.351124e+000
1.050000000000100e+003	1.346691e+000
1.060000000000100e+003	1.342286e+000
1.070000000000100e+003	1.337911e+000
1.080000000000100e+003	1.333563e+000
1.090000000000100e+003	1.329244e+000
1.100000000000100e+003	1.324953e+000
1.110000000000100e+003	1.320689e+000
1.120000000000100e+003	1.316453e+000
1.130000000000100e+003	1.312244e+000
1.140000000000100e+003	1.308061e+000
1.150000000000100e+003	1.303905e+000
1.160000000000100e+003	1.299776e+000
1.170000000000100e+003	1.295672e+000
1.180000000000100e+003	1.291595e+000
1.190000000000100e+003	1.287542e+000
1.200000000000100e+003	1.283516e+000
1.210000000000100e+003	1.279514e+000
1.220000000000100e+003	1.275537e+000
1.230000000000100e+003	1.271584e+000
1.240000000000100e+003	1.267656e+000
1.250000000000100e+003	1.263753e+000
1.260000000000100e+003	1.259873e+000
1.270000000000100e+003	1.256017e+000
1.280000000000100e+003	1.252184e+000
1.290000000000100e+003	1.248375e+000
1.300000000000100e+003	1.244589e+000
1.310000000000100e+003	1.240826e+000
1.320000000000100e+003	1.237085e+000
1.330000000000100e+003	1.233367e+000
1.340000000000100e+003	1.229671e+000
1.350000000000100e+003	1.225997e+000
1.360000000000100e+003	1.222345e+000
1.370000000000100e+003	1.218715e+000
1.380000000000100e+003	1.215106e+000
1.390000000000100e+003	1.211518e+000
1.400000000000100e+003	1.207952e+000
1.410000000000100e+003	1.204406e+000
1.420000000000100e+003	1.200881e+000
1.430000000000100e+003	1.197377e+000
1.440000000000100e+003	1.193893e+000
1.450000000000100e+003	1.190429e+000
1.460000000000100e+003	1.186986e+000
1.470000000000100e+003	1.183562e+000
1.480000000000100e+003	1.180158e+000
1.490000000000100e+003	1.176773e+000
1.500000000000100e+003	1.173408e+000
1.510000000000100e+003	1.170062e+000
1.520000000000100e+003	1.166735e+000
1.530000000000100e+003	1.163426e+000
1.540000000000100e+003	1.160137e+000
1.550000000000100e+003	1.156866e+000
1.560000000000100e+003	1.153613e+000
1.570000000000100e+003	1.150378e+000
1.580000000000100e+003	1.147162e+000
1.590000000000100e+003	1.143963e+000
1.600000000000100e+003	1.140783e+000
1.610000000000100e+003	1.137620e+000
1.620000000000100e+003	1.134474e+000
1.630000000000100e+003	1.131346e+000
1.640000000000100e+003	1.128235e+000
1.650000000000100e+003	1.125141e+000
1.660000000000100e+003	1.122064e+000
1.670000000000100e+003	1.119003e+000
1.680000000000100e+003	1.115959e+000
1.690000000000100e+003	1.112932e+000
1.700000000000100e+003	1.109921e+000
1.710000000000100e+003	1.106926e+000
1.720000000000100e+003	1.103948e+000
1.730000000000100e+003	1.100985e+000
1.740000000000100e+003	1.098038e+000
1.750000000000100e+003	1.095107e+000
1.760000000000100e+003	1.092192e+000
1.770000000000100e+003	1.089292e+000
1.780000000000100e+003	1.086407e+000
1.790000000000100e+003	1.083538e+000
1.800000000000100e+003	1.080683e+000
1.810000000000100e+003	1.077844e+000
1.820000000000100e+003	1.075019e+000
1.830000000000100e+003	1.072210e+000
1.840000000000100e+003	1.069415e+000
1.850000000000100e+003	1.066634e+000
1.860000000000100e+003	1.063868e+000
1.870000000000100e+003	1.061116e+000
1.880000000000100e+003	1.058378e+000
1.890000000000100e+003	1.055655e+000
1.900000000000100e+003	1.052945e+000
1.910000000000100e+003	1.050249e+000
1.920000000000100e+003	1.047567e+000
1.930000000000100e+003	1.044899e+000
1.940000000000100e+003	1.042244e+000
1.950000000000100e+003	1.039602e+000
1.960000000000100e+003	1.036974e+000
1.970000000000100e+003	1.034359e+000
1.980000000000100e+003	1.031757e+000
1.990000000000100e+003	1.029169e+000
2.000000000000100e+003	1.026593e+000
2.010000000000100e+003	1.024030e+000
2.020000000000100e+003	1.021480e+000
2.030000000000100e+003	1.018942e+000
2.040000000000100e+003	1.016418e+000
2.050000000000100e+003	1.013905e+000
2.060000000000100e+003	1.011405e+000
2.070000000000100e+003	1.008917e+000
2.080000000000100e+003	1.006442e+000
2.090000000000100e+003	1.003978e+000
2.100000000000100e+003	1.001526e+000
2.110000000000100e+003	9.990869e-001
2.120000000000100e+003	9.966592e-001
2.130000000000100e+003	9.942433e-001
2.140000000000100e+003	9.918389e-001
2.150000000000100e+003	9.894462e-001
2.160000000000100e+003	9.870650e-001
2.170000000000100e+003	9.846952e-001
2.180000000000100e+003	9.823368e-001
2.190000000000100e+003	9.799896e-001
2.200000000000100e+003	9.776534e-001
2.210000000000100e+003	9.753286e-001
2.220000000000100e+003	9.730147e-001
2.230000000000100e+003	9.707117e-001
2.240000000000100e+003	9.684196e-001
2.250000000000100e+003	9.661382e-001
2.260000000000100e+003	9.638676e-001
2.270000000000100e+003	9.616076e-001
2.280000000000100e+003	9.593582e-001
2.290000000000100e+003	9.571192e-001
2.300000000000100e+003	9.548907e-001
2.310000000000100e+003	9.526725e-001
2.320000000000100e+003	9.504646e-001
2.330000000000100e+003	9.482669e-001
2.340000000000100e+003	9.460793e-001
2.350000000000100e+003	9.439018e-001
2.360000000000100e+003	9.417342e-001
2.370000000000100e+003	9.395766e-001
2.380000000000100e+003	9.374288e-001
2.390000000000100e+003	9.352908e-001
