rl	V(current_feedback)	V(voltage_feedback)	V(vout)	-I(Rl)
1.000000000000000e-010	1.027619e+000	2.675620e-002	2.054156e-010	2.054156e+000
1.000000010000000e-002	1.027609e+000	2.880323e-002	2.054136e-002	2.054136e+000
2.000000010000000e-002	1.027598e+000	3.085022e-002	4.108229e-002	2.054114e+000
3.000000010000000e-002	1.027586e+000	3.289717e-002	6.162282e-002	2.054094e+000
4.000000010000000e-002	1.027575e+000	3.494408e-002	8.216295e-002	2.054074e+000
5.000000010000000e-002	1.027565e+000	3.699098e-002	1.027027e-001	2.054053e+000
6.000000010000001e-002	1.027554e+000	3.903779e-002	1.232420e-001	2.054033e+000
7.000000010000000e-002	1.027543e+000	4.108458e-002	1.437809e-001	2.054012e+000
8.000000010000000e-002	1.027532e+000	4.313133e-002	1.643193e-001	2.053992e+000
9.000000009999999e-002	1.027521e+000	4.517803e-002	1.848574e-001	2.053971e+000
1.000000001000000e-001	1.027510e+000	4.722470e-002	2.053950e-001	2.053950e+000
1.100000001000000e-001	1.027499e+000	4.927133e-002	2.259323e-001	2.053930e+000
1.200000001000000e-001	1.027488e+000	5.131792e-002	2.464691e-001	2.053909e+000
1.300000001000000e-001	1.027477e+000	5.336447e-002	2.670055e-001	2.053889e+000
1.400000001000000e-001	1.027466e+000	5.541098e-002	2.875415e-001	2.053868e+000
1.500000001000000e-001	1.027455e+000	5.745745e-002	3.080772e-001	2.053848e+000
1.600000001000000e-001	1.027444e+000	5.950390e-002	3.286123e-001	2.053827e+000
1.700000001000000e-001	1.027433e+000	6.155027e-002	3.491471e-001	2.053807e+000
1.800000001000000e-001	1.027422e+000	6.359661e-002	3.696815e-001	2.053786e+000
1.900000001000000e-001	1.027411e+000	6.564293e-002	3.902155e-001	2.053766e+000
2.000000001000001e-001	1.027400e+000	6.768943e-002	4.107490e-001	2.053745e+000
2.100000001000001e-001	1.027389e+000	6.973542e-002	4.312822e-001	2.053725e+000
2.200000001000001e-001	1.027378e+000	7.178161e-002	4.518149e-001	2.053704e+000
2.300000001000001e-001	1.027367e+000	7.382777e-002	4.723473e-001	2.053684e+000
2.400000001000001e-001	1.027357e+000	7.587387e-002	4.928792e-001	2.053663e+000
2.500000001000001e-001	1.027346e+000	7.791994e-002	5.134107e-001	2.053643e+000
