Freq.	V(vout)/-I(Vp)
1.00000000000000e-001	9.57364597917090e+002,-1.80739424193008e+001
1.01009900990099e+001	2.06640485695750e+002,-3.93782199840866e+002
2.01019801980198e+001	6.23272741864960e+001,-2.35890358109692e+002
3.01029702970297e+001	2.89272618546317e+001,-1.63397439890868e+002
4.01039603960396e+001	1.65928541354173e+001,-1.24278788499001e+002
5.01049504950495e+001	1.07603105948349e+001,-1.00089149052502e+002
6.01059405940594e+001	7.55756517478329e+000,-8.37176019655720e+001
7.01069306930693e+001	5.61424242650454e+000,-7.19218347051837e+001
8.01079207920792e+001	4.34789639750288e+000,-6.30265773132979e+001
9.01089108910891e+001	3.47732952852849e+000,-5.60825928285445e+001
1.00109900990099e+002	2.85340757864394e+000,-5.05129734927548e+001
1.10110891089109e+002	2.39111008514339e+000,-4.59473220281940e+001
1.20111881188119e+002	2.03910692500301e+000,-4.21371186615688e+001
1.30112871287129e+002	1.76492851106418e+000,-3.89094847994103e+001
1.40113861386139e+002	1.54722539935776e+000,-3.61404801675682e+001
1.50114851485148e+002	1.37149424309692e+000,-3.37389516900049e+001
1.60115841584158e+002	1.22760375063176e+000,-3.16363757188579e+001
1.70116831683168e+002	1.10830390831007e+000,-2.97802526423637e+001
1.80117821782178e+002	1.00829607288796e+000,-2.81296855765808e+001
1.90118811881188e+002	9.23635176979940e-001,-2.66523452741404e+001
2.00119801980198e+002	8.51335126424070e-001,-2.53223397280704e+001
2.10120792079208e+002	7.89102139876885e-001,-2.41186889458951e+001
2.20121782178218e+002	7.35150735897894e-001,-2.30242135170858e+001
2.30122772277228e+002	6.88074344302757e-001,-2.20247117362714e+001
2.40123762376238e+002	6.46752767541436e-001,-2.11083415473110e+001
2.50124752475247e+002	6.10284971238641e-001,-2.02651502251451e+001
2.60125742574257e+002	5.77939579679223e-001,-1.94867121904501e+001
2.70126732673267e+002	5.49117940957059e-001,-1.87658470336856e+001
2.80127722772277e+002	5.23326242681885e-001,-1.80963977698781e+001
2.90128712871287e+002	5.00154229596734e-001,-1.74730548354205e+001
3.00129702970297e+002	4.79258795846950e-001,-1.68912151877519e+001
3.10130693069307e+002	4.60351216209481e-001,-1.63468686051497e+001
3.20131683168317e+002	4.43187122853873e-001,-1.58365052532058e+001
3.30132673267327e+002	4.27558572572159e-001,-1.53570400188032e+001
3.40133663366337e+002	4.13287721104967e-001,-1.49057501679533e+001
3.50134653465347e+002	4.00221743083533e-001,-1.44802236689631e+001
