rl	V(vout)	-I(Rl)
1.000000000000000e-010	2.054157e-010	2.054157e+000
1.000000010000000e-002	2.054136e-002	2.054136e+000
2.000000010000000e-002	4.108229e-002	2.054115e+000
3.000000010000000e-002	6.162279e-002	2.054093e+000
4.000000010000000e-002	8.216286e-002	2.054072e+000
5.000000010000000e-002	1.027025e-001	2.054050e+000
6.000000010000001e-002	1.232417e-001	2.054029e+000
7.000000010000000e-002	1.437805e-001	2.054008e+000
8.000000010000000e-002	1.643189e-001	2.053986e+000
9.000000009999999e-002	1.848568e-001	2.053965e+000
1.000000001000000e-001	2.053943e-001	2.053943e+000
1.100000001000000e-001	2.259314e-001	2.053922e+000
1.200000001000000e-001	2.464681e-001	2.053900e+000
1.300000001000000e-001	2.670043e-001	2.053879e+000
1.400000001000000e-001	2.875401e-001	2.053858e+000
1.500000001000000e-001	3.080755e-001	2.053836e+000
1.600000001000000e-001	3.286104e-001	2.053815e+000
1.700000001000000e-001	3.491450e-001	2.053794e+000
1.800000001000000e-001	3.696791e-001	2.053772e+000
1.900000001000000e-001	3.902127e-001	2.053751e+000
2.000000001000001e-001	4.107460e-001	2.053730e+000
2.100000001000001e-001	4.312788e-001	2.053709e+000
2.200000001000001e-001	4.518112e-001	2.053687e+000
2.300000001000001e-001	4.723432e-001	2.053666e+000
2.400000001000001e-001	4.928747e-001	2.053645e+000
2.500000001000001e-001	5.134059e-001	2.053623e+000
2.600000001000001e-001	5.339366e-001	2.053602e+000
2.700000001000001e-001	5.544669e-001	2.053581e+000
2.800000001000001e-001	5.749967e-001	2.053560e+000
2.900000001000001e-001	5.955262e-001	2.053539e+000
3.000000001000001e-001	6.160552e-001	2.053517e+000
3.100000001000001e-001	6.365838e-001	2.053496e+000
3.200000001000001e-001	6.571119e-001	2.053475e+000
3.300000001000001e-001	6.776397e-001	2.053454e+000
3.400000001000001e-001	6.981670e-001	2.053432e+000
3.500000001000002e-001	7.186940e-001	2.053411e+000
3.600000001000002e-001	7.392204e-001	2.053390e+000
3.700000001000002e-001	7.597465e-001	2.053369e+000
3.800000001000002e-001	7.802721e-001	2.053348e+000
3.900000001000002e-001	8.007973e-001	2.053327e+000
4.000000001000002e-001	8.213222e-001	2.053305e+000
4.100000001000002e-001	8.418466e-001	2.053284e+000
4.200000001000002e-001	8.623706e-001	2.053263e+000
4.300000001000002e-001	8.828940e-001	2.053242e+000
4.400000001000002e-001	9.034172e-001	2.053221e+000
4.500000001000002e-001	9.239399e-001	2.053200e+000
4.600000001000003e-001	9.444622e-001	2.053179e+000
4.700000001000003e-001	9.649841e-001	2.053158e+000
4.800000001000003e-001	9.855055e-001	2.053136e+000
4.900000001000003e-001	1.006027e+000	2.053115e+000
5.000000001000002e-001	1.026547e+000	2.053094e+000
5.100000001000002e-001	1.047067e+000	2.053073e+000
5.200000001000003e-001	1.067587e+000	2.053052e+000
5.300000001000003e-001	1.088107e+000	2.053031e+000
5.400000001000003e-001	1.108625e+000	2.053010e+000
5.500000001000003e-001	1.129144e+000	2.052989e+000
5.600000001000003e-001	1.149662e+000	2.052968e+000
5.700000001000003e-001	1.170180e+000	2.052947e+000
5.800000001000003e-001	1.190697e+000	2.052926e+000
5.900000001000003e-001	1.211214e+000	2.052905e+000
6.000000001000003e-001	1.231730e+000	2.052884e+000
6.100000001000003e-001	1.252246e+000	2.052863e+000
6.200000001000003e-001	1.272762e+000	2.052842e+000
6.300000001000004e-001	1.293277e+000	2.052821e+000
6.400000001000004e-001	1.313792e+000	2.052800e+000
6.500000001000004e-001	1.334306e+000	2.052779e+000
6.600000001000004e-001	1.354820e+000	2.052758e+000
6.700000001000004e-001	1.375334e+000	2.052737e+000
6.800000001000004e-001	1.395847e+000	2.052716e+000
6.900000001000004e-001	1.416359e+000	2.052695e+000
7.000000001000004e-001	1.436871e+000	2.052674e+000
7.100000001000004e-001	1.457383e+000	2.052652e+000
7.200000001000004e-001	1.477894e+000	2.052631e+000
7.300000001000004e-001	1.498405e+000	2.052609e+000
7.400000001000004e-001	1.518915e+000	2.052587e+000
7.500000001000005e-001	1.539424e+000	2.052565e+000
7.600000001000005e-001	1.559932e+000	2.052542e+000
7.700000001000005e-001	1.580438e+000	2.052518e+000
7.800000001000005e-001	1.600944e+000	2.052492e+000
7.900000001000005e-001	1.621446e+000	2.052464e+000
8.000000001000005e-001	1.641946e+000	2.052432e+000
8.100000001000005e-001	1.662440e+000	2.052395e+000
8.200000001000005e-001	1.682928e+000	2.052351e+000
8.300000001000005e-001	1.703405e+000	2.052295e+000
8.400000001000005e-001	1.723867e+000	2.052222e+000
8.500000001000005e-001	1.744306e+000	2.052125e+000
8.600000001000006e-001	1.764712e+000	2.051991e+000
8.700000001000006e-001	1.785068e+000	2.051802e+000
8.800000001000006e-001	1.805350e+000	2.051534e+000
8.900000001000006e-001	1.825521e+000	2.051147e+000
9.000000001000006e-001	1.845530e+000	2.050589e+000
9.100000001000006e-001	1.865300e+000	2.049781e+000
9.200000001000006e-001	1.884724e+000	2.048613e+000
9.300000001000006e-001	1.903650e+000	2.046936e+000
9.400000001000006e-001	1.921879e+000	2.044553e+000
9.500000001000006e-001	1.939158e+000	2.041219e+000
9.600000001000006e-001	1.955190e+000	2.036656e+000
9.700000001000007e-001	1.969669e+000	2.030586e+000
9.800000001000007e-001	1.982328e+000	2.022784e+000
9.900000001000007e-001	1.993003e+000	2.013134e+000
1.000000000100001e+000	2.001673e+000	2.001673e+000
1.010000000100001e+000	2.008471e+000	1.988585e+000
1.020000000100001e+000	2.013635e+000	1.974152e+000
1.030000000100001e+000	2.017464e+000	1.958703e+000
1.040000000100001e+000	2.020250e+000	1.942548e+000
1.050000000100001e+000	2.022252e+000	1.925955e+000
1.060000000100001e+000	2.023682e+000	1.909134e+000
1.070000000100001e+000	2.024699e+000	1.892242e+000
1.080000000100001e+000	2.025507e+000	1.875470e+000
1.090000000100001e+000	2.025939e+000	1.858660e+000
1.100000000100001e+000	2.026308e+000	1.842098e+000
1.110000000100001e+000	2.026573e+000	1.825742e+000
1.120000000100001e+000	2.026766e+000	1.809612e+000
1.130000000100001e+000	2.026917e+000	1.793731e+000
1.140000000100001e+000	2.027008e+000	1.778077e+000
1.150000000100001e+000	2.027084e+000	1.762681e+000
1.160000000100001e+000	2.027140e+000	1.747535e+000
1.170000000100001e+000	2.027183e+000	1.732635e+000
1.180000000100001e+000	2.027216e+000	1.717979e+000
1.190000000100001e+000	2.027241e+000	1.703564e+000
1.200000000100001e+000	2.027261e+000	1.689384e+000
1.210000000100001e+000	2.027277e+000	1.675435e+000
1.220000000100001e+000	2.027289e+000	1.661712e+000
1.230000000100001e+000	2.027300e+000	1.648211e+000
1.240000000100001e+000	2.027308e+000	1.634926e+000
1.250000000100001e+000	2.027316e+000	1.621853e+000
1.260000000100001e+000	2.027323e+000	1.608986e+000
1.270000000100001e+000	2.027328e+000	1.596321e+000
1.280000000100001e+000	2.027333e+000	1.583854e+000
1.290000000100001e+000	2.027338e+000	1.571580e+000
1.300000000100001e+000	2.027342e+000	1.559494e+000
1.310000000100001e+000	2.027346e+000	1.547593e+000
1.320000000100001e+000	2.027350e+000	1.535871e+000
1.330000000100001e+000	2.027354e+000	1.524326e+000
1.340000000100001e+000	2.027357e+000	1.512953e+000
1.350000000100001e+000	2.027360e+000	1.501749e+000
1.360000000100001e+000	2.027393e+000	1.490730e+000
1.370000000100001e+000	2.027367e+000	1.479830e+000
1.380000000100001e+000	2.027370e+000	1.469109e+000
1.390000000100001e+000	2.027373e+000	1.458542e+000
1.400000000100001e+000	2.027376e+000	1.448125e+000
1.410000000100001e+000	2.027379e+000	1.437857e+000
1.420000000100001e+000	2.027381e+000	1.427733e+000
1.430000000100001e+000	2.027384e+000	1.417751e+000
1.440000000100001e+000	2.027386e+000	1.407907e+000
1.450000000100001e+000	2.027389e+000	1.398199e+000
1.460000000100001e+000	2.027392e+000	1.388624e+000
1.470000000100001e+000	2.027394e+000	1.379180e+000
1.480000000100001e+000	2.027397e+000	1.369863e+000
1.490000000100001e+000	2.027399e+000	1.360671e+000
1.500000000100001e+000	2.027401e+000	1.351601e+000
1.510000000100001e+000	2.027404e+000	1.342652e+000
1.520000000100001e+000	2.027406e+000	1.333820e+000
1.530000000100001e+000	2.027409e+000	1.325104e+000
1.540000000100001e+000	2.027411e+000	1.316501e+000
1.550000000100001e+000	2.027413e+000	1.308008e+000
1.560000000100001e+000	2.027415e+000	1.299625e+000
1.570000000100001e+000	2.027417e+000	1.291349e+000
1.580000000100001e+000	2.027420e+000	1.283177e+000
1.590000000100001e+000	2.027422e+000	1.275108e+000
1.600000000100001e+000	2.027424e+000	1.267140e+000
1.610000000100001e+000	2.027426e+000	1.259271e+000
1.620000000100001e+000	2.027428e+000	1.251499e+000
1.630000000100001e+000	2.027434e+000	1.243825e+000
1.640000000100001e+000	2.027432e+000	1.236239e+000
1.650000000100001e+000	2.027434e+000	1.228748e+000
1.660000000100001e+000	2.027436e+000	1.221347e+000
1.670000000100001e+000	2.027438e+000	1.214035e+000
1.680000000100001e+000	2.027440e+000	1.206809e+000
1.690000000100001e+000	2.027442e+000	1.199669e+000
1.700000000100001e+000	2.027443e+000	1.192614e+000
1.710000000100001e+000	2.027445e+000	1.185640e+000
1.720000000100001e+000	2.027447e+000	1.178748e+000
1.730000000100001e+000	2.027449e+000	1.171936e+000
1.740000000100001e+000	2.027450e+000	1.165201e+000
1.750000000100001e+000	2.027452e+000	1.158544e+000
1.760000000100001e+000	2.027454e+000	1.151962e+000
1.770000000100001e+000	2.027456e+000	1.145455e+000
1.780000000100001e+000	2.027457e+000	1.139021e+000
1.790000000100001e+000	2.027459e+000	1.132659e+000
1.800000000100001e+000	2.027461e+000	1.126367e+000
1.810000000100001e+000	2.027462e+000	1.120145e+000
1.820000000100001e+000	2.027464e+000	1.113991e+000
1.830000000100001e+000	2.027465e+000	1.107905e+000
1.840000000100001e+000	2.027467e+000	1.101884e+000
1.850000000100001e+000	2.027468e+000	1.095929e+000
1.860000000100001e+000	2.027470e+000	1.090038e+000
1.870000000100001e+000	2.027472e+000	1.084209e+000
1.880000000100002e+000	2.027473e+000	1.078443e+000
1.890000000100002e+000	2.027475e+000	1.072738e+000
1.900000000100002e+000	2.027476e+000	1.067093e+000
1.910000000100002e+000	2.027478e+000	1.061507e+000
1.920000000100002e+000	2.027479e+000	1.055979e+000
1.930000000100002e+000	2.027480e+000	1.050508e+000
1.940000000100002e+000	2.027482e+000	1.045094e+000
1.950000000100002e+000	2.027483e+000	1.039735e+000
1.960000000100002e+000	2.027485e+000	1.034431e+000
1.970000000100002e+000	2.027486e+000	1.029181e+000
1.980000000100002e+000	2.027487e+000	1.023983e+000
1.990000000100002e+000	2.027490e+000	1.018839e+000
2.000000000100001e+000	2.027490e+000	1.013745e+000
2.010000000100001e+000	2.027491e+000	1.008702e+000
2.020000000100001e+000	2.027493e+000	1.003709e+000
2.030000000100001e+000	2.027494e+000	9.987655e-001
2.040000000100001e+000	2.027495e+000	9.938701e-001
2.050000000100000e+000	2.027496e+000	9.890226e-001
2.060000000100000e+000	2.027498e+000	9.842222e-001
2.070000000100000e+000	2.027499e+000	9.794680e-001
2.080000000100000e+000	2.027500e+000	9.747597e-001
2.090000000099999e+000	2.027501e+000	9.700963e-001
2.100000000099999e+000	2.027503e+000	9.654774e-001
2.110000000099999e+000	2.027504e+000	9.609022e-001
2.120000000099999e+000	2.027505e+000	9.563702e-001
2.130000000099999e+000	2.027506e+000	9.518808e-001
2.140000000099998e+000	2.027507e+000	9.474333e-001
2.150000000099998e+000	2.027508e+000	9.430271e-001
2.160000000099998e+000	2.027509e+000	9.386618e-001
2.170000000099998e+000	2.027511e+000	9.343367e-001
2.180000000099998e+000	2.027512e+000	9.300513e-001
2.190000000099997e+000	2.027513e+000	9.258050e-001
2.200000000099997e+000	2.027514e+000	9.215972e-001
2.210000000099997e+000	2.027515e+000	9.174276e-001
2.220000000099997e+000	2.027516e+000	9.132956e-001
2.230000000099996e+000	2.027517e+000	9.092005e-001
2.240000000099996e+000	2.027518e+000	9.051421e-001
2.250000000099996e+000	2.027519e+000	9.011197e-001
2.260000000099996e+000	2.027520e+000	8.971329e-001
2.270000000099996e+000	2.027521e+000	8.931812e-001
2.280000000099995e+000	2.027522e+000	8.892642e-001
2.290000000099995e+000	2.027523e+000	8.853814e-001
2.300000000099995e+000	2.027524e+000	8.815324e-001
