vi	V(vout)
1.000000000000000e+000	-2.716618e-004
1.010000000000000e+000	-2.701829e-004
1.020000000000000e+000	-2.687041e-004
1.030000000000000e+000	-2.672253e-004
1.040000000000000e+000	-2.657468e-004
1.050000000000000e+000	-2.642683e-004
1.060000000000000e+000	-2.627899e-004
1.070000000000000e+000	-2.613116e-004
1.080000000000000e+000	-2.598334e-004
1.090000000000000e+000	-2.583553e-004
1.100000000000000e+000	-2.568772e-004
1.110000000000000e+000	-2.553991e-004
1.120000000000000e+000	-2.539210e-004
1.130000000000000e+000	-2.524428e-004
1.140000000000000e+000	-2.509645e-004
1.150000000000000e+000	-2.494860e-004
1.160000000000000e+000	-2.480068e-004
1.170000000000000e+000	-2.465272e-004
1.180000000000000e+000	-2.450466e-004
1.190000000000000e+000	-2.435648e-004
1.200000000000000e+000	-2.420813e-004
1.210000000000000e+000	-2.405953e-004
1.220000000000000e+000	-2.391060e-004
1.230000000000000e+000	-2.376121e-004
1.240000000000000e+000	-2.361119e-004
1.250000000000000e+000	-2.346031e-004
1.260000000000000e+000	-2.330826e-004
1.270000000000000e+000	-2.315463e-004
1.280000000000000e+000	-2.299883e-004
1.290000000000000e+000	-2.284011e-004
1.300000000000000e+000	-2.267739e-004
1.310000000000000e+000	-2.250928e-004
1.320000000000000e+000	-2.233383e-004
1.330000000000000e+000	-2.214844e-004
1.340000000000000e+000	-2.194956e-004
1.350000000000000e+000	-2.173239e-004
1.360000000000000e+000	-2.149044e-004
1.370000000000000e+000	-2.121489e-004
1.380000000000000e+000	-2.089380e-004
1.390000000000000e+000	-2.051099e-004
1.400000000000000e+000	-2.004455e-004
1.410000000000000e+000	-1.946482e-004
1.420000000000000e+000	-1.873163e-004
1.430000000000000e+000	-1.779062e-004
1.440000000000000e+000	-1.656826e-004
1.450000000000000e+000	-1.496518e-004
1.460000000000000e+000	-1.284714e-004
1.470000000000000e+000	-1.003316e-004
1.480000000000000e+000	-6.279280e-005
1.490000000000000e+000	-1.258049e-005
1.500000000000000e+000	5.469507e-005
1.510000000000001e+000	1.448913e-004
1.520000000000001e+000	2.657839e-004
1.530000000000001e+000	4.276220e-004
1.540000000000001e+000	6.437883e-004
1.550000000000001e+000	9.315406e-004
1.560000000000001e+000	1.312770e-003
1.570000000000001e+000	1.814652e-003
1.580000000000001e+000	2.469996e-003
1.590000000000001e+000	3.317023e-003
1.600000000000001e+000	4.398280e-003
1.610000000000001e+000	5.758513e-003
1.620000000000001e+000	7.441516e-003
1.630000000000001e+000	9.486409e-003
1.640000000000001e+000	1.192394e-002
1.650000000000001e+000	1.477522e-002
1.660000000000001e+000	1.805154e-002
1.670000000000001e+000	2.177371e-002
1.680000000000001e+000	2.606369e-002
1.690000000000001e+000	3.140932e-002
1.700000000000001e+000	3.825731e-002
1.710000000000001e+000	4.617174e-002
1.720000000000001e+000	5.463488e-002
1.730000000000001e+000	6.338746e-002
1.740000000000001e+000	7.230687e-002
1.750000000000001e+000	8.132990e-002
1.760000000000001e+000	9.041870e-002
1.770000000000001e+000	9.955838e-002
1.780000000000001e+000	1.087289e-001
1.790000000000001e+000	1.179237e-001
1.800000000000001e+000	1.271372e-001
1.810000000000001e+000	1.363649e-001
1.820000000000001e+000	1.456044e-001
1.830000000000001e+000	1.548537e-001
1.840000000000001e+000	1.641111e-001
1.850000000000001e+000	1.733756e-001
1.860000000000001e+000	1.826463e-001
1.870000000000001e+000	1.919223e-001
1.880000000000001e+000	2.012032e-001
1.890000000000001e+000	2.104884e-001
1.900000000000001e+000	2.197774e-001
1.910000000000001e+000	2.290699e-001
1.920000000000001e+000	2.383638e-001
1.930000000000001e+000	2.476643e-001
1.940000000000001e+000	2.569656e-001
1.950000000000001e+000	2.662694e-001
1.960000000000001e+000	2.755757e-001
1.970000000000001e+000	2.848837e-001
1.980000000000001e+000	2.941978e-001
1.990000000000001e+000	3.035060e-001
2.000000000000001e+000	3.128199e-001
2.010000000000001e+000	3.221353e-001
2.020000000000001e+000	3.314524e-001
2.030000000000000e+000	3.407709e-001
2.040000000000000e+000	3.500909e-001
2.050000000000000e+000	3.594122e-001
2.060000000000000e+000	3.687418e-001
2.069999999999999e+000	3.780590e-001
2.079999999999999e+000	3.873835e-001
2.089999999999999e+000	3.967068e-001
2.099999999999999e+000	4.059381e-001
2.109999999999999e+000	4.153644e-001
2.119999999999998e+000	4.246725e-001
2.129999999999998e+000	4.340238e-001
2.139999999999998e+000	4.433548e-001
2.149999999999998e+000	4.526866e-001
2.159999999999998e+000	4.620192e-001
2.169999999999997e+000	4.713520e-001
2.179999999999997e+000	4.806551e-001
2.189999999999997e+000	4.900219e-001
2.199999999999997e+000	4.993576e-001
2.209999999999996e+000	5.086939e-001
2.219999999999996e+000	5.180309e-001
2.229999999999996e+000	5.273687e-001
2.239999999999996e+000	5.367069e-001
2.249999999999996e+000	5.460458e-001
2.259999999999995e+000	5.553854e-001
2.269999999999995e+000	5.647162e-001
2.279999999999995e+000	5.740662e-001
2.289999999999995e+000	5.834071e-001
2.299999999999995e+000	5.927487e-001
2.309999999999994e+000	6.020908e-001
2.319999999999994e+000	6.114333e-001
2.329999999999994e+000	6.207828e-001
2.339999999999994e+000	6.301197e-001
2.349999999999993e+000	6.394635e-001
2.359999999999993e+000	6.488077e-001
2.369999999999993e+000	6.581580e-001
2.379999999999993e+000	6.674970e-001
2.389999999999993e+000	6.768421e-001
2.399999999999992e+000	6.861874e-001
2.409999999999992e+000	6.955329e-001
2.419999999999992e+000	7.048888e-001
2.429999999999992e+000	7.142422e-001
2.439999999999992e+000	7.235700e-001
2.449999999999991e+000	7.329156e-001
2.459999999999991e+000	7.422611e-001
2.469999999999991e+000	7.516061e-001
2.479999999999991e+000	7.609367e-001
2.489999999999990e+000	7.702948e-001
2.499999999999990e+000	7.796214e-001
2.509999999999990e+000	7.889806e-001
2.519999999999990e+000	7.983220e-001
2.529999999999990e+000	8.076622e-001
2.539999999999989e+000	8.170012e-001
2.549999999999989e+000	8.263389e-001
2.559999999999989e+000	8.356754e-001
2.569999999999989e+000	8.450170e-001
2.579999999999989e+000	8.543450e-001
2.589999999999988e+000	8.636787e-001
2.599999999999988e+000	8.730146e-001
2.609999999999988e+000	8.823443e-001
2.619999999999988e+000	8.916772e-001
2.629999999999988e+000	9.010100e-001
2.639999999999987e+000	9.103442e-001
2.649999999999987e+000	9.196478e-001
2.659999999999987e+000	9.289775e-001
2.669999999999987e+000	9.383489e-001
2.679999999999986e+000	9.476880e-001
2.689999999999986e+000	9.570264e-001
