vi	-I(Rl)
1.000000000000000e+000	-2.721026e-005
1.010000000000000e+000	-2.706217e-005
1.020000000000000e+000	-2.691410e-005
1.030000000000000e+000	-2.676605e-005
1.040000000000000e+000	-2.661800e-005
1.050000000000000e+000	-2.646997e-005
1.060000000000000e+000	-2.632195e-005
1.070000000000000e+000	-2.617395e-005
1.080000000000000e+000	-2.602595e-005
1.090000000000000e+000	-2.587797e-005
1.100000000000000e+000	-2.573000e-005
1.110000000000000e+000	-2.558205e-005
1.120000000000000e+000	-2.543410e-005
1.130000000000000e+000	-2.528616e-005
1.140000000000000e+000	-2.513823e-005
1.150000000000000e+000	-2.499031e-005
1.160000000000000e+000	-2.484240e-005
1.170000000000000e+000	-2.469448e-005
1.180000000000000e+000	-2.454656e-005
1.190000000000000e+000	-2.439863e-005
1.200000000000000e+000	-2.425068e-005
1.210000000000000e+000	-2.410270e-005
1.220000000000000e+000	-2.395467e-005
1.230000000000000e+000	-2.380656e-005
1.240000000000000e+000	-2.365836e-005
1.250000000000000e+000	-2.351001e-005
1.260000000000000e+000	-2.336146e-005
1.270000000000000e+000	-2.321263e-005
1.280000000000000e+000	-2.306342e-005
1.290000000000000e+000	-2.291368e-005
1.300000000000000e+000	-2.276322e-005
1.310000000000000e+000	-2.261179e-005
1.320000000000000e+000	-2.245902e-005
1.330000000000000e+000	-2.230444e-005
1.340000000000000e+000	-2.214740e-005
1.350000000000000e+000	-2.198701e-005
1.360000000000000e+000	-2.182209e-005
1.370000000000000e+000	-2.165102e-005
1.380000000000000e+000	-2.147160e-005
1.390000000000000e+000	-2.128087e-005
1.400000000000000e+000	-2.107480e-005
1.410000000000000e+000	-2.084794e-005
1.420000000000000e+000	-2.059291e-005
1.430000000000000e+000	-2.029970e-005
1.440000000000000e+000	-1.995475e-005
1.450000000000000e+000	-1.953970e-005
1.460000000000000e+000	-1.902967e-005
1.470000000000000e+000	-1.839095e-005
1.480000000000000e+000	-1.757789e-005
1.490000000000000e+000	-1.652865e-005
1.500000000000000e+000	-1.515946e-005
1.510000000000001e+000	-1.335689e-005
1.520000000000001e+000	-1.096729e-005
1.530000000000001e+000	-7.782625e-006
1.540000000000001e+000	-3.521205e-006
1.550000000000001e+000	2.198311e-006
1.560000000000001e+000	9.892075e-006
1.570000000000001e+000	2.025852e-005
1.580000000000001e+000	3.424244e-005
1.590000000000001e+000	5.312126e-005
1.600000000000001e+000	7.862124e-005
1.610000000000001e+000	1.130732e-004
1.620000000000001e+000	1.596211e-004
1.630000000000001e+000	2.224994e-004
1.640000000000001e+000	3.074012e-004
1.650000000000001e+000	4.219604e-004
1.660000000000001e+000	5.763790e-004
1.670000000000001e+000	7.842290e-004
1.680000000000001e+000	1.063469e-003
1.690000000000001e+000	1.437775e-003
1.700000000000001e+000	1.939662e-003
1.710000000000001e+000	2.652782e-003
1.720000000000001e+000	5.125983e-003
1.730000000000001e+000	2.058936e-002
1.740000000000001e+000	4.896789e-002
1.750000000000001e+000	8.230824e-002
1.760000000000001e+000	1.178713e-001
1.770000000000001e+000	1.546674e-001
1.780000000000001e+000	1.922505e-001
1.790000000000001e+000	2.303883e-001
1.800000000000001e+000	2.689461e-001
1.810000000000001e+000	3.078404e-001
1.820000000000001e+000	3.470172e-001
1.830000000000001e+000	3.864388e-001
1.840000000000001e+000	4.260779e-001
1.850000000000001e+000	4.659148e-001
1.860000000000001e+000	5.059338e-001
1.870000000000001e+000	5.461224e-001
1.880000000000001e+000	5.864709e-001
1.890000000000001e+000	6.269704e-001
1.900000000000001e+000	6.676136e-001
1.910000000000001e+000	7.083948e-001
1.920000000000001e+000	7.493058e-001
1.930000000000001e+000	7.903436e-001
1.940000000000001e+000	8.315024e-001
1.950000000000001e+000	8.727775e-001
1.960000000000001e+000	9.141648e-001
1.970000000000001e+000	9.556600e-001
1.980000000000001e+000	9.972591e-001
1.990000000000001e+000	1.038959e+000
2.000000000000001e+000	1.080755e+000
2.010000000000001e+000	1.122644e+000
2.020000000000001e+000	1.164623e+000
2.030000000000000e+000	1.206689e+000
2.040000000000000e+000	1.248838e+000
2.050000000000000e+000	1.291068e+000
2.060000000000000e+000	1.333376e+000
2.069999999999999e+000	1.375759e+000
2.079999999999999e+000	1.418213e+000
2.089999999999999e+000	1.460738e+000
2.099999999999999e+000	1.503329e+000
2.109999999999999e+000	1.545984e+000
2.119999999999998e+000	1.588652e+000
2.129999999999998e+000	1.631476e+000
2.139999999999998e+000	1.674307e+000
2.149999999999998e+000	1.717191e+000
2.159999999999998e+000	1.760126e+000
2.169999999999997e+000	1.803097e+000
2.179999999999997e+000	1.846128e+000
2.189999999999997e+000	1.889187e+000
2.199999999999997e+000	1.932276e+000
2.209999999999996e+000	1.975387e+000
2.219999999999996e+000	2.018508e+000
2.229999999999996e+000	2.061626e+000
2.239999999999996e+000	2.104721e+000
2.249999999999996e+000	2.147765e+000
2.259999999999995e+000	2.190724e+000
2.269999999999995e+000	2.233547e+000
2.279999999999995e+000	2.276170e+000
2.289999999999995e+000	2.318502e+000
2.299999999999995e+000	2.360428e+000
2.309999999999994e+000	2.401798e+000
2.319999999999994e+000	2.442425e+000
2.329999999999994e+000	2.482085e+000
2.339999999999994e+000	2.520526e+000
2.349999999999993e+000	2.557482e+000
2.359999999999993e+000	2.592697e+000
2.369999999999993e+000	2.625953e+000
2.379999999999993e+000	2.657098e+000
2.389999999999993e+000	2.686053e+000
2.399999999999992e+000	2.712822e+000
2.409999999999992e+000	2.737475e+000
2.419999999999992e+000	2.760130e+000
2.429999999999992e+000	2.780938e+000
2.439999999999992e+000	2.800060e+000
2.449999999999991e+000	2.817660e+000
2.459999999999991e+000	2.833894e+000
2.469999999999991e+000	2.848907e+000
2.479999999999991e+000	2.862829e+000
2.489999999999990e+000	2.875777e+000
2.499999999999990e+000	2.887856e+000
2.509999999999990e+000	2.899154e+000
2.519999999999990e+000	2.909752e+000
2.529999999999990e+000	2.919723e+000
2.539999999999989e+000	2.929118e+000
2.549999999999989e+000	2.938000e+000
2.559999999999989e+000	2.946413e+000
2.569999999999989e+000	2.954399e+000
2.579999999999989e+000	2.961994e+000
2.589999999999988e+000	2.969231e+000
2.599999999999988e+000	2.976137e+000
2.609999999999988e+000	2.982740e+000
2.619999999999988e+000	2.989062e+000
2.629999999999988e+000	2.995123e+000
2.639999999999987e+000	3.000942e+000
2.649999999999987e+000	3.006542e+000
2.659999999999987e+000	3.011921e+000
2.669999999999987e+000	3.017102e+000
2.679999999999986e+000	3.022102e+000
2.689999999999986e+000	3.026927e+000
2.699999999999986e+000	3.031590e+000
2.709999999999986e+000	3.036097e+000
2.719999999999986e+000	3.040457e+000
2.729999999999985e+000	3.044679e+000
2.739999999999985e+000	3.048768e+000
2.749999999999985e+000	3.052732e+000
2.759999999999985e+000	3.056579e+000
2.769999999999985e+000	3.060304e+000
2.779999999999984e+000	3.063921e+000
2.789999999999984e+000	3.067433e+000
2.799999999999984e+000	3.070841e+000
2.809999999999984e+000	3.074150e+000
2.819999999999983e+000	3.077362e+000
2.829999999999983e+000	3.080480e+000
2.839999999999983e+000	3.083504e+000
2.849999999999983e+000	3.086437e+000
2.859999999999983e+000	3.089280e+000
2.869999999999982e+000	3.092032e+000
2.879999999999982e+000	3.094693e+000
2.889999999999982e+000	3.097261e+000
2.899999999999982e+000	3.099734e+000
2.909999999999982e+000	3.102108e+000
2.919999999999981e+000	3.104377e+000
2.929999999999981e+000	3.106533e+000
2.939999999999981e+000	3.108566e+000
2.949999999999981e+000	3.110459e+000
2.959999999999980e+000	3.112190e+000
2.969999999999980e+000	3.113729e+000
2.979999999999980e+000	3.115032e+000
2.989999999999980e+000	3.116035e+000
2.999999999999980e+000	3.116653e+000
3.009999999999979e+000	3.116767e+000
3.019999999999979e+000	3.116226e+000
3.029999999999979e+000	3.114857e+000
