time	V(vin)	V(vout)
0.000000000000000e+000	2.000000e+001	2.027858e+000
9.999999439624929e-011	2.109091e+001	2.422432e+000
1.099999994396249e-009	2.200000e+001	2.298210e+000
2.099999994396249e-009	2.200000e+001	2.088773e+000
3.099999994396250e-009	2.200000e+001	2.054576e+000
4.099999994396250e-009	2.200000e+001	2.042828e+000
5.099999994396249e-009	2.200000e+001	2.036609e+000
6.099999994396249e-009	2.200000e+001	2.032971e+000
7.099999994396249e-009	2.200000e+001	2.030819e+000
8.099999994396250e-009	2.200000e+001	2.029555e+000
9.099999994396251e-009	2.200000e+001	2.028819e+000
1.009999999439625e-008	2.200000e+001	2.028396e+000
1.109999999439625e-008	2.200000e+001	2.028155e+000
1.209999999439625e-008	2.200000e+001	2.028021e+000
1.309999999439625e-008	2.200000e+001	2.027947e+000
1.409999999439625e-008	2.200000e+001	2.027904e+000
1.417497576223535e-008	2.200000e+001	2.027902e+000
1.432492729791355e-008	2.200000e+001	2.027897e+000
1.436241518183310e-008	2.200000e+001	2.027896e+000
1.443739094967220e-008	2.200000e+001	2.027894e+000
1.458734248535040e-008	2.200000e+001	2.027891e+000
1.488724555670680e-008	2.200000e+001	2.027886e+000
1.548705169941959e-008	2.200000e+001	2.027879e+000
1.668666398484518e-008	2.200000e+001	2.027875e+000
1.822161309465113e-008	2.200000e+001	2.027876e+000
2.013199984491206e-008	2.200000e+001	2.027881e+000
2.264724577518237e-008	2.200000e+001	2.027888e+000
2.691822134227377e-008	2.199999e+001	2.027900e+000
3.546017247645658e-008	2.199999e+001	2.027925e+000
4.563281327840448e-008	2.199999e+001	2.027955e+000
5.767590581417513e-008	2.199999e+001	2.027986e+000
7.217123362747551e-008	2.199998e+001	2.028017e+000
8.630484699933765e-008	2.199998e+001	2.028040e+000
1.019062154763089e-007	2.199998e+001	2.028061e+000
1.181147646726227e-007	2.199998e+001	2.028078e+000
1.373849215821134e-007	2.199997e+001	2.028093e+000
1.540910944246989e-007	2.199997e+001	2.028104e+000
1.694805874443912e-007	2.199997e+001	2.028112e+000
1.869156287208146e-007	2.199996e+001	2.028119e+000
2.041729861783323e-007	2.199996e+001	2.028125e+000
2.282380457601435e-007	2.199995e+001	2.028132e+000
2.576081662668610e-007	2.199995e+001	2.028139e+000
2.817040045755895e-007	2.199994e+001	2.028143e+000
3.062949617660671e-007	2.199994e+001	2.028147e+000
3.322012324669473e-007	2.199993e+001	2.028150e+000
3.637580037587210e-007	2.199993e+001	2.028153e+000
4.079745426982641e-007	2.199992e+001	2.028157e+000
4.567009514958435e-007	2.199991e+001	2.028162e+000
5.166193346390369e-007	2.199990e+001	2.028166e+000
5.774224443631774e-007	2.199988e+001	2.028171e+000
6.990286638114584e-007	2.199986e+001	2.028179e+000
8.353204014776962e-007	2.199983e+001	2.028188e+000
1.073709297274452e-006	2.199978e+001	2.028205e+000
1.330112660236940e-006	2.199973e+001	2.028224e+000
1.789951934253759e-006	2.199964e+001	2.028258e+000
2.275037605054046e-006	2.199954e+001	2.028296e+000
2.855473756681355e-006	2.199943e+001	2.028342e+000
3.876170445909314e-006	2.199923e+001	2.028424e+000
5.034106516890686e-006	2.199899e+001	2.028517e+000
6.224738194770490e-006	2.199875e+001	2.028611e+000
8.031955404709575e-006	2.199839e+001	2.028742e+000
1.058814905046942e-005	2.199788e+001	2.028894e+000
1.464796568251645e-005	2.199707e+001	2.029077e+000
1.813082664879423e-005	2.199637e+001	2.029194e+000
2.231454973922653e-005	2.199554e+001	2.029315e+000
2.610980550218948e-005	2.199478e+001	2.029426e+000
2.932103386242355e-005	2.199413e+001	2.029516e+000
3.373687944375019e-005	2.199325e+001	2.029614e+000
3.844435388771639e-005	2.199231e+001	2.029676e+000
4.354302301135947e-005	2.199129e+001	2.029703e+000
4.814766373163875e-005	2.199037e+001	2.029712e+000
5.318616930167551e-005	2.198936e+001	2.029725e+000
5.722078483186077e-005	2.198856e+001	2.029736e+000
6.256574379591804e-005	2.198749e+001	2.029739e+000
6.804632728288101e-005	2.198639e+001	2.029723e+000
7.484853482159164e-005	2.198503e+001	2.029689e+000
8.097458708534789e-005	2.198380e+001	2.029661e+000
8.642288380152320e-005	2.198272e+001	2.029642e+000
9.308617189323066e-005	2.198138e+001	2.029616e+000
1.005067239069279e-004	2.197990e+001	2.029580e+000
1.075825585017961e-004	2.197848e+001	2.029550e+000
1.159574110598861e-004	2.197681e+001	2.029528e+000
1.236756518261051e-004	2.197527e+001	2.029514e+000
1.316639660557488e-004	2.197367e+001	2.029501e+000
1.413526883007193e-004	2.197173e+001	2.029493e+000
1.508337715460138e-004	2.196983e+001	2.029497e+000
1.608337715460138e-004	2.196783e+001	2.029503e+000
1.708337715460138e-004	2.196583e+001	2.029506e+000
1.803600569459514e-004	2.196393e+001	2.029514e+000
1.903600569459514e-004	2.196193e+001	2.029522e+000
2.003600569459514e-004	2.195993e+001	2.029523e+000
2.103600569459514e-004	2.195793e+001	2.029523e+000
2.203600569459514e-004	2.195593e+001	2.029525e+000
2.303600569459514e-004	2.195393e+001	2.029523e+000
2.403600569459514e-004	2.195193e+001	2.029518e+000
2.503600569459515e-004	2.194993e+001	2.029516e+000
2.603600569459515e-004	2.194793e+001	2.029514e+000
2.703600569459515e-004	2.194593e+001	2.029510e+000
2.803600569459515e-004	2.194393e+001	2.029507e+000
2.903600569459516e-004	2.194193e+001	2.029506e+000
3.003600569459516e-004	2.193993e+001	2.029503e+000
3.103600569459516e-004	2.193793e+001	2.029500e+000
3.203600569459517e-004	2.193593e+001	2.029500e+000
3.303600569459517e-004	2.193393e+001	2.029499e+000
3.403600569459517e-004	2.193193e+001	2.029497e+000
3.503600569459517e-004	2.192993e+001	2.029495e+000
3.603600569459518e-004	2.192793e+001	2.029495e+000
3.703600569459518e-004	2.192593e+001	2.029493e+000
3.803600569459518e-004	2.192393e+001	2.029491e+000
3.903600569459518e-004	2.192193e+001	2.029490e+000
4.003600569459519e-004	2.191993e+001	2.029488e+000
4.103600569459519e-004	2.191793e+001	2.029486e+000
4.203600569459519e-004	2.191593e+001	2.029484e+000
4.303600569459519e-004	2.191393e+001	2.029483e+000
4.403600569459520e-004	2.191193e+001	2.029481e+000
4.503600569459520e-004	2.190993e+001	2.029479e+000
4.603600569459520e-004	2.190793e+001	2.029478e+000
4.703600569459520e-004	2.190593e+001	2.029476e+000
4.803600569459521e-004	2.190393e+001	2.029474e+000
4.903600569459521e-004	2.190193e+001	2.029473e+000
5.003600569459521e-004	2.189993e+001	2.029471e+000
5.103600569459521e-004	2.189793e+001	2.029469e+000
5.203600569459522e-004	2.189593e+001	2.029467e+000
5.303600569459522e-004	2.189393e+001	2.029466e+000
5.403600569459522e-004	2.189193e+001	2.029464e+000
5.503600569459523e-004	2.188993e+001	2.029462e+000
5.603600569459523e-004	2.188793e+001	2.029461e+000
5.703600569459523e-004	2.188593e+001	2.029459e+000
5.803600569459523e-004	2.188393e+001	2.029457e+000
5.903600569459524e-004	2.188193e+001	2.029456e+000
6.003600569459524e-004	2.187993e+001	2.029454e+000
6.103600569459524e-004	2.187793e+001	2.029453e+000
6.203600569459524e-004	2.187593e+001	2.029451e+000
6.303600569459525e-004	2.187393e+001	2.029449e+000
6.403600569459525e-004	2.187193e+001	2.029448e+000
6.503600569459525e-004	2.186993e+001	2.029446e+000
6.603600569459525e-004	2.186793e+001	2.029444e+000
6.703600569459526e-004	2.186593e+001	2.029443e+000
6.803600569459526e-004	2.186393e+001	2.029441e+000
6.903600569459526e-004	2.186193e+001	2.029439e+000
7.003600569459526e-004	2.185993e+001	2.029438e+000
7.103600569459527e-004	2.185793e+001	2.029436e+000
7.203600569459527e-004	2.185593e+001	2.029434e+000
7.303600569459527e-004	2.185393e+001	2.029432e+000
7.403600569459528e-004	2.185193e+001	2.029431e+000
7.503600569459528e-004	2.184993e+001	2.029429e+000
7.603600569459528e-004	2.184793e+001	2.029427e+000
7.703600569459528e-004	2.184593e+001	2.029426e+000
7.803600569459529e-004	2.184393e+001	2.029424e+000
7.903600569459529e-004	2.184193e+001	2.029422e+000
8.003600569459529e-004	2.183993e+001	2.029421e+000
8.103600569459529e-004	2.183793e+001	2.029419e+000
8.203600569459530e-004	2.183593e+001	2.029417e+000
8.303600569459530e-004	2.183393e+001	2.029416e+000
8.403600569459530e-004	2.183193e+001	2.029414e+000
8.503600569459530e-004	2.182993e+001	2.029412e+000
8.603600569459531e-004	2.182793e+001	2.029411e+000
8.703600569459531e-004	2.182593e+001	2.029409e+000
8.803600569459531e-004	2.182393e+001	2.029407e+000
8.903600569459531e-004	2.182193e+001	2.029406e+000
9.003600569459532e-004	2.181993e+001	2.029404e+000
9.103600569459532e-004	2.181793e+001	2.029402e+000
9.203600569459532e-004	2.181593e+001	2.029401e+000
