time	V(vin)	V(vout)
0.000000000000000e+000	2.050000e+001	2.028287e+000
1.000000000001000e-006	2.049990e+001	2.028287e+000
2.999999999999531e-006	2.049970e+001	2.028287e+000
4.990000000000043e-003	2.000100e+001	2.027860e+000
5.000000000000043e-003	2.039283e+001	2.027967e+000
5.002728163553454e-003	2.085162e+001	2.028030e+000
5.003876424002768e-003	2.099961e+001	2.028063e+000
5.004292271364529e-003	2.099957e+001	2.028076e+000
5.004452132236534e-003	2.099956e+001	2.028079e+000
5.004512498019004e-003	2.099955e+001	2.028087e+000
5.004535551884098e-003	2.099955e+001	2.028077e+000
5.004544407544439e-003	2.099955e+001	2.028090e+000
5.004547880683660e-003	2.099955e+001	2.028085e+000
5.004549590038647e-003	2.099954e+001	2.028116e+000
5.004549591966820e-003	2.099954e+001	2.028116e+000
5.004550591966819e-003	2.099954e+001	2.028094e+000
5.004551591966819e-003	2.099954e+001	2.028085e+000
5.004552591966818e-003	2.099954e+001	2.028084e+000
5.004554591966817e-003	2.099954e+001	2.028085e+000
5.004557300225816e-003	2.099954e+001	2.028085e+000
5.004562716743818e-003	2.099954e+001	2.028085e+000
5.004573549779817e-003	2.099954e+001	2.028085e+000
5.004638547995821e-003	2.099954e+001	2.028087e+000
5.004725212283824e-003	2.099953e+001	2.028090e+000
5.004821911936630e-003	2.099952e+001	2.028093e+000
5.005015311242242e-003	2.099950e+001	2.028100e+000
5.005196270396153e-003	2.099948e+001	2.028106e+000
5.005558188703980e-003	2.099944e+001	2.028118e+000
5.006089000610489e-003	2.099939e+001	2.028136e+000
5.006935404717958e-003	2.099931e+001	2.028164e+000
5.008515212424750e-003	2.099915e+001	2.028215e+000
5.010927535546206e-003	2.099891e+001	2.028287e+000
5.014656532178453e-003	2.099854e+001	2.028382e+000
5.020137437704488e-003	2.099799e+001	2.028496e+000
5.026305740260129e-003	2.099737e+001	2.028604e+000
5.033310046831753e-003	2.099667e+001	2.028708e+000
5.040066376820813e-003	2.099599e+001	2.028779e+000
5.046965763269538e-003	2.099530e+001	2.028815e+000
5.054200138077902e-003	2.099458e+001	2.028828e+000
5.061925556902183e-003	2.099381e+001	2.028833e+000
5.068849151729782e-003	2.099311e+001	2.028829e+000
5.076437347902009e-003	2.099236e+001	2.028811e+000
5.084276955225717e-003	2.099157e+001	2.028785e+000
5.092655309862020e-003	2.099073e+001	2.028759e+000
5.100983733739538e-003	2.098990e+001	2.028738e+000
5.109703457597401e-003	2.098903e+001	2.028715e+000
5.119703457597401e-003	2.098803e+001	2.028693e+000
5.129342022462468e-003	2.098707e+001	2.028683e+000
5.139342022462468e-003	2.098606e+001	2.028678e+000
5.149342022462467e-003	2.098507e+001	2.028676e+000
5.159342022462467e-003	2.098407e+001	2.028679e+000
5.169342022462466e-003	2.098307e+001	2.028685e+000
5.179342022462466e-003	2.098207e+001	2.028689e+000
5.189342022462466e-003	2.098107e+001	2.028692e+000
5.199342022462465e-003	2.098007e+001	2.028697e+000
5.209342022462465e-003	2.097906e+001	2.028698e+000
5.219342022462464e-003	2.097807e+001	2.028697e+000
5.229342022462464e-003	2.097707e+001	2.028697e+000
5.239342022462463e-003	2.097607e+001	2.028697e+000
5.249342022462463e-003	2.097507e+001	2.028694e+000
5.259342022462463e-003	2.097407e+001	2.028692e+000
5.269342022462462e-003	2.097307e+001	2.028691e+000
5.279342022462462e-003	2.097206e+001	2.028689e+000
5.289342022462461e-003	2.097107e+001	2.028687e+000
5.299342022462461e-003	2.097007e+001	2.028686e+000
5.309342022462461e-003	2.096907e+001	2.028686e+000
5.319342022462460e-003	2.096807e+001	2.028684e+000
5.329342022462460e-003	2.096707e+001	2.028684e+000
5.339342022462459e-003	2.096607e+001	2.028684e+000
5.349342022462459e-003	2.096507e+001	2.028683e+000
5.359342022462459e-003	2.096407e+001	2.028682e+000
5.369342022462458e-003	2.096307e+001	2.028681e+000
5.379342022462458e-003	2.096207e+001	2.028681e+000
5.389342022462457e-003	2.096107e+001	2.028679e+000
5.399342022462457e-003	2.096007e+001	2.028679e+000
5.409342022462457e-003	2.095907e+001	2.028678e+000
5.419342022462456e-003	2.095807e+001	2.028677e+000
5.429342022462456e-003	2.095707e+001	2.028676e+000
5.439342022462455e-003	2.095607e+001	2.028675e+000
5.449342022462455e-003	2.095507e+001	2.028674e+000
5.459342022462455e-003	2.095407e+001	2.028673e+000
5.469342022462454e-003	2.095307e+001	2.028672e+000
5.479342022462454e-003	2.095207e+001	2.028672e+000
5.489342022462453e-003	2.095107e+001	2.028671e+000
5.499342022462453e-003	2.095007e+001	2.028670e+000
5.509342022462452e-003	2.094907e+001	2.028669e+000
5.519342022462452e-003	2.094807e+001	2.028668e+000
5.529342022462452e-003	2.094707e+001	2.028667e+000
5.539342022462451e-003	2.094607e+001	2.028667e+000
5.549342022462451e-003	2.094507e+001	2.028666e+000
5.559342022462450e-003	2.094407e+001	2.028665e+000
5.569342022462450e-003	2.094307e+001	2.028664e+000
5.579342022462450e-003	2.094207e+001	2.028663e+000
5.589342022462449e-003	2.094107e+001	2.028662e+000
5.599342022462449e-003	2.094007e+001	2.028661e+000
5.609342022462448e-003	2.093907e+001	2.028661e+000
5.619342022462448e-003	2.093807e+001	2.028660e+000
5.629342022462448e-003	2.093707e+001	2.028659e+000
5.639342022462447e-003	2.093607e+001	2.028658e+000
5.649342022462447e-003	2.093507e+001	2.028657e+000
5.659342022462446e-003	2.093406e+001	2.028656e+000
5.669342022462446e-003	2.093307e+001	2.028656e+000
5.679342022462446e-003	2.093207e+001	2.028655e+000
5.689342022462445e-003	2.093107e+001	2.028654e+000
5.699342022462445e-003	2.093007e+001	2.028653e+000
5.709342022462444e-003	2.092907e+001	2.028652e+000
5.719342022462444e-003	2.092807e+001	2.028651e+000
5.729342022462444e-003	2.092706e+001	2.028651e+000
5.739342022462443e-003	2.092607e+001	2.028650e+000
5.749342022462443e-003	2.092507e+001	2.028649e+000
5.759342022462442e-003	2.092407e+001	2.028648e+000
5.769342022462442e-003	2.092307e+001	2.028647e+000
5.779342022462441e-003	2.092207e+001	2.028646e+000
5.789342022462441e-003	2.092107e+001	2.028646e+000
5.799342022462441e-003	2.092006e+001	2.028645e+000
5.809342022462440e-003	2.091907e+001	2.028644e+000
5.819342022462440e-003	2.091807e+001	2.028643e+000
5.829342022462439e-003	2.091707e+001	2.028642e+000
5.839342022462439e-003	2.091607e+001	2.028641e+000
5.849342022462439e-003	2.091507e+001	2.028641e+000
5.859342022462438e-003	2.091407e+001	2.028640e+000
5.869342022462438e-003	2.091306e+001	2.028639e+000
5.879342022462437e-003	2.091207e+001	2.028638e+000
5.889342022462437e-003	2.091107e+001	2.028637e+000
5.899342022462437e-003	2.091007e+001	2.028636e+000
5.909342022462436e-003	2.090907e+001	2.028635e+000
5.919342022462436e-003	2.090807e+001	2.028635e+000
5.929342022462435e-003	2.090707e+001	2.028634e+000
5.939342022462435e-003	2.090606e+001	2.028633e+000
5.949342022462435e-003	2.090507e+001	2.028632e+000
5.959342022462434e-003	2.090407e+001	2.028631e+000
5.969342022462434e-003	2.090307e+001	2.028630e+000
5.979342022462433e-003	2.090207e+001	2.028629e+000
5.989342022462433e-003	2.090107e+001	2.028629e+000
5.999342022462433e-003	2.090007e+001	2.028628e+000
6.009342022462432e-003	2.089907e+001	2.028627e+000
6.019342022462432e-003	2.089807e+001	2.028626e+000
6.029342022462431e-003	2.089707e+001	2.028625e+000
6.039342022462431e-003	2.089607e+001	2.028624e+000
6.049342022462430e-003	2.089507e+001	2.028623e+000
6.059342022462430e-003	2.089407e+001	2.028623e+000
6.069342022462430e-003	2.089307e+001	2.028622e+000
6.079342022462429e-003	2.089207e+001	2.028621e+000
6.089342022462429e-003	2.089107e+001	2.028620e+000
6.099342022462428e-003	2.089007e+001	2.028619e+000
6.109342022462428e-003	2.088907e+001	2.028618e+000
6.119342022462428e-003	2.088807e+001	2.028617e+000
6.129342022462427e-003	2.088707e+001	2.028617e+000
6.139342022462427e-003	2.088607e+001	2.028616e+000
6.149342022462426e-003	2.088507e+001	2.028615e+000
6.159342022462426e-003	2.088407e+001	2.028614e+000
6.169342022462426e-003	2.088307e+001	2.028613e+000
6.179342022462425e-003	2.088207e+001	2.028612e+000
6.189342022462425e-003	2.088107e+001	2.028611e+000
6.199342022462424e-003	2.088007e+001	2.028611e+000
6.209342022462424e-003	2.087907e+001	2.028610e+000
6.219342022462424e-003	2.087807e+001	2.028609e+000
6.229342022462423e-003	2.087707e+001	2.028608e+000
6.239342022462423e-003	2.087607e+001	2.028607e+000
6.249342022462422e-003	2.087506e+001	2.028606e+000
6.259342022462422e-003	2.087407e+001	2.028606e+000
6.269342022462425e-003	2.087307e+001	2.028605e+000
6.279342022462428e-003	2.087207e+001	2.028604e+000
6.289342022462431e-003	2.087107e+001	2.028603e+000
6.299342022462434e-003	2.087007e+001	2.028602e+000
6.309342022462437e-003	2.086907e+001	2.028601e+000
6.319342022462440e-003	2.086806e+001	2.028600e+000
6.329342022462443e-003	2.086707e+001	2.028600e+000
6.339342022462446e-003	2.086607e+001	2.028599e+000
6.349342022462449e-003	2.086507e+001	2.028598e+000
6.359342022462453e-003	2.086407e+001	2.028597e+000
6.369342022462456e-003	2.086307e+001	2.028596e+000
6.379342022462459e-003	2.086207e+001	2.028595e+000
6.389342022462462e-003	2.086106e+001	2.028594e+000
6.399342022462465e-003	2.086007e+001	2.028594e+000
6.409342022462468e-003	2.085907e+001	2.028593e+000
6.419342022462471e-003	2.085807e+001	2.028592e+000
6.429342022462474e-003	2.085707e+001	2.028591e+000
6.439342022462477e-003	2.085607e+001	2.028590e+000
6.449342022462480e-003	2.085507e+001	2.028589e+000
6.459342022462483e-003	2.085406e+001	2.028589e+000
6.469342022462486e-003	2.085307e+001	2.028588e+000
6.479342022462489e-003	2.085207e+001	2.028587e+000
6.489342022462492e-003	2.085107e+001	2.028586e+000
6.499342022462495e-003	2.085007e+001	2.028585e+000
6.509342022462498e-003	2.084907e+001	2.028584e+000
6.519342022462502e-003	2.084807e+001	2.028584e+000
6.529342022462505e-003	2.084706e+001	2.028583e+000
6.539342022462508e-003	2.084607e+001	2.028582e+000
6.549342022462511e-003	2.084507e+001	2.028581e+000
6.559342022462514e-003	2.084407e+001	2.028580e+000
6.569342022462517e-003	2.084307e+001	2.028579e+000
6.579342022462520e-003	2.084207e+001	2.028579e+000
6.589342022462523e-003	2.084107e+001	2.028578e+000
6.599342022462526e-003	2.084007e+001	2.028577e+000
6.609342022462529e-003	2.083907e+001	2.028576e+000
6.619342022462532e-003	2.083807e+001	2.028575e+000
6.629342022462535e-003	2.083707e+001	2.028574e+000
6.639342022462538e-003	2.083607e+001	2.028573e+000
6.649342022462541e-003	2.083507e+001	2.028573e+000
6.659342022462544e-003	2.083407e+001	2.028572e+000
6.669342022462547e-003	2.083307e+001	2.028571e+000
6.679342022462551e-003	2.083207e+001	2.028570e+000
6.689342022462554e-003	2.083107e+001	2.028569e+000
6.699342022462557e-003	2.083007e+001	2.028568e+000
6.709342022462560e-003	2.082907e+001	2.028567e+000
6.719342022462563e-003	2.082807e+001	2.028567e+000
6.729342022462566e-003	2.082707e+001	2.028566e+000
6.739342022462569e-003	2.082607e+001	2.028565e+000
6.749342022462572e-003	2.082507e+001	2.028564e+000
6.759342022462575e-003	2.082407e+001	2.028563e+000
6.769342022462578e-003	2.082307e+001	2.028562e+000
6.779342022462581e-003	2.082207e+001	2.028561e+000
6.789342022462584e-003	2.082107e+001	2.028561e+000
6.799342022462587e-003	2.082007e+001	2.028560e+000
6.809342022462590e-003	2.081907e+001	2.028559e+000
6.819342022462593e-003	2.081807e+001	2.028558e+000
6.829342022462596e-003	2.081707e+001	2.028557e+000
6.839342022462600e-003	2.081607e+001	2.028556e+000
6.849342022462603e-003	2.081507e+001	2.028555e+000
6.859342022462606e-003	2.081407e+001	2.028555e+000
6.869342022462609e-003	2.081307e+001	2.028554e+000
6.879342022462612e-003	2.081207e+001	2.028553e+000
6.889342022462615e-003	2.081107e+001	2.028552e+000
6.899342022462618e-003	2.081007e+001	2.028551e+000
6.919342022462624e-003	2.080807e+001	2.028549e+000
6.929342022462627e-003	2.080707e+001	2.028549e+000
6.939342022462630e-003	2.080607e+001	2.028548e+000
6.949342022462633e-003	2.080507e+001	2.028547e+000
6.969342022462639e-003	2.080307e+001	2.028545e+000
6.979342022462642e-003	2.080206e+001	2.028544e+000
6.989342022462645e-003	2.080107e+001	2.028543e+000
6.999342022462649e-003	2.080007e+001	2.028543e+000
7.009342022462652e-003	2.079907e+001	2.028542e+000
7.019342022462655e-003	2.079807e+001	2.028541e+000
7.039342022462661e-003	2.079607e+001	2.028539e+000
7.049342022462664e-003	2.079506e+001	2.028538e+000
7.059342022462667e-003	2.079407e+001	2.028538e+000
7.069342022462670e-003	2.079307e+001	2.028537e+000
7.089342022462676e-003	2.079107e+001	2.028535e+000
7.109342022462682e-003	2.078907e+001	2.028533e+000
7.119342022462685e-003	2.078806e+001	2.028533e+000
7.139342022462691e-003	2.078607e+001	2.028531e+000
7.159342022462698e-003	2.078407e+001	2.028529e+000
7.179342022462704e-003	2.078207e+001	2.028527e+000
7.189342022462707e-003	2.078106e+001	2.028527e+000
7.209342022462713e-003	2.077907e+001	2.028525e+000
7.229342022462719e-003	2.077707e+001	2.028523e+000
7.249342022462725e-003	2.077507e+001	2.028522e+000
7.269342022462731e-003	2.077307e+001	2.028520e+000
9.879342022463530e-003	2.051207e+001	2.028297e+000
1.499791460839133e-002	2.000021e+001	2.027859e+000
1.500000000000006e-002	2.040904e+001	2.028172e+000
1.500046376199603e-002	2.084475e+001	2.028065e+000
1.500067251782264e-002	2.099993e+001	2.027987e+000
1.500074263518558e-002	2.099993e+001	2.028023e+000
1.500077001545542e-002	2.099992e+001	2.027965e+000
1.500078027030569e-002	2.099992e+001	2.028040e+000
1.500078428420056e-002	2.099992e+001	2.027994e+000
1.500078590862189e-002	2.099992e+001	2.028049e+000
1.500078690862189e-002	2.099992e+001	2.028057e+000
1.500078790862189e-002	2.099992e+001	2.028006e+000
1.500078890862189e-002	2.099992e+001	2.028002e+000
1.500078904662620e-002	2.099992e+001	2.028002e+000
1.500079004662620e-002	2.099992e+001	2.028002e+000
1.500079104662620e-002	2.099992e+001	2.028003e+000
1.500079304662619e-002	2.099992e+001	2.028003e+000
1.500079704662619e-002	2.099992e+001	2.028003e+000
1.500080504662620e-002	2.099992e+001	2.028003e+000
1.500082104662619e-002	2.099992e+001	2.028004e+000
1.500085304662619e-002	2.099991e+001	2.028004e+000
1.500089044214547e-002	2.099991e+001	2.028005e+000
1.500094101051475e-002	2.099991e+001	2.028007e+000
