rvadj	V(vout)
1.000000000000000e-010	9.503721e-001
1.000000000010000e+001	9.514293e-001
2.000000000010000e+001	9.524865e-001
3.000000000010000e+001	9.535436e-001
4.000000000010000e+001	9.546008e-001
5.000000000010000e+001	9.556580e-001
6.000000000010000e+001	9.567151e-001
7.000000000010000e+001	9.577723e-001
8.000000000010000e+001	9.588295e-001
9.000000000010000e+001	9.598866e-001
1.000000000001000e+002	9.609438e-001
1.100000000001000e+002	9.620010e-001
1.200000000001000e+002	9.630581e-001
1.300000000001000e+002	9.641153e-001
1.400000000001000e+002	9.651725e-001
1.500000000001000e+002	9.662296e-001
1.600000000001000e+002	9.672868e-001
1.700000000001000e+002	9.683439e-001
1.800000000001000e+002	9.694011e-001
1.900000000001000e+002	9.704583e-001
2.000000000001000e+002	9.715154e-001
2.100000000001000e+002	9.725726e-001
2.200000000001000e+002	9.736298e-001
2.300000000001000e+002	9.746869e-001
2.400000000001000e+002	9.757441e-001
2.500000000001000e+002	9.768013e-001
2.600000000001000e+002	9.778584e-001
2.700000000001000e+002	9.789156e-001
2.800000000001000e+002	9.799727e-001
2.900000000001000e+002	9.810299e-001
3.000000000001000e+002	9.820871e-001
3.100000000001000e+002	9.831442e-001
3.200000000001000e+002	9.842014e-001
3.300000000001000e+002	9.852586e-001
3.400000000001000e+002	9.863157e-001
3.500000000001000e+002	9.873729e-001
3.600000000001000e+002	9.884300e-001
3.700000000001000e+002	9.894872e-001
3.800000000001000e+002	9.905444e-001
3.900000000001000e+002	9.916015e-001
4.000000000001000e+002	9.926587e-001
4.100000000001000e+002	9.937158e-001
4.200000000001000e+002	9.947730e-001
4.300000000001000e+002	9.958302e-001
4.400000000001000e+002	9.968873e-001
4.500000000001000e+002	9.979445e-001
4.600000000001000e+002	9.990016e-001
4.700000000001000e+002	1.000059e+000
4.800000000001000e+002	1.001116e+000
4.900000000001000e+002	1.002173e+000
5.000000000001000e+002	1.003230e+000
5.100000000001000e+002	1.004287e+000
5.200000000001000e+002	1.005345e+000
5.300000000001000e+002	1.006402e+000
5.400000000001000e+002	1.007459e+000
5.500000000001000e+002	1.008516e+000
5.600000000001000e+002	1.009573e+000
5.700000000001000e+002	1.010630e+000
5.800000000001000e+002	1.011688e+000
5.900000000001000e+002	1.012745e+000
6.000000000001000e+002	1.013802e+000
6.100000000001000e+002	1.014859e+000
6.200000000001000e+002	1.015916e+000
6.300000000001000e+002	1.016973e+000
6.400000000001000e+002	1.018031e+000
6.500000000001000e+002	1.019088e+000
6.600000000001000e+002	1.020145e+000
6.700000000001000e+002	1.021202e+000
6.800000000001000e+002	1.022259e+000
6.900000000001000e+002	1.023316e+000
7.000000000001000e+002	1.024373e+000
7.100000000001000e+002	1.025431e+000
7.200000000001000e+002	1.026488e+000
7.300000000001000e+002	1.027545e+000
7.400000000001000e+002	1.028602e+000
7.500000000001000e+002	1.029659e+000
7.600000000001000e+002	1.030716e+000
7.700000000001000e+002	1.031774e+000
7.800000000001000e+002	1.032831e+000
7.900000000001000e+002	1.033888e+000
8.000000000001000e+002	1.034945e+000
8.100000000001000e+002	1.036002e+000
8.200000000001000e+002	1.037059e+000
8.300000000001000e+002	1.038116e+000
8.400000000001000e+002	1.039174e+000
8.500000000001000e+002	1.040231e+000
8.600000000001000e+002	1.041288e+000
8.700000000001000e+002	1.042345e+000
8.800000000001000e+002	1.043402e+000
8.900000000001000e+002	1.044459e+000
9.000000000001000e+002	1.045516e+000
9.100000000001000e+002	1.046574e+000
9.200000000001000e+002	1.047631e+000
9.300000000001000e+002	1.048688e+000
9.400000000001000e+002	1.049745e+000
9.500000000001000e+002	1.050802e+000
9.600000000001000e+002	1.051859e+000
9.700000000001000e+002	1.052917e+000
9.800000000001000e+002	1.053974e+000
9.900000000001000e+002	1.055031e+000
1.000000000000100e+003	1.056088e+000
1.010000000000100e+003	1.057145e+000
1.020000000000100e+003	1.058202e+000
1.030000000000100e+003	1.059260e+000
1.040000000000100e+003	1.060317e+000
1.050000000000100e+003	1.061374e+000
1.060000000000100e+003	1.062431e+000
1.070000000000100e+003	1.063488e+000
1.080000000000100e+003	1.064545e+000
1.090000000000100e+003	1.065602e+000
1.100000000000100e+003	1.066660e+000
1.110000000000100e+003	1.067717e+000
1.120000000000100e+003	1.068774e+000
1.130000000000100e+003	1.069831e+000
1.140000000000100e+003	1.070888e+000
1.150000000000100e+003	1.071945e+000
1.160000000000100e+003	1.073002e+000
1.170000000000100e+003	1.074060e+000
1.180000000000100e+003	1.075117e+000
1.190000000000100e+003	1.076174e+000
1.200000000000100e+003	1.077231e+000
1.210000000000100e+003	1.078288e+000
1.220000000000100e+003	1.079345e+000
1.230000000000100e+003	1.080402e+000
1.240000000000100e+003	1.081460e+000
1.250000000000100e+003	1.082517e+000
1.260000000000100e+003	1.083574e+000
1.270000000000100e+003	1.084631e+000
1.280000000000100e+003	1.085688e+000
1.290000000000100e+003	1.086745e+000
1.300000000000100e+003	1.087803e+000
1.310000000000100e+003	1.088860e+000
1.320000000000100e+003	1.089917e+000
1.330000000000100e+003	1.090974e+000
1.340000000000100e+003	1.092031e+000
1.350000000000100e+003	1.093088e+000
1.360000000000100e+003	1.094145e+000
1.370000000000100e+003	1.095203e+000
1.380000000000100e+003	1.096260e+000
1.390000000000100e+003	1.097317e+000
1.400000000000100e+003	1.098374e+000
1.410000000000100e+003	1.099431e+000
1.420000000000100e+003	1.100488e+000
1.430000000000100e+003	1.101545e+000
1.440000000000100e+003	1.102603e+000
1.450000000000100e+003	1.103660e+000
1.460000000000100e+003	1.104717e+000
1.470000000000100e+003	1.105774e+000
1.480000000000100e+003	1.106831e+000
1.490000000000100e+003	1.107888e+000
1.500000000000100e+003	1.108945e+000
1.510000000000100e+003	1.110003e+000
1.520000000000100e+003	1.111060e+000
1.530000000000100e+003	1.112117e+000
1.540000000000100e+003	1.113174e+000
1.550000000000100e+003	1.114231e+000
1.560000000000100e+003	1.115288e+000
1.570000000000100e+003	1.116346e+000
1.580000000000100e+003	1.117403e+000
1.590000000000100e+003	1.118460e+000
1.600000000000100e+003	1.119517e+000
1.610000000000100e+003	1.120574e+000
1.620000000000100e+003	1.121631e+000
1.630000000000100e+003	1.122688e+000
1.640000000000100e+003	1.123745e+000
1.650000000000100e+003	1.124803e+000
1.660000000000100e+003	1.125860e+000
1.670000000000100e+003	1.126917e+000
1.680000000000100e+003	1.127974e+000
1.690000000000100e+003	1.129031e+000
1.700000000000100e+003	1.130088e+000
1.710000000000100e+003	1.131145e+000
1.720000000000100e+003	1.132203e+000
1.730000000000100e+003	1.133260e+000
1.740000000000100e+003	1.134317e+000
1.750000000000100e+003	1.135374e+000
1.760000000000100e+003	1.136431e+000
1.770000000000100e+003	1.137488e+000
1.780000000000100e+003	1.138546e+000
1.790000000000100e+003	1.139603e+000
1.800000000000100e+003	1.140660e+000
1.810000000000100e+003	1.141717e+000
1.820000000000100e+003	1.142774e+000
1.830000000000100e+003	1.143831e+000
1.840000000000100e+003	1.144888e+000
1.850000000000100e+003	1.145945e+000
1.860000000000100e+003	1.147003e+000
1.870000000000100e+003	1.148060e+000
1.880000000000100e+003	1.149117e+000
1.890000000000100e+003	1.150174e+000
1.900000000000100e+003	1.151231e+000
1.910000000000100e+003	1.152288e+000
1.920000000000100e+003	1.153345e+000
1.930000000000100e+003	1.154402e+000
1.940000000000100e+003	1.155460e+000
1.950000000000100e+003	1.156517e+000
1.960000000000100e+003	1.157574e+000
1.970000000000100e+003	1.158631e+000
1.980000000000100e+003	1.159688e+000
1.990000000000100e+003	1.160745e+000
2.000000000000100e+003	1.161803e+000
2.010000000000100e+003	1.162860e+000
2.020000000000100e+003	1.163917e+000
2.030000000000100e+003	1.164974e+000
2.040000000000100e+003	1.166031e+000
2.050000000000100e+003	1.167088e+000
2.060000000000100e+003	1.168145e+000
2.070000000000100e+003	1.169207e+000
2.080000000000100e+003	1.170260e+000
2.090000000000100e+003	1.171317e+000
2.100000000000100e+003	1.172374e+000
2.110000000000100e+003	1.173431e+000
2.120000000000100e+003	1.174488e+000
2.130000000000100e+003	1.175545e+000
2.140000000000100e+003	1.176602e+000
2.150000000000100e+003	1.177660e+000
2.160000000000100e+003	1.178717e+000
2.170000000000100e+003	1.179774e+000
2.180000000000100e+003	1.180831e+000
2.190000000000100e+003	1.181888e+000
2.200000000000100e+003	1.182945e+000
2.210000000000100e+003	1.184002e+000
2.220000000000100e+003	1.185059e+000
2.230000000000100e+003	1.186117e+000
2.240000000000100e+003	1.187174e+000
2.250000000000100e+003	1.188231e+000
2.260000000000100e+003	1.189288e+000
2.270000000000100e+003	1.190345e+000
2.280000000000100e+003	1.191402e+000
2.290000000000100e+003	1.192459e+000
2.300000000000100e+003	1.193516e+000
2.310000000000100e+003	1.194574e+000
2.320000000000100e+003	1.195631e+000
2.330000000000100e+003	1.196688e+000
2.340000000000100e+003	1.197745e+000
2.350000000000100e+003	1.198802e+000
2.360000000000100e+003	1.199859e+000
2.370000000000100e+003	1.200916e+000
2.380000000000100e+003	1.201974e+000
2.390000000000100e+003	1.203031e+000
2.400000000000100e+003	1.204088e+000
2.410000000000100e+003	1.205145e+000
2.420000000000100e+003	1.206202e+000
2.430000000000100e+003	1.207259e+000
2.440000000000100e+003	1.208316e+000
2.450000000000100e+003	1.209373e+000
2.460000000000100e+003	1.210431e+000
2.470000000000100e+003	1.211488e+000
2.480000000000100e+003	1.212545e+000
2.490000000000100e+003	1.213602e+000
2.500000000000100e+003	1.214659e+000
2.510000000000100e+003	1.215716e+000
2.520000000000100e+003	1.216773e+000
2.530000000000100e+003	1.217831e+000
2.540000000000100e+003	1.218888e+000
2.550000000000100e+003	1.219945e+000
2.560000000000100e+003	1.221002e+000
2.570000000000100e+003	1.222059e+000
2.580000000000100e+003	1.223116e+000
2.590000000000100e+003	1.224173e+000
2.600000000000100e+003	1.225230e+000
2.610000000000100e+003	1.226288e+000
2.620000000000100e+003	1.227345e+000
2.630000000000100e+003	1.228402e+000
2.640000000000100e+003	1.229459e+000
2.650000000000100e+003	1.230516e+000
2.660000000000100e+003	1.231573e+000
2.670000000000100e+003	1.232630e+000
2.680000000000100e+003	1.233687e+000
2.690000000000100e+003	1.234745e+000
2.700000000000100e+003	1.235802e+000
2.710000000000100e+003	1.236859e+000
2.720000000000100e+003	1.237916e+000
2.730000000000100e+003	1.238973e+000
2.740000000000100e+003	1.240030e+000
2.750000000000100e+003	1.241087e+000
2.760000000000100e+003	1.242144e+000
2.770000000000100e+003	1.243202e+000
2.780000000000100e+003	1.244259e+000
2.790000000000100e+003	1.245316e+000
2.800000000000100e+003	1.246373e+000
2.810000000000100e+003	1.247430e+000
2.820000000000100e+003	1.248487e+000
2.830000000000100e+003	1.249544e+000
2.840000000000100e+003	1.250601e+000
2.850000000000100e+003	1.251659e+000
2.860000000000100e+003	1.252716e+000
2.870000000000100e+003	1.253773e+000
2.880000000000100e+003	1.254830e+000
2.890000000000100e+003	1.255887e+000
2.900000000000100e+003	1.256944e+000
2.910000000000100e+003	1.258001e+000
2.920000000000100e+003	1.259058e+000
2.930000000000100e+003	1.260116e+000
2.940000000000100e+003	1.261173e+000
2.950000000000100e+003	1.262230e+000
2.960000000000100e+003	1.263287e+000
2.970000000000100e+003	1.264344e+000
2.980000000000100e+003	1.265401e+000
2.990000000000100e+003	1.266458e+000
3.000000000000100e+003	1.267515e+000
3.010000000000100e+003	1.268573e+000
3.020000000000100e+003	1.269630e+000
3.030000000000100e+003	1.270687e+000
3.040000000000100e+003	1.271744e+000
3.050000000000100e+003	1.272801e+000
3.060000000000100e+003	1.273858e+000
3.070000000000100e+003	1.274915e+000
3.080000000000100e+003	1.275972e+000
3.090000000000100e+003	1.277030e+000
3.100000000000100e+003	1.278087e+000
3.110000000000100e+003	1.279144e+000
3.120000000000100e+003	1.280201e+000
3.130000000000100e+003	1.281258e+000
3.140000000000100e+003	1.282315e+000
3.150000000000100e+003	1.283372e+000
3.160000000000100e+003	1.284429e+000
3.170000000000100e+003	1.285486e+000
3.180000000000100e+003	1.286544e+000
3.190000000000100e+003	1.287601e+000
3.200000000000100e+003	1.288658e+000
3.210000000000100e+003	1.289715e+000
3.220000000000100e+003	1.290772e+000
3.230000000000100e+003	1.291829e+000
3.240000000000100e+003	1.292886e+000
3.250000000000100e+003	1.293943e+000
3.260000000000100e+003	1.295001e+000
3.270000000000100e+003	1.296058e+000
3.280000000000100e+003	1.297115e+000
3.290000000000100e+003	1.298172e+000
3.300000000000100e+003	1.299229e+000
3.310000000000100e+003	1.300286e+000
3.320000000000100e+003	1.301343e+000
3.330000000000100e+003	1.302400e+000
3.340000000000100e+003	1.303457e+000
3.350000000000100e+003	1.304515e+000
3.360000000000100e+003	1.305572e+000
3.370000000000100e+003	1.306629e+000
3.380000000000100e+003	1.307686e+000
3.390000000000100e+003	1.308743e+000
3.400000000000100e+003	1.309800e+000
3.410000000000100e+003	1.310857e+000
3.420000000000100e+003	1.311914e+000
3.430000000000100e+003	1.312971e+000
3.440000000000100e+003	1.314029e+000
3.450000000000100e+003	1.315086e+000
3.460000000000100e+003	1.316143e+000
3.470000000000100e+003	1.317200e+000
3.480000000000100e+003	1.318257e+000
3.490000000000100e+003	1.319314e+000
3.500000000000100e+003	1.320371e+000
3.510000000000100e+003	1.321428e+000
3.520000000000100e+003	1.322485e+000
3.530000000000100e+003	1.323543e+000
3.540000000000100e+003	1.324600e+000
3.550000000000100e+003	1.325657e+000
3.560000000000100e+003	1.326714e+000
3.570000000000100e+003	1.327771e+000
3.580000000000100e+003	1.328828e+000
3.590000000000100e+003	1.329885e+000
3.600000000000100e+003	1.330942e+000
3.610000000000100e+003	1.332000e+000
3.620000000000100e+003	1.333057e+000
3.630000000000100e+003	1.334114e+000
3.640000000000100e+003	1.335171e+000
3.650000000000100e+003	1.336228e+000
3.660000000000100e+003	1.337285e+000
3.670000000000100e+003	1.338342e+000
3.680000000000100e+003	1.339399e+000
3.690000000000100e+003	1.340456e+000
3.700000000000100e+003	1.341514e+000
3.710000000000100e+003	1.342571e+000
3.720000000000100e+003	1.343628e+000
3.730000000000100e+003	1.344685e+000
3.740000000000100e+003	1.345742e+000
3.750000000000100e+003	1.346799e+000
3.760000000000100e+003	1.347856e+000
3.770000000000100e+003	1.348913e+000
3.780000000000100e+003	1.349970e+000
3.790000000000100e+003	1.351027e+000
3.800000000000100e+003	1.352085e+000
3.810000000000100e+003	1.353142e+000
3.820000000000100e+003	1.354199e+000
3.830000000000100e+003	1.355256e+000
3.840000000000100e+003	1.356313e+000
3.850000000000100e+003	1.357370e+000
3.860000000000100e+003	1.358427e+000
3.870000000000100e+003	1.359484e+000
3.880000000000100e+003	1.360541e+000
3.890000000000100e+003	1.361599e+000
3.900000000000100e+003	1.362656e+000
3.910000000000100e+003	1.363713e+000
3.920000000000100e+003	1.364770e+000
3.930000000000100e+003	1.365827e+000
3.940000000000100e+003	1.366884e+000
3.950000000000100e+003	1.367941e+000
3.960000000000100e+003	1.368998e+000
3.970000000000100e+003	1.370055e+000
3.980000000000100e+003	1.371113e+000
3.990000000000100e+003	1.372170e+000
4.000000000000100e+003	1.373227e+000
4.010000000000100e+003	1.374284e+000
4.020000000000100e+003	1.375341e+000
4.030000000000100e+003	1.376398e+000
4.040000000000100e+003	1.377455e+000
4.050000000000100e+003	1.378512e+000
4.060000000000100e+003	1.379569e+000
4.070000000000100e+003	1.380627e+000
4.080000000000100e+003	1.381684e+000
4.090000000000100e+003	1.382741e+000
4.100000000000100e+003	1.383798e+000
4.110000000000100e+003	1.384855e+000
4.120000000000100e+003	1.385912e+000
4.130000000000100e+003	1.386969e+000
4.140000000000100e+003	1.388026e+000
4.150000000000100e+003	1.389083e+000
4.160000000000100e+003	1.390140e+000
4.170000000000100e+003	1.391198e+000
4.180000000000100e+003	1.392255e+000
4.190000000000100e+003	1.393312e+000
4.200000000000100e+003	1.394368e+000
4.210000000000100e+003	1.395426e+000
4.220000000000100e+003	1.396483e+000
4.230000000000100e+003	1.397540e+000
4.240000000000100e+003	1.398597e+000
4.250000000000100e+003	1.399654e+000
4.260000000000100e+003	1.400711e+000
4.270000000000100e+003	1.401769e+000
4.280000000000100e+003	1.402826e+000
4.290000000000100e+003	1.403883e+000
4.300000000000100e+003	1.404940e+000
4.310000000000100e+003	1.405997e+000
4.320000000000100e+003	1.407054e+000
4.330000000000100e+003	1.408111e+000
4.340000000000100e+003	1.409168e+000
4.350000000000100e+003	1.410225e+000
4.360000000000100e+003	1.411283e+000
4.370000000000100e+003	1.412340e+000
4.380000000000100e+003	1.413397e+000
4.390000000000100e+003	1.414454e+000
4.400000000000100e+003	1.415511e+000
4.410000000000100e+003	1.416568e+000
4.420000000000100e+003	1.417625e+000
4.430000000000100e+003	1.418682e+000
4.440000000000100e+003	1.419739e+000
4.450000000000100e+003	1.420796e+000
4.460000000000100e+003	1.421853e+000
4.470000000000100e+003	1.422911e+000
4.480000000000100e+003	1.423968e+000
4.490000000000100e+003	1.425025e+000
4.500000000000100e+003	1.426082e+000
4.510000000000100e+003	1.427139e+000
4.520000000000100e+003	1.428196e+000
4.530000000000100e+003	1.429253e+000
4.540000000000100e+003	1.430310e+000
4.550000000000100e+003	1.431367e+000
4.560000000000100e+003	1.432424e+000
4.570000000000100e+003	1.433482e+000
4.580000000000100e+003	1.434539e+000
4.590000000000100e+003	1.435596e+000
4.600000000000100e+003	1.436653e+000
4.610000000000100e+003	1.437710e+000
4.620000000000100e+003	1.438767e+000
4.630000000000100e+003	1.439824e+000
4.640000000000100e+003	1.440881e+000
4.650000000000100e+003	1.441938e+000
4.660000000000100e+003	1.442995e+000
4.670000000000100e+003	1.444053e+000
4.680000000000100e+003	1.445110e+000
4.690000000000100e+003	1.446167e+000
4.700000000000100e+003	1.447224e+000
4.710000000000100e+003	1.448281e+000
4.720000000000100e+003	1.449338e+000
4.730000000000100e+003	1.450395e+000
4.740000000000100e+003	1.451452e+000
4.750000000000100e+003	1.452509e+000
4.760000000000100e+003	1.453566e+000
4.770000000000100e+003	1.454623e+000
4.780000000000100e+003	1.455681e+000
4.790000000000100e+003	1.456738e+000
4.800000000000100e+003	1.457795e+000
4.810000000000100e+003	1.458852e+000
4.820000000000100e+003	1.459909e+000
4.830000000000100e+003	1.460966e+000
4.840000000000100e+003	1.462023e+000
4.850000000000100e+003	1.463080e+000
4.860000000000100e+003	1.464137e+000
4.870000000000100e+003	1.465194e+000
