Freq.	V(vout)/I(Ip)
1.00000000000000e-001	8.98451240928697e-004,1.33467751355225e-005
1.01009900990099e+001	8.97558041124412e-004,1.34815661182994e-003
2.01019801980198e+001	8.94913458995929e-004,2.68296748894064e-003
3.01029702970297e+001	8.90517474493883e-004,4.01778043708339e-003
4.01039603960396e+001	8.84370054311237e-004,5.35259648785852e-003
5.01049504950495e+001	8.76471151940457e-004,6.68741667434556e-003
6.01059405940594e+001	8.66820707733063e-004,8.02224203158591e-003
7.01069306930693e+001	8.55418648981436e-004,9.35707359707098e-003
8.01079207920792e+001	8.42264890016676e-004,1.06919124112205e-002
9.01089108910891e+001	8.27359332330092e-004,1.20267595178548e-002
1.00109900990099e+002	8.10701864701583e-004,1.33616159646718e-002
1.10110891089109e+002	7.92292363355318e-004,1.46964828037028e-002
1.20111881188119e+002	7.72130692128025e-004,1.60313610917712e-002
1.30112871287129e+002	7.50216702650815e-004,1.73662518909624e-002
1.40113861386139e+002	7.26550234549546e-004,1.87011562690365e-002
1.50114851485148e+002	7.01131115662336e-004,2.00360752998673e-002
1.60115841584158e+002	6.73959162273566e-004,2.13710100638848e-002
1.70116831683168e+002	6.45034179354203e-004,2.27059616484752e-002
1.80117821782178e+002	6.14355960824325e-004,2.40409311483812e-002
1.90118811881188e+002	5.81924289829471e-004,2.53759196660956e-002
2.00119801980198e+002	5.47738939024982e-004,2.67109283122489e-002
2.10120792079208e+002	5.11799670877372e-004,2.80459582059899e-002
2.20121782178218e+002	4.74106237975816e-004,2.93810104753062e-002
2.30122772277228e+002	4.34658383351393e-004,3.07160862573685e-002
2.40123762376238e+002	3.93455840820931e-004,3.20511866989298e-002
2.50124752475247e+002	3.50498335321346e-004,3.33863129565511e-002
2.60125742574257e+002	3.05785583271133e-004,3.47214661969437e-002
2.70126732673267e+002	2.59317292927134e-004,3.60566475972682e-002
2.80127722772277e+002	2.11093164760624e-004,3.73918583453949e-002
2.90128712871287e+002	1.61112891833445e-004,3.87270996401354e-002
3.00129702970297e+002	1.09376160183033e-004,4.00623726915329e-002
3.10130693069307e+002	5.58826492228031e-005,4.13976787210651e-002
3.20131683168317e+002	6.32032124455133e-007,4.27330189618486e-002
3.30132673267327e+002	-5.63760237637641e-005,4.40683946588505e-002
3.40133663366337e+002	-1.15141856522385e-004,4.54038070690532e-002
3.50134653465347e+002	-1.75665809240952e-004,4.67392574616326e-002
3.60135643564357e+002	-2.37948229609193e-004,4.80747471181223e-002
3.70136633663367e+002	-3.01989469501368e-004,4.94102773325070e-002
3.80137623762376e+002	-3.67789884560055e-004,5.07458494113689e-002
3.90138613861386e+002	-4.35349833774061e-004,5.20814646739858e-002
4.00139603960396e+002	-5.04669679063596e-004,5.34171244524238e-002
4.10140594059406e+002	-5.75749784857849e-004,5.47528300916051e-002
