Freq.	V(vout)/-I(Vp)
1.00000000000000e-001	(8.13590227912444e+001dB,-2.93231429565780e-002°)
1.01009900990099e+001	(8.13472881516813e+001dB,-2.95924395200584e+000°)
2.01019801980198e+001	(8.13127291486587e+001dB,-5.87347846671549e+000°)
3.01029702970297e+001	(8.12558850197681e+001dB,-8.75698668949135e+000°)
4.01039603960396e+001	(8.11776213253427e+001dB,-1.15956663634649e+001°)
5.01049504950495e+001	(8.10790874077530e+001dB,-1.43767308860458e+001°)
6.01059405940594e+001	(8.09616630786398e+001dB,-1.70889949243088e+001°)
7.01069306930693e+001	(8.08268994170782e+001dB,-1.97230565832835e+001°)
8.01079207920792e+001	(8.06764585016187e+001dB,-2.22713764157191e+001°)
9.01089108910891e+001	(8.05120562482097e+001dB,-2.47282631375215e+001°)
1.00109900990099e+002	(8.03354114978985e+001dB,-2.70897825063690e+001°)
1.10110891089109e+002	(8.01482033330273e+001dB,-2.93536091356627e+001°)
1.20111881188119e+002	(7.99520374842861e+001dB,-3.15188413600281e+001°)
1.30112871287129e+002	(7.97484217789927e+001dB,-3.35857974491128e+001°)
1.40113861386139e+002	(7.95387499079927e+001dB,-3.55558082720625e+001°)
1.50114851485148e+002	(7.93242923909448e+001dB,-3.74310178344803e+001°)
1.60115841584158e+002	(7.91061934290425e+001dB,-3.92141994560600e+001°)
1.70116831683168e+002	(7.88854723253580e+001dB,-4.09085921811531e+001°)
1.80117821782178e+002	(7.86630282461765e+001dB,-4.25177594504315e+001°)
1.90118811881188e+002	(7.84396472630141e+001dB,-4.40454701740721e+001°)
2.00119801980198e+002	(7.82160108005944e+001dB,-4.54956010622342e+001°)
2.10120792079208e+002	(7.79927048026385e+001dB,-4.68720582941767e+001°)
2.20121782178218e+002	(7.77702290977097e+001dB,-4.81787162055217e+001°)
2.30122772277228e+002	(7.75490065953307e+001dB,-4.94193705786802e+001°)
2.40123762376238e+002	(7.73293920590693e+001dB,-5.05977041734509e+001°)
2.50124752475247e+002	(7.71116803004406e+001dB,-5.17172623274822e+001°)
2.60125742574257e+002	(7.68961137044706e+001dB,-5.27814366918987e+001°)
2.70126732673267e+002	(7.66828890554871e+001dB,-5.37934554365395e+001°)
2.80127722772277e+002	(7.64721636598257e+001dB,-5.47563784887601e+001°)
2.90128712871287e+002	(7.62640607961751e+001dB,-5.56730966574840e+001°)
3.00129702970297e+002	(7.60586745302594e+001dB,-5.65463336424306e+001°)
3.10130693069307e+002	(7.58560739463220e+001dB,-5.73786501832970e+001°)
3.20131683168317e+002	(7.56563068469729e+001dB,-5.81724497007055e+001°)
3.30132673267327e+002	(7.54594029755287e+001dB,-5.89299849570728e+001°)
3.40133663366337e+002	(7.52653768131902e+001dB,-5.96533653474756e+001°)
3.50134653465347e+002	(7.50742300003215e+001dB,-6.03445645331617e+001°)
3.60135643564357e+002	(7.48859534255359e+001dB,-6.10054281931668e+001°)
3.70136633663367e+002	(7.47005290262842e+001dB,-6.16376817332674e+001°)
3.80137623762376e+002	(7.45179313354783e+001dB,-6.22429378283032e+001°)
3.90138613861386e+002	(7.43381288085730e+001dB,-6.28227037182363e+001°)
4.00139603960396e+002	(7.41610849607908e+001dB,-6.33783882017443e+001°)
4.10140594059406e+002	(7.39867593373390e+001dB,-6.39113082829637e+001°)
4.20141584158416e+002	(7.38151083430622e+001dB,-6.44226954619492e+001°)
4.30142574257426e+002	(7.36460859477636e+001dB,-6.49137016563783e+001°)
4.40143564356436e+002	(7.34796442856811e+001dB,-6.53854047514971e+001°)
4.50144554455446e+002	(7.33157341640598e+001dB,-6.58388137915443e+001°)
4.60145544554456e+002	(7.31543054931145e+001dB,-6.62748738221358e+001°)
4.70146534653466e+002	(7.29953076481769e+001dB,-6.66944703954655e+001°)
4.80147524752476e+002	(7.28386897747220e+001dB,-6.70984337598949e+001°)
4.90148514851486e+002	(7.26844010428228e+001dB,-6.74875427465061e+001°)
5.00149504950496e+002	(7.25323908600478e+001dB,-6.78625283749801e+001°)
5.10150495049505e+002	(7.23826090469123e+001dB,-6.82240771938755e+001°)
5.20151485148515e+002	(7.22350059819157e+001dB,-6.85728343752175e+001°)
5.30152475247525e+002	(7.20895327196014e+001dB,-6.89094065765911e+001°)
5.40153465346535e+002	(7.19461410859094e+001dB,-6.92343645954280e+001°)
5.50154455445545e+002	(7.18047837538527e+001dB,-6.95482458204055e+001°)
5.60155445544555e+002	(7.16654143032212e+001dB,-6.98515565015438e+001°)
5.70156435643565e+002	(7.15279872656439e+001dB,-7.01447738544158e+001°)
5.80157425742575e+002	(7.13924581580716e+001dB,-7.04283480025891e+001°)
5.90158415841584e+002	(7.12587835060409e+001dB,-7.07027037814172e+001°)
6.00159405940594e+002	(7.11269208583357e+001dB,-7.09682424042859e+001°)
6.10160396039604e+002	(7.09968287946709e+001dB,-7.12253430103243e+001°)
6.20161386138614e+002	(7.08684669270856e+001dB,-7.14743640944195e+001°)
6.30162376237624e+002	(7.07417958965040e+001dB,-7.17156448384759e+001°)
6.40163366336634e+002	(7.06167773649900e+001dB,-7.19495063407867e+001°)
6.50164356435644e+002	(7.04933740046237e+001dB,-7.21762527607866e+001°)
6.60165346534654e+002	(7.03715494836176e+001dB,-7.23961723811744e+001°)
6.70166336633663e+002	(7.02512684498934e+001dB,-7.26095385931027e+001°)
6.80167326732673e+002	(7.01324965131219e+001dB,-7.28166108136814e+001°)
6.90168316831683e+002	(7.00152002252737e+001dB,-7.30176353381112e+001°)
7.00169306930693e+002	(6.98993470597093e+001dB,-7.32128461325981e+001°)
7.10170297029703e+002	(6.97849053900090e+001dB,-7.34024655735616e+001°)
7.20171287128713e+002	(6.96718444678057e+001dB,-7.35867051340790e+001°)
7.30172277227723e+002	(6.95601344003918e+001dB,-7.37657660273704e+001°)
7.40173267326732e+002	(6.94497461280995e+001dB,-7.39398398023182e+001°)
7.50174257425742e+002	(6.93406514015809e+001dB,-7.41091089015562e+001°)
7.60175247524752e+002	(6.92328227592748e+001dB,-7.42737471838669e+001°)
7.70176237623762e+002	(6.91262335047884e+001dB,-7.44339204090466e+001°)
7.80177227722772e+002	(6.90208576848379e+001dB,-7.45897866929242e+001°)
7.90178217821782e+002	(6.89166700672110e+001dB,-7.47414969331102e+001°)
8.00179207920792e+002	(6.88136461192490e+001dB,-7.48891952068113e+001°)
8.10180198019802e+002	(6.87117619867734e+001dB,-7.50330191425076e+001°)
8.20181188118811e+002	(6.86109944733085e+001dB,-7.51731002701713e+001°)
8.30182178217821e+002	(6.85113210198790e+001dB,-7.53095643468145e+001°)
8.40183168316831e+002	(6.84127196853166e+001dB,-7.54425316648249e+001°)
8.50184158415841e+002	(6.83151691270441e+001dB,-7.55721173392683e+001°)
8.60185148514851e+002	(6.82186485823435e+001dB,-7.56984315772708e+001°)
8.70186138613861e+002	(6.81231378501798e+001dB,-7.58215799327509e+001°)
8.80187128712871e+002	(6.80286172736136e+001dB,-7.59416635449852e+001°)
8.90188118811880e+002	(6.79350677225624e+001dB,-7.60587793622422e+001°)
9.00189108910890e+002	(6.78424705772984e+001dB,-7.61730203538427e+001°)
9.10190099009900e+002	(6.77508077123014e+001dB,-7.62844757074620e+001°)
9.20191089108910e+002	(6.76600614806723e+001dB,-7.63932310174005e+001°)
9.30192079207920e+002	(6.75702146990843e+001dB,-7.64993684605386e+001°)
9.40193069306930e+002	(6.74812506331450e+001dB,-7.66029669621509e+001°)
9.50194059405940e+002	(6.73931529832711e+001dB,-7.67041023532313e+001°)
9.60195049504950e+002	(6.73059058710868e+001dB,-7.68028475180136e+001°)
9.70196039603959e+002	(6.72194938261872e+001dB,-7.68992725333259e+001°)
9.80197029702969e+002	(6.71339017733527e+001dB,-7.69934448015143e+001°)
9.90198019801979e+002	(6.70491150203228e+001dB,-7.70854291744461e+001°)
1.00019900990099e+003	(6.69651192457802e+001dB,-7.71752880703607e+001°)
1.01020000000000e+003	(6.68819004879461e+001dB,-7.72630815883018e+001°)
1.02020099009901e+003	(6.67994451333817e+001dB,-7.73488676095901e+001°)
1.03020198019802e+003	(6.67177399063522e+001dB,-7.74327019011556e+001°)
1.04020297029703e+003	(6.66367718583713e+001dB,-7.75146382083477e+001°)
1.05020396039604e+003	(6.65565283582826e+001dB,-7.75947283445643e+001°)
1.06020495049505e+003	(6.64769970825652e+001dB,-7.76730222769342e+001°)
1.07020594059406e+003	(6.63981660059985e+001dB,-7.77495682068287e+001°)
1.08020693069307e+003	(6.63200233926594e+001dB,-7.78244126453650e+001°)
1.09020792079208e+003	(6.62425577872565e+001dB,-7.78976004867994e+001°)
1.10020891089109e+003	(6.61657580066618e+001dB,-7.79691750777703e+001°)
1.11020990099010e+003	(6.60896131319011e+001dB,-7.80391782811047e+001°)
1.12021089108911e+003	(6.60141125002303e+001dB,-7.81076505403611e+001°)
1.13021188118812e+003	(6.59392456975919e+001dB,-7.81746309363882e+001°)
1.14021287128713e+003	(6.58650025513686e+001dB,-7.82401572460747e+001°)
1.15021386138614e+003	(6.57913731232453e+001dB,-7.83042659933616e+001°)
1.16021485148515e+003	(6.57183477024583e+001dB,-7.83669925024191e+001°)
1.17021584158416e+003	(6.56459167991309e+001dB,-7.84283709445845e+001°)
1.18021683168317e+003	(6.55740711379924e+001dB,-7.84884343847789e+001°)
1.19021782178218e+003	(6.55028016521716e+001dB,-7.85472148264092e+001°)
1.20021881188119e+003	(6.54320994772803e+001dB,-7.86047432520133e+001°)
1.21021980198020e+003	(6.53619559456468e+001dB,-7.86610496639588e+001°)
1.22022079207921e+003	(6.52923625808256e+001dB,-7.87161631226722e+001°)
1.23022178217822e+003	(6.52233110921063e+001dB,-7.87701117825959e+001°)
1.24022277227723e+003	(6.51547933694373e+001dB,-7.88229229269558e+001°)
1.25022376237624e+003	(6.50868014783881e+001dB,-7.88746230012635e+001°)
1.26022475247525e+003	(6.50193276552160e+001dB,-7.89252376447923e+001°)
1.27022574257426e+003	(6.49523643023068e+001dB,-7.89747917206490e+001°)
1.28022673267327e+003	(6.48859039834679e+001dB,-7.90233093446682e+001°)
1.29022772277228e+003	(6.48199394196662e+001dB,-7.90708139134740e+001°)
1.30022871287129e+003	(6.47544634847607e+001dB,-7.91173281304228e+001°)
1.31022970297030e+003	(6.46894692013201e+001dB,-7.91628740315538e+001°)
1.32023069306930e+003	(6.46249497366735e+001dB,-7.92074730087947e+001°)
1.33023168316831e+003	(6.45608983990681e+001dB,-7.92511458335137e+001°)
1.34023267326732e+003	(6.44973086339469e+001dB,-7.92939126795499e+001°)
1.35023366336633e+003	(6.44341740202604e+001dB,-7.93357931429576e+001°)
1.36023465346534e+003	(6.43714882670783e+001dB,-7.93768062634796e+001°)
1.37023564356435e+003	(6.43092452101081e+001dB,-7.94169705437134e+001°)
1.38023663366336e+003	(6.42474388084664e+001dB,-7.94563039676003e+001°)
1.39023762376237e+003	(6.41860631414455e+001dB,-7.94948240185357e+001°)
1.40023861386138e+003	(6.41251124054680e+001dB,-7.95325476963809e+001°)
1.41023960396039e+003	(6.40645809110643e+001dB,-7.95694915342834e+001°)
1.42024059405940e+003	(6.40044630800448e+001dB,-7.96056716141609e+001°)
1.43024158415841e+003	(6.39447534426114e+001dB,-7.96411035821100e+001°)
1.44024257425742e+003	(6.38854466346649e+001dB,-7.96758026628258e+001°)
1.45024356435643e+003	(6.38265373951744e+001dB,-7.97097836735963e+001°)
1.46024455445544e+003	(6.37680205636168e+001dB,-7.97430610380741e+001°)
1.47024554455445e+003	(6.37098910774663e+001dB,-7.97756487986315e+001°)
1.48024653465346e+003	(6.36521439698022e+001dB,-7.98075606295214e+001°)
1.49024752475247e+003	(6.35947743670061e+001dB,-7.98388098479039e+001°)
1.50024851485148e+003	(6.35377774863913e+001dB,-7.98694094261665e+001°)
1.51024950495049e+003	(6.34811486341356e+001dB,-7.98993720028005e+001°)
1.52025049504950e+003	(6.34248832030346e+001dB,-7.99287098923828e+001°)
1.53025148514851e+003	(6.33689766704636e+001dB,-7.99574350966887e+001°)
1.54025247524752e+003	(6.33134245963939e+001dB,-7.99855593138795e+001°)
1.55025346534653e+003	(6.32582226213706e+001dB,-8.00130939483627e+001°)
1.56025445544554e+003	(6.32033664646662e+001dB,-8.00400501198876e+001°)
1.57025544554455e+003	(6.31488519224206e+001dB,-8.00664386720128e+001°)
1.58025643564356e+003	(6.30946748658143e+001dB,-8.00922701808019e+001°)
1.59025742574257e+003	(6.30408312394025e+001dB,-8.01175549632984e+001°)
1.60025841584158e+003	(6.29873170593180e+001dB,-8.01423030845124e+001°)
1.61025940594059e+003	(6.29341284117166e+001dB,-8.01665243660381e+001°)
1.62026039603960e+003	(6.28812614511206e+001dB,-8.01902283926197e+001°)
1.63026138613861e+003	(6.28287123989015e+001dB,-8.02134245195594e+001°)
1.64026237623762e+003	(6.27764775417122e+001dB,-8.02361218795064e+001°)
1.65026336633663e+003	(6.27245532301017e+001dB,-8.02583293886712e+001°)
1.66026435643564e+003	(6.26729358769898e+001dB,-8.02800557535530e+001°)
1.67026534653465e+003	(6.26216219563625e+001dB,-8.03013094771238e+001°)
1.68026633663366e+003	(6.25706080018348e+001dB,-8.03220988638796e+001°)
1.69026732673267e+003	(6.25198906054044e+001dB,-8.03424320272026e+001°)
1.70026831683168e+003	(6.24694664161381e+001dB,-8.03623168927422e+001°)
1.71026930693069e+003	(6.24193321389168e+001dB,-8.03817612054425e+001°)
1.72027029702970e+003	(6.23694845332485e+001dB,-8.04007725341551e+001°)
1.73027128712871e+003	(6.23199204120589e+001dB,-8.04193582760231e+001°)
1.74027227722772e+003	(6.22706366405575e+001dB,-8.04375256622121e+001°)
1.75027326732673e+003	(6.22216301351126e+001dB,-8.04552817616399e+001°)
1.76027425742574e+003	(6.21728978621728e+001dB,-8.04726334865190e+001°)
1.77027524752475e+003	(6.21244368371632e+001dB,-8.04895875955692e+001°)
1.78027623762376e+003	(6.20762441235239e+001dB,-8.05061506990291e+001°)
1.79027722772277e+003	(6.20283168316224e+001dB,-8.05223292622062e+001°)
1.80027821782178e+003	(6.19806521178184e+001dB,-8.05381296096806e+001°)
1.81027920792079e+003	(6.19332471834998e+001dB,-8.05535579291754e+001°)
1.82028019801980e+003	(6.18860992741458e+001dB,-8.05686202748170e+001°)
1.83028118811881e+003	(6.18392056784167e+001dB,-8.05833225714379e+001°)
1.84028217821782e+003	(6.17925637272693e+001dB,-8.05976706169307e+001°)
1.85028316831683e+003	(6.17461707930961e+001dB,-8.06116700865786e+001°)
1.86028415841584e+003	(6.17000242888760e+001dB,-8.06253265359716e+001°)
1.87028514851485e+003	(6.16541216673598e+001dB,-8.06386454039749e+001°)
1.88028613861386e+003	(6.16084604202701e+001dB,-8.06516320159831e+001°)
1.89028712871287e+003	(6.15630380775204e+001dB,-8.06642915864871e+001°)
1.90028811881188e+003	(6.15178522064342e+001dB,-8.06766292224130e+001°)
1.91028910891089e+003	(6.14729004110372e+001dB,-8.06886499258412e+001°)
1.92029009900990e+003	(6.14281803313128e+001dB,-8.07003585960930e+001°)
1.93029108910891e+003	(6.13836896424681e+001dB,-8.07117600328814e+001°)
1.94029207920792e+003	(6.13394260543130e+001dB,-8.07228589388729e+001°)
1.95029306930693e+003	(6.12953873105020e+001dB,-8.07336599218860e+001°)
1.96029405940594e+003	(6.12515711879451e+001dB,-8.07441674970717e+001°)
1.97029504950495e+003	(6.12079754961407e+001dB,-8.07543860897794e+001°)
1.98029603960396e+003	(6.11645980765308e+001dB,-8.07643200374161e+001°)
1.99029702970297e+003	(6.11214368019114e+001dB,-8.07739735913268e+001°)
2.00029801980198e+003	(6.10784895758357e+001dB,-8.07833509198378e+001°)
2.01029900990099e+003	(6.10357543320205e+001dB,-8.07924561092485e+001°)
2.02030000000000e+003	(6.09932290337824e+001dB,-8.08012931663664e+001°)
