rl	V(vout)	-I(Rl)
1.000000000000000e-010	2.004109e-010	2.004109e+000
1.000000010000000e-002	2.004108e-002	2.004108e+000
2.000000010000000e-002	4.008212e-002	2.004106e+000
3.000000010000000e-002	6.012313e-002	2.004104e+000
4.000000010000000e-002	8.016410e-002	2.004102e+000
5.000000010000000e-002	1.002050e-001	2.004101e+000
6.000000010000001e-002	1.202459e-001	2.004099e+000
7.000000010000000e-002	1.402868e-001	2.004097e+000
8.000000010000000e-002	1.603277e-001	2.004096e+000
9.000000009999999e-002	1.803685e-001	2.004094e+000
1.000000001000000e-001	2.004092e-001	2.004092e+000
1.100000001000000e-001	2.204500e-001	2.004091e+000
1.200000001000000e-001	2.404907e-001	2.004089e+000
1.300000001000000e-001	2.605313e-001	2.004087e+000
1.400000001000000e-001	2.805720e-001	2.004086e+000
1.500000001000000e-001	3.006126e-001	2.004084e+000
1.600000001000000e-001	3.206531e-001	2.004082e+000
1.700000001000000e-001	3.406937e-001	2.004080e+000
1.800000001000000e-001	3.607341e-001	2.004079e+000
1.900000001000000e-001	3.807746e-001	2.004077e+000
2.000000001000001e-001	4.008150e-001	2.004075e+000
2.100000001000001e-001	4.208554e-001	2.004073e+000
2.200000001000001e-001	4.408958e-001	2.004072e+000
2.300000001000001e-001	4.609361e-001	2.004070e+000
2.400000001000001e-001	4.809764e-001	2.004068e+000
2.500000001000001e-001	5.010167e-001	2.004067e+000
2.600000001000001e-001	5.210569e-001	2.004065e+000
2.700000001000001e-001	5.410970e-001	2.004063e+000
2.800000001000001e-001	5.611372e-001	2.004061e+000
2.900000001000001e-001	5.811773e-001	2.004060e+000
3.000000001000001e-001	6.012174e-001	2.004058e+000
3.100000001000001e-001	6.212575e-001	2.004056e+000
3.200000001000001e-001	6.412975e-001	2.004055e+000
3.300000001000001e-001	6.613374e-001	2.004053e+000
3.400000001000001e-001	6.813774e-001	2.004051e+000
3.500000001000002e-001	7.014173e-001	2.004050e+000
3.600000001000002e-001	7.214572e-001	2.004048e+000
3.700000001000002e-001	7.414970e-001	2.004046e+000
3.800000001000002e-001	7.615368e-001	2.004044e+000
3.900000001000002e-001	7.815766e-001	2.004043e+000
4.000000001000002e-001	8.016164e-001	2.004041e+000
4.100000001000002e-001	8.216560e-001	2.004039e+000
4.200000001000002e-001	8.416957e-001	2.004037e+000
4.300000001000002e-001	8.617353e-001	2.004036e+000
4.400000001000002e-001	8.817750e-001	2.004034e+000
4.500000001000002e-001	9.018145e-001	2.004032e+000
4.600000001000003e-001	9.218541e-001	2.004031e+000
4.700000001000003e-001	9.418936e-001	2.004029e+000
4.800000001000003e-001	9.619330e-001	2.004027e+000
4.900000001000003e-001	9.819725e-001	2.004025e+000
5.000000001000002e-001	1.002012e+000	2.004024e+000
5.100000001000002e-001	1.022051e+000	2.004022e+000
5.200000001000003e-001	1.042091e+000	2.004020e+000
5.300000001000003e-001	1.062130e+000	2.004019e+000
5.400000001000003e-001	1.082169e+000	2.004017e+000
5.500000001000003e-001	1.102208e+000	2.004015e+000
5.600000001000003e-001	1.122247e+000	2.004013e+000
5.700000001000003e-001	1.142287e+000	2.004012e+000
5.800000001000003e-001	1.162326e+000	2.004010e+000
5.900000001000003e-001	1.182365e+000	2.004008e+000
6.000000001000003e-001	1.202404e+000	2.004006e+000
6.100000001000003e-001	1.222443e+000	2.004004e+000
6.200000001000003e-001	1.242481e+000	2.004002e+000
6.300000001000004e-001	1.262520e+000	2.004000e+000
6.400000001000004e-001	1.282559e+000	2.003998e+000
6.500000001000004e-001	1.302597e+000	2.003996e+000
6.600000001000004e-001	1.322635e+000	2.003993e+000
6.700000001000004e-001	1.342673e+000	2.003990e+000
6.800000001000004e-001	1.362710e+000	2.003986e+000
6.900000001000004e-001	1.382746e+000	2.003980e+000
7.000000001000004e-001	1.402781e+000	2.003974e+000
7.100000001000004e-001	1.422815e+000	2.003964e+000
7.200000001000004e-001	1.442845e+000	2.003952e+000
7.300000001000004e-001	1.462872e+000	2.003934e+000
7.400000001000004e-001	1.482892e+000	2.003908e+000
7.500000001000005e-001	1.502904e+000	2.003872e+000
7.600000001000005e-001	1.522902e+000	2.003819e+000
7.700000001000005e-001	1.542881e+000	2.003742e+000
7.800000001000005e-001	1.562832e+000	2.003631e+000
7.900000001000005e-001	1.582741e+000	2.003469e+000
8.000000001000005e-001	1.602589e+000	2.003237e+000
8.100000001000005e-001	1.622351e+000	2.002903e+000
8.200000001000005e-001	1.641992e+000	2.002429e+000
8.300000001000005e-001	1.661467e+000	2.001767e+000
8.400000001000005e-001	1.680719e+000	2.000856e+000
8.500000001000005e-001	1.699686e+000	1.999631e+000
8.600000001000006e-001	1.718301e+000	1.998025e+000
8.700000001000006e-001	1.736501e+000	1.995978e+000
8.800000001000006e-001	1.754230e+000	1.993443e+000
8.900000001000006e-001	1.771445e+000	1.990388e+000
9.000000001000006e-001	1.788118e+000	1.986797e+000
9.100000001000006e-001	1.804226e+000	1.982666e+000
9.200000001000006e-001	1.819757e+000	1.977997e+000
9.300000001000006e-001	1.834698e+000	1.972794e+000
9.400000001000006e-001	1.849039e+000	1.967063e+000
9.500000001000006e-001	1.862767e+000	1.960808e+000
9.600000001000006e-001	1.875869e+000	1.954030e+000
9.700000001000007e-001	1.888326e+000	1.946728e+000
9.800000001000007e-001	1.900122e+000	1.938900e+000
9.900000001000007e-001	1.911238e+000	1.930544e+000
1.000000000100001e+000	1.921656e+000	1.921656e+000
1.010000000100001e+000	1.931361e+000	1.912239e+000
1.020000000100001e+000	1.940340e+000	1.902294e+000
1.030000000100001e+000	1.948586e+000	1.891831e+000
1.040000000100001e+000	1.956100e+000	1.880866e+000
1.050000000100001e+000	1.962890e+000	1.869419e+000
1.060000000100001e+000	1.968972e+000	1.857521e+000
1.070000000100001e+000	1.974374e+000	1.845210e+000
1.080000000100001e+000	1.979131e+000	1.832529e+000
1.090000000100001e+000	1.983285e+000	1.819528e+000
1.100000000100001e+000	1.986885e+000	1.806259e+000
1.110000000100001e+000	1.989983e+000	1.792778e+000
1.120000000100001e+000	1.992633e+000	1.779136e+000
1.130000000100001e+000	1.994886e+000	1.765386e+000
1.140000000100001e+000	1.996795e+000	1.751575e+000
1.150000000100001e+000	1.998406e+000	1.737744e+000
1.160000000100001e+000	1.999762e+000	1.723933e+000
1.170000000100001e+000	2.000901e+000	1.710172e+000
1.180000000100001e+000	2.001857e+000	1.696489e+000
1.190000000100001e+000	2.002659e+000	1.682907e+000
1.200000000100001e+000	2.003331e+000	1.669443e+000
1.210000000100001e+000	2.003896e+000	1.656112e+000
1.220000000100001e+000	2.004369e+000	1.642926e+000
1.230000000100001e+000	2.004768e+000	1.629892e+000
1.240000000100001e+000	2.005103e+000	1.617019e+000
1.250000000100001e+000	2.005386e+000	1.604308e+000
1.260000000100001e+000	2.005624e+000	1.591765e+000
1.270000000100001e+000	2.005826e+000	1.579391e+000
1.280000000100001e+000	2.005997e+000	1.567186e+000
