time	V(vout)	-I(Rl)
0.000000000000000e+000	2.007461e+000	2.027536e-010
2.000000000000000e-002	2.007461e+000	2.027536e-010
2.000007812500000e-002	5.363506e-001	2.474535e-001
2.000008148966788e-002	5.147028e-001	2.573514e-001
2.000008821900364e-002	5.511572e-001	2.755786e-001
2.000010167767517e-002	6.138103e-001	3.069052e-001
2.000012202716012e-002	6.776978e-001	3.388489e-001
2.000015333366516e-002	7.341794e-001	3.670897e-001
2.000019072559430e-002	7.749774e-001	3.874887e-001
2.000024117157511e-002	9.155013e-001	4.577506e-001
2.000031755546143e-002	1.579637e+000	7.898185e-001
2.000041114153329e-002	2.994192e+000	1.497096e+000
2.000042274153820e-002	3.207085e+000	1.603543e+000
2.000044594154803e-002	3.648006e+000	1.824003e+000
2.000049234156768e-002	4.475683e+000	2.237841e+000
2.000058514160698e-002	5.852791e+000	2.926395e+000
2.000072502658252e-002	7.431921e+000	3.715961e+000
2.000075980680585e-002	7.694784e+000	3.847392e+000
2.000082936725251e-002	7.993655e+000	3.996828e+000
2.000096848814582e-002	8.271701e+000	4.135850e+000
2.000119819045855e-002	8.248960e+000	4.124480e+000
2.000144917592340e-002	7.907238e+000	3.953619e+000
2.000177031491983e-002	7.330546e+000	3.665273e+000
2.000220261566212e-002	6.600336e+000	3.300168e+000
2.000292913830610e-002	5.594982e+000	2.797491e+000
2.000396462412006e-002	4.529980e+000	2.264990e+000
2.000551814155623e-002	3.330266e+000	1.665133e+000
2.000570734741821e-002	3.213660e+000	1.606830e+000
2.000608575914216e-002	3.019386e+000	1.509693e+000
2.000684258259006e-002	2.676891e+000	1.338445e+000
2.000835622948587e-002	2.142158e+000	1.071079e+000
2.001105462185764e-002	1.610793e+000	8.053964e-001
2.001402400593290e-002	1.569456e+000	7.847278e-001
2.001612206570668e-002	1.694486e+000	8.472432e-001
2.001836841867125e-002	1.702321e+000	8.511606e-001
2.002000361216343e-002	1.712143e+000	8.560715e-001
2.002165840895814e-002	1.804844e+000	9.024218e-001
2.002315563188643e-002	1.818705e+000	9.093525e-001
2.002434837811175e-002	1.778664e+000	8.893318e-001
2.002565918085000e-002	1.782790e+000	8.913950e-001
