vi	V(vout)
1.000000000000000e+000	2.193252e-002
1.010000000000000e+000	2.253393e-002
1.020000000000000e+000	2.320919e-002
1.030000000000000e+000	2.398390e-002
1.040000000000000e+000	2.489212e-002
1.050000000000000e+000	2.598067e-002
1.060000000000000e+000	2.731791e-002
1.070000000000000e+000	2.901128e-002
1.080000000000000e+000	3.123294e-002
1.090000000000000e+000	3.422602e-002
1.100000000000000e+000	3.822429e-002
1.110000000000000e+000	4.330090e-002
1.120000000000000e+000	4.932959e-002
1.130000000000000e+000	5.609753e-002
1.140000000000000e+000	6.340879e-002
1.150000000000000e+000	7.111629e-002
1.160000000000000e+000	7.911694e-002
1.170000000000000e+000	8.733929e-002
1.180000000000000e+000	9.573326e-002
1.190000000000000e+000	1.042630e-001
1.200000000000000e+000	1.129024e-001
1.210000000000000e+000	1.216317e-001
1.220000000000000e+000	1.304361e-001
1.230000000000000e+000	1.393039e-001
1.240000000000000e+000	1.482259e-001
1.250000000000000e+000	1.571948e-001
1.260000000000000e+000	1.662045e-001
1.270000000000000e+000	1.752502e-001
1.280000000000000e+000	1.843277e-001
1.290000000000000e+000	1.934336e-001
1.300000000000000e+000	2.025650e-001
1.310000000000000e+000	2.117193e-001
1.320000000000000e+000	2.208945e-001
1.330000000000000e+000	2.300886e-001
1.340000000000000e+000	2.393001e-001
1.350000000000000e+000	2.485275e-001
1.360000000000000e+000	2.577696e-001
1.370000000000000e+000	2.670251e-001
1.380000000000000e+000	2.762933e-001
1.390000000000000e+000	2.855731e-001
1.400000000000000e+000	2.948638e-001
1.410000000000000e+000	3.041646e-001
1.420000000000000e+000	3.134750e-001
1.430000000000000e+000	3.227943e-001
1.440000000000000e+000	3.321219e-001
1.450000000000000e+000	3.414575e-001
1.460000000000000e+000	3.508005e-001
1.470000000000000e+000	3.601506e-001
1.480000000000000e+000	3.695073e-001
1.490000000000000e+000	3.788704e-001
1.500000000000000e+000	3.882395e-001
1.510000000000001e+000	3.976143e-001
1.520000000000001e+000	4.069945e-001
1.530000000000001e+000	4.163799e-001
1.540000000000001e+000	4.257703e-001
1.550000000000001e+000	4.351653e-001
1.560000000000001e+000	4.445649e-001
1.570000000000001e+000	4.539689e-001
1.580000000000001e+000	4.633769e-001
1.590000000000001e+000	4.727890e-001
1.600000000000001e+000	4.822048e-001
1.610000000000001e+000	4.916243e-001
1.620000000000001e+000	5.010474e-001
1.630000000000001e+000	5.104738e-001
1.640000000000001e+000	5.199035e-001
1.650000000000001e+000	5.293364e-001
1.660000000000001e+000	5.387723e-001
1.670000000000001e+000	5.482112e-001
1.680000000000001e+000	5.576528e-001
1.690000000000001e+000	5.670972e-001
1.700000000000001e+000	5.765443e-001
1.710000000000001e+000	5.859939e-001
1.720000000000001e+000	5.954460e-001
1.730000000000001e+000	6.049005e-001
1.740000000000001e+000	6.143574e-001
1.750000000000001e+000	6.238164e-001
1.760000000000001e+000	6.332777e-001
1.770000000000001e+000	6.427411e-001
1.780000000000001e+000	6.522066e-001
1.790000000000001e+000	6.616740e-001
1.800000000000001e+000	6.711435e-001
1.810000000000001e+000	6.806148e-001
1.820000000000001e+000	6.900880e-001
1.830000000000001e+000	6.995629e-001
1.840000000000001e+000	7.090396e-001
1.850000000000001e+000	7.185180e-001
1.860000000000001e+000	7.279981e-001
1.870000000000001e+000	7.374798e-001
1.880000000000001e+000	7.469630e-001
1.890000000000001e+000	7.564479e-001
1.900000000000001e+000	7.659341e-001
1.910000000000001e+000	7.754219e-001
1.920000000000001e+000	7.849111e-001
1.930000000000001e+000	7.944017e-001
1.940000000000001e+000	8.038936e-001
1.950000000000001e+000	8.133869e-001
1.960000000000001e+000	8.228815e-001
1.970000000000001e+000	8.323774e-001
1.980000000000001e+000	8.418745e-001
1.990000000000001e+000	8.513728e-001
2.000000000000001e+000	8.608723e-001
2.010000000000001e+000	8.703730e-001
2.020000000000001e+000	8.798748e-001
2.030000000000000e+000	8.893778e-001
2.040000000000000e+000	8.988818e-001
2.050000000000000e+000	9.083869e-001
2.060000000000000e+000	9.178931e-001
2.069999999999999e+000	9.274003e-001
2.079999999999999e+000	9.369085e-001
2.089999999999999e+000	9.464177e-001
2.099999999999999e+000	9.559279e-001
2.109999999999999e+000	9.654390e-001
2.119999999999998e+000	9.749511e-001
2.129999999999998e+000	9.844641e-001
2.139999999999998e+000	9.939780e-001
2.149999999999998e+000	1.003493e+000
2.159999999999998e+000	1.013008e+000
2.169999999999997e+000	1.022525e+000
2.179999999999997e+000	1.032042e+000
2.189999999999997e+000	1.041561e+000
2.199999999999997e+000	1.051080e+000
2.209999999999996e+000	1.060599e+000
2.219999999999996e+000	1.070120e+000
2.229999999999996e+000	1.079641e+000
2.239999999999996e+000	1.089163e+000
2.249999999999996e+000	1.098686e+000
2.259999999999995e+000	1.108210e+000
2.269999999999995e+000	1.117734e+000
2.279999999999995e+000	1.127259e+000
2.289999999999995e+000	1.136785e+000
2.299999999999995e+000	1.146311e+000
2.309999999999994e+000	1.155838e+000
2.319999999999994e+000	1.165366e+000
2.329999999999994e+000	1.174894e+000
2.339999999999994e+000	1.184423e+000
2.349999999999993e+000	1.193953e+000
2.359999999999993e+000	1.203483e+000
2.369999999999993e+000	1.213014e+000
2.379999999999993e+000	1.222546e+000
2.389999999999993e+000	1.232078e+000
2.399999999999992e+000	1.241611e+000
2.409999999999992e+000	1.251144e+000
2.419999999999992e+000	1.260678e+000
2.429999999999992e+000	1.270213e+000
2.439999999999992e+000	1.279748e+000
2.449999999999991e+000	1.289283e+000
2.459999999999991e+000	1.298819e+000
2.469999999999991e+000	1.308356e+000
2.479999999999991e+000	1.317893e+000
2.489999999999990e+000	1.327431e+000
2.499999999999990e+000	1.336969e+000
2.509999999999990e+000	1.346508e+000
2.519999999999990e+000	1.356047e+000
2.529999999999990e+000	1.365587e+000
2.539999999999989e+000	1.375127e+000
2.549999999999989e+000	1.384668e+000
2.559999999999989e+000	1.394209e+000
2.569999999999989e+000	1.403751e+000
2.579999999999989e+000	1.413293e+000
2.589999999999988e+000	1.422836e+000
2.599999999999988e+000	1.432379e+000
2.609999999999988e+000	1.441922e+000
2.619999999999988e+000	1.451466e+000
2.629999999999988e+000	1.461010e+000
2.639999999999987e+000	1.470555e+000
2.649999999999987e+000	1.480101e+000
2.659999999999987e+000	1.489646e+000
2.669999999999987e+000	1.499192e+000
2.679999999999986e+000	1.508739e+000
2.689999999999986e+000	1.518286e+000
2.699999999999986e+000	1.527833e+000
2.709999999999986e+000	1.537381e+000
2.719999999999986e+000	1.546929e+000
2.729999999999985e+000	1.556478e+000
2.739999999999985e+000	1.566027e+000
2.749999999999985e+000	1.575576e+000
2.759999999999985e+000	1.585125e+000
2.769999999999985e+000	1.594676e+000
2.779999999999984e+000	1.604226e+000
2.789999999999984e+000	1.613777e+000
2.799999999999984e+000	1.623328e+000
2.809999999999984e+000	1.632879e+000
2.819999999999983e+000	1.642431e+000
2.829999999999983e+000	1.651984e+000
2.839999999999983e+000	1.661536e+000
