time	V(vout)	V(n001)
0.000000000000000e+000	2.007463e+000	2.000000e+001
9.999999439624929e-011	2.951757e+000	2.094444e+001
1.124999936957805e-010	3.007296e+000	2.100000e+001
1.374999922948428e-010	3.007269e+000	2.100000e+001
1.874999894929674e-010	3.007215e+000	2.100000e+001
2.874999838892167e-010	3.007114e+000	2.100000e+001
4.874999726817153e-010	3.006928e+000	2.100000e+001
8.874999502667125e-010	3.006606e+000	2.100000e+001
1.687499905436707e-009	3.006056e+000	2.100000e+001
3.287499815776696e-009	3.005088e+000	2.100000e+001
6.487499636456673e-009	3.003256e+000	2.100000e+001
1.226017788439873e-007	2.942692e+000	2.099999e+001
2.387160580515180e-007	2.887574e+000	2.099998e+001
3.548303372590486e-007	2.837902e+000	2.099996e+001
4.709446164665792e-007	2.793675e+000	2.099995e+001
5.870588956741098e-007	2.754893e+000	2.099994e+001
7.031731748816405e-007	2.721557e+000	2.099993e+001
8.192874540891709e-007	2.693667e+000	2.099992e+001
1.638487408183245e-006	2.550507e+000	2.099984e+001
3.276887316371394e-006	2.429542e+000	2.099967e+001
5.195397697415725e-006	2.384613e+000	2.099948e+001
8.150988556154399e-006	2.361336e+000	2.099919e+001
1.261927711277060e-005	2.331823e+000	2.099874e+001
2.155585422600301e-005	2.275751e+000	2.099784e+001
3.155585422600301e-005	2.216274e+000	2.099685e+001
4.155585422600301e-005	2.157251e+000	2.099584e+001
5.155585422600301e-005	2.097909e+000	2.099484e+001
6.155585422600301e-005	2.046281e+000	2.099384e+001
7.155585422600301e-005	2.006411e+000	2.099284e+001
8.155585422600300e-005	1.970858e+000	2.099184e+001
9.155585422600300e-005	1.934072e+000	2.099084e+001
1.015558542260030e-004	1.897282e+000	2.098985e+001
1.115558542260030e-004	1.862317e+000	2.098884e+001
1.215558542260030e-004	1.829408e+000	2.098784e+001
1.315558542260030e-004	1.798368e+000	2.098685e+001
1.415558542260030e-004	1.773206e+000	2.098584e+001
1.515558542260030e-004	1.782828e+000	2.098484e+001
1.615558542260030e-004	1.857271e+000	2.098384e+001
1.715558542260030e-004	1.956651e+000	2.098285e+001
1.815558542260030e-004	2.014169e+000	2.098184e+001
1.915558542260030e-004	2.024638e+000	2.098084e+001
2.015558542260030e-004	2.017161e+000	2.097985e+001
2.115558542260030e-004	2.008855e+000	2.097884e+001
2.215558542260030e-004	2.004865e+000	2.097784e+001
2.315558542260030e-004	2.004744e+000	2.097684e+001
2.415558542260030e-004	2.006204e+000	2.097585e+001
2.515558542260030e-004	2.007446e+000	2.097484e+001
2.615558542260030e-004	2.007927e+000	2.097384e+001
2.715558542260031e-004	2.007861e+000	2.097285e+001
2.815558542260031e-004	2.007636e+000	2.097184e+001
2.915558542260031e-004	2.007481e+000	2.097084e+001
3.015558542260032e-004	2.007442e+000	2.096984e+001
3.115558542260032e-004	2.007468e+000	2.096885e+001
3.215558542260032e-004	2.007507e+000	2.096784e+001
3.415558542260033e-004	2.007536e+000	2.096585e+001
3.715558542260033e-004	2.007538e+000	2.096284e+001
4.015558542260034e-004	2.007541e+000	2.095984e+001
4.315558542260035e-004	2.007543e+000	2.095684e+001
4.615558542260036e-004	2.007545e+000	2.095384e+001
4.915558542260037e-004	2.007547e+000	2.095084e+001
5.215558542260038e-004	2.007549e+000	2.094784e+001
5.515558542260038e-004	2.007551e+000	2.094485e+001
8.072701399402902e-004	2.007550e+000	2.091927e+001
1.062984425654577e-003	2.007549e+000	2.089370e+001
1.318698711368863e-003	2.007547e+000	2.086813e+001
1.574412997083150e-003	2.007545e+000	2.084256e+001
1.830127282797436e-003	2.007543e+000	2.081699e+001
2.085841568511723e-003	2.007540e+000	2.079142e+001
2.341555854226008e-003	2.007537e+000	2.076584e+001
9.990000000000002e-003	2.007461e+000	2.000100e+001
1.000000000000000e-002	2.152470e+000	2.028551e+001
1.000751250219189e-002	2.329433e+000	2.075569e+001
1.001464776242585e-002	2.346247e+000	2.099854e+001
1.002061748109040e-002	2.299916e+000	2.099794e+001
1.002698546224702e-002	2.268265e+000	2.099730e+001
1.003442890919702e-002	2.220229e+000	2.099656e+001
1.004442890919702e-002	2.163359e+000	2.099556e+001
1.005442890919702e-002	2.103654e+000	2.099456e+001
1.006442890919702e-002	2.051735e+000	2.099356e+001
1.007442890919702e-002	2.010335e+000	2.099256e+001
1.008442890919702e-002	1.974382e+000	2.099156e+001
1.009442890919702e-002	1.937672e+000	2.099056e+001
1.010442890919702e-002	1.900813e+000	2.098956e+001
1.011442890919702e-002	1.865583e+000	2.098856e+001
1.012442890919702e-002	1.832531e+000	2.098756e+001
1.013442890919702e-002	1.801286e+000	2.098656e+001
1.014442890919702e-002	1.774408e+000	2.098556e+001
1.015442890919702e-002	1.778892e+000	2.098456e+001
1.016442890919701e-002	1.848751e+000	2.098356e+001
1.017442890919701e-002	1.949348e+000	2.098256e+001
1.018442890919701e-002	2.011395e+000	2.098156e+001
1.019442890919701e-002	2.024716e+000	2.098056e+001
1.020442890919701e-002	2.017899e+000	2.097956e+001
1.021442890919701e-002	2.009397e+000	2.097856e+001
1.022442890919701e-002	2.005032e+000	2.097756e+001
1.023442890919701e-002	2.004655e+000	2.097656e+001
1.024442890919701e-002	2.006070e+000	2.097556e+001
1.025442890919701e-002	2.007385e+000	2.097456e+001
1.026442890919701e-002	2.007933e+000	2.097356e+001
1.027442890919701e-002	2.007889e+000	2.097256e+001
1.028442890919701e-002	2.007655e+000	2.097156e+001
1.029442890919701e-002	2.007486e+000	2.097056e+001
1.030442890919701e-002	2.007438e+000	2.096956e+001
1.031442890919701e-002	2.007464e+000	2.096856e+001
1.032442890919701e-002	2.007504e+000	2.096756e+001
1.034442890919701e-002	2.007536e+000	2.096556e+001
1.036871462348272e-002	2.007538e+000	2.096313e+001
1.039300033776843e-002	2.007539e+000	2.096070e+001
1.041728605205415e-002	2.007541e+000	2.095827e+001
1.044157176633986e-002	2.007543e+000	2.095584e+001
1.046585748062557e-002	2.007545e+000	2.095341e+001
1.049014319491129e-002	2.007547e+000	2.095099e+001
1.051442890919700e-002	2.007550e+000	2.094856e+001
1.065300033776842e-002	2.007551e+000	2.093470e+001
1.079157176633985e-002	2.007551e+000	2.092084e+001
1.093014319491127e-002	2.007551e+000	2.090699e+001
1.106871462348269e-002	2.007550e+000	2.089313e+001
1.120728605205412e-002	2.007549e+000	2.087927e+001
1.134585748062554e-002	2.007547e+000	2.086541e+001
1.148442890919696e-002	2.007545e+000	2.085156e+001
1.999000000000003e-002	2.007461e+000	2.000100e+001
2.000000000000003e-002	2.157707e+000	2.029201e+001
2.000712299771906e-002	2.334411e+000	2.075736e+001
2.001380052401754e-002	2.351861e+000	2.099862e+001
2.001950176205656e-002	2.305407e+000	2.099805e+001
2.002565330373375e-002	2.275050e+000	2.099743e+001
2.003281573831571e-002	2.228303e+000	2.099672e+001
2.004281573831571e-002	2.171549e+000	2.099572e+001
