rvadj	V(vout)
1.000000000000000e-004	9.493377e-001
1.000010000000000e+001	9.502612e-001
2.000010000000000e+001	9.511848e-001
3.000010000000000e+001	9.521084e-001
4.000010000000000e+001	9.530319e-001
5.000010000000000e+001	9.539555e-001
6.000010000000000e+001	9.548795e-001
7.000010000000000e+001	9.558026e-001
8.000010000000000e+001	9.567260e-001
9.000010000000000e+001	9.576496e-001
1.000001000000000e+002	9.585732e-001
1.100001000000000e+002	9.594967e-001
1.200001000000000e+002	9.604203e-001
1.300001000000000e+002	9.613438e-001
1.400001000000000e+002	9.622673e-001
1.500001000000000e+002	9.631909e-001
1.600001000000000e+002	9.641144e-001
1.700001000000000e+002	9.650380e-001
1.800001000000000e+002	9.659615e-001
1.900001000000000e+002	9.668850e-001
2.000001000000000e+002	9.678086e-001
2.100001000000000e+002	9.687321e-001
2.200001000000000e+002	9.696556e-001
2.300001000000000e+002	9.705793e-001
2.400001000000000e+002	9.715027e-001
2.500001000000000e+002	9.724262e-001
2.600001000000000e+002	9.733498e-001
2.700001000000000e+002	9.742733e-001
2.800001000000000e+002	9.751968e-001
2.900001000000000e+002	9.761204e-001
3.000001000000000e+002	9.770439e-001
3.100001000000000e+002	9.779698e-001
3.200001000000000e+002	9.788957e-001
3.300001000000000e+002	9.798145e-001
3.400001000000000e+002	9.807380e-001
3.500001000000000e+002	9.816615e-001
3.600001000000000e+002	9.825850e-001
3.700001000000000e+002	9.835170e-001
3.800001000000000e+002	9.844320e-001
3.900001000000000e+002	9.853556e-001
4.000001000000000e+002	9.862791e-001
4.100001000000000e+002	9.872026e-001
4.200001000000000e+002	9.881261e-001
4.300001000000000e+002	9.890496e-001
4.400001000000000e+002	9.899731e-001
4.500001000000000e+002	9.908966e-001
4.600001000000000e+002	9.918200e-001
4.700001000000000e+002	9.927437e-001
4.800001000000000e+002	9.936672e-001
4.900001000000000e+002	9.945907e-001
5.000001000000000e+002	9.955142e-001
5.100001000000000e+002	9.964377e-001
5.200001000000000e+002	9.973612e-001
5.300001000000000e+002	9.982847e-001
5.400001000000000e+002	9.992082e-001
5.500001000000000e+002	1.000131e+000
5.600001000000000e+002	1.001055e+000
5.700001000000000e+002	1.001979e+000
5.800001000000000e+002	1.002902e+000
5.900001000000000e+002	1.003826e+000
6.000001000000000e+002	1.004749e+000
6.100001000000000e+002	1.005673e+000
6.200001000000000e+002	1.006596e+000
6.300001000000000e+002	1.007520e+000
6.400001000000000e+002	1.008443e+000
6.500001000000000e+002	1.009370e+000
6.600001000000000e+002	1.010290e+000
6.700001000000000e+002	1.011214e+000
6.800001000000000e+002	1.012137e+000
6.900001000000000e+002	1.013061e+000
7.000001000000000e+002	1.013984e+000
7.100001000000000e+002	1.014908e+000
7.200001000000000e+002	1.015831e+000
7.300001000000000e+002	1.016755e+000
7.400001000000000e+002	1.017678e+000
7.500001000000000e+002	1.018620e+000
7.600001000000000e+002	1.019525e+000
7.700001000000000e+002	1.020448e+000
7.800001000000000e+002	1.021372e+000
7.900001000000000e+002	1.022295e+000
8.000001000000000e+002	1.023219e+000
8.100001000000000e+002	1.024083e+000
8.200001000000000e+002	1.025097e+000
8.300001000000000e+002	1.025989e+000
8.400001000000000e+002	1.026913e+000
8.500001000000000e+002	1.027836e+000
8.600001000000000e+002	1.028760e+000
8.700001000000000e+002	1.029683e+000
