riadj	-I(Rl)
1.000000000000000e-004	1.897953e+000
1.000010000000000e+001	1.888507e+000
2.000010000000000e+001	1.879155e+000
3.000010000000000e+001	1.869895e+000
4.000010000000000e+001	1.860725e+000
5.000010000000000e+001	1.851645e+000
6.000010000000000e+001	1.842653e+000
7.000010000000000e+001	1.833748e+000
8.000010000000000e+001	1.824928e+000
9.000010000000000e+001	1.816192e+000
1.000001000000000e+002	1.807540e+000
1.100001000000000e+002	1.798970e+000
1.200001000000000e+002	1.790481e+000
1.300001000000000e+002	1.782071e+000
1.400001000000000e+002	1.773740e+000
1.500001000000000e+002	1.765486e+000
1.600001000000000e+002	1.757309e+000
1.700001000000000e+002	1.749207e+000
1.800001000000000e+002	1.741179e+000
1.900001000000000e+002	1.733225e+000
2.000001000000000e+002	1.725343e+000
2.100001000000000e+002	1.717532e+000
2.200001000000000e+002	1.709791e+000
2.300001000000000e+002	1.702121e+000
2.400001000000000e+002	1.694518e+000
2.500001000000000e+002	1.686983e+000
2.600001000000000e+002	1.679515e+000
2.700001000000000e+002	1.672112e+000
2.800001000000000e+002	1.664774e+000
2.900001000000000e+002	1.657500e+000
3.000001000000000e+002	1.650291e+000
3.100001000000000e+002	1.643143e+000
3.200001000000000e+002	1.636056e+000
3.300001000000000e+002	1.629031e+000
3.400001000000000e+002	1.622065e+000
3.500001000000000e+002	1.615159e+000
3.600001000000000e+002	1.608311e+000
3.700001000000000e+002	1.601521e+000
3.800001000000000e+002	1.594788e+000
3.900001000000000e+002	1.588112e+000
4.000001000000000e+002	1.581491e+000
4.100001000000000e+002	1.574925e+000
4.200001000000000e+002	1.568413e+000
4.300001000000000e+002	1.561955e+000
4.400001000000000e+002	1.555550e+000
4.500001000000000e+002	1.549197e+000
4.600001000000000e+002	1.542896e+000
4.700001000000000e+002	1.536645e+000
4.800001000000000e+002	1.530445e+000
4.900001000000000e+002	1.524295e+000
5.000001000000000e+002	1.518194e+000
5.100001000000000e+002	1.512142e+000
5.200001000000000e+002	1.506137e+000
5.300001000000000e+002	1.500180e+000
5.400001000000000e+002	1.494270e+000
5.500001000000000e+002	1.488407e+000
5.600001000000000e+002	1.482589e+000
5.700001000000000e+002	1.476816e+000
5.800001000000000e+002	1.471089e+000
5.900001000000000e+002	1.465405e+000
6.000001000000000e+002	1.459765e+000
6.100001000000000e+002	1.454169e+000
6.200001000000000e+002	1.448614e+000
6.300001000000000e+002	1.443103e+000
6.400001000000000e+002	1.437633e+000
6.500001000000000e+002	1.432204e+000
6.600001000000000e+002	1.426816e+000
6.700001000000000e+002	1.421468e+000
6.800001000000000e+002	1.416161e+000
6.900001000000000e+002	1.410893e+000
7.000001000000000e+002	1.405663e+000
7.100001000000000e+002	1.400473e+000
7.200001000000000e+002	1.395320e+000
7.300001000000000e+002	1.390206e+000
7.400001000000000e+002	1.385128e+000
7.500001000000000e+002	1.380088e+000
7.600001000000000e+002	1.375084e+000
7.700001000000000e+002	1.370116e+000
7.800001000000000e+002	1.365184e+000
7.900001000000000e+002	1.360287e+000
8.000001000000000e+002	1.355425e+000
8.100001000000000e+002	1.350598e+000
8.200001000000000e+002	1.345805e+000
8.300001000000000e+002	1.341046e+000
8.400001000000000e+002	1.336321e+000
8.500001000000000e+002	1.331628e+000
8.600001000000000e+002	1.326968e+000
8.700001000000000e+002	1.322341e+000
8.800001000000000e+002	1.317746e+000
8.900001000000000e+002	1.313183e+000
9.000001000000000e+002	1.308651e+000
9.100001000000000e+002	1.304151e+000
9.200001000000000e+002	1.299681e+000
9.300001000000000e+002	1.295241e+000
9.400001000000000e+002	1.290832e+000
9.500001000000000e+002	1.286453e+000
9.600001000000000e+002	1.282103e+000
9.700001000000000e+002	1.277783e+000
9.800001000000000e+002	1.273492e+000
9.900001000000000e+002	1.269229e+000
1.000000100000000e+003	1.264995e+000
1.010000100000000e+003	1.260789e+000
1.020000100000000e+003	1.256610e+000
1.030000100000000e+003	1.252460e+000
1.040000100000000e+003	1.248336e+000
1.050000100000000e+003	1.244240e+000
1.060000100000000e+003	1.240170e+000
1.070000100000000e+003	1.236127e+000
1.080000100000000e+003	1.232111e+000
