vi	-I(Rl)
1.000000000000000e+000	-2.720060e-005
1.100000000000000e+000	-2.572026e-005
1.200000000000000e+000	-2.423881e-005
1.300000000000000e+000	-2.270652e-005
1.400000000000000e+000	-2.007742e-005
1.500000000000000e+000	5.518874e-006
1.600000000000001e+000	5.060100e-004
1.700000000000001e+000	1.026920e-001
1.800000000000001e+000	4.858246e-001
1.900000000000001e+000	8.901983e-001
2.000000000000001e+000	1.307548e+000
2.100000000000001e+000	1.733976e+000
2.200000000000001e+000	2.165301e+000
2.300000000000001e+000	2.570436e+000
2.400000000000001e+000	2.816620e+000
2.500000000000001e+000	2.930948e+000
2.600000000000001e+000	2.997193e+000
2.700000000000002e+000	3.042408e+000
2.800000000000002e+000	3.075910e+000
2.900000000000002e+000	3.100372e+000
3.000000000000002e+000	3.065410e+000
3.100000000000002e+000	5.935461e-001
3.200000000000002e+000	3.648692e-001
3.300000000000002e+000	3.723117e-001
3.400000000000002e+000	3.864828e-001
3.500000000000002e+000	4.011459e-001
3.600000000000002e+000	4.160252e-001
3.700000000000002e+000	4.310868e-001
3.800000000000003e+000	4.463113e-001
3.900000000000003e+000	4.616814e-001
4.000000000000003e+000	4.771831e-001
4.100000000000002e+000	4.928042e-001
4.200000000000002e+000	5.085341e-001
4.300000000000002e+000	5.243636e-001
4.400000000000001e+000	5.402822e-001
4.500000000000001e+000	5.562895e-001
4.600000000000001e+000	5.723720e-001
4.700000000000000e+000	5.885274e-001
4.800000000000000e+000	6.047485e-001
4.900000000000000e+000	6.210343e-001
4.999999999999999e+000	6.373770e-001
5.099999999999999e+000	6.537752e-001
5.199999999999998e+000	6.702242e-001
5.299999999999998e+000	6.867215e-001
5.399999999999998e+000	7.032642e-001
5.499999999999997e+000	7.198496e-001
5.599999999999997e+000	7.364751e-001
5.699999999999997e+000	7.531397e-001
5.799999999999996e+000	7.698402e-001
5.899999999999996e+000	7.865751e-001
5.999999999999996e+000	8.033426e-001
6.099999999999995e+000	8.201413e-001
6.199999999999995e+000	8.369691e-001
6.299999999999995e+000	8.538262e-001
6.399999999999994e+000	8.707096e-001
6.499999999999994e+000	8.876190e-001
6.599999999999993e+000	9.045529e-001
6.699999999999993e+000	9.215105e-001
6.799999999999993e+000	9.384905e-001
6.899999999999992e+000	9.554924e-001
6.999999999999992e+000	9.725150e-001
7.099999999999992e+000	9.895576e-001
7.199999999999991e+000	1.006619e+000
7.299999999999991e+000	1.023699e+000
7.399999999999991e+000	1.040798e+000
7.499999999999990e+000	1.057913e+000
7.599999999999990e+000	1.075045e+000
7.699999999999990e+000	1.092192e+000
7.799999999999989e+000	1.109355e+000
7.899999999999989e+000	1.126533e+000
7.999999999999989e+000	1.143726e+000
8.099999999999989e+000	1.160932e+000
8.199999999999989e+000	1.178151e+000
8.299999999999988e+000	1.195383e+000
8.399999999999988e+000	1.212629e+000
8.499999999999988e+000	1.229886e+000
8.599999999999987e+000	1.247155e+000
8.699999999999987e+000	1.264435e+000
8.799999999999987e+000	1.281727e+000
8.899999999999986e+000	1.299029e+000
8.999999999999986e+000	1.316342e+000
9.099999999999985e+000	1.333665e+000
9.199999999999985e+000	1.350998e+000
9.299999999999985e+000	1.368340e+000
9.399999999999984e+000	1.385692e+000
9.499999999999984e+000	1.403052e+000
9.599999999999984e+000	1.420422e+000
9.699999999999983e+000	1.437800e+000
9.799999999999983e+000	1.455186e+000
9.899999999999983e+000	1.472581e+000
9.999999999999982e+000	1.489983e+000
1.009999999999998e+001	1.507393e+000
1.019999999999998e+001	1.524811e+000
1.029999999999998e+001	1.542236e+000
1.039999999999998e+001	1.559668e+000
1.049999999999998e+001	1.577107e+000
1.059999999999998e+001	1.594552e+000
1.069999999999998e+001	1.612005e+000
1.079999999999998e+001	1.629464e+000
1.089999999999998e+001	1.646929e+000
1.099999999999998e+001	1.664400e+000
1.109999999999998e+001	1.681878e+000
1.119999999999998e+001	1.699361e+000
1.129999999999998e+001	1.716849e+000
1.139999999999998e+001	1.734344e+000
1.149999999999998e+001	1.751844e+000
1.159999999999998e+001	1.769349e+000
1.169999999999998e+001	1.786860e+000
1.179999999999998e+001	1.804375e+000
1.189999999999998e+001	1.821896e+000
1.199999999999998e+001	1.839421e+000
1.209999999999998e+001	1.856951e+000
1.219999999999997e+001	1.874486e+000
1.229999999999997e+001	1.891015e+000
1.239999999999997e+001	1.891110e+000
1.249999999999997e+001	1.891205e+000
1.259999999999997e+001	1.891301e+000
1.269999999999997e+001	1.891396e+000
1.279999999999997e+001	1.891490e+000
1.289999999999997e+001	1.891585e+000
1.299999999999997e+001	1.891680e+000
1.309999999999997e+001	1.891774e+000
1.319999999999997e+001	1.891869e+000
1.329999999999997e+001	1.891963e+000
1.339999999999997e+001	1.892057e+000
1.349999999999997e+001	1.892151e+000
1.359999999999997e+001	1.892244e+000
1.369999999999997e+001	1.892338e+000
1.379999999999997e+001	1.892431e+000
1.389999999999997e+001	1.892524e+000
1.399999999999997e+001	1.892617e+000
1.409999999999997e+001	1.892710e+000
1.419999999999997e+001	1.892803e+000
1.429999999999997e+001	1.892896e+000
1.439999999999997e+001	1.892988e+000
1.449999999999997e+001	1.893081e+000
1.459999999999997e+001	1.893173e+000
1.469999999999997e+001	1.893265e+000
1.479999999999997e+001	1.893357e+000
1.489999999999997e+001	1.893449e+000
1.499999999999996e+001	1.893540e+000
1.509999999999996e+001	1.893632e+000
1.519999999999996e+001	1.893723e+000
1.529999999999996e+001	1.893814e+000
1.539999999999996e+001	1.893906e+000
1.549999999999996e+001	1.893997e+000
1.559999999999996e+001	1.894087e+000
1.569999999999996e+001	1.894178e+000
1.579999999999996e+001	1.894269e+000
1.589999999999996e+001	1.894359e+000
1.599999999999996e+001	1.894449e+000
1.609999999999996e+001	1.894539e+000
1.619999999999996e+001	1.894629e+000
1.629999999999997e+001	1.894719e+000
1.639999999999997e+001	1.894809e+000
1.649999999999997e+001	1.894899e+000
1.659999999999997e+001	1.894988e+000
1.669999999999997e+001	1.895077e+000
1.679999999999997e+001	1.895167e+000
1.689999999999997e+001	1.895256e+000
1.699999999999998e+001	1.895347e+000
1.709999999999998e+001	1.895433e+000
1.719999999999998e+001	1.895522e+000
1.729999999999998e+001	1.895611e+000
1.739999999999998e+001	1.895699e+000
1.749999999999998e+001	1.895787e+000
1.759999999999998e+001	1.895876e+000
1.769999999999999e+001	1.895964e+000
1.779999999999999e+001	1.896051e+000
1.789999999999999e+001	1.896140e+000
1.799999999999999e+001	1.896227e+000
1.809999999999999e+001	1.896314e+000
1.819999999999999e+001	1.896402e+000
1.829999999999999e+001	1.896489e+000
1.840000000000000e+001	1.896576e+000
1.850000000000000e+001	1.896663e+000
1.860000000000000e+001	1.896750e+000
1.870000000000000e+001	1.896837e+000
1.880000000000000e+001	1.896923e+000
1.890000000000000e+001	1.897010e+000
1.900000000000000e+001	1.897097e+000
1.910000000000001e+001	1.897183e+000
1.920000000000001e+001	1.897269e+000
1.930000000000001e+001	1.897355e+000
1.940000000000001e+001	1.897441e+000
1.950000000000001e+001	1.897527e+000
1.960000000000001e+001	1.897612e+000
1.970000000000001e+001	1.897698e+000
1.980000000000002e+001	1.897783e+000
1.990000000000002e+001	1.897869e+000
2.000000000000002e+001	1.897954e+000
2.010000000000002e+001	1.898039e+000
2.020000000000002e+001	1.898124e+000
2.030000000000002e+001	1.898208e+000
2.040000000000002e+001	1.898293e+000
2.050000000000003e+001	1.898378e+000
2.060000000000003e+001	1.898462e+000
2.070000000000003e+001	1.898547e+000
2.080000000000003e+001	1.898631e+000
2.090000000000003e+001	1.898715e+000
2.100000000000003e+001	1.898799e+000
2.110000000000003e+001	1.898883e+000
2.120000000000004e+001	1.898967e+000
2.130000000000004e+001	1.899050e+000
2.140000000000004e+001	1.899134e+000
2.150000000000004e+001	1.899217e+000
2.160000000000004e+001	1.899301e+000
2.170000000000004e+001	1.899384e+000
2.180000000000004e+001	1.899467e+000
2.190000000000005e+001	1.899550e+000
2.200000000000005e+001	1.899633e+000
2.210000000000005e+001	1.899716e+000
2.220000000000005e+001	1.899798e+000
2.230000000000005e+001	1.899881e+000
2.240000000000005e+001	1.899963e+000
2.250000000000005e+001	1.900045e+000
2.260000000000006e+001	1.900128e+000
2.270000000000006e+001	1.900210e+000
