Freq.	V(out)
1.00000000000000e-001	(-2.64486543628303e-001dB,-6.97816218695996e-008°)
1.00230523807790e-001	(-2.64486543628303e-001dB,-6.99424851214709e-008°)
1.00461579027840e-001	(-2.64486543628303e-001dB,-7.01037192014360e-008°)
1.00693166885180e-001	(-2.64486543628303e-001dB,-7.02653249643413e-008°)
1.00925288607668e-001	(-2.64486543628303e-001dB,-7.04273032670052e-008°)
1.01157945425990e-001	(-2.64486543628303e-001dB,-7.05896549682200e-008°)
1.01391138573668e-001	(-2.64486543628303e-001dB,-7.07523809287586e-008°)
1.01624869287070e-001	(-2.64486543628303e-001dB,-7.09154820113776e-008°)
1.01859138805412e-001	(-2.64486543628303e-001dB,-7.10789590808230e-008°)
1.02093948370768e-001	(-2.64486543628303e-001dB,-7.12428130038335e-008°)
1.02329299228075e-001	(-2.64486543628303e-001dB,-7.14070446491466e-008°)
1.02565192625141e-001	(-2.64486543628303e-001dB,-7.15716548875021e-008°)
1.02801629812647e-001	(-2.64486543628303e-001dB,-7.17366445916470e-008°)
1.03038612044162e-001	(-2.64486543628303e-001dB,-7.19020146363405e-008°)
1.03276140576140e-001	(-2.64486543628303e-001dB,-7.20677658983579e-008°)
1.03514216667934e-001	(-2.64486543628303e-001dB,-7.22338992564960e-008°)
1.03752841581801e-001	(-2.64486543628303e-001dB,-7.24004155915773e-008°)
1.03992016582906e-001	(-2.64486543628303e-001dB,-7.25673157864546e-008°)
1.04231742939330e-001	(-2.64486543628303e-001dB,-7.27346007260165e-008°)
1.04472021922080e-001	(-2.64486543628303e-001dB,-7.29022712971909e-008°)
1.04712854805090e-001	(-2.64486543628303e-001dB,-7.30703283889507e-008°)
1.04954242865232e-001	(-2.64486543628303e-001dB,-7.32387728923173e-008°)
1.05196187382322e-001	(-2.64486543628303e-001dB,-7.34076057003675e-008°)
1.05438689639126e-001	(-2.64486543628303e-001dB,-7.35768277082354e-008°)
1.05681750921366e-001	(-2.64486543628303e-001dB,-7.37464398131195e-008°)
1.05925372517729e-001	(-2.64486543628303e-001dB,-7.39164429142863e-008°)
1.06169555719872e-001	(-2.64486543628303e-001dB,-7.40868379130752e-008°)
1.06414301822431e-001	(-2.64486543628303e-001dB,-7.42576257129034e-008°)
1.06659612123026e-001	(-2.64486543628303e-001dB,-7.44288072192712e-008°)
1.06905487922266e-001	(-2.64486543628303e-001dB,-7.46003833397658e-008°)
1.07151930523760e-001	(-2.64486543628303e-001dB,-7.47723549840666e-008°)
1.07398941234124e-001	(-2.64486543628303e-001dB,-7.49447230639502e-008°)
1.07646521362983e-001	(-2.64486543628303e-001dB,-7.51174884932947e-008°)
1.07894672222983e-001	(-2.64486543628303e-001dB,-7.52906521880855e-008°)
1.08143395129794e-001	(-2.64486543628303e-001dB,-7.54642150664195e-008°)
1.08392691402120e-001	(-2.64486543628303e-001dB,-7.56381780485094e-008°)
1.08642562361706e-001	(-2.64486543628303e-001dB,-7.58125420566898e-008°)
1.08893009333343e-001	(-2.64486543628303e-001dB,-7.59873080154213e-008°)
1.09144033644875e-001	(-2.64486543628303e-001dB,-7.61624768512955e-008°)
1.09395636627209e-001	(-2.64486543628303e-001dB,-7.63380494930402e-008°)
1.09647819614318e-001	(-2.64486543628303e-001dB,-7.65140268715241e-008°)
1.09900583943252e-001	(-2.64486543628303e-001dB,-7.66904099197619e-008°)
1.10153930954141e-001	(-2.64486543628303e-001dB,-7.68671995729187e-008°)
1.10407861990207e-001	(-2.64486543628303e-001dB,-7.70443967683156e-008°)
1.10662378397766e-001	(-2.64486543628303e-001dB,-7.72220024454348e-008°)
1.10917481526240e-001	(-2.64486543628303e-001dB,-7.74000175459237e-008°)
1.11173172728159e-001	(-2.64486543628303e-001dB,-7.75784430136006e-008°)
1.11429453359173e-001	(-2.64486543628303e-001dB,-7.77572797944597e-008°)
1.11686324778056e-001	(-2.64486543628303e-001dB,-7.79365288366758e-008°)
1.11943788346715e-001	(-2.64486543628303e-001dB,-7.81161910906094e-008°)
1.12201845430196e-001	(-2.64486543628303e-001dB,-7.82962675088120e-008°)
1.12460497396692e-001	(-2.64486543628303e-001dB,-7.84767590460307e-008°)
1.12719745617551e-001	(-2.64486543628303e-001dB,-7.86576666592137e-008°)
1.12979591467279e-001	(-2.64486543628303e-001dB,-7.88389913075153e-008°)
1.13240036323555e-001	(-2.64486543628303e-001dB,-7.90207339523006e-008°)
1.13501081567231e-001	(-2.64486543628303e-001dB,-7.92028955571510e-008°)
1.13762728582343e-001	(-2.64486543628303e-001dB,-7.93854770878693e-008°)
1.14024978756117e-001	(-2.64486543628303e-001dB,-7.95684795124844e-008°)
1.14287833478977e-001	(-2.64486543628303e-001dB,-7.97519038012572e-008°)
1.14551294144553e-001	(-2.64486543628303e-001dB,-7.99357509266848e-008°)
1.14815362149688e-001	(-2.64486543628303e-001dB,-8.01200218635065e-008°)
1.15080038894443e-001	(-2.64486543628303e-001dB,-8.03047175887084e-008°)
1.15345325782109e-001	(-2.64486543628303e-001dB,-8.04898390815289e-008°)
1.15611224219209e-001	(-2.64486543628303e-001dB,-8.06753873234637e-008°)
1.15877735615512e-001	(-2.64486543628303e-001dB,-8.08613632982709e-008°)
1.16144861384034e-001	(-2.64486543628303e-001dB,-8.10477679919770e-008°)
1.16412602941049e-001	(-2.64486543628303e-001dB,-8.12346023928810e-008°)
1.16680961706096e-001	(-2.64486543628303e-001dB,-8.14218674915601e-008°)
1.16949939101987e-001	(-2.64486543628303e-001dB,-8.16095642808753e-008°)
1.17219536554813e-001	(-2.64486543628303e-001dB,-8.17976937559765e-008°)
1.17489755493952e-001	(-2.64486543628303e-001dB,-8.19862569143070e-008°)
1.17760597352080e-001	(-2.64486543628303e-001dB,-8.21752547556104e-008°)
1.18032063565172e-001	(-2.64486543628303e-001dB,-8.23646882819340e-008°)
1.18304155572516e-001	(-2.64486543628303e-001dB,-8.25545584976360e-008°)
1.18576874816716e-001	(-2.64486543628303e-001dB,-8.27448664093888e-008°)
1.18850222743701e-001	(-2.64486543628303e-001dB,-8.29356130261865e-008°)
