time	V(in1)	V(in2)	V(out)
0.000000000000000e+000	0.000000e+000	1.000000e+000	9.810694e-001
1.828571396483054e-012	0.000000e+000	1.000000e+000	9.810694e-001
3.657142792966109e-012	0.000000e+000	1.000000e+000	9.810694e-001
5.485714189449163e-012	0.000000e+000	1.000000e+000	9.810694e-001
7.314285585932218e-012	0.000000e+000	1.000000e+000	9.810694e-001
9.142856982415273e-012	0.000000e+000	1.000000e+000	9.810694e-001
1.097142837889833e-011	0.000000e+000	1.000000e+000	9.810694e-001
1.279999977538138e-011	0.000000e+000	1.000000e+000	9.810694e-001
9.471999833782223e-010	0.000000e+000	1.000000e+000	9.810698e-001
1.881599966981063e-009	0.000000e+000	1.000000e+000	9.810701e-001
2.815999950583904e-009	0.000000e+000	1.000000e+000	9.810703e-001
3.750399934186745e-009	0.000000e+000	1.000000e+000	9.810705e-001
4.684799917789586e-009	0.000000e+000	1.000000e+000	9.810705e-001
5.619199901392427e-009	0.000000e+000	1.000000e+000	9.810705e-001
6.553599884995265e-009	0.000000e+000	1.000000e+000	9.810704e-001
1.000000000000000e-003	0.000000e+000	1.000000e+000	9.810700e-001
1.000000000022921e-003	2.521251e-005	1.000000e+000	9.810811e-001
1.000000000068761e-003	7.563754e-005	1.000000e+000	9.811020e-001
1.000000000160443e-003	1.764876e-004	1.000000e+000	9.811391e-001
1.000000000343807e-003	3.781877e-004	1.000000e+000	9.811980e-001
1.000000000710535e-003	7.815880e-004	1.000000e+000	9.812816e-001
1.000000001443990e-003	1.588388e-003	1.000000e+000	9.814008e-001
1.000000002910899e-003	3.201989e-003	1.000000e+000	9.816403e-001
1.000000005844719e-003	6.429191e-003	1.000000e+000	9.823177e-001
1.000000011712359e-003	1.288360e-002	1.000000e+000	9.842727e-001
1.000000023447638e-003	2.579240e-002	1.000000e+000	9.892942e-001
1.000000046918197e-003	5.161002e-002	1.000000e+000	1.000594e+000
1.000000093859315e-003	1.032452e-001	1.000000e+000	1.023705e+000
