time	V(vout)	-I(Rl)
0.000000000000000e+000	9.996057e+000	1.009602e-009
1.009638400021875e-003	9.996057e+000	1.009602e-009
2.000000000000000e-003	9.996057e+000	1.009602e-009
2.000000686880260e-003	9.476600e+000	6.144581e-001
2.000002060640779e-003	9.131221e+000	9.131221e-001
2.000002302497983e-003	9.144084e+000	9.144084e-001
2.000002450923062e-003	9.156242e+000	9.156242e-001
2.000002505948513e-003	9.156211e+000	9.156212e-001
2.000002578527382e-003	9.156446e+000	9.156446e-001
2.000002653676024e-003	9.156569e+000	9.156568e-001
2.000002803973308e-003	9.156687e+000	9.156687e-001
2.000002987947680e-003	9.156727e+000	9.156727e-001
2.000003298138574e-003	9.156739e+000	9.156739e-001
2.000003680461928e-003	9.156803e+000	9.156803e-001
2.000004445108637e-003	9.157180e+000	9.157180e-001
2.000005410672765e-003	9.158081e+000	9.158081e-001
2.000006392000132e-003	9.159519e+000	9.159520e-001
2.000007287558037e-003	9.161360e+000	9.161360e-001
2.000008311455897e-003	9.164101e+000	9.164100e-001
2.000009541694859e-003	9.168313e+000	9.168313e-001
2.000011944843910e-003	9.178454e+000	9.178454e-001
2.000014429707861e-003	9.190754e+000	9.190754e-001
2.000017948646255e-003	9.210088e+000	9.210088e-001
2.000021307510221e-003	9.229326e+000	9.229327e-001
2.000026349425369e-003	9.258197e+000	9.258197e-001
2.000031315802246e-003	9.285631e+000	9.285632e-001
2.000036695210386e-003	9.313633e+000	9.313633e-001
2.000041923910397e-003	9.338838e+000	9.338838e-001
2.000047885530029e-003	9.365071e+000	9.365070e-001
2.000054072695041e-003	9.389696e+000	9.389696e-001
2.000059734042832e-003	9.409842e+000	9.409842e-001
2.000066061168637e-003	9.429777e+000	9.429777e-001
2.000072878593806e-003	9.448562e+000	9.448562e-001
2.000080613068180e-003	9.466734e+000	9.466734e-001
2.000090395749087e-003	9.485720e+000	9.485720e-001
2.000102464102141e-003	9.504467e+000	9.504468e-001
2.000116014766375e-003	9.520898e+000	9.520898e-001
