time	-I(Rl)	V(vout)
0.000000000000000e+00	1.009601e-09	9.996057e+00
2.000000000000000e-03	1.009601e-09	9.996057e+00
2.000000079872123e-03	2.300728e+01	4.245485e-02
2.000000080184124e-03	2.294553e+01	2.294554e-02
2.000000080193874e-03	2.294216e+01	2.294216e-02
2.000001080193874e-03	1.552742e+01	1.552742e-02
2.000002080193874e-03	1.259156e+01	1.259156e-02
2.000003080193873e-03	1.209883e+01	1.209884e-02
2.000004080193874e-03	1.184642e+01	1.184642e-02
2.000005080193874e-03	1.171574e+01	1.171574e-02
2.000005184751474e-03	1.170681e+01	1.170681e-02
2.000005393866675e-03	1.169385e+01	1.169385e-02
2.000005812097078e-03	1.168380e+01	1.168380e-02
2.000006648557883e-03	1.170301e+01	1.170301e-02
2.000007490912826e-03	1.176118e+01	1.176118e-02
2.000008243393705e-03	1.183948e+01	1.183948e-02
2.000008936042898e-03	1.191748e+01	1.191749e-02
2.000009593758291e-03	1.198630e+01	1.198630e-02
2.000010242038038e-03	1.204782e+01	1.204782e-02
2.000010931682228e-03	1.210449e+01	1.210449e-02
2.000011981845287e-03	1.217185e+01	1.217186e-02
2.000013381470737e-03	1.223308e+01	1.223309e-02
2.000015091713288e-03	1.227665e+01	1.227665e-02
2.000017286473147e-03	1.230592e+01	1.230592e-02
2.000019286946537e-03	1.231588e+01	1.231588e-02
2.000020577829980e-03	1.231002e+01	1.231002e-02
2.000021989001878e-03	1.229532e+01	1.229532e-02
2.000023296768945e-03	1.228382e+01	1.228382e-02
2.000024978585506e-03	1.227550e+01	1.227550e-02
2.000026758582458e-03	1.227248e+01	1.227248e-02
2.000028751420456e-03	1.227394e+01	1.227394e-02
2.000030895554655e-03	1.227886e+01	1.227886e-02
2.000033845671034e-03	1.228871e+01	1.228871e-02
2.000036686088214e-03	1.229975e+01	1.229975e-02
2.000041116881452e-03	1.231766e+01	1.231766e-02
2.000047601406306e-03	1.234451e+01	1.234451e-02
2.000053418442128e-03	1.237206e+01	1.237206e-02
2.000058669761415e-03	1.240572e+01	1.240572e-02
2.000064572453292e-03	1.246161e+01	1.246161e-02
2.000070349296020e-03	1.254545e+01	1.254545e-02
2.000077930943674e-03	1.271034e+01	1.271034e-02
2.000086918819534e-03	1.297566e+01	1.297566e-02
2.000092170957170e-03	1.317083e+01	1.317083e-02
2.000096252672426e-03	1.335143e+01	1.335143e-02
2.000100044967167e-03	1.354408e+01	1.354409e-02
2.000104073498936e-03	1.377893e+01	1.377893e-02
2.000109032511100e-03	1.410618e+01	1.410618e-02
2.000112925036941e-03	1.439009e+01	1.439009e-02
2.000116374553892e-03	1.465566e+01	1.465566e-02
2.000118153597208e-03	1.478994e+01	1.478994e-02
2.000119144134443e-03	1.486153e+01	1.486153e-02
2.000120075228234e-03	1.492850e+01	1.492851e-02
2.000120861812590e-03	1.498531e+01	1.498531e-02
2.000121622682512e-03	1.503972e+01	1.503972e-02
2.000123131350394e-03	1.514579e+01	1.514579e-02
2.000124823267938e-03	1.525673e+01	1.525673e-02
2.000128207103026e-03	1.542344e+01	1.542344e-02
2.000131026080894e-03	1.539549e+01	1.539549e-02
2.000132862317140e-03	1.522874e+01	1.522875e-02
2.000134064170802e-03	1.515279e+01	1.515279e-02
2.000134723389310e-03	1.519278e+01	1.519279e-02
2.000135104195147e-03	1.523767e+01	1.523768e-02
2.000135491786766e-03	1.528176e+01	1.528176e-02
2.000135846784800e-03	1.532208e+01	1.532208e-02
2.000136294301496e-03	1.537204e+01	1.537204e-02
2.000136982703525e-03	1.544777e+01	1.544777e-02
2.000137646612042e-03	1.551848e+01	1.551848e-02
2.000138488992558e-03	1.560314e+01	1.560314e-02
2.000139472189485e-03	1.569615e+01	1.569615e-02
2.000140048690902e-03	1.574812e+01	1.574812e-02
2.000140787935033e-03	1.581329e+01	1.581329e-02
2.000141485066402e-03	1.587479e+01	1.587479e-02
2.000142345810155e-03	1.595159e+01	1.595159e-02
2.000143776997827e-03	1.608202e+01	1.608202e-02
2.000146386415292e-03	1.632855e+01	1.632855e-02
2.000150573761305e-03	1.674326e+01	1.674327e-02
2.000154477564511e-03	1.715659e+01	1.715660e-02
2.000161658713173e-03	1.797779e+01	1.797779e-02
2.000168342763696e-03	1.882348e+01	1.882348e-02
2.000181710864741e-03	2.074501e+01	2.074501e-02
