time	V(vout)	-I(Rl)
0.000000000000000e+000	9.996057e+000	-0.000000e+000
3.999999984016789e-011	9.996057e+000	-0.000000e+000
4.500003796716138e-011	9.996056e+000	-0.000000e+000
2.045000037967162e-009	9.996057e+000	-0.000000e+000
2.004500003796717e-008	9.996057e+000	-0.000000e+000
3.804500003796718e-008	9.996057e+000	-0.000000e+000
5.604500003796719e-008	9.996057e+000	-0.000000e+000
7.404500003796719e-008	9.996057e+000	-0.000000e+000
9.204500003796719e-008	9.996057e+000	-0.000000e+000
1.100450000379672e-007	9.996057e+000	-0.000000e+000
1.280450000379672e-007	9.996057e+000	-0.000000e+000
1.024045000037967e-006	9.996057e+000	-0.000000e+000
1.008024045000038e-003	9.996057e+000	-0.000000e+000
2.000000000000000e-003	9.996057e+000	-0.000000e+000
2.000000023827026e-003	3.332019e+000	1.976504e+001
2.000000071481079e-003	2.353422e-009	1.176711e+001
2.000000072970268e-003	2.336173e-009	1.168087e+001
2.000000072996082e-003	2.338007e-009	1.169003e+001
2.000000073021895e-003	2.339779e-009	1.169890e+001
2.000000073047709e-003	2.341491e-009	1.170745e+001
2.000000073073523e-003	2.343141e-009	1.171571e+001
2.000000073099336e-003	2.344731e-009	1.172365e+001
2.000000073125150e-003	2.346259e-009	1.173130e+001
2.000000073150963e-003	2.347726e-009	1.173863e+001
2.000001073150963e-003	2.527782e-009	1.263891e+001
2.000002073150963e-003	2.512402e-009	1.256201e+001
2.000003073150963e-003	2.424522e-009	1.212261e+001
2.000004073150963e-003	2.374058e-009	1.187029e+001
2.000005073150963e-003	2.352424e-009	1.176212e+001
2.000006073150964e-003	2.349908e-009	1.174954e+001
2.000007073150963e-003	2.359765e-009	1.179883e+001
2.000008073150963e-003	2.377244e-009	1.188622e+001
2.000009073150963e-003	2.397778e-009	1.198889e+001
2.000010041842306e-003	2.416347e-009	1.208174e+001
2.000010905434206e-003	2.430254e-009	1.215127e+001
2.000011423319040e-003	2.437362e-009	1.218681e+001
2.000012018138935e-003	2.444243e-009	1.222122e+001
2.000012724125146e-003	2.450775e-009	1.225387e+001
2.000013634197905e-003	2.457217e-009	1.228608e+001
2.000014554825860e-003	2.461980e-009	1.230990e+001
2.000015627630890e-003	2.465934e-009	1.232967e+001
2.000016715166679e-003	2.468782e-009	1.234391e+001
2.000017962197993e-003	2.471010e-009	1.235505e+001
2.000019381160546e-003	2.472177e-009	1.236089e+001
2.000020141010900e-003	2.471529e-009	1.235765e+001
2.000020879256678e-003	2.469849e-009	1.234925e+001
2.000021655082983e-003	2.467885e-009	1.233942e+001
2.000022479495896e-003	2.466050e-009	1.233025e+001
2.000023338163472e-003	2.464532e-009	1.232266e+001
2.000024095720259e-003	2.463485e-009	1.231742e+001
2.000024947539598e-003	2.462546e-009	1.231273e+001
2.000025831832734e-003	2.461852e-009	1.230926e+001
2.000026735978515e-003	2.461500e-009	1.230750e+001
2.000027882333918e-003	2.461527e-009	1.230763e+001
2.000029746734389e-003	2.462233e-009	1.231116e+001
2.000031744081847e-003	2.463550e-009	1.231775e+001
2.000035738776763e-003	2.466879e-009	1.233439e+001
2.000039457962794e-003	2.470171e-009	1.235086e+001
2.000044782336129e-003	2.474939e-009	1.237469e+001
2.000049432572361e-003	2.479287e-009	1.239643e+001
2.000053961703403e-003	2.484206e-009	1.242103e+001
2.000058970772994e-003	2.491201e-009	1.245601e+001
2.000063582507438e-003	2.500091e-009	1.250045e+001
2.000068589683923e-003	2.513772e-009	1.256886e+001
2.000074405420077e-003	2.536248e-009	1.268124e+001
2.000081810793259e-003	2.574428e-009	1.287214e+001
2.000087095441809e-003	2.608212e-009	1.304106e+001
2.000090163781181e-003	2.631113e-009	1.315556e+001
2.000092597328908e-003	2.651142e-009	1.325571e+001
