time	V(vout)	-I(Rl)
0.000000000000000e+000	9.996057e+000	-0.000000e+000
4.571428632463691e-010	9.996057e+000	-0.000000e+000
9.142857264927381e-010	9.996057e+000	-0.000000e+000
1.371428589739107e-009	9.996057e+000	-0.000000e+000
1.828571452985476e-009	9.996057e+000	-0.000000e+000
2.285714316231846e-009	9.996057e+000	-0.000000e+000
2.742857179478215e-009	9.996057e+000	-0.000000e+000
3.200000042724582e-009	9.996057e+000	-0.000000e+000
1.280000017089833e-008	9.996057e+000	-0.000000e+000
2.560000034179666e-008	9.996056e+000	-0.000000e+000
5.120000068359332e-008	9.996057e+000	-0.000000e+000
2.048000027343733e-007	9.996057e+000	-0.000000e+000
8.192000109374931e-007	9.996057e+000	-0.000000e+000
1.638400021874986e-006	9.996057e+000	-0.000000e+000
3.638400021874986e-006	9.996057e+000	-0.000000e+000
9.352685736160702e-006	9.996057e+000	-0.000000e+000
1.506697145044642e-005	9.996057e+000	-0.000000e+000
2.078125716473213e-005	9.996057e+000	-0.000000e+000
2.649554287901785e-005	9.996057e+000	-0.000000e+000
3.220982859330357e-005	9.996057e+000	-0.000000e+000
3.792411430758928e-005	9.996057e+000	-0.000000e+000
4.363840002187498e-005	9.996057e+000	-0.000000e+000
1.009638400021875e-003	9.996057e+000	-0.000000e+000
1.998638400021875e-003	9.996057e+000	-0.000000e+000
1.999276800043750e-003	9.996057e+000	-0.000000e+000
1.999660800262499e-003	9.996057e+000	-0.000000e+000
2.000000000000000e-003	9.996057e+000	-0.000000e+000
2.000000008281244e-003	4.687483e+000	2.485068e+001
2.000000133281244e-003	3.658124e-009	1.829062e+001
2.000000135234369e-003	3.568368e-009	1.784184e+001
2.000000135722650e-003	3.547493e-009	1.773746e+001
2.000000136699212e-003	3.507697e-009	1.753848e+001
2.000000138652338e-003	3.431583e-009	1.715792e+001
2.000000138653291e-003	3.431547e-009	1.715774e+001
2.000000138653331e-003	3.431545e-009	1.715773e+001
2.000001138653331e-003	2.801554e-009	1.400777e+001
2.000002138653331e-003	2.509314e-009	1.254657e+001
2.000003138653331e-003	2.418702e-009	1.209351e+001
2.000004138653331e-003	2.370128e-009	1.185064e+001
