time	V(vout)	-I(Rl)
0.000000000000000e+000	9.996057e+000	1.009602e-009
9.999999960041972e-012	9.996057e+000	1.009602e-009
1.156249995379853e-011	9.996057e+000	1.009603e-009
2.011562499953799e-009	9.996057e+000	1.017932e-009
1.010024011562500e-003	9.996057e+000	1.009602e-009
2.000000000000000e-003	9.996057e+000	1.009602e-009
2.000001976380875e-003	9.451308e+000	6.119289e-001
2.000005929142627e-003	9.152914e+000	9.152914e-001
2.000006698698202e-003	9.159443e+000	9.159442e-001
2.000007295047103e-003	9.162403e+000	9.162403e-001
2.000007770289712e-003	9.162958e+000	9.162958e-001
2.000007967296079e-003	9.163812e+000	9.163812e-001
2.000008111628972e-003	9.163667e+000	9.163667e-001
2.000008272440115e-003	9.164113e+000	9.164114e-001
2.000008423372787e-003	9.164551e+000	9.164551e-001
2.000008725238131e-003	9.165506e+000	9.165506e-001
2.000009328968819e-003	9.167604e+000	9.167604e-001
2.000010536430195e-003	9.172436e+000	9.172435e-001
2.000012951352947e-003	9.183581e+000	9.183581e-001
2.000015266932614e-003	9.195614e+000	9.195614e-001
2.000018467017240e-003	9.213595e+000	9.213595e-001
2.000021851029432e-003	9.233156e+000	9.233156e-001
2.000026691550010e-003	9.260945e+000	9.260945e-001
2.000031821794982e-003	9.289290e+000	9.289291e-001
2.000037131009082e-003	9.316877e+000	9.316878e-001
2.000042503284152e-003	9.342686e+000	9.342685e-001
2.000048411334212e-003	9.368551e+000	9.368551e-001
2.000054758996867e-003	9.393613e+000	9.393613e-001
2.000060701426934e-003	9.414539e+000	9.414540e-001
2.000067053909088e-003	9.434285e+000	9.434285e-001
2.000073969494304e-003	9.453009e+000	9.453008e-001
2.000082054245407e-003	9.471585e+000	9.471586e-001
2.000092374672281e-003	9.491134e+000	9.491134e-001
2.000104015552027e-003	9.508740e+000	9.508741e-001
2.000118373747110e-003	9.525819e+000	9.525819e-001
2.000133481068968e-003	9.540529e+000	9.540529e-001
2.000146122567913e-003	9.551726e+000	9.551727e-001
2.000156686728222e-003	9.561901e+000	9.561901e-001
2.000169055145446e-003	9.577268e+000	9.577268e-001
2.000180489674212e-003	9.598148e+000	9.598148e-001
2.000193149968755e-003	9.633917e+000	9.633917e-001
2.000207700870697e-003	9.695161e+000	9.695161e-001
2.000222868566754e-003	9.784132e+000	9.784132e-001
2.000240947385770e-003	9.917649e+000	9.917650e-001
2.000253331440476e-003	1.002241e+001	1.002241e+000
2.000259633349202e-003	1.007938e+001	1.007938e+000
2.000263083022184e-003	1.011115e+001	1.011115e+000
2.000265608046232e-003	1.013447e+001	1.013447e+000
2.000268285069939e-003	1.015918e+001	1.015918e+000
2.000270885564627e-003	1.018311e+001	1.018311e+000
2.000273693100273e-003	1.020883e+001	1.020883e+000
2.000275876339864e-003	1.022872e+001	1.022872e+000
2.000277797221216e-003	1.024610e+001	1.024610e+000
2.000279838329086e-003	1.026442e+001	1.026442e+000
2.000282301081508e-003	1.028630e+001	1.028630e+000
2.000285769541232e-003	1.031667e+001	1.031667e+000
2.000289400719160e-003	1.034783e+001	1.034782e+000
2.000294340836497e-003	1.038918e+001	1.038918e+000
2.000298350702602e-003	1.042180e+001	1.042180e+000
2.000303266084634e-003	1.046056e+001	1.046056e+000
2.000306410329822e-003	1.048460e+001	1.048460e+000
2.000309271762762e-003	1.050578e+001	1.050578e+000
2.000312499701922e-003	1.052888e+001	1.052889e+000
2.000316121016226e-003	1.055402e+001	1.055402e+000
2.000317799753162e-003	1.056531e+001	1.056531e+000
2.000319788866338e-003	1.057831e+001	1.057831e+000
2.000322388278748e-003	1.059482e+001	1.059482e+000
2.000324843160629e-003	1.060991e+001	1.060991e+000
2.000327759179517e-003	1.062714e+001	1.062714e+000
2.000330922647464e-003	1.064495e+001	1.064495e+000
2.000335604045284e-003	1.066990e+001	1.066990e+000
2.000338592404671e-003	1.068493e+001	1.068493e+000
2.000341474276970e-003	1.069854e+001	1.069854e+000
2.000344643732714e-003	1.071263e+001	1.071263e+000
2.000348155546631e-003	1.072713e+001	1.072713e+000
2.000352682647034e-003	1.074393e+001	1.074393e+000
2.000360275713546e-003	1.076814e+001	1.076814e+000
2.000368298459845e-003	1.078835e+001	1.078835e+000
2.000378939159298e-003	1.080594e+001	1.080594e+000
2.000394787405828e-003	1.081712e+001	1.081712e+000
2.000411145008349e-003	1.081391e+001	1.081391e+000
2.000427031313529e-003	1.080025e+001	1.080025e+000
2.000441562930969e-003	1.078362e+001	1.078362e+000
2.000455540503559e-003	1.076746e+001	1.076746e+000
2.000469332558722e-003	1.075257e+001	1.075257e+000
2.000486746702540e-003	1.073477e+001	1.073477e+000
2.000503372159332e-003	1.071829e+001	1.071829e+000
2.000522058738517e-003	1.070016e+001	1.070017e+000
2.000539482855461e-003	1.068359e+001	1.068359e+000
2.000559478160687e-003	1.066496e+001	1.066496e+000
2.000580224487381e-003	1.064602e+001	1.064602e+000
2.000600451987588e-003	1.062802e+001	1.062802e+000
2.000622951786877e-003	1.060939e+001	1.060939e+000
2.000644491591006e-003	1.059392e+001	1.059392e+000
2.000667690293439e-003	1.057850e+001	1.057850e+000
2.000690230909710e-003	1.056248e+001	1.056248e+000
2.000717974531932e-003	1.054128e+001	1.054128e+000
