time	-I(Rl)	V(vout)
0.000000000000000e+00	1.009601e-09	9.996057e+00
2.000000000000000e-03	1.009601e-09	9.996057e+00
2.000000079872123e-03	2.313616e+01	2.557541e-02
2.000000079911123e-03	2.312566e+01	2.312566e-02
2.000000079989123e-03	2.309299e+01	2.309299e-02
2.000001079989123e-03	1.556256e+01	1.556256e-02
2.000002079989123e-03	1.259836e+01	1.259836e-02
2.000003079989123e-03	1.210767e+01	1.210767e-02
2.000004079989124e-03	1.185790e+01	1.185790e-02
2.000005079989123e-03	1.173009e+01	1.173009e-02
2.000005185797430e-03	1.172138e+01	1.172138e-02
2.000005397414043e-03	1.170898e+01	1.170898e-02
2.000005820647269e-03	1.170040e+01	1.170040e-02
2.000006667113721e-03	1.172364e+01	1.172364e-02
2.000007528916369e-03	1.178814e+01	1.178814e-02
2.000008283354639e-03	1.187026e+01	1.187026e-02
2.000008831250441e-03	1.193312e+01	1.193313e-02
2.000009409666212e-03	1.199507e+01	1.199507e-02
2.000010168560100e-03	1.206966e+01	1.206966e-02
2.000010970072143e-03	1.213767e+01	1.213767e-02
2.000012023566384e-03	1.220802e+01	1.220802e-02
2.000013202940577e-03	1.226270e+01	1.226270e-02
2.000014932321139e-03	1.231162e+01	1.231162e-02
2.000016956019870e-03	1.234462e+01	1.234462e-02
2.000018805010823e-03	1.235987e+01	1.235987e-02
2.000020085357948e-03	1.235834e+01	1.235834e-02
2.000021202700925e-03	1.234661e+01	1.234661e-02
2.000022364349213e-03	1.233191e+01	1.233192e-02
2.000023671992934e-03	1.231866e+01	1.231867e-02
2.000024849735187e-03	1.231021e+01	1.231021e-02
2.000026058755673e-03	1.230564e+01	1.230564e-02
2.000027502322217e-03	1.230484e+01	1.230484e-02
2.000029644435999e-03	1.230877e+01	1.230877e-02
2.000031603289718e-03	1.231558e+01	1.231558e-02
2.000034965991488e-03	1.233046e+01	1.233046e-02
2.000038388081890e-03	1.234661e+01	1.234661e-02
2.000043656093567e-03	1.237176e+01	1.237176e-02
2.000049178476365e-03	1.239930e+01	1.239930e-02
2.000054972574851e-03	1.243345e+01	1.243346e-02
2.000060829027370e-03	1.248078e+01	1.248078e-02
2.000066991657189e-03	1.255474e+01	1.255474e-02
2.000073532594899e-03	1.267334e+01	1.267334e-02
2.000081871437011e-03	1.288807e+01	1.288807e-02
2.000089226880260e-03	1.313574e+01	1.313574e-02
2.000094402085272e-03	1.334857e+01	1.334857e-02
2.000097579128682e-03	1.350043e+01	1.350043e-02
2.000100454636439e-03	1.365600e+01	1.365600e-02
2.000103922838935e-03	1.386928e+01	1.386928e-02
2.000110465549000e-03	1.433001e+01	1.433001e-02
2.000117920971733e-03	1.492871e+01	1.492871e-02
2.000126263501004e-03	1.565421e+01	1.565421e-02
2.000130446718314e-03	1.600945e+01	1.600945e-02
2.000132910235724e-03	1.620116e+01	1.620116e-02
2.000135177556161e-03	1.635018e+01	1.635018e-02
2.000137743195402e-03	1.641257e+01	1.641257e-02
2.000139794104097e-03	1.626363e+01	1.626363e-02
2.000141107158389e-03	1.610031e+01	1.610031e-02
2.000141864318396e-03	1.610255e+01	1.610255e-02
2.000142195787100e-03	1.614887e+01	1.614887e-02
2.000142410992529e-03	1.618042e+01	1.618042e-02
2.000142574613457e-03	1.620255e+01	1.620255e-02
2.000142707510930e-03	1.622110e+01	1.622110e-02
2.000142840375521e-03	1.623906e+01	1.623907e-02
2.000142986001173e-03	1.625823e+01	1.625823e-02
2.000143163836363e-03	1.628132e+01	1.628132e-02
2.000143416289102e-03	1.631260e+01	1.631260e-02
2.000143801977024e-03	1.635831e+01	1.635832e-02
2.000144313023171e-03	1.641679e+01	1.641679e-02
2.000144882573013e-03	1.648017e+01	1.648017e-02
2.000145409609461e-03	1.653672e+01	1.653672e-02
2.000146056217498e-03	1.660423e+01	1.660423e-02
2.000146768520560e-03	1.667794e+01	1.667794e-02
2.000147714063461e-03	1.677599e+01	1.677599e-02
2.000148657495303e-03	1.687494e+01	1.687494e-02
2.000150544358986e-03	1.707733e+01	1.707733e-02
2.000154318086353e-03	1.749479e+01	1.749479e-02
2.000157863728687e-03	1.790481e+01	1.790481e-02
2.000163390758493e-03	1.857850e+01	1.857851e-02
2.000168569371760e-03	1.925508e+01	1.925508e-02
2.000178926598293e-03	2.075149e+01	2.075149e-02
