time	V(vout)	-I(Rl)
0.000000000000000e+000	9.996057e+000	-0.000000e+000
3.999999984016789e-011	9.996057e+000	-0.000000e+000
1.599999993606716e-010	9.996057e+000	-0.000000e+000
3.199999987213431e-010	9.996057e+000	-0.000000e+000
1.279999994885372e-009	9.996057e+000	-0.000000e+000
5.119999979541490e-009	9.996056e+000	-0.000000e+000
1.023999995908298e-008	9.996056e+000	-0.000000e+000
4.095999983633192e-008	9.996057e+000	-0.000000e+000
8.191999967266384e-008	9.996057e+000	-0.000000e+000
1.638399993453277e-007	9.996057e+000	-0.000000e+000
6.553599973813107e-007	9.996057e+000	-0.000000e+000
1.432041142557865e-005	9.996057e+000	-0.000000e+000
2.798546285377598e-005	9.996057e+000	-0.000000e+000
4.165051428197331e-005	9.996057e+000	-0.000000e+000
5.531556571017065e-005	9.996057e+000	-0.000000e+000
6.898061713836799e-005	9.996057e+000	-0.000000e+000
8.264566856656532e-005	9.996057e+000	-0.000000e+000
9.631071999476263e-005	9.996057e+000	-0.000000e+000
1.006310719994763e-003	9.996057e+000	-0.000000e+000
1.997310719994763e-003	9.996057e+000	-0.000000e+000
1.999000000000000e-003	9.996057e+000	-0.000000e+000
2.000000000000000e-003	9.996057e+000	-0.000000e+000
2.000000024414062e-003	3.332019e+000	1.957446e+001
2.000000073242188e-003	2.306207e-009	1.153104e+001
2.000000074768066e-003	2.270973e-009	1.135486e+001
2.000000077819824e-003	2.376249e-009	1.188124e+001
2.000000083923340e-003	2.461653e-009	1.230826e+001
2.000000090127185e-003	2.498654e-009	1.249327e+001
2.000000102534875e-003	2.532123e-009	1.266061e+001
2.000000121062676e-003	2.557599e-009	1.278799e+001
2.000000147699545e-003	2.577821e-009	1.288911e+001
2.000000176493754e-003	2.598282e-009	1.299141e+001
2.000000225869364e-003	2.636882e-009	1.318441e+001
2.000000276050616e-003	2.670757e-009	1.335379e+001
2.000000330288355e-003	2.693589e-009	1.346795e+001
2.000000380616622e-003	2.702971e-009	1.351486e+001
2.000000437214879e-003	2.705573e-009	1.352786e+001
2.000000494664161e-003	2.703876e-009	1.351938e+001
2.000000555535358e-003	2.699144e-009	1.349572e+001
2.000000617557676e-003	2.692208e-009	1.346104e+001
2.000000692108319e-003	2.681993e-009	1.340997e+001
2.000000771456276e-003	2.669611e-009	1.334805e+001
2.000000865319207e-003	2.653659e-009	1.326829e+001
2.000000967013261e-003	2.635463e-009	1.317731e+001
2.000001090039361e-003	2.612922e-009	1.306461e+001
2.000001229889536e-003	2.587381e-009	1.293690e+001
2.000001408366431e-003	2.555837e-009	1.277919e+001
2.000001630828020e-003	2.519348e-009	1.259674e+001
2.000001968990728e-003	2.470854e-009	1.235427e+001
2.000002423720088e-003	2.418022e-009	1.209011e+001
2.000002952454794e-003	2.372893e-009	1.186446e+001
2.000003549638440e-003	2.339540e-009	1.169770e+001
2.000004184414177e-003	2.319413e-009	1.159706e+001
2.000004759995667e-003	2.311853e-009	1.155926e+001
2.000005417429558e-003	2.312181e-009	1.156090e+001
2.000006113051905e-003	2.319366e-009	1.159683e+001
2.000006958853913e-003	2.334142e-009	1.167071e+001
2.000007626012895e-003	2.349389e-009	1.174695e+001
2.000008119103730e-003	2.362667e-009	1.181333e+001
2.000008569880156e-003	2.375063e-009	1.187531e+001
2.000009036637092e-003	2.386948e-009	1.193474e+001
2.000009408204024e-003	2.395717e-009	1.197859e+001
2.000009809057602e-003	2.404458e-009	1.202229e+001
2.000010610764760e-003	2.419941e-009	1.209971e+001
2.000011607627485e-003	2.435522e-009	1.217761e+001
2.000012904703000e-003	2.449772e-009	1.224886e+001
2.000014520661037e-003	2.460823e-009	1.230412e+001
2.000016076810970e-003	2.467067e-009	1.233533e+001
2.000017450722315e-003	2.470340e-009	1.235170e+001
