time	V(vout)	-I(Rl)
0.000000000000000e+000	9.996057e+000	-0.000000e+000
2.938697943495211e-009	9.996057e+000	-0.000000e+000
6.796093830565551e-009	9.996057e+000	-0.000000e+000
2.994046915298759e-008	9.996057e+000	-0.000000e+000
3.076729730220521e-007	9.996057e+000	-0.000000e+000
5.854054768911166e-007	9.996057e+000	-0.000000e+000
8.631379807601811e-007	9.996057e+000	-0.000000e+000
1.140870484629246e-006	9.996057e+000	-0.000000e+000
1.418602988498310e-006	9.996057e+000	-0.000000e+000
1.696335492367375e-006	9.996057e+000	-0.000000e+000
1.974067996236439e-006	9.996057e+000	-0.000000e+000
2.468835371052216e-005	9.996057e+000	-0.000000e+000
4.740263942480789e-005	9.996057e+000	-0.000000e+000
7.011692513909361e-005	9.996057e+000	-0.000000e+000
9.283121085337933e-005	9.996057e+000	-0.000000e+000
1.155454965676651e-004	9.996057e+000	-0.000000e+000
1.382597822819508e-004	9.996057e+000	-0.000000e+000
1.609740679962364e-004	9.996057e+000	-0.000000e+000
1.012974067996237e-003	9.996057e+000	-0.000000e+000
1.997974067996236e-003	9.996057e+000	-0.000000e+000
1.999000000000000e-003	9.996057e+000	-0.000000e+000
1.999051864007527e-003	9.996057e+000	-0.000000e+000
1.999363048052690e-003	9.996057e+000	-0.000000e+000
2.000000000000000e-003	9.996057e+000	-0.000000e+000
2.000000081037512e-003	1.944759e-002	2.269309e+001
2.000000081354065e-003	4.547109e-009	2.273555e+001
2.000001081354065e-003	3.025989e-009	1.512995e+001
2.000002081354064e-003	2.421493e-009	1.210746e+001
2.000003081354065e-003	2.308384e-009	1.154192e+001
2.000004081354065e-003	2.246110e-009	1.123055e+001
2.000005081354065e-003	2.213813e-009	1.106907e+001
2.000006081354065e-003	2.201096e-009	1.100548e+001
2.000007081354064e-003	2.200909e-009	1.100455e+001
2.000008081354065e-003	2.208326e-009	1.104163e+001
2.000009325753054e-003	2.223447e-009	1.111724e+001
2.000010689248033e-003	2.245194e-009	1.122597e+001
2.000012159960759e-003	2.272084e-009	1.136042e+001
2.000014281120538e-003	2.311172e-009	1.155586e+001
2.000015707551784e-003	2.334652e-009	1.167326e+001
2.000016310687742e-003	2.342579e-009	1.171290e+001
2.000016695015498e-003	2.346871e-009	1.173436e+001
2.000017156090992e-003	2.351622e-009	1.175811e+001
2.000017518265187e-003	2.355047e-009	1.177524e+001
2.000017853440897e-003	2.357991e-009	1.178995e+001
2.000018194272083e-003	2.360769e-009	1.180384e+001
2.000018537968874e-003	2.363392e-009	1.181696e+001
2.000018919147543e-003	2.366089e-009	1.183045e+001
2.000019357044490e-003	2.368960e-009	1.184480e+001
2.000019897023442e-003	2.372192e-009	1.186096e+001
2.000020555231870e-003	2.375731e-009	1.187865e+001
2.000021531543161e-003	2.380357e-009	1.190179e+001
2.000022590061228e-003	2.384668e-009	1.192334e+001
2.000024269421256e-003	2.390400e-009	1.195200e+001
2.000026034258569e-003	2.395416e-009	1.197708e+001
2.000027319220932e-003	2.398211e-009	1.199105e+001
2.000028188888619e-003	2.399362e-009	1.199681e+001
2.000029131931714e-003	2.400017e-009	1.200009e+001
2.000030104364544e-003	2.400496e-009	1.200248e+001
2.000031347944279e-003	2.401082e-009	1.200541e+001
2.000032714151955e-003	2.401800e-009	1.200900e+001
2.000034991529757e-003	2.403168e-009	1.201584e+001
2.000037292265153e-003	2.404726e-009	1.202363e+001
2.000040533920302e-003	2.407132e-009	1.203566e+001
2.000044384807667e-003	2.410174e-009	1.205087e+001
2.000048966655330e-003	2.414120e-009	1.207060e+001
2.000055917736895e-003	2.421175e-009	1.210587e+001
2.000061809543637e-003	2.429345e-009	1.214672e+001
2.000068166745387e-003	2.442973e-009	1.221487e+001
