time	V(vout)	-I(Rl)
0.000000000000000e+000	9.996057e+000	1.009602e-009
1.009638400021875e-003	9.996057e+000	1.009602e-009
2.000000000000000e-003	9.996057e+000	1.009602e-009
2.000000686880232e-003	9.460893e+000	6.128874e-001
2.000002060640694e-003	9.097732e+000	9.097731e-001
2.000002302148719e-003	9.111507e+000	9.111508e-001
2.000002420982828e-003	9.122065e+000	9.122065e-001
2.000002457726978e-003	9.121944e+000	9.121944e-001
2.000002508720115e-003	9.121994e+000	9.121994e-001
2.000002561510304e-003	9.122001e+000	9.122000e-001
2.000002667090681e-003	9.121971e+000	9.121971e-001
2.000002763055161e-003	9.121892e+000	9.121892e-001
2.000002925761511e-003	9.121719e+000	9.121719e-001
2.000003088050614e-003	9.121568e+000	9.121568e-001
2.000003411323922e-003	9.121417e+000	9.121417e-001
2.000003795179093e-003	9.121534e+000	9.121535e-001
2.000004562889434e-003	9.122510e+000	9.122510e-001
2.000005560218483e-003	9.124657e+000	9.124658e-001
2.000006559640351e-003	9.127518e+000	9.127518e-001
2.000007462760300e-003	9.130530e+000	9.130530e-001
2.000008473451789e-003	9.134220e+000	9.134220e-001
2.000009725614566e-003	9.139183e+000	9.139183e-001
2.000012122752265e-003	9.149660e+000	9.149660e-001
2.000014522301670e-003	9.161715e+000	9.161715e-001
2.000018007079160e-003	9.182145e+000	9.182145e-001
2.000021293974034e-003	9.204289e+000	9.204289e-001
2.000026824691912e-003	9.245256e+000	9.245257e-001
2.000032989952383e-003	9.292255e+000	9.292256e-001
2.000039189651305e-003	9.338388e+000	9.338389e-001
2.000045354733694e-003	9.381157e+000	9.381157e-001
2.000051966090272e-003	9.422900e+000	9.422900e-001
2.000056448160952e-003	9.448073e+000	9.448073e-001
2.000062060462275e-003	9.475646e+000	9.475646e-001
2.000067247285356e-003	9.497603e+000	9.497604e-001
2.000073186671065e-003	9.518526e+000	9.518526e-001
2.000080058709221e-003	9.538271e+000	9.538271e-001
2.000086515721584e-003	9.552995e+000	9.552995e-001
