Freq.	V(vin)/-I(Vg)
1.00000000000000e-002	1.06950101901815e+005,-7.23591116991156e+006
1.00230523807790e-002	1.06949610977682e+005,-7.21927635141534e+006
1.00461579027840e-002	1.06949117807378e+005,-7.20267980850479e+006
1.00693166885180e-002	1.06948622380725e+005,-7.18612145318463e+006
1.00925288607668e-002	1.06948124687479e+005,-7.16960119766204e+006
1.01157945425990e-002	1.06947624717359e+005,-7.15311895434620e+006
1.01391138573668e-002	1.06947122460071e+005,-7.13667463584778e+006
1.01624869287070e-002	1.06946617905202e+005,-7.12026815497854e+006
1.01859138805412e-002	1.06946111042387e+005,-7.10389942475084e+006
1.02093948370768e-002	1.06945601861137e+005,-7.08756835837714e+006
1.02329299228075e-002	1.06945090350933e+005,-7.07127486926961e+006
1.02565192625141e-002	1.06944576501256e+005,-7.05501887103962e+006
1.02801629812647e-002	1.06944060301488e+005,-7.03880027749731e+006
1.03038612044162e-002	1.06943541740965e+005,-7.02261900265110e+006
1.03276140576140e-002	1.06943020809032e+005,-7.00647496070728e+006
1.03514216667934e-002	1.06942497494884e+005,-6.99036806606952e+006
1.03752841581801e-002	1.06941971787797e+005,-6.97429823333842e+006
1.03992016582906e-002	1.06941443676901e+005,-6.95826537731106e+006
1.04231742939330e-002	1.06940913151315e+005,-6.94226941298056e+006
1.04472021922080e-002	1.06940380200094e+005,-6.92631025553564e+006
1.04712854805090e-002	1.06939844812261e+005,-6.91038782036011e+006
1.04954242865232e-002	1.06939306976797e+005,-6.89450202303249e+006
1.05196187382322e-002	1.06938766682592e+005,-6.87865277932552e+006
1.05438689639126e-002	1.06938223918540e+005,-6.86284000520574e+006
1.05681750921366e-002	1.06937678673449e+005,-6.84706361683303e+006
1.05925372517729e-002	1.06937130936112e+005,-6.83132353056016e+006
1.06169555719872e-002	1.06936580695214e+005,-6.81561966293236e+006
1.06414301822431e-002	1.06936027939456e+005,-6.79995193068687e+006
1.06659612123026e-002	1.06935472657455e+005,-6.78432025075249e+006
1.06905487922266e-002	1.06934914837747e+005,-6.76872454024918e+006
1.07151930523760e-002	1.06934354468909e+005,-6.75316471648754e+006
1.07398941234124e-002	1.06933791539365e+005,-6.73764069696847e+006
1.07646521362983e-002	1.06933226037551e+005,-6.72215239938265e+006
1.07894672222983e-002	1.06932657951830e+005,-6.70669974161016e+006
1.08143395129794e-002	1.06932087270523e+005,-6.69128264172000e+006
1.08392691402120e-002	1.06931513981879e+005,-6.67590101796970e+006
1.08642562361706e-002	1.06930938074117e+005,-6.66055478880485e+006
1.08893009333343e-002	1.06930359535411e+005,-6.64524387285867e+006
1.09144033644875e-002	1.06929778353826e+005,-6.62996818895162e+006
1.09395636627209e-002	1.06929194517468e+005,-6.61472765609091e+006
1.09647819614318e-002	1.06928608014308e+005,-6.59952219347011e+006
1.09900583943252e-002	1.06928018832300e+005,-6.58435172046872e+006
1.10153930954141e-002	1.06927426959356e+005,-6.56921615665172e+006
1.10407861990207e-002	1.06926832383273e+005,-6.55411542176916e+006
1.10662378397766e-002	1.06926235091889e+005,-6.53904943575574e+006
1.10917481526240e-002	1.06925635072910e+005,-6.52401811873037e+006
1.11173172728159e-002	1.06925032314009e+005,-6.50902139099575e+006
1.11429453359173e-002	1.06924426802840e+005,-6.49405917303794e+006
1.11686324778056e-002	1.06923818526965e+005,-6.47913138552599e+006
1.11943788346715e-002	1.06923207473875e+005,-6.46423794931142e+006
1.12201845430196e-002	1.06922593631049e+005,-6.44937878542791e+006
1.12460497396692e-002	1.06921976985907e+005,-6.43455381509079e+006
1.12719745617551e-002	1.06921357525765e+005,-6.41976295969669e+006
1.12979591467279e-002	1.06920735237954e+005,-6.40500614082308e+006
1.13240036323555e-002	1.06920110109678e+005,-6.39028328022786e+006
1.13501081567231e-002	1.06919482128146e+005,-6.37559429984898e+006
1.13762728582343e-002	1.06918851280456e+005,-6.36093912180398e+006
1.14024978756117e-002	1.06918217553721e+005,-6.34631766838960e+006
1.14287833478977e-002	1.06917580934901e+005,-6.33172986208136e+006
1.14551294144553e-002	1.06916941410976e+005,-6.31717562553317e+006
1.14815362149688e-002	1.06916298968844e+005,-6.30265488157689e+006
1.15080038894443e-002	1.06915653595341e+005,-6.28816755322192e+006
1.15345325782109e-002	1.06915005277257e+005,-6.27371356365484e+006
1.15611224219210e-002	1.06914354001290e+005,-6.25929283623894e+006
1.15877735615512e-002	1.06913699754126e+005,-6.24490529451386e+006
1.16144861384034e-002	1.06913042522370e+005,-6.23055086219515e+006
1.16412602941049e-002	1.06912382292569e+005,-6.21622946317388e+006
1.16680961706096e-002	1.06911719051196e+005,-6.20194102151627e+006
1.16949939101987e-002	1.06911052784707e+005,-6.18768546146321e+006
1.17219536554813e-002	1.06910383479438e+005,-6.17346270742994e+006
1.17489755493953e-002	1.06909711121730e+005,-6.15927268400558e+006
1.17760597352080e-002	1.06909035697807e+005,-6.14511531595280e+006
1.18032063565173e-002	1.06908357193874e+005,-6.13099052820735e+006
1.18304155572516e-002	1.06907675596063e+005,-6.11689824587771e+006
1.18576874816716e-002	1.06906990890401e+005,-6.10283839424468e+006
1.18850222743701e-002	1.06906303062940e+005,-6.08881089876098e+006
1.19124200802737e-002	1.06905612099625e+005,-6.07481568505085e+006
1.19398810446427e-002	1.06904917986299e+005,-6.06085267890966e+006
1.19674053130724e-002	1.06904220708826e+005,-6.04692180630354e+006
1.19949930314937e-002	1.06903520252942e+005,-6.03302299336893e+006
1.20226443461741e-002	1.06902816604331e+005,-6.01915616641227e+006
1.20503594037179e-002	1.06902109748662e+005,-6.00532125190952e+006
1.20781383510677e-002	1.06901399671467e+005,-5.99151817650583e+006
1.21059813355048e-002	1.06900686358309e+005,-5.97774686701515e+006
1.21338885046497e-002	1.06899969794566e+005,-5.96400725041979e+006
1.21618600064636e-002	1.06899249965651e+005,-5.95029925387009e+006
