Freq.	V(vout)/(I(Itest)-I(RL))
1.00000000000000e-002	4.43652481684499e-002,6.67870527893786e-004
1.00230523807790e-002	4.43656235103616e-002,6.69382479047834e-004
1.00461579027840e-002	4.43660005670470e-002,6.70897725184736e-004
1.00693166885180e-002	4.43663793462409e-002,6.72416272602043e-004
1.00925288607668e-002	4.43667598557050e-002,6.73938127583945e-004
1.01157945425990e-002	4.43671421032809e-002,6.75463296444817e-004
1.01391138573668e-002	4.43675260967579e-002,6.76991785485652e-004
1.01624869287070e-002	4.43679118441108e-002,6.78523601010860e-004
1.01859138805412e-002	4.43682993533166e-002,6.80058749351665e-004
1.02093948370768e-002	4.43686886321896e-002,6.81597236815855e-004
1.02329299228075e-002	4.43690796887865e-002,6.83139069751472e-004
1.02565192625141e-002	4.43694725311902e-002,6.84684254476457e-004
1.02801629812647e-002	4.43698671673496e-002,6.86232797342242e-004
1.03038612044162e-002	4.43702636055617e-002,6.87784704666866e-004
1.03276140576140e-002	4.43706618536955e-002,6.89339982828596e-004
1.03514216667934e-002	4.43710619201012e-002,6.90898638182378e-004
1.03752841581801e-002	4.43714638129161e-002,6.92460677063056e-004
1.03992016582906e-002	4.43718675405168e-002,6.94026105845735e-004
1.04231742939330e-002	4.43722731109328e-002,6.95594930908835e-004
1.04472021922080e-002	4.43726805327829e-002,6.97167158610822e-004
1.04712854805090e-002	4.43730898142568e-002,6.98742795336907e-004
1.04954242865232e-002	4.43735009636783e-002,7.00321847479054e-004
1.05196187382322e-002	4.43739139896926e-002,7.01904321412572e-004
1.05438689639126e-002	4.43743289004898e-002,7.03490223536163e-004
1.05681750921366e-002	4.43747457048218e-002,7.05079560248663e-004
1.05925372517729e-002	4.43751644110931e-002,7.06672337948877e-004
1.06169555719872e-002	4.43755850279213e-002,7.08268563049077e-004
1.06414301822431e-002	4.43760075640063e-002,7.09868241944838e-004
1.06659612123026e-002	4.43764320277508e-002,7.11471381071902e-004
1.06905487922266e-002	4.43768584280419e-002,7.13077986839339e-004
1.07151930523760e-002	4.43772867736580e-002,7.14688065659586e-004
1.07398941234124e-002	4.43777170731910e-002,7.16301623981911e-004
1.07646521362983e-002	4.43781493355533e-002,7.17918668225541e-004
1.07894672222983e-002	4.43785835696580e-002,7.19539204819782e-004
1.08143395129794e-002	4.43790197841769e-002,7.21163240234112e-004
1.08392691402120e-002	4.43794579882100e-002,7.22790780881200e-004
1.08642562361706e-002	4.43798981907507e-002,7.24421833210562e-004
1.08893009333343e-002	4.43803404007385e-002,7.26056403685136e-004
1.09144033644875e-002	4.43807846271396e-002,7.27694498767900e-004
1.09395636627209e-002	4.43812308791346e-002,7.29336124888421e-004
1.09647819614318e-002	4.43816791657698e-002,7.30981288546600e-004
1.09900583943252e-002	4.43821294963332e-002,7.32629996172095e-004
1.10153930954141e-002	4.43825818798177e-002,7.34282254268219e-004
1.10407861990207e-002	4.43830363256181e-002,7.35938069278117e-004
1.10662378397766e-002	4.43834928429950e-002,7.37597447695182e-004
1.10917481526240e-002	4.43839514412094e-002,7.39260396002791e-004
1.11173172728159e-002	4.43844121297631e-002,7.40926920654270e-004
1.11429453359173e-002	4.43848749179970e-002,7.42597028166578e-004
1.11686324778056e-002	4.43853398152790e-002,7.44270725013180e-004
1.11943788346715e-002	4.43858068311112e-002,7.45948017701096e-004
1.12201845430196e-002	4.43862759751286e-002,7.47628912703921e-004
1.12460497396692e-002	4.43867472568069e-002,7.49313416528742e-004
1.12719745617551e-002	4.43872206857808e-002,7.51001535672676e-004
1.12979591467279e-002	4.43876962717405e-002,7.52693276646276e-004
1.13240036323555e-002	4.43881740242670e-002,7.54388645953424e-004
1.13501081567231e-002	4.43886539532643e-002,7.56087650081354e-004
1.13762728582343e-002	4.43891360683412e-002,7.57790295567517e-004
1.14024978756117e-002	4.43896203796145e-002,7.59496588912666e-004
1.14287833478977e-002	4.43901068965601e-002,7.61206536630865e-004
1.14551294144553e-002	4.43905956293215e-002,7.62920145232997e-004
1.14815362149688e-002	4.43910865879905e-002,7.64637421253419e-004
1.15080038894443e-002	4.43915797822282e-002,7.66358371209702e-004
1.15345325782109e-002	4.43920752222059e-002,7.68083001612859e-004
1.15611224219210e-002	4.43925729180952e-002,7.69811318990689e-004
1.15877735615512e-002	4.43930728799331e-002,7.71543329881053e-004
1.16144861384034e-002	4.43935751179974e-002,7.73279040808505e-004
1.16412602941049e-002	4.43940796423787e-002,7.75018458294258e-004
1.16680961706096e-002	4.43945864633825e-002,7.76761588876351e-004
1.16949939101987e-002	4.43950955912865e-002,7.78508439092864e-004
1.17219536554813e-002	4.43956070365294e-002,7.80259015458506e-004
1.17489755493953e-002	4.43961208094165e-002,7.82013324538238e-004
1.17760597352080e-002	4.43966369204928e-002,7.83771372853578e-004
1.18032063565173e-002	4.43971553801711e-002,7.85533166932759e-004
1.18304155572516e-002	4.43976761989973e-002,7.87298713327523e-004
1.18576874816716e-002	4.43981993874897e-002,7.89068018576262e-004
1.18850222743701e-002	4.43987249563821e-002,7.90841089204055e-004
1.19124200802737e-002	4.43992529162736e-002,7.92617931779538e-004
1.19398810446427e-002	4.43997832779781e-002,7.94398552824548e-004
1.19674053130724e-002	4.44003160520677e-002,7.96182958887714e-004
1.19949930314937e-002	4.44008512495439e-002,7.97971156511095e-004
1.20226443461741e-002	4.44013888811127e-002,7.99763152250136e-004
1.20503594037179e-002	4.44019289577755e-002,8.01558952630246e-004
1.20781383510677e-002	4.44024714905061e-002,8.03358564193623e-004
1.21059813355048e-002	4.44030164902256e-002,8.05161993495892e-004
1.21338885046497e-002	4.44035639680684e-002,8.06969247076028e-004
1.21618600064636e-002	4.44041139349824e-002,8.08780331483061e-004
1.21898959892486e-002	4.44046664022889e-002,8.10595253249403e-004
1.22179966016487e-002	4.44052213810432e-002,8.12414018927549e-004
1.22461619926504e-002	4.44057788824875e-002,8.14236635056689e-004
1.22743923115840e-002	4.44063389180507e-002,8.16063108176099e-004
1.23026877081238e-002	4.44069014989479e-002,8.17893444828410e-004
1.23310483322890e-002	4.44074666365011e-002,8.19727651552975e-004
1.23594743344450e-002	4.44080343423540e-002,8.21565734885915e-004
1.23879658653036e-002	4.44086046276955e-002,8.23407701383396e-004
1.24165230759240e-002	4.44091775044633e-002,8.25253557558263e-004
1.24451461177138e-002	4.44097529839259e-002,8.27103309970150e-004
1.24738351424294e-002	4.44103310777267e-002,8.28956965135289e-004
1.25025903021771e-002	4.44109117977236e-002,8.30814529593446e-004
1.25314117494141e-002	4.44114951555875e-002,8.32676009874357e-004
1.25602996369487e-002	4.44120811629878e-002,8.34541412517855e-004
1.25892541179416e-002	4.44126698319436e-002,8.36410744040456e-004
1.26182753459066e-002	4.44132611741781e-002,8.38284010975414e-004
1.26473634747114e-002	4.44138552016831e-002,8.40161219849390e-004
1.26765186585784e-002	4.44144519265303e-002,8.42042377179073e-004
1.27057410520853e-002	4.44150513606584e-002,8.43927489491220e-004
1.27350308101665e-002	4.44156535161654e-002,8.45816563295937e-004
1.27643880881134e-002	4.44162584052841e-002,8.47709605116805e-004
1.27938130415752e-002	4.44168660400598e-002,8.49606621453979e-004
1.28233058265601e-002	4.44174764330463e-002,8.51507618831217e-004
1.28528665994361e-002	4.44180895961812e-002,8.53412603752111e-004
1.28824955169313e-002	4.44187055420192e-002,8.55321582717091e-004
1.29121927361353e-002	4.44193242829525e-002,8.57234562233306e-004
1.29419584144998e-002	4.44199458314015e-002,8.59151548791222e-004
1.29717927098395e-002	4.44205701999202e-002,8.61072548894788e-004
1.30016957803328e-002	4.44211974010626e-002,8.62997569017870e-004
1.30316677845229e-002	4.44218274474353e-002,8.64926615674588e-004
1.30617088813183e-002	4.44224603517537e-002,8.66859695332260e-004
1.30918192299940e-002	4.44230961267050e-002,8.68796814468304e-004
1.31219989901920e-002	4.44237347851377e-002,8.70737979570277e-004
1.31522483219223e-002	4.44243763397932e-002,8.72683197102330e-004
1.31825673855640e-002	4.44250208037341e-002,8.74632473532092e-004
1.32129563418657e-002	4.44256681897283e-002,8.76585815323839e-004
1.32434153519466e-002	4.44263185108915e-002,8.78543228941983e-004
1.32739445772973e-002	4.44269717803408e-002,8.80504720827556e-004
1.33045441797808e-002	4.44276280109233e-002,8.82470297448380e-004
1.33352143216332e-002	4.44282872161848e-002,8.84439965222261e-004
1.33659551654643e-002	4.44289494091338e-002,8.86413730617179e-004
1.33967668742593e-002	4.44296146031002e-002,8.88391600047670e-004
1.34276496113786e-002	4.44302828114687e-002,8.90373579948430e-004
1.34586035405594e-002	4.44309540475422e-002,8.92359676754207e-004
1.34896288259164e-002	4.44316283249191e-002,8.94349896863038e-004
1.35207256319427e-002	4.44323056568761e-002,8.96344246693041e-004
1.35518941235103e-002	4.44329860572790e-002,8.98342732655839e-004
1.35831344658714e-002	4.44336695396456e-002,9.00345361142941e-004
1.36144468246594e-002	4.44343561176813e-002,9.02352138552666e-004
1.36458313658892e-002	4.44350458050373e-002,9.04363071259942e-004
1.36772882559584e-002	4.44357386156335e-002,9.06378165673310e-004
1.37088176616484e-002	4.44364345632550e-002,9.08397428144418e-004
1.37404197501251e-002	4.44371336618751e-002,9.10420865038417e-004
1.37720946889394e-002	4.44378359254663e-002,9.12448482723875e-004
1.38038426460288e-002	4.44385413680556e-002,9.14480287545996e-004
1.38356637897177e-002	4.44392500038568e-002,9.16516285860140e-004
