time	V(vout)
0.000000000000000e+000	-3.596478e-003
1.999999887924986e-010	-3.596480e-003
7.999999551699943e-010	-3.596485e-003
1.531428485611133e-008	-3.596482e-003
2.982856975705266e-008	-3.596479e-003
4.434285465799398e-008	-3.596477e-003
5.885713955893531e-008	-3.596476e-003
7.337142445987664e-008	-3.596475e-003
8.788570936081797e-008	-3.596476e-003
1.023999942617593e-007	-3.596478e-003
9.999959999999995e-004	-3.596478e-003
9.999999999999979e-004	-3.596477e-003
1.000000000000000e-003	-3.596480e-003
1.000000000000001e-003	-3.596481e-003
1.000000000000003e-003	-3.596481e-003
1.000001000000000e-003	1.256269e-003
1.000001100000000e-003	7.118818e-004
1.000001300000000e-003	2.739709e-005
1.000001700000000e-003	-6.483202e-004
1.000002500000000e-003	-9.178589e-004
1.000004100000000e-003	3.666803e-004
1.000007300000000e-003	4.947421e-003
1.000012497133948e-003	1.286306e-002
1.000021860771120e-003	2.501259e-002
1.000033943561081e-003	3.677232e-002
1.000047307149993e-003	4.672609e-002
1.000066917311679e-003	6.041878e-002
1.000086693614998e-003	7.483237e-002
1.000115092123649e-003	9.536524e-002
1.000145688912793e-003	1.160348e-001
1.000199694294032e-003	1.504368e-001
1.000242769123186e-003	1.771817e-001
1.000290633863227e-003	2.060317e-001
1.000323191130614e-003	2.251409e-001
1.000361635282574e-003	2.472945e-001
1.000399338701001e-003	2.684051e-001
1.000437749801084e-003	2.893079e-001
1.000484277507596e-003	3.139036e-001
1.000550590140596e-003	3.475821e-001
1.000614369945798e-003	3.785963e-001
1.000683681597859e-003	4.106586e-001
1.000757754958334e-003	4.430585e-001
1.000849492835563e-003	4.805923e-001
1.000975877985910e-003	5.283722e-001
1.001100366062291e-003	5.714101e-001
1.001226709268751e-003	6.105494e-001
1.001422449565148e-003	6.641206e-001
1.001619520306929e-003	7.097981e-001
1.001986817716020e-003	7.782656e-001
1.002366486933905e-003	8.307432e-001
1.003076310435913e-003	8.943080e-001
1.003998442501545e-003	9.407645e-001
1.005314860551539e-003	9.707044e-001
1.006626220508961e-003	9.816083e-001
1.008851621068666e-003	9.861509e-001
1.011366648697523e-003	9.871240e-001
1.016396703955237e-003	9.870878e-001
1.026396703955237e-003	9.868672e-001
2.140682418240924e-003	9.622326e-001
3.254968132526612e-003	9.380933e-001
4.369253846812298e-003	9.144494e-001
5.483539561097986e-003	8.913009e-001
6.597825275383673e-003	8.686477e-001
7.712110989669360e-003	8.464899e-001
8.826396703955044e-003	8.248274e-001
9.136396703955031e-003	8.188733e-001
1.036068241824070e-002	7.957333e-001
1.158496813252636e-002	7.731017e-001
1.280925384681203e-002	7.509783e-001
1.403353956109769e-002	7.293633e-001
1.525782527538335e-002	7.082566e-001
1.648211098966902e-002	6.876582e-001
1.770639670395468e-002	6.675681e-001
1.937639670395461e-002	6.408689e-001
2.039068241824029e-002	6.250884e-001
2.140496813252596e-002	6.096008e-001
2.241925384681164e-002	5.944060e-001
2.343353956109731e-002	5.795040e-001
2.444782527538298e-002	5.648949e-001
2.546211098966866e-002	5.505787e-001
2.647639670395433e-002	5.365553e-001
2.692353956109717e-002	5.304559e-001
2.737068241824000e-002	5.244084e-001
2.781782527538284e-002	5.184127e-001
2.826496813252568e-002	5.124690e-001
2.871211098966852e-002	5.065771e-001
2.915925384681136e-002	5.007372e-001
2.960639670395420e-002	4.949491e-001
2.961639670395420e-002	4.948202e-001
3.105496813252599e-002	4.765695e-001
3.249353956109777e-002	4.587941e-001
3.393211098966956e-002	4.414941e-001
3.537068241824135e-002	4.246694e-001
3.680925384681314e-002	4.083200e-001
3.824782527538492e-002	3.924460e-001
3.968639670395671e-002	3.770473e-001
3.985639670395676e-002	3.752529e-001
4.091782527538566e-002	3.641959e-001
4.197925384681456e-002	3.533589e-001
4.304068241824345e-002	3.427419e-001
4.410211098967235e-002	3.323449e-001
4.516353956110124e-002	3.221679e-001
4.622496813253015e-002	3.122109e-001
4.728639670395904e-002	3.024739e-001
4.768639670395916e-002	2.988545e-001
4.808639670395928e-002	2.952635e-001
4.848639670395941e-002	2.917010e-001
4.888639670395953e-002	2.881669e-001
4.928639670395965e-002	2.846612e-001
4.968639670395977e-002	2.811840e-001
5.008639670395990e-002	2.777352e-001
5.009639670395990e-002	2.776493e-001
5.046925384681716e-002	2.744600e-001
5.084211098967442e-002	2.712943e-001
5.121496813253167e-002	2.681520e-001
5.158782527538892e-002	2.650333e-001
5.196068241824618e-002	2.619381e-001
5.233353956110344e-002	2.588664e-001
5.270639670396070e-002	2.558182e-001
5.332639670396089e-002	2.508014e-001
5.394639670396108e-002	2.458456e-001
5.456639670396127e-002	2.409509e-001
5.518639670396146e-002	2.361173e-001
5.580639670396165e-002	2.313447e-001
5.642639670396184e-002	2.266332e-001
5.704639670396203e-002	2.219827e-001
5.746925384681930e-002	2.188440e-001
5.789211098967657e-002	2.157318e-001
5.831496813253385e-002	2.126463e-001
5.873782527539112e-002	2.095873e-001
5.916068241824839e-002	2.065548e-001
5.958353956110566e-002	2.035490e-001
6.000639670396293e-002	2.005697e-001
6.033639670396303e-002	1.982622e-001
6.062925384682027e-002	1.962277e-001
6.092211098967750e-002	1.942053e-001
6.121496813253474e-002	1.921950e-001
6.150782527539196e-002	1.901968e-001
6.180068241824920e-002	1.882106e-001
6.209353956110643e-002	1.862366e-001
6.238639670396366e-002	1.842747e-001
6.261496813253502e-002	1.827516e-001
6.284353956110636e-002	1.812357e-001
6.307211098967772e-002	1.797269e-001
6.330068241824907e-002	1.782252e-001
6.352925384682043e-002	1.767306e-001
6.375782527539177e-002	1.752432e-001
6.398639670396313e-002	1.737629e-001
6.418211098967734e-002	1.725009e-001
