Freq.	V(vout)*exp(i*Pi)
1.00000000000000e-001	2.09446765418023e+001,-2.31034370218954e-001
1.00230523807790e-001	2.09381779465948e+001,-2.25680071587078e-001
1.00461579027840e-001	2.09316763710206e+001,-2.20297913276415e-001
1.00693166885180e-001	2.09251718760979e+001,-2.14887851755947e-001
1.00925288607668e-001	2.09186645229932e+001,-2.09449843783613e-001
1.01157945425990e-001	2.09121543728383e+001,-2.03983846407570e-001
1.01391138573668e-001	2.09056414868901e+001,-1.98489816966142e-001
1.01624869287070e-001	2.08991259264477e+001,-1.92967713090645e-001
1.01859138805412e-001	2.08926077528523e+001,-1.87417492700766e-001
1.02093948370768e-001	2.08860870274963e+001,-1.81839114011103e-001
1.02329299228075e-001	2.08795638117990e+001,-1.76232535526035e-001
1.02565192625141e-001	2.08730381672603e+001,-1.70597716042731e-001
1.02801629812647e-001	2.08665101554032e+001,-1.64934614651956e-001
1.03038612044162e-001	2.08599798377986e+001,-1.59243190737017e-001
1.03276140576140e-001	2.08534472760117e+001,-1.53523403974416e-001
1.03514216667934e-001	2.08469125317317e+001,-1.47775214333667e-001
1.03752841581801e-001	2.08403756665391e+001,-1.41998582078557e-001
1.03992016582906e-001	2.08338367421693e+001,-1.36193467766241e-001
1.04231742939330e-001	2.08272958203296e+001,-1.30359832247458e-001
1.04472021922080e-001	2.08207529627388e+001,-1.24497636668154e-001
1.04712854805090e-001	2.08142082311358e+001,-1.18606842467391e-001
1.04954242865232e-001	2.08076616873090e+001,-1.12687411377972e-001
1.05196187382322e-001	2.08011133929888e+001,-1.06739305428577e-001
1.05438689639126e-001	2.07945634100299e+001,-1.00762486940489e-001
1.05681750921366e-001	2.07880118001737e+001,-9.47569185307581e-002
1.05925372517729e-001	2.07814586252314e+001,-8.87225631088084e-002
1.06169555719872e-001	2.07749039469874e+001,-8.26593838799803e-002
1.06414301822431e-001	2.07683478272769e+001,-7.65673443425326e-002
1.06659612123026e-001	2.07617903278354e+001,-7.04464082895578e-002
1.06905487922266e-001	2.07552315105043e+001,-6.42965398067807e-002
1.07151930523760e-001	2.07486714370064e+001,-5.81177032751640e-002
1.07398941234124e-001	2.07421101691347e+001,-5.19098633680219e-002
1.07646521362983e-001	2.07355477686331e+001,-4.56729850520797e-002
1.07894672222983e-001	2.07289842972295e+001,-3.94070335872907e-002
1.08143395129794e-001	2.07224198165714e+001,-3.31119745274104e-002
1.08392691402120e-001	2.07158543884284e+001,-2.67877737163052e-002
1.08642562361706e-001	2.07092880743856e+001,-2.04343972925076e-002
1.08893009333343e-001	2.07027209361086e+001,-1.40518116843635e-002
1.09144033644875e-001	2.06961530351566e+001,-7.63998361410108e-003
1.09395636627209e-001	2.06895844330931e+001,-1.19888009325696e-003
1.09647819614318e-001	2.06830151914413e+001,5.27153157548446e-003
1.09900583943252e-001	2.06764453716388e+001,1.17712837990021e-002
1.10153930954141e-001	2.06698750351496e+001,1.83004086944797e-002
1.10407861990207e-001	2.06633042433522e+001,2.48589380890587e-002
1.10662378397766e-001	2.06567330575607e+001,3.14469035223728e-002
1.10917481526240e-001	2.06501615390637e+001,3.80643362442367e-002
1.11173172728159e-001	2.06435897490642e+001,4.47112672173779e-002
1.11429453359173e-001	2.06370177487572e+001,5.13877271177362e-002
1.11686324778056e-001	2.06304455992118e+001,5.80937463339745e-002
1.11943788346715e-001	2.06238733614896e+001,6.48293549690466e-002
1.12201845430196e-001	2.06173010965636e+001,7.15945828411410e-002
1.12460497396692e-001	2.06107288652841e+001,7.83894594819276e-002
1.12719745617551e-001	2.06041567285263e+001,8.52140141417213e-002
1.12979591467279e-001	2.05975847470110e+001,9.20682757856887e-002
1.13240036323555e-001	2.05910129814598e+001,9.89522730983298e-002
1.13501081567231e-001	2.05844414924017e+001,1.05866034479915e-001
1.13762728582343e-001	2.05778703403672e+001,1.12809588051981e-001
1.14024978756117e-001	2.05712995857835e+001,1.19782961655551e-001
1.14287833478977e-001	2.05647292889945e+001,1.26786182852930e-001
1.14551294144553e-001	2.05581595102153e+001,1.33819278926389e-001
1.14815362149688e-001	2.05515903095809e+001,1.40882276881874e-001
1.15080038894443e-001	2.05450217471630e+001,1.47975203449163e-001
1.15345325782109e-001	2.05384538829035e+001,1.55098085082521e-001
1.15611224219209e-001	2.05318867766018e+001,1.62250947959457e-001
1.15877735615512e-001	2.05253204880419e+001,1.69433817987343e-001
1.16144861384034e-001	2.05187550768320e+001,1.76646720798656e-001
1.16412602941049e-001	2.05121906024969e+001,1.83889681755172e-001
1.16680961706096e-001	2.05056271243852e+001,1.91162725946412e-001
1.16949939101987e-001	2.04990647018383e+001,1.98465878195293e-001
1.17219536554813e-001	2.04925033939927e+001,2.05799163055097e-001
1.17489755493952e-001	2.04859432598921e+001,2.13162604811542e-001
1.17760597352080e-001	2.04793843584229e+001,2.20556227483827e-001
1.18032063565172e-001	2.04728267484312e+001,2.27980054829163e-001
1.18304155572516e-001	2.04662704885148e+001,2.35434110337450e-001
1.18576874816716e-001	2.04597156372399e+001,2.42918417239319e-001
1.18850222743701e-001	2.04531622529579e+001,2.50432998501592e-001
1.19124200802737e-001	2.04466103939451e+001,2.57977876833493e-001
1.19398810446427e-001	2.04400601182969e+001,2.65553074684147e-001
1.19674053130724e-001	2.04335114839698e+001,2.73158614245376e-001
1.19949930314937e-001	2.04269645487569e+001,2.80794517452671e-001
1.20226443461741e-001	2.04204193703773e+001,2.88460805989913e-001
1.20503594037179e-001	2.04138760063161e+001,2.96157501284304e-001
1.20781383510677e-001	2.04073345139385e+001,3.03884624512354e-001
1.21059813355048e-001	2.04007949504519e+001,3.11642196600809e-001
1.21338885046497e-001	2.03942573728930e+001,3.19430238226431e-001
1.21618600064636e-001	2.03877218381524e+001,3.27248769819580e-001
1.21898959892486e-001	2.03811884029368e+001,3.35097811562715e-001
1.22179966016487e-001	2.03746571238365e+001,3.42977383397730e-001
1.22461619926504e-001	2.03681280571758e+001,3.50887505017910e-001
1.22743923115840e-001	2.03616012592225e+001,3.58828195880727e-001
1.23026877081238e-001	2.03550767859669e+001,3.66799475199061e-001
1.23310483322890e-001	2.03485546932730e+001,3.74801361950203e-001
1.23594743344450e-001	2.03420350368148e+001,3.82833874873805e-001
1.23879658653036e-001	2.03355178721225e+001,3.90897032476474e-001
1.24165230759240e-001	2.03290032545059e+001,3.98990853029504e-001
1.24451461177138e-001	2.03224912390524e+001,4.07115354571318e-001
1.24738351424294e-001	2.03159818807558e+001,4.15270554914670e-001
1.25025903021771e-001	2.03094752343248e+001,4.23456471639430e-001
1.25314117494141e-001	2.03029713542793e+001,4.31673122098664e-001
1.25602996369487e-001	2.02964702950108e+001,4.39920523424741e-001
1.25892541179416e-001	2.02899721107031e+001,4.48198692526221e-001
1.26182753459066e-001	2.02834768552524e+001,4.56507646085569e-001
1.26473634747114e-001	2.02769845824622e+001,4.64847400572714e-001
1.26765186585784e-001	2.02704953458458e+001,4.73217972233885e-001
1.27057410520853e-001	2.02640091987601e+001,4.81619377103172e-001
1.27350308101665e-001	2.02575261942931e+001,4.90051630997602e-001
1.27643880881134e-001	2.02510463854164e+001,4.98514749527094e-001
1.27938130415752e-001	2.02445698248161e+001,5.07008748087551e-001
1.28233058265601e-001	2.02380965649481e+001,5.15533641865905e-001
1.28528665994361e-001	2.02316266581063e+001,5.24089445845899e-001
1.28824955169313e-001	2.02251601563144e+001,5.32676174804292e-001
1.29121927361353e-001	2.02186971113851e+001,5.41293843315804e-001
1.29419584144998e-001	2.02122375749447e+001,5.49942465757497e-001
1.29717927098395e-001	2.02057815983289e+001,5.58622056303915e-001
1.30016957803328e-001	2.01993292326978e+001,5.67332628937319e-001
1.30316677845229e-001	2.01928805289284e+001,5.76074197440403e-001
1.30617088813183e-001	2.01864355377157e+001,5.84846775409479e-001
1.30918192299940e-001	2.01799943094763e+001,5.93650376245811e-001
1.31219989901919e-001	2.01735568944140e+001,6.02485013165333e-001
1.31522483219223e-001	2.01671233424703e+001,6.11350699195691e-001
1.31825673855640e-001	2.01606937033546e+001,6.20247447181782e-001
1.32129563418657e-001	2.01542680265200e+001,6.29175269785607e-001
1.32434153519466e-001	2.01478463612460e+001,6.38134179494762e-001
1.32739445772973e-001	2.01414287564454e+001,6.47124188610558e-001
1.33045441797808e-001	2.01350152608555e+001,6.56145309264830e-001
1.33352143216331e-001	2.01286059229614e+001,6.65197553415701e-001
1.33659551654643e-001	2.01222007909283e+001,6.74280932845644e-001
1.33967668742593e-001	2.01157999127893e+001,6.83395459178248e-001
1.34276496113785e-001	2.01094033361687e+001,6.92541143858532e-001
1.34586035405594e-001	2.01030111085459e+001,7.01717998175890e-001
1.34896288259164e-001	2.00966232771124e+001,7.10926033256242e-001
1.35207256319427e-001	2.00902398887092e+001,7.20165260058474e-001
1.35518941235103e-001	2.00838609900726e+001,7.29435689397216e-001
1.35831344658714e-001	2.00774866275316e+001,7.38737331920153e-001
1.36144468246594e-001	2.00711168471887e+001,7.48070198126148e-001
1.36458313658891e-001	2.00647516948982e+001,7.57434298364675e-001
