Freq.	V(vout)
1.00000000000000e+002	-2.27433739595544e+002,3.15206358758049e+000
1.00230523807790e+002	-2.27433014295517e+002,3.22151350976723e+000
1.00461579027840e+002	-2.27432240156084e+002,3.29098059550305e+000
1.00693166885180e+002	-2.27431417159244e+002,3.36046515910857e+000
1.00925288607668e+002	-2.27430545287444e+002,3.42996751510188e+000
1.01157945425990e+002	-2.27429624520942e+002,3.49948797791500e+000
1.01391138573668e+002	-2.27428654840824e+002,3.56902686216823e+000
1.01624869287070e+002	-2.27427636225902e+002,3.63858448272827e+000
1.01859138805412e+002	-2.27426568654978e+002,3.70816115435739e+000
1.02093948370768e+002	-2.27425452104564e+002,3.77775719185281e+000
1.02329299228075e+002	-2.27424286551262e+002,3.84737291029856e+000
1.02565192625141e+002	-2.27423071969996e+002,3.91700862478364e+000
1.02801629812647e+002	-2.27421808336085e+002,3.98666465036364e+000
1.03038612044162e+002	-2.27420495621364e+002,4.05634130235254e+000
1.03276140576140e+002	-2.27419133799983e+002,4.12603889613968e+000
1.03514216667934e+002	-2.27417722842283e+002,4.19575774702267e+000
1.03752841581801e+002	-2.27416262719117e+002,4.26549817057598e+000
1.03992016582906e+002	-2.27414753400729e+002,4.33526048247285e+000
1.04231742939330e+002	-2.27413194854054e+002,4.40504499816038e+000
1.04472021922080e+002	-2.27411587048011e+002,4.47485203362976e+000
1.04712854805090e+002	-2.27409929949201e+002,4.54468190448881e+000
1.04954242865232e+002	-2.27408223522994e+002,4.61453492684003e+000
1.05196187382322e+002	-2.27406467733997e+002,4.68441141654749e+000
1.05438689639126e+002	-2.27404662546374e+002,4.75431168973095e+000
1.05681750921366e+002	-2.27402807922304e+002,4.82423606253636e+000
1.05925372517729e+002	-2.27400903824915e+002,4.89418485115951e+000
1.06169555719872e+002	-2.27398950213338e+002,4.96415837194217e+000
1.06414301822431e+002	-2.27396947047549e+002,5.03415694116923e+000
1.06659612123026e+002	-2.27394894288429e+002,5.10418087544795e+000
1.06905487922266e+002	-2.27392791891346e+002,5.17423049107391e+000
1.07151930523760e+002	-2.27390639815619e+002,5.24430610482283e+000
