Freq.	V(vout)
1.00000000000000e-002	-9.89830749355217e-004,1.46556901739894e-002
1.00230523807790e-002	-9.94395470230875e-004,1.46895815629065e-002
1.00461579027840e-002	-9.98981222842478e-004,1.47235518156560e-002
1.00693166885180e-002	-1.00358810391886e-003,1.47576011191411e-002
1.00925288607668e-002	-1.00821621063218e-003,1.47917296607284e-002
1.01157945425990e-002	-1.01286564059879e-003,1.48259376281424e-002
1.01391138573668e-002	-1.01753649188209e-003,1.48602252097566e-002
1.01624869287070e-002	-1.02222886299586e-003,1.48945925942494e-002
1.01859138805412e-002	-1.02694285290427e-003,1.49290399708952e-002
1.02093948370768e-002	-1.03167856102725e-003,1.49635675293528e-002
1.02329299228075e-002	-1.03643608723508e-003,1.49981754597976e-002
1.02565192625141e-002	-1.04121553186253e-003,1.50328639528290e-002
1.02801629812647e-002	-1.04601699570010e-003,1.50676331995894e-002
1.03038612044162e-002	-1.05084057999820e-003,1.51024833917116e-002
1.03276140576140e-002	-1.05568638647626e-003,1.51374147211862e-002
1.03514216667934e-002	-1.06055451731358e-003,1.51724273806262e-002
1.03752841581801e-002	-1.06544507516387e-003,1.52075215630422e-002
1.03992016582906e-002	-1.07035816314654e-003,1.52426974619351e-002
1.04231742939330e-002	-1.07529388485411e-003,1.52779552713752e-002
1.04472021922080e-002	-1.08025234435518e-003,1.53132951857511e-002
1.04712854805090e-002	-1.08523364619396e-003,1.53487174001136e-002
1.04954242865232e-002	-1.09023789539279e-003,1.53842221098449e-002
1.05196187382322e-002	-1.09526519745582e-003,1.54198095110026e-002
1.05438689639126e-002	-1.10031565837113e-003,1.54554797999360e-002
1.05681750921366e-002	-1.10538938460988e-003,1.54912331736567e-002
1.05925372517729e-002	-1.11048648313459e-003,1.55270698295607e-002
1.06169555719872e-002	-1.11560706139332e-003,1.55629899655472e-002
1.06414301822431e-002	-1.12075122732800e-003,1.55989937801117e-002
1.06659612123026e-002	-1.12591908937565e-003,1.56350814720677e-002
1.06905487922266e-002	-1.13111075646876e-003,1.56712532409440e-002
1.07151930523760e-002	-1.13632633803906e-003,1.57075092866141e-002
1.07398941234124e-002	-1.14156594401835e-003,1.57438498094943e-002
1.07646521362983e-002	-1.14682968484341e-003,1.57802750105842e-002
1.07894672222983e-002	-1.15211767145359e-003,1.58167850912410e-002
1.08143395129794e-002	-1.15743001530070e-003,1.58533802534179e-002
1.08392691402120e-002	-1.16276682834404e-003,1.58900606995851e-002
1.08642562361706e-002	-1.16812822305293e-003,1.59268266327028e-002
1.08893009333343e-002	-1.17351431241576e-003,1.59636782562611e-002
1.09144033644875e-002	-1.17892520993628e-003,1.60006157742272e-002
1.09395636627209e-002	-1.18436102963818e-003,1.60376393911114e-002
1.09647819614318e-002	-1.18982188606590e-003,1.60747493119142e-002
1.09900583943252e-002	-1.19530789429001e-003,1.61119457421926e-002
1.10153930954141e-002	-1.20081916990513e-003,1.61492288879539e-002
1.10407861990207e-002	-1.20635582903741e-003,1.61865989558415e-002
1.10662378397766e-002	-1.21191798834325e-003,1.62240561529094e-002
1.10917481526240e-002	-1.21750576501307e-003,1.62616006867813e-002
1.11173172728159e-002	-1.22311927677333e-003,1.62992327656108e-002
1.11429453359173e-002	-1.22875864188824e-003,1.63369525980153e-002
1.11686324778056e-002	-1.23442397916510e-003,1.63747603932746e-002
1.11943788346715e-002	-1.24011540795431e-003,1.64126563610790e-002
1.12201845430196e-002	-1.24583304814979e-003,1.64506407116624e-002
1.12460497396692e-002	-1.25157702019850e-003,1.64887136558677e-002
1.12719745617551e-002	-1.25734744509258e-003,1.65268754050283e-002
1.12979591467279e-002	-1.26314444438423e-003,1.65651261709411e-002
1.13240036323555e-002	-1.26896814017622e-003,1.66034661660522e-002
1.13501081567231e-002	-1.27481865513221e-003,1.66418956032981e-002
1.13762728582343e-002	-1.28069611247677e-003,1.66804146961582e-002
1.14024978756117e-002	-1.28660063599993e-003,1.67190236586155e-002
1.14287833478977e-002	-1.29253235005221e-003,1.67577227052757e-002
1.14551294144553e-002	-1.29849137955827e-003,1.67965120512345e-002
1.14815362149688e-002	-1.30447785001403e-003,1.68353919121973e-002
