Freq.	V(vout)/(I(Itest)-I(RL))
1.00000000000000e-002	3.86885099714433e-002,2.07088523801528e-002
1.00230523807790e-002	3.86628132703160e-002,2.07597361235597e-002
1.00461579027840e-002	3.86369991712200e-002,2.08107590562618e-002
1.00693166885180e-002	3.86110671437270e-002,2.08619216518849e-002
1.00925288607668e-002	3.85850166550995e-002,2.09132243862392e-002
1.01157945425990e-002	3.85588471701640e-002,2.09646677371906e-002
1.01391138573668e-002	3.85325581515488e-002,2.10162521850208e-002
1.01624869287070e-002	3.85061490593825e-002,2.10679782120427e-002
1.01859138805412e-002	3.84796193514537e-002,2.11198463027785e-002
1.02093948370768e-002	3.84529684831995e-002,2.11718569441207e-002
1.02329299228075e-002	3.84261959076115e-002,2.12240106250369e-002
1.02565192625141e-002	3.83993010753084e-002,2.12763078368619e-002
1.02801629812647e-002	3.83722834344384e-002,2.13287490730897e-002
1.03038612044162e-002	3.83451424307888e-002,2.13813348295929e-002
1.03276140576140e-002	3.83178775076932e-002,2.14340656045346e-002
1.03514216667934e-002	3.82904881059446e-002,2.14869418982013e-002
1.03752841581801e-002	3.82629736640805e-002,2.15399642135362e-002
1.03992016582906e-002	3.82353336179569e-002,2.15931330554867e-002
1.04231742939330e-002	3.82075674010767e-002,2.16464489315315e-002
1.04472021922080e-002	3.81796744444204e-002,2.16999123514432e-002
1.04712854805090e-002	3.81516541764325e-002,2.17535238273243e-002
1.04954242865232e-002	3.81235060231395e-002,2.18072838738089e-002
1.05196187382322e-002	3.80952294079680e-002,2.18611930078118e-002
1.05438689639126e-002	3.80668237518293e-002,2.19152517486462e-002
1.05681750921366e-002	3.80382884731347e-002,2.19694606181738e-002
1.05925372517729e-002	3.80096229877360e-002,2.20238201406461e-002
1.06169555719872e-002	3.79808267088242e-002,2.20783308426373e-002
1.06414301822431e-002	3.79518990472009e-002,2.21329932534456e-002
1.06659612123026e-002	3.79228394109214e-002,2.21878079046612e-002
1.06905487922266e-002	3.78936472055253e-002,2.22427753304230e-002
1.07151930523760e-002	3.78643218339338e-002,2.22978960674182e-002
1.07398941234124e-002	3.78348626965114e-002,2.23531706549306e-002
1.07646521362983e-002	3.78052691908538e-002,2.24085996345764e-002
1.07894672222983e-002	3.77755407121125e-002,2.24641835508195e-002
1.08143395129794e-002	3.77456766526307e-002,2.25199229504441e-002
1.08392691402120e-002	3.77156764021349e-002,2.25758183829123e-002
1.08642562361706e-002	3.76855393477767e-002,2.26318704004153e-002
1.08893009333343e-002	3.76552648739147e-002,2.26880795575914e-002
1.09144033644875e-002	3.76248523622954e-002,2.27444464118559e-002
1.09395636627209e-002	3.75943011918883e-002,2.28009715231265e-002
1.09647819614318e-002	3.75636107390336e-002,2.28576554541639e-002
1.09900583943252e-002	3.75327803773112e-002,2.29144987703087e-002
1.10153930954141e-002	3.75018094775435e-002,2.29715020395972e-002
1.10407861990207e-002	3.74706974078706e-002,2.30286658328588e-002
1.10662378397766e-002	3.74394435336080e-002,2.30859907235657e-002
1.10917481526240e-002	3.74080472173467e-002,2.31434772880002e-002
1.11173172728159e-002	3.73765078189135e-002,2.32011261052258e-002
1.11429453359173e-002	3.73448246953539e-002,2.32589377571370e-002
1.11686324778056e-002	3.73129972008008e-002,2.33169128281834e-002
1.11943788346715e-002	3.72810246867111e-002,2.33750519059032e-002
1.12201845430196e-002	3.72489065016651e-002,2.34333555805843e-002
1.12460497396692e-002	3.72166419914074e-002,2.34918244453070e-002
1.12719745617551e-002	3.71842304988359e-002,2.35504590960931e-002
1.12979591467279e-002	3.71516713640333e-002,2.36092601318459e-002
1.13240036323555e-002	3.71189639241093e-002,2.36682281542593e-002
1.13501081567231e-002	3.70861075134431e-002,2.37273637681637e-002
1.13762728582343e-002	3.70531014633890e-002,2.37866675811025e-002
1.14024978756117e-002	3.70199451024462e-002,2.38461402036711e-002
1.14287833478977e-002	3.69866377562554e-002,2.39057822495101e-002
1.14551294144553e-002	3.69531787474281e-002,2.39655943351052e-002
1.14815362149688e-002	3.69195673957741e-002,2.40255770801611e-002
1.15080038894443e-002	3.68858030179585e-002,2.40857311070871e-002
1.15345325782109e-002	3.68518849278802e-002,2.41460570416752e-002
1.15611224219210e-002	3.68178124363477e-002,2.42065555125662e-002
1.15877735615512e-002	3.67835848512419e-002,2.42672271515853e-002
1.16144861384034e-002	3.67492014774029e-002,2.43280725936108e-002
1.16412602941049e-002	3.67146616167036e-002,2.43890924766692e-002
1.16680961706096e-002	3.66799645679745e-002,2.44502874419242e-002
1.16949939101987e-002	3.66451096270258e-002,2.45116581337100e-002
1.17219536554813e-002	3.66100960865720e-002,2.45732051994198e-002
1.17489755493953e-002	3.65749232363777e-002,2.46349292898729e-002
1.17760597352080e-002	3.65395903629867e-002,2.46968310588288e-002
1.18032063565173e-002	3.65040967500551e-002,2.47589111635972e-002
1.18304155572516e-002	3.64684416780013e-002,2.48211702645035e-002
1.18576874816716e-002	3.64326244241394e-002,2.48836090251561e-002
1.18850222743701e-002	3.63966442627602e-002,2.49462281126182e-002
1.19124200802737e-002	3.63605004649639e-002,2.50090281971736e-002
1.19398810446427e-002	3.63241922986905e-002,2.50720099523706e-002
1.19674053130724e-002	3.62877190287697e-002,2.51351740552469e-002
1.19949930314937e-002	3.62510799168598e-002,2.51985211861561e-002
1.20226443461741e-002	3.62142742213865e-002,2.52620520287849e-002
1.20503594037179e-002	3.61773011976869e-002,2.53257672704111e-002
1.20781383510677e-002	3.61401600977818e-002,2.53896676015560e-002
1.21059813355048e-002	3.61028501705804e-002,2.54537537163688e-002
1.21338885046497e-002	3.60653706616660e-002,2.55180263123289e-002
1.21618600064636e-002	3.60277208134569e-002,2.55824860905394e-002
1.21898959892486e-002	3.59898998650644e-002,2.56471337555647e-002
1.22179966016487e-002	3.59519070523895e-002,2.57119700155589e-002
1.22461619926504e-002	3.59137416079941e-002,2.57769955821792e-002
1.22743923115840e-002	3.58754027611979e-002,2.58422111707417e-002
1.23026877081238e-002	3.58368897379778e-002,2.59076175001237e-002
1.23310483322890e-002	3.57982017610084e-002,2.59732152928527e-002
1.23594743344450e-002	3.57593380496603e-002,2.60390052751685e-002
1.23879658653036e-002	3.57202978199417e-002,2.61049881769158e-002
1.24165230759240e-002	3.56810802844928e-002,2.61711647316745e-002
1.24451461177138e-002	3.56416846525891e-002,2.62375356767223e-002
1.24738351424294e-002	3.56021101301242e-002,2.63041017530915e-002
1.25025903021771e-002	3.55623559196314e-002,2.63708637056468e-002
1.25314117494141e-002	3.55224212201889e-002,2.64378222829539e-002
1.25602996369487e-002	3.54823052274985e-002,2.65049782374984e-002
1.25892541179416e-002	3.54420071338018e-002,2.65723323255285e-002
1.26182753459066e-002	3.54015261278554e-002,2.66398853071038e-002
1.26473634747114e-002	3.53608613950935e-002,2.67076379464397e-002
1.26765186585784e-002	3.53200121172742e-002,2.67755910112648e-002
1.27057410520853e-002	3.52789774728735e-002,2.68437452736199e-002
1.27350308101665e-002	3.52377566367165e-002,2.69121015092502e-002
1.27643880881134e-002	3.51963487802063e-002,2.69806604980514e-002
1.27938130415752e-002	3.51547530711620e-002,2.70494230237927e-002
1.28233058265601e-002	3.51129686739357e-002,2.71183898744408e-002
1.28528665994361e-002	3.50709947492563e-002,2.71875618419110e-002
1.28824955169313e-002	3.50288304543354e-002,2.72569397222446e-002
1.29121927361353e-002	3.49864749427491e-002,2.73265243155289e-002
1.29419584144998e-002	3.49439273645169e-002,2.73963164260524e-002
1.29717927098395e-002	3.49011868661042e-002,2.74663168623422e-002
1.30016957803328e-002	3.48582525902871e-002,2.75365264370091e-002
1.30316677845229e-002	3.48151236761816e-002,2.76069459668254e-002
1.30617088813183e-002	3.47717992593943e-002,2.76775762730491e-002
1.30918192299940e-002	3.47282784716839e-002,2.77484181808719e-002
1.31219989901920e-002	3.46845604412966e-002,2.78194725200762e-002
