Freq.	V(out)*I(RL)/2
1.00000000000000e-002	1.95275255440540e-003,-4.86273763391662e-003
1.00043885104840e-002	1.95664206832594e-003,-4.87022794205827e-003
1.00087789468704e-002	1.96053834794838e-003,-4.87773040699743e-003
1.00131713100044e-002	1.96444140390141e-003,-4.88524504949859e-003
1.00175656007316e-002	1.96835124682815e-003,-4.89277189036329e-003
1.00219618198978e-002	1.97226788738591e-003,-4.90031095043056e-003
1.00263599683495e-002	1.97619133624710e-003,-4.90786225057597e-003
1.00307600469332e-002	1.98012160409820e-003,-4.91542581171276e-003
1.00351620564960e-002	1.98405870164085e-003,-4.92300165479078e-003
1.00395659978854e-002	1.98800263959086e-003,-4.93058980079773e-003
1.00439718719490e-002	1.99195342867912e-003,-4.93819027075811e-003
1.00483796795351e-002	1.99591107965055e-003,-4.94580308573457e-003
1.00527894214921e-002	1.99987560326537e-003,-4.95342826682659e-003
1.00572010986691e-002	2.00384701029812e-003,-4.96106583517159e-003
1.00616147119151e-002	2.00782531153806e-003,-4.96871581194452e-003
1.00660302620800e-002	2.01181051778926e-003,-4.97637821835805e-003
1.00704477500138e-002	2.01580263987065e-003,-4.98405307566231e-003
1.00748671765667e-002	2.01980168861544e-003,-4.99174040514598e-003
1.00792885425896e-002	2.02380767487209e-003,-4.99944022813492e-003
1.00837118489336e-002	2.02782060950349e-003,-5.00715256599339e-003
1.00881370964502e-002	2.03184050338753e-003,-5.01487744012353e-003
1.00925642859914e-002	2.03586736741663e-003,-5.02261487196581e-003
1.00969934184093e-002	2.03990121249854e-003,-5.03036488299822e-003
1.01014244945566e-002	2.04394204955495e-003,-5.03812749473826e-003
1.01058575152864e-002	2.04798988952336e-003,-5.04590272874038e-003
1.01102924814519e-002	2.05204474335567e-003,-5.05369060659810e-003
1.01147293939070e-002	2.05610662201850e-003,-5.06149114994348e-003
1.01191682535058e-002	2.06017553649350e-003,-5.06930438044707e-003
1.01236090611027e-002	2.06425149777748e-003,-5.07713031981756e-003
1.01280518175528e-002	2.06833451688155e-003,-5.08496898980313e-003
1.01324965237111e-002	2.07242460483253e-003,-5.09282041218976e-003
1.01369431804334e-002	2.07652177267139e-003,-5.10068460880320e-003
1.01413917885757e-002	2.08062603145464e-003,-5.10856160150734e-003
1.01458423489943e-002	2.08473739225353e-003,-5.11645141220530e-003
1.01502948625461e-002	2.08885586615427e-003,-5.12435406283931e-003
1.01547493300880e-002	2.09298146425801e-003,-5.13226957539073e-003
1.01592057524777e-002	2.09711419768119e-003,-5.14019797187976e-003
1.01636641305731e-002	2.10125407755498e-003,-5.14813927436616e-003
1.01681244652324e-002	2.10540111502580e-003,-5.15609350494884e-003
1.01725867573142e-002	2.10955532125489e-003,-5.16406068576629e-003
1.01770510076775e-002	2.11371670741886e-003,-5.17204083899612e-003
1.01815172171818e-002	2.11788528470908e-003,-5.18003398685589e-003
1.01859853866869e-002	2.12206106433241e-003,-5.18804015160221e-003
1.01904555170528e-002	2.12624405751035e-003,-5.19605935553204e-003
1.01949276091401e-002	2.13043427547985e-003,-5.20409162098158e-003
1.01994016638097e-002	2.13463172949305e-003,-5.21213697032688e-003
1.02038776819229e-002	2.13883643081691e-003,-5.22019542598423e-003
1.02083556643413e-002	2.14304839073372e-003,-5.22826701040964e-003
1.02128356119270e-002	2.14726762054141e-003,-5.23635174609874e-003
1.02173175255424e-002	2.15149413155233e-003,-5.24444965558811e-003
1.02218014060503e-002	2.15572793509437e-003,-5.25256076145408e-003
1.02262872543139e-002	2.15996904251105e-003,-5.26068508631285e-003
1.02307750711966e-002	2.16421746516040e-003,-5.26882265282174e-003
1.02352648575625e-002	2.16847321441618e-003,-5.27697348367794e-003
1.02397566142759e-002	2.17273630166738e-003,-5.28513760161917e-003
1.02442503422014e-002	2.17700673831827e-003,-5.29331502942368e-003
