Freq.	V(out)
1.00000000000000e-002	-2.22215968506179e-001,1.50227786232033e-001
1.00043885104840e-002	-2.22405725983890e-001,1.50330816903148e-001
1.00087789468704e-002	-2.22595640836610e-001,1.50433940482663e-001
1.00131713100044e-002	-2.22785713186684e-001,1.50537157071613e-001
1.00175656007316e-002	-2.22975943156537e-001,1.50640466771170e-001
1.00219618198978e-002	-2.23166330868673e-001,1.50743869682627e-001
1.00263599683495e-002	-2.23356876445680e-001,1.50847365907384e-001
1.00307600469332e-002	-2.23547580010224e-001,1.50950955546974e-001
1.00351620564960e-002	-2.23738441685052e-001,1.51054638703029e-001
1.00395659978854e-002	-2.23929461592993e-001,1.51158415477323e-001
1.00439718719490e-002	-2.24120639856957e-001,1.51262285971725e-001
1.00483796795351e-002	-2.24311976599932e-001,1.51366250288243e-001
1.00527894214921e-002	-2.24503471944989e-001,1.51470308528994e-001
1.00572010986691e-002	-2.24695126015281e-001,1.51574460796219e-001
1.00616147119151e-002	-2.24886938934037e-001,1.51678707192276e-001
1.00660302620800e-002	-2.25078910824573e-001,1.51783047819648e-001
1.00704477500138e-002	-2.25271041810281e-001,1.51887482780927e-001
1.00748671765667e-002	-2.25463332014637e-001,1.51992012178837e-001
1.00792885425896e-002	-2.25655781561196e-001,1.52096636116216e-001
1.00837118489336e-002	-2.25848390573596e-001,1.52201354696026e-001
1.00881370964502e-002	-2.26041159175554e-001,1.52306168021338e-001
1.00925642859914e-002	-2.26234087490868e-001,1.52411076195367e-001
1.00969934184093e-002	-2.26427175643419e-001,1.52516079321417e-001
1.01014244945566e-002	-2.26620423757166e-001,1.52621177502951e-001
1.01058575152864e-002	-2.26813831956153e-001,1.52726370843518e-001
1.01102924814519e-002	-2.27007400364503e-001,1.52831659446804e-001
1.01147293939070e-002	-2.27201129106419e-001,1.52937043416617e-001
1.01191682535058e-002	-2.27395018306187e-001,1.53042522856891e-001
1.01236090611027e-002	-2.27589068088174e-001,1.53148097871663e-001
1.01280518175528e-002	-2.27783278576826e-001,1.53253768565115e-001
1.01324965237111e-002	-2.27977649896675e-001,1.53359535041532e-001
1.01369431804334e-002	-2.28172182172328e-001,1.53465397405336e-001
1.01413917885757e-002	-2.28366875528479e-001,1.53571355761059e-001
1.01458423489943e-002	-2.28561730089900e-001,1.53677410213362e-001
1.01502948625461e-002	-2.28756745981445e-001,1.53783560867025e-001
1.01547493300880e-002	-2.28951923328050e-001,1.53889807826958e-001
1.01592057524777e-002	-2.29147262254731e-001,1.53996151198184e-001
