time	V(in)	V(out)
0.000000000000000e+000	0.000000000000000e+000	8.952165882135482e-004
9.999999960041972e-013	0.000000000000000e+000	8.952168543043665e-004
1.999999992008394e-012	0.000000000000000e+000	8.952171806145731e-004
3.999999984016789e-012	0.000000000000000e+000	8.952179948466801e-004
7.999999968033578e-012	0.000000000000000e+000	8.952198645501121e-004
1.599999993606716e-011	0.000000000000000e+000	8.952233867563528e-004
3.199999987213431e-011	0.000000000000000e+000	8.952279062691383e-004
6.399999974426862e-011	0.000000000000000e+000	8.952294024622863e-004
1.279999994885372e-010	0.000000000000000e+000	8.952196063392889e-004
2.559999989770745e-010	0.000000000000000e+000	8.951884958335096e-004
5.119999979541490e-010	0.000000000000000e+000	8.951270980612489e-004
1.023999995908298e-009	0.000000000000000e+000	8.950291903656257e-004
2.047999991816596e-009	0.000000000000000e+000	8.949036363231504e-004
4.095999983633192e-009	0.000000000000000e+000	8.947928526089406e-004
8.191999967266384e-009	0.000000000000000e+000	8.947558522563717e-004
1.638399993453277e-008	0.000000000000000e+000	8.948222292282982e-004
3.276799986906553e-008	0.000000000000000e+000	8.949630302026901e-004
6.553599973813107e-008	0.000000000000000e+000	8.950490516845875e-004
1.310719994762621e-007	0.000000000000000e+000	8.950126380898280e-004
2.025807083352934e-007	0.000000000000000e+000	8.950295185520267e-004
2.963302382767626e-007	0.000000000000000e+000	8.950736504479321e-004
3.949275488957477e-007	0.000000000000000e+000	8.951083299577756e-004
4.949275488957477e-007	0.000000000000000e+000	8.951374010485986e-004
5.949275488957477e-007	0.000000000000000e+000	8.951524256008702e-004
6.949275488957477e-007	0.000000000000000e+000	8.951658064665528e-004
7.949275488957477e-007	0.000000000000000e+000	8.951701942170862e-004
8.949275488957477e-007	0.000000000000000e+000	8.951759394363255e-004
9.949275488957477e-007	0.000000000000000e+000	8.951771154503233e-004
1.094927548895748e-006	0.000000000000000e+000	8.951792218162970e-004
1.194927548895748e-006	0.000000000000000e+000	8.951800483465862e-004
1.294927548895748e-006	0.000000000000000e+000	8.951803434495175e-004
1.394927548895748e-006	0.000000000000000e+000	8.951814271503124e-004
1.494927548895748e-006	0.000000000000000e+000	8.951809484505635e-004
1.594927548895748e-006	0.000000000000000e+000	8.951820919596768e-004
1.694927548895748e-006	0.000000000000000e+000	8.951815198922795e-004
1.794927548895748e-006	0.000000000000000e+000	8.951824150209314e-004
1.894927548895748e-006	0.000000000000000e+000	8.951821235761190e-004
1.994927548895748e-006	0.000000000000000e+000	8.951826148932382e-004
2.094927548895748e-006	0.000000000000000e+000	8.951827037233201e-004
2.194927548895748e-006	0.000000000000000e+000	8.951828303600358e-004
2.294927548895748e-006	0.000000000000000e+000	8.951832032858215e-004
2.394927548895748e-006	0.000000000000000e+000	8.951831222924170e-004
2.494927548895748e-006	0.000000000000000e+000	8.951836049276034e-004
2.594927548895748e-006	0.000000000000000e+000	8.951834950347538e-004
2.694927548895748e-006	0.000000000000000e+000	8.951839329518785e-004
2.794927548895748e-006	0.000000000000000e+000	8.951839181224219e-004
2.894927548895748e-006	0.000000000000000e+000	8.951842289720717e-004
2.994927548895748e-006	0.000000000000000e+000	8.951843501193196e-004
3.094927548895748e-006	0.000000000000000e+000	8.951845298953395e-004
3.194927548895748e-006	0.000000000000000e+000	8.951847607281967e-004
3.294927548895748e-006	0.000000000000000e+000	8.951848579269810e-004
3.394927548895748e-006	0.000000000000000e+000	8.951851388609849e-004
3.494927548895748e-006	0.000000000000000e+000	8.951852145748128e-004
3.594927548895748e-006	0.000000000000000e+000	8.951854885725532e-004
3.694927548895748e-006	0.000000000000000e+000	8.951855911665592e-004
3.794927548895748e-006	0.000000000000000e+000	8.951858234492908e-004
3.894927548895748e-006	0.000000000000000e+000	8.951859725384597e-004
3.994927548895748e-006	0.000000000000000e+000	8.951861584130267e-004
4.094927548895747e-006	0.000000000000000e+000	8.951863479318045e-004
4.194927548895747e-006	0.000000000000000e+000	8.951865003830353e-004
4.294927548895748e-006	0.000000000000000e+000	8.951867105569614e-004
4.394927548895748e-006	0.000000000000000e+000	8.951868510952934e-004
4.494927548895748e-006	0.000000000000000e+000	8.951870626556800e-004
4.594927548895748e-006	0.000000000000000e+000	8.951872101881256e-004
4.694927548895748e-006	0.000000000000000e+000	8.951874084341906e-004
4.794927548895748e-006	0.000000000000000e+000	8.951875706038393e-004
4.894927548895747e-006	0.000000000000000e+000	8.951877512809311e-004
4.994927548895747e-006	0.000000000000000e+000	8.951879288541234e-004
5.094927548895748e-006	0.000000000000000e+000	8.951880975318833e-004
5.194927548895748e-006	0.000000000000000e+000	8.951882837752536e-004
5.294927548895748e-006	0.000000000000000e+000	8.951884465089747e-004
5.394927548895748e-006	0.000000000000000e+000	8.951886339194714e-004
5.494927548895748e-006	0.000000000000000e+000	8.951887977660924e-004
5.594927548895748e-006	0.000000000000000e+000	8.951889805999415e-004
5.694927548895747e-006	0.000000000000000e+000	8.951891494323331e-004
5.794927548895748e-006	0.000000000000000e+000	8.951893264026569e-004
5.894927548895748e-006	0.000000000000000e+000	8.951894995504507e-004
5.994927548895748e-006	0.000000000000000e+000	8.951896712091647e-004
6.094927548895748e-006	0.000000000000000e+000	8.951898477855697e-004
6.194927548895748e-006	0.000000000000000e+000	8.951900168699650e-004
6.294927548895748e-006	0.000000000000000e+000	8.951901951151932e-004
6.394927548895747e-006	0.000000000000000e+000	8.951903642716385e-004
6.494927548895747e-006	0.000000000000000e+000	8.951905398221804e-004
6.594927548895748e-006	0.000000000000000e+000	8.951907101198960e-004
6.694927548895748e-006	0.000000000000000e+000	8.951908838716889e-004
6.794927548895748e-006	0.000000000000000e+000	8.951910556805472e-004
6.894927548895748e-006	0.000000000000000e+000	8.951912276783220e-004
6.994927548895748e-006	0.000000000000000e+000	8.951914004633448e-004
7.094927548895748e-006	0.000000000000000e+000	8.951915705964791e-004
7.194927548895747e-006	0.000000000000000e+000	8.951917438796656e-004
7.294927548895747e-006	0.000000000000000e+000	8.951919144838462e-004
7.394927548895748e-006	0.000000000000000e+000	8.951920870910243e-004
7.494927548895748e-006	0.000000000000000e+000	8.951922570517362e-004
7.594927548895748e-006	0.000000000000000e+000	8.951924284356237e-004
7.694927548895748e-006	0.000000000000000e+000	8.951925989870412e-004
7.794927548895748e-006	0.000000000000000e+000	8.951927703051794e-004
7.894927548895748e-006	0.000000000000000e+000	8.951929418027301e-004
7.994927548895748e-006	0.000000000000000e+000	8.951931121288825e-004
8.094927548895747e-006	0.000000000000000e+000	8.951932827479588e-004
8.194927548895748e-006	0.000000000000000e+000	8.951934518438291e-004
8.294927548895747e-006	0.000000000000000e+000	8.951936220561593e-004
8.394927548895748e-006	0.000000000000000e+000	8.951937914351634e-004
8.494927548895749e-006	0.000000000000000e+000	8.951939615254568e-004
8.594927548895748e-006	0.000000000000000e+000	8.951941312816469e-004
8.694927548895748e-006	0.000000000000000e+000	8.951943006245429e-004
8.794927548895747e-006	0.000000000000000e+000	8.951944696736866e-004
8.894927548895748e-006	0.000000000000000e+000	8.951946387087227e-004
8.994927548895747e-006	0.000000000000000e+000	8.951948081756189e-004
9.094927548895748e-006	0.000000000000000e+000	8.951949770262999e-004
9.194927548895747e-006	0.000000000000000e+000	8.951951457450087e-004
9.294927548895748e-006	0.000000000000000e+000	8.951953143442321e-004
9.394927548895748e-006	0.000000000000000e+000	8.951954835276062e-004
9.494927548895747e-006	0.000000000000000e+000	8.951956522145679e-004
9.594927548895748e-006	0.000000000000000e+000	8.951958203836584e-004
9.694927548895747e-006	0.000000000000000e+000	8.951959885544666e-004
