Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~amplifier.PrjPCB|ReportField=ProjectFullPath~C:\Users\bakaneko\Facultad\Materias\Circuitos Electrónicos II\TPS\REPO-TPS\REPO\TP_Final\PCB\amplifier\amplifier.PrjPCB|ReportField=Title~Bill of Materials For Project [amplifier.PrjPCB] (No PCB Document Selected)|ReportField=ReportTime~12:09:54 PM|ReportField=ReportDate~7/28/2019|ReportField=ReportDateTime~7/28/2019 12:09:54 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~154|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~64c5dab62aa343cb1a964503354cee0d326709bc|ReportField=Cuatrimestre~1º 2019|ReportField=Grupo~Irusta - Luna - Niero - Romero|ReportField=Organización~Facultad de ingeniería - UBA|ReportField=Project Name~Proyecto de Circuitos electrónicos 2 - Amplificador clase G|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~7/28/2019|ReportField=CurrentTime~11:46:29 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\bakaneko\Facultad\Materias\Circuitos Electrónicos II\TPS\REPO-TPS\REPO\TP_Final\PCB\amplifier\amplifier.SchDoc|ReportField=DocumentName~amplifier.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~7/17/2019|ReportField=Organization~|ReportField=ProjectName~amplifier.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~amplifier.PrjPCB|ReportField=DataSourceFullPath~C:\Users\bakaneko\Facultad\Materias\Circuitos Electrónicos II\TPS\REPO-TPS\REPO\TP_Final\PCB\amplifier\amplifier.PrjPCB|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|Bornera +HV|TERMI-BLOK HEADER,ASSY90 2P - serie 282822 - 5.00mm|B1|TE-C-282822-2-C-PLUGGED|C-282822-2-C|1
2|Bornera -HV|TERMI-BLOK HEADER,ASSY90 2P - serie 282822 - 5.00mm|B2|TE-C-282822-2-C-PLUGGED|C-282822-2-C|1
3|Bornera +LV|TERMI-BLOK HEADER,ASSY90 2P - serie 282822 - 5.00mm|B3|TE-C-282822-2-C-PLUGGED|C-282822-2-C|1
4|Bornera -LV|TERMI-BLOK HEADER,ASSY90 2P - serie 282822 - 5.00mm|B4|TE-C-282822-2-C-PLUGGED|C-282822-2-C|1
5|Bornera de salida a Bafle|TE Barrier Terminal Block, 2P|BO|TE 8PCV-02-006|8PCV-02-006|1
6|Al. Elect. 1000u 16V 20% 105º|Aluminum Electrolytic Capacitor 1000μF 16V 20% 105º|CAF|Al. Electrolytic 10.0mmx17.0mmx5.0mm-CLEAN|Al. Elect. 1000u 16V 20% 105º|1
7|Al. Elect. 47u 35V 20% 105º|Aluminum Electrolytic Capacitor 47μF 35V 20% 105º|CAI|Al. Electrolytic 6.3mmx11.0mmx2.5mm-CLEAN|Al. Elect. 47u 35V 20% 105º|1
8|Cer. 10n 50V 10%|Ceramic Capacitor 10nF 50V 10%|CC1|Cer. pitch 5.0mm height 5.5mm|Cer. 10n 50V 10%|1
9|Cer. 6.8n 50V 10%|Ceramic Capacitor 6.8nF 50V 10%|CC2|Cer. pitch 2.5mm height 5.0mm|Cer. 6.8n 50V 10%|1
10|Cer. 68p 50V 10%|Ceramic Capacitor 68pF 50V 10%|CC3, CC4|Cer. pitch 5.08mm height 6.00mm|Cer. 68p 50V 10%|2
11|Cer. 100p 50V 10%|Ceramic Capacitor 100pF 50V 10%|CC5, CC6|Cer. pitch 5.08mm height 6.00mm|Cer. 100p 50V 10%|2
12|Cer. 1.2p 50V 10%|Ceramic Capacitor 1.2pF 50V 10%|CC7|Cer. pitch 5.08mm height 6.00mm|Cer. 1.2p 50V 10%|1
13|Al. Elect. 220u 16V 20% 85º|Aluminum Electrolytic Capacitor 220μF 16V 20% 85º|CCF32, CF31|Al. Electrolytic 6.3mmx12.0mmx2.5mm-CLEAN|Al. Elect. 220u 16V 20% 85º|2
14|Al. Elect. 470u 100V 20% 105º|Aluminum Electrolytic Capacitor 470μF 100V 20% 105º|CF1, CF2, CF3, CF4, CF9, CF10|Al. Electrolytic 16.0mmx33.0mmx7.5mm-CLEAN|Al. Elect. 470u 100V 20% 105º|6
15|Poly. 100n 100V 10%|Polyester Capacitor 100nF 100V 10%|CF5, CF6, CF7, CF8, CF11, CF12|Cer. pitch 5.0mm height 6.6mm|Poly. 100n 100V 10%|6
